Temperature,Simulations,Return
500,8,248.0
500,45,227.0
500,56,449.0
500,23,352.0
500,84,290.0
500,99,299.0
500,71,500.0
500,41,349.0
500,39,333.0
500,9,255.0
500,68,500.0
500,73,248.0
500,56,397.0
500,98,276.0
500,38,343.0
500,56,484.0
500,80,320.0
500,54,500.0
500,29,297.0
500,70,396.0
500,38,311.0
500,10,180.0
500,68,500.0
500,40,421.0
500,46,305.0
500,36,261.0
500,10,167.0
500,18,500.0
500,55,280.0
500,29,295.0
500,24,253.0
500,54,500.0
500,86,419.0
500,55,487.0
500,81,274.0
500,39,500.0
500,72,500.0
500,98,238.0
500,9,500.0
500,33,288.0
500,65,500.0
500,10,286.0
500,93,295.0
500,9,372.0
500,79,415.0
500,78,337.0
500,26,500.0
500,76,500.0
500,2,128.0
500,55,465.0
500,68,500.0
500,2,185.0
500,56,311.0
500,30,500.0
500,49,308.0
500,72,500.0
500,32,489.0
500,69,500.0
500,78,371.0
500,77,324.0
500,39,296.0
500,25,500.0
500,77,419.0
500,62,500.0
500,22,171.0
500,63,420.0
500,37,500.0
500,69,500.0
500,52,329.0
500,6,500.0
500,70,500.0
500,25,316.0
500,29,500.0
500,65,500.0
500,15,390.0
500,74,342.0
500,74,483.0
500,19,259.0
500,32,296.0
500,25,242.0
500,13,426.0
500,10,489.0
500,43,243.0
500,19,231.0
500,5,281.0
500,31,500.0
500,69,500.0
500,63,500.0
500,5,178.0
500,68,482.0
500,9,150.0
500,73,350.0
500,74,500.0
500,28,339.0
500,27,500.0
500,86,353.0
500,11,285.0
500,61,425.0
500,93,429.0
500,76,414.0
