Temperature,Simulations,Return
1,98,239.0
1,76,446.0
1,89,196.0
1,46,266.0
1,15,274.0
1,60,228.0
1,38,285.0
1,46,305.0
1,70,381.0
1,6,251.0
1,34,324.0
1,25,454.0
1,16,240.0
1,54,310.0
1,88,401.0
1,73,233.0
1,74,216.0
1,52,442.0
1,3,369.0
1,4,274.0
1,31,229.0
1,34,475.0
1,94,349.0
1,57,229.0
1,39,495.0
1,4,369.0
1,33,226.0
1,71,237.0
1,79,500.0
1,52,316.0
1,22,314.0
1,14,490.0
1,31,500.0
1,8,500.0
1,32,275.0
1,46,163.0
1,6,337.0
1,76,203.0
1,7,376.0
1,21,307.0
1,40,500.0
1,64,242.0
1,100,302.0
1,28,220.0
1,30,346.0
1,48,500.0
1,53,281.0
1,33,261.0
1,22,347.0
1,27,261.0
1,16,383.0
1,15,300.0
1,71,500.0
1,72,294.0
1,66,472.0
1,23,272.0
1,15,295.0
1,44,500.0
1,12,295.0
1,48,500.0
1,29,436.0
1,41,179.0
1,23,217.0
1,58,199.0
1,73,242.0
1,36,403.0
1,43,500.0
1,95,220.0
1,5,453.0
1,45,500.0
1,18,462.0
1,84,415.0
1,49,234.0
1,10,320.0
1,72,338.0
1,8,280.0
1,59,247.0
1,82,407.0
1,27,248.0
1,88,500.0
1,99,451.0
1,41,500.0
1,24,241.0
1,96,174.0
1,94,219.0
1,33,319.0
1,93,500.0
1,51,324.0
1,39,500.0
1,46,293.0
1,36,378.0
1,25,152.0
1,20,325.0
1,80,224.0
1,38,497.0
1,37,229.0
1,11,442.0
1,19,465.0
1,86,329.0
1,2,242.0
1,16,174.0
1,11,360.0
1,32,500.0
1,76,434.0
1,97,319.0
1,54,470.0
1,77,317.0
1,42,146.0
1,90,215.0
1,16,422.0
1,36,320.0
1,15,500.0
1,2,264.0
1,87,161.0
1,48,429.0
1,77,500.0
1,9,500.0
1,59,500.0
1,71,500.0
1,63,500.0
1,53,266.0
1,94,232.0
1,78,261.0
1,27,292.0
1,47,233.0
1,93,218.0
1,83,500.0
1,72,259.0
1,12,500.0
1,9,236.0
1,52,361.0
1,12,426.0
1,2,207.0
1,93,500.0
1,10,297.0
1,6,293.0
1,63,270.0
1,33,500.0
1,22,500.0
1,20,389.0
1,56,411.0
1,51,500.0
1,87,266.0
1,54,170.0
1,86,349.0
1,44,219.0
1,69,200.0
1,99,261.0
1,78,179.0
1,41,229.0
1,75,500.0
1,57,496.0
1,77,500.0
1,99,396.0
1,38,272.0
