Temperature,Simulations,Return
500,16,194.0
500,65,500.0
500,5,212.0
500,18,500.0
500,99,450.0
500,73,307.0
500,86,346.0
500,88,334.0
500,6,275.0
500,75,500.0
500,82,481.0
500,14,500.0
500,1,9.0
500,65,500.0
500,75,410.0
500,61,500.0
500,78,500.0
500,66,500.0
500,61,500.0
500,76,408.0
500,37,253.0
500,53,500.0
500,31,500.0
500,5,131.0
500,80,296.0
500,36,361.0
500,22,234.0
500,10,254.0
500,82,368.0
500,70,500.0
500,40,423.0
500,30,500.0
500,94,266.0
500,27,283.0
500,21,500.0
500,55,308.0
500,59,500.0
500,21,246.0
500,39,364.0
500,25,213.0
500,85,459.0
500,4,261.0
500,41,385.0
500,34,455.0
500,46,210.0
500,42,222.0
500,24,219.0
500,39,496.0
500,31,500.0
500,26,403.0
500,4,202.0
500,29,388.0
500,42,259.0
500,52,459.0
500,63,500.0
500,54,500.0
500,94,346.0
500,1,9.0
500,80,348.0
500,59,500.0
500,50,474.0
500,22,258.0
500,81,300.0
500,30,500.0
500,51,347.0
500,42,278.0
500,96,347.0
500,30,266.0
500,3,294.0
500,86,500.0
500,83,305.0
500,17,246.0
500,70,500.0
500,47,283.0
500,37,500.0
500,85,324.0
500,65,500.0
500,85,424.0
500,98,435.0
500,1,9.0
500,62,500.0
500,50,487.0
500,39,383.0
500,16,500.0
500,52,370.0
500,31,500.0
500,43,316.0
500,35,302.0
500,73,437.0
500,84,485.0
500,28,500.0
500,52,323.0
500,85,392.0
500,72,441.0
500,90,331.0
500,87,415.0
500,14,500.0
500,66,500.0
500,93,273.0
500,17,335.0
500,41,448.0
500,29,500.0
500,59,434.0
500,66,500.0
500,86,250.0
500,87,349.0
500,31,366.0
500,19,301.0
500,13,254.0
500,81,500.0
500,28,222.0
500,69,500.0
500,100,500.0
500,67,382.0
500,69,500.0
500,6,500.0
500,94,296.0
500,59,500.0
500,85,361.0
500,62,500.0
500,7,304.0
500,75,384.0
500,94,384.0
500,99,373.0
500,38,500.0
500,43,306.0
500,84,359.0
500,70,500.0
500,97,335.0
500,89,355.0
500,52,500.0
500,88,434.0
500,77,267.0
500,58,500.0
500,61,500.0
500,77,353.0
500,82,357.0
500,62,500.0
500,33,500.0
500,28,420.0
500,71,500.0
500,2,201.0
500,87,260.0
500,6,225.0
500,72,500.0
500,8,476.0
500,44,269.0
500,61,500.0
500,32,500.0
500,78,484.0
500,71,392.0
500,51,500.0
500,48,351.0
500,43,477.0
500,86,210.0
500,34,500.0
500,88,372.0
500,40,500.0
500,5,339.0
500,19,424.0
500,68,500.0
500,5,386.0
500,68,500.0
500,61,500.0
500,54,500.0
500,26,328.0
500,6,201.0
500,71,500.0
500,37,270.0
500,49,281.0
500,2,239.0
500,13,500.0
500,22,236.0
500,94,374.0
500,12,497.0
500,5,242.0
500,87,445.0
500,7,273.0
500,28,500.0
500,49,384.0
500,10,408.0
500,51,500.0
500,53,500.0
500,17,277.0
500,67,500.0
500,34,406.0
500,43,368.0
500,27,500.0
500,54,331.0
500,94,276.0
500,97,459.0
500,19,335.0
500,99,442.0
500,64,462.0
500,6,327.0
500,54,397.0
500,98,316.0
500,40,500.0
500,15,275.0
500,50,411.0
500,72,500.0
500,47,326.0
500,77,414.0
500,42,258.0
500,65,500.0
500,49,385.0
500,12,411.0
500,15,221.0
500,28,500.0
500,60,500.0
500,18,349.0
500,14,390.0
500,50,319.0
500,29,500.0
500,63,500.0
500,17,388.0
500,66,500.0
500,19,321.0
500,49,500.0
500,6,233.0
500,97,339.0
500,64,383.0
500,68,454.0
500,5,188.0
500,43,314.0
500,9,225.0
500,99,408.0
500,77,500.0
500,17,472.0
500,27,425.0
500,9,187.0
500,21,441.0
500,20,379.0
500,76,500.0
500,62,484.0
500,76,378.0
500,37,317.0
500,70,500.0
500,38,500.0
500,45,229.0
500,52,343.0
500,82,314.0
500,5,346.0
500,7,353.0
500,27,275.0
500,28,500.0
500,71,297.0
500,21,260.0
500,14,264.0
500,51,396.0
500,100,237.0
500,31,500.0
500,29,500.0
500,78,480.0
500,66,500.0
500,11,500.0
500,20,500.0
500,55,450.0
500,8,457.0
500,80,415.0
500,55,500.0
500,89,294.0
500,78,500.0
500,99,468.0
500,78,500.0
500,41,304.0
500,23,260.0
500,19,309.0
500,28,500.0
500,59,397.0
500,34,500.0
500,58,281.0
500,15,339.0
500,84,398.0
500,32,385.0
500,36,500.0
500,72,500.0
500,15,500.0
500,62,500.0
500,48,204.0
500,16,338.0
500,67,500.0
500,87,370.0
500,26,419.0
500,67,500.0
500,45,366.0
500,68,500.0
500,18,390.0
500,92,272.0
500,16,500.0
500,64,500.0
500,43,292.0
500,5,206.0
500,14,234.0
500,21,462.0
500,4,256.0
500,99,349.0
500,81,305.0
500,13,500.0
500,84,353.0
500,58,500.0
500,98,314.0
500,86,292.0
500,85,396.0
500,56,274.0
500,52,291.0
500,38,343.0
500,100,330.0
500,7,294.0
500,82,500.0
500,28,500.0
500,61,257.0
500,64,437.0
500,88,424.0
500,31,500.0
500,53,420.0
500,66,500.0
500,91,311.0
500,39,402.0
500,1,9.0
500,14,355.0
500,57,500.0
500,89,260.0
500,64,500.0
500,83,366.0
500,94,380.0
500,66,500.0
500,23,242.0
500,53,500.0
500,24,314.0
500,32,355.0
500,57,499.0
500,34,500.0
500,87,379.0
500,35,354.0
500,76,477.0
500,80,345.0
500,86,366.0
500,74,500.0
500,66,488.0
500,6,500.0
500,67,361.0
500,15,500.0
500,67,500.0
500,6,500.0
500,13,500.0
500,71,500.0
500,82,366.0
500,71,327.0
500,53,381.0
500,17,500.0
500,21,346.0
500,97,422.0
500,63,500.0
500,38,364.0
500,8,280.0
500,13,500.0
500,52,380.0
500,64,500.0
500,24,255.0
500,4,211.0
500,6,330.0
500,95,337.0
500,83,318.0
500,17,500.0
500,76,387.0
500,76,500.0
500,67,500.0
500,35,306.0
500,46,283.0
500,98,414.0
500,65,454.0
500,43,309.0
500,31,500.0
500,21,211.0
500,70,318.0
500,88,322.0
500,75,500.0
500,50,417.0
500,19,350.0
500,5,295.0
500,14,438.0
500,18,500.0
500,51,277.0
500,12,446.0
500,4,211.0
500,34,500.0
500,11,355.0
500,60,500.0
500,61,500.0
500,29,461.0
500,71,500.0
500,75,329.0
500,10,250.0
500,63,500.0
500,48,280.0
500,85,343.0
500,16,450.0
500,94,441.0
500,16,500.0
500,83,298.0
500,57,500.0
500,75,496.0
500,60,500.0
500,31,494.0
500,99,396.0
500,81,461.0
500,89,262.0
500,81,477.0
500,53,399.0
500,54,449.0
500,33,500.0
500,58,500.0
500,36,359.0
500,81,276.0
500,35,500.0
500,20,229.0
500,87,500.0
500,45,429.0
500,40,327.0
500,81,500.0
500,47,355.0
500,59,440.0
500,94,264.0
500,89,370.0
500,75,373.0
500,67,500.0
500,36,238.0
500,95,312.0
500,9,280.0
500,77,449.0
500,87,350.0
500,35,500.0
500,1,9.0
500,80,383.0
500,2,117.0
500,83,268.0
500,97,375.0
500,97,227.0
500,94,447.0
500,45,320.0
500,13,366.0
500,21,265.0
500,62,500.0
500,29,500.0
500,87,328.0
500,87,302.0
500,85,434.0
500,69,500.0
500,10,292.0
500,58,500.0
500,4,168.0
500,7,496.0
500,15,500.0
500,98,403.0
500,98,361.0
500,43,250.0
500,4,177.0
500,62,383.0
500,54,500.0
