Temperature,Simulations,Return
500,2,34.0
500,4,221.0
500,9,196.0
500,4,358.0
500,7,465.0
500,11,188.0
500,14,227.0
500,16,500.0
500,8,500.0
500,14,500.0
500,5,482.0
500,16,356.0
500,16,500.0
500,10,231.0
500,12,320.0
500,15,500.0
500,6,500.0
500,8,185.0
500,2,213.0
500,14,285.0
500,9,296.0
500,10,390.0
500,2,168.0
500,9,286.0
500,2,150.0
500,4,174.0
500,6,159.0
500,14,330.0
500,10,179.0
500,10,346.0
500,7,173.0
500,13,500.0
500,10,266.0
500,11,202.0
500,2,132.0
500,16,500.0
500,4,246.0
500,6,219.0
500,16,295.0
500,16,472.0
500,15,414.0
500,7,344.0
500,10,154.0
500,9,274.0
500,16,408.0
500,13,224.0
500,16,500.0
500,14,285.0
500,10,226.0
500,16,225.0
500,10,230.0
500,8,500.0
500,3,500.0
500,7,370.0
500,1,10.0
500,14,500.0
500,1,9.0
500,4,274.0
500,8,309.0
500,4,189.0
500,12,163.0
500,10,427.0
500,11,210.0
500,1,9.0
500,12,162.0
500,2,154.0
500,4,227.0
500,12,256.0
500,11,281.0
500,2,354.0
500,16,289.0
500,16,500.0
500,3,155.0
500,10,238.0
500,5,260.0
500,12,500.0
500,13,264.0
500,11,262.0
500,13,223.0
500,3,184.0
500,11,340.0
500,15,500.0
500,9,334.0
500,4,500.0
500,14,302.0
500,10,164.0
500,11,284.0
500,13,500.0
500,3,198.0
500,8,500.0
500,12,199.0
500,3,264.0
500,3,166.0
500,14,500.0
500,5,216.0
500,11,179.0
500,1,8.0
500,8,369.0
500,8,229.0
500,13,500.0
500,14,500.0
500,8,215.0
500,13,500.0
500,10,273.0
500,4,435.0
500,8,184.0
500,11,281.0
500,6,267.0
500,10,248.0
500,7,500.0
500,5,350.0
500,9,263.0
500,8,292.0
500,8,311.0
500,4,186.0
500,14,500.0
500,6,294.0
500,3,259.0
500,16,448.0
500,6,265.0
500,11,242.0
500,4,201.0
500,7,287.0
500,6,491.0
500,4,150.0
500,2,312.0
500,8,216.0
500,3,273.0
500,9,333.0
500,8,464.0
500,1,10.0
500,3,72.0
500,3,177.0
500,7,254.0
500,13,367.0
500,8,181.0
500,15,500.0
500,8,254.0
500,10,385.0
500,16,496.0
500,1,10.0
500,13,373.0
500,9,322.0
500,12,192.0
500,14,500.0
500,16,500.0
500,7,260.0
500,5,229.0
500,7,197.0
500,10,194.0
500,13,489.0
500,13,261.0
500,1,9.0
500,7,483.0
500,8,180.0
500,15,347.0
500,8,487.0
500,12,500.0
500,15,266.0
500,9,331.0
500,3,205.0
500,7,500.0
500,3,500.0
500,6,362.0
500,13,305.0
500,11,249.0
500,13,500.0
500,12,238.0
500,12,292.0
500,15,402.0
500,10,211.0
500,5,181.0
500,13,450.0
500,10,205.0
500,8,420.0
500,2,500.0
500,3,460.0
500,3,129.0
500,5,232.0
500,10,153.0
500,16,409.0
500,10,238.0
500,2,117.0
500,14,476.0
500,2,215.0
500,15,298.0
500,9,253.0
500,11,500.0
500,2,405.0
500,11,310.0
500,3,368.0
500,9,500.0
500,14,500.0
500,12,381.0
500,9,386.0
500,1,10.0
500,11,476.0
500,1,9.0
500,10,222.0
500,6,500.0
500,12,265.0
500,14,436.0
500,8,315.0
500,12,293.0
500,16,436.0
500,16,324.0
500,4,216.0
500,10,266.0
500,12,500.0
500,15,455.0
500,8,225.0
500,8,284.0
500,9,325.0
500,12,198.0
500,7,224.0
500,16,500.0
500,14,500.0
500,6,415.0
500,14,256.0
500,8,265.0
500,1,9.0
500,8,231.0
500,15,247.0
500,4,208.0
500,13,500.0
500,14,342.0
500,16,376.0
500,16,337.0
500,9,267.0
500,15,500.0
500,15,500.0
500,12,500.0
500,10,218.0
500,7,500.0
500,2,217.0
500,3,262.0
500,1,9.0
500,3,249.0
500,7,218.0
500,16,304.0
500,15,500.0
500,7,241.0
500,8,353.0
500,5,356.0
500,11,211.0
500,8,286.0
500,12,500.0
500,5,360.0
500,8,500.0
500,7,228.0
500,14,500.0
500,10,500.0
500,15,465.0
500,8,244.0
500,6,210.0
500,5,244.0
500,14,500.0
500,3,143.0
500,12,500.0
500,8,137.0
500,9,224.0
500,9,255.0
500,16,251.0
500,10,178.0
500,6,311.0
500,1,10.0
500,6,500.0
500,15,338.0
500,3,302.0
500,7,390.0
500,3,218.0
500,13,274.0
500,11,306.0
500,12,314.0
500,15,316.0
500,12,392.0
500,3,286.0
500,4,211.0
500,9,382.0
500,3,150.0
500,9,168.0
500,6,239.0
500,9,428.0
500,9,123.0
500,13,275.0
500,15,500.0
500,4,129.0
500,3,280.0
500,6,474.0
500,9,291.0
500,7,172.0
500,3,267.0
500,14,351.0
500,7,430.0
500,11,268.0
500,11,231.0
500,12,500.0
500,9,296.0
500,4,197.0
500,13,467.0
500,10,201.0
500,1,11.0
500,14,393.0
500,16,500.0
500,8,368.0
500,11,317.0
500,12,500.0
500,2,250.0
500,13,456.0
500,13,500.0
500,5,396.0
500,8,182.0
500,13,305.0
500,13,500.0
500,1,9.0
500,8,500.0
500,1,8.0
500,15,500.0
500,15,500.0
500,5,216.0
500,7,500.0
500,16,500.0
500,7,236.0
500,3,237.0
500,14,500.0
500,16,500.0
500,6,500.0
500,10,206.0
500,3,215.0
500,10,309.0
500,4,420.0
500,13,450.0
500,4,338.0
500,14,500.0
500,1,9.0
500,7,179.0
500,14,412.0
500,15,499.0
500,10,285.0
500,2,165.0
500,7,500.0
500,4,345.0
500,10,465.0
500,1,9.0
500,14,390.0
500,10,142.0
500,1,10.0
500,5,307.0
500,8,283.0
500,12,290.0
500,13,500.0
500,3,384.0
500,13,500.0
500,10,261.0
500,11,186.0
500,12,174.0
500,7,500.0
500,14,500.0
500,13,500.0
500,4,146.0
500,4,350.0
500,2,240.0
500,6,310.0
500,12,423.0
500,3,292.0
500,1,10.0
500,9,178.0
500,13,500.0
500,9,325.0
500,16,227.0
500,13,306.0
500,14,500.0
500,9,255.0
500,6,236.0
500,16,500.0
500,3,221.0
500,12,159.0
500,11,500.0
500,1,9.0
500,16,212.0
500,15,500.0
500,12,303.0
500,10,202.0
500,7,270.0
500,13,500.0
500,10,273.0
500,7,201.0
500,15,500.0
500,1,9.0
500,2,393.0
500,9,411.0
500,8,312.0
500,6,449.0
500,13,495.0
500,7,333.0
500,1,9.0
500,14,210.0
500,4,258.0
500,8,262.0
500,10,217.0
500,13,273.0
500,11,322.0
500,2,165.0
500,6,417.0
500,4,156.0
500,2,206.0
500,11,298.0
500,8,427.0
500,15,500.0
500,9,214.0
500,6,271.0
500,2,226.0
500,8,257.0
500,2,429.0
500,14,500.0
500,7,250.0
500,16,489.0
500,8,333.0
500,4,161.0
500,6,500.0
500,14,500.0
500,7,221.0
500,9,291.0
500,7,500.0
500,15,287.0
500,6,266.0
500,11,460.0
500,4,192.0
500,14,500.0
500,15,500.0
500,12,238.0
500,8,500.0
500,3,431.0
500,1,10.0
500,8,224.0
500,15,345.0
500,14,500.0
500,8,500.0
500,13,362.0
500,7,500.0
500,7,500.0
500,15,500.0
500,11,348.0
500,9,206.0
500,2,177.0
500,1,10.0
500,7,500.0
500,16,261.0
500,2,332.0
500,5,309.0
500,12,251.0
500,12,230.0
500,2,90.0
500,7,400.0
500,8,202.0
500,13,250.0
500,15,500.0
500,2,178.0
500,8,253.0
500,15,500.0
500,16,407.0
500,14,236.0
500,2,289.0
500,3,179.0
500,15,500.0
500,10,208.0
500,16,500.0
500,16,500.0
500,8,500.0
500,7,220.0
500,3,500.0
500,3,222.0
500,11,201.0
500,12,263.0
500,16,453.0
500,15,500.0
500,16,500.0
500,1,10.0
500,8,302.0
500,16,264.0
500,14,500.0
500,12,221.0
500,16,261.0
500,10,241.0
500,16,500.0
500,4,328.0
500,7,500.0
500,10,200.0
500,4,332.0
500,12,290.0
500,14,312.0
500,10,282.0
500,6,167.0
500,10,353.0
500,1,9.0
500,7,340.0
500,13,253.0
500,13,500.0
500,14,500.0
500,6,474.0
500,8,154.0
500,16,274.0
500,10,321.0
500,16,500.0
500,6,252.0
500,12,500.0
500,15,500.0
500,1,9.0
500,5,333.0
500,11,377.0
500,9,418.0
500,15,491.0
500,6,210.0
500,12,500.0
500,9,241.0
500,5,368.0
500,1,9.0
500,6,500.0
500,5,182.0
500,15,368.0
500,10,185.0
