Temperature,Simulations,Return
1,1,9.0
1,11,254.0
1,14,451.0
1,4,205.0
1,15,330.0
1,15,190.0
1,4,266.0
1,10,467.0
1,16,245.0
1,7,413.0
1,5,210.0
1,16,500.0
1,5,192.0
1,14,388.0
1,6,154.0
1,7,204.0
1,8,155.0
1,11,164.0
1,12,386.0
1,7,237.0
1,11,264.0
1,5,222.0
1,9,451.0
1,2,125.0
1,12,460.0
1,4,301.0
1,1,10.0
1,13,224.0
1,5,353.0
1,2,272.0
1,14,206.0
1,10,228.0
1,6,170.0
1,9,406.0
1,13,294.0
1,7,184.0
1,5,309.0
1,8,500.0
1,10,219.0
1,10,364.0
1,10,285.0
1,5,431.0
1,15,236.0
1,2,161.0
1,14,169.0
1,14,277.0
1,2,211.0
1,9,500.0
1,12,500.0
1,6,364.0
1,2,154.0
1,7,500.0
1,1,10.0
1,4,251.0
1,11,349.0
1,5,500.0
1,2,461.0
1,10,333.0
1,4,299.0
1,10,395.0
1,4,266.0
1,6,351.0
1,8,333.0
1,3,500.0
1,5,307.0
1,9,500.0
1,8,316.0
1,3,188.0
1,7,341.0
1,12,427.0
1,14,441.0
1,1,9.0
1,3,215.0
1,13,151.0
1,9,228.0
1,4,273.0
1,12,332.0
1,3,35.0
1,7,300.0
1,14,355.0
1,11,163.0
1,8,500.0
1,14,475.0
1,1,9.0
1,16,416.0
1,9,337.0
1,12,500.0
1,9,300.0
1,1,10.0
1,8,299.0
1,2,267.0
1,7,409.0
1,9,258.0
1,14,336.0
1,12,377.0
1,9,330.0
1,9,442.0
1,7,500.0
1,15,296.0
1,6,500.0
