Temperature,Cart Position,Cart Velocity,Pole Angle,Pole Angular Velocity,Simulations,Return,Discounted Return
500,-0.16,0.12,-0.03999999999999998,0.2,63,474.0,253.0946515823549
500,0.04,-0.03999999999999998,-0.16,-0.2,93,172.0,134.5197857252259
500,0.04,0.04,0.0,-0.03999999999999998,36,500.0,259.12410747446273
500,0.08,-0.16,-0.2,-0.16,93,177.0,137.48414931924944
500,-0.07999999999999999,-0.2,0.08,0.0,30,500.0,259.12410747446273
500,-0.16,0.16,0.08,0.08,44,500.0,259.12410747446273
500,-0.07999999999999999,-0.16,-0.2,0.2,10,356.0,218.95201331182977
500,0.04,0.2,0.08,-0.16,100,500.0,259.12410747446273
500,-0.12,-0.16,-0.12,0.0,66,260.0,180.71036130844703
500,0.2,0.04,-0.03999999999999998,0.0,80,500.0,259.12410747446273
500,-0.12,0.08,0.16,0.0,57,302.0,198.8041346338207
500,0.08,-0.16,0.08,0.16,54,500.0,259.12410747446273
500,0.08,0.2,-0.2,0.2,53,500.0,259.12410747446273
500,0.2,0.04,-0.16,0.04,95,335.0,211.5026220697302
500,0.12,-0.07999999999999999,-0.12,0.08,16,399.0,232.81462213828596
500,0.08,-0.2,-0.12,0.16,58,288.0,193.02471789687
500,0.16,0.12,0.08,-0.12,86,500.0,259.12410747446273
500,-0.2,-0.07999999999999999,0.04,-0.03999999999999998,17,500.0,259.12410747446273
500,-0.2,-0.07999999999999999,0.2,0.0,70,275.0,187.4360245502745
500,-0.16,-0.2,-0.03999999999999998,-0.16,25,409.0,235.7897973730444
500,0.04,0.12,-0.16,-0.12,20,219.0,160.70248070472664
500,0.2,0.16,0.16,-0.2,11,278.0,188.74516504121223
500,0.12,-0.2,0.2,-0.03999999999999998,23,219.0,160.70248070472664
500,-0.03999999999999998,-0.2,0.12,-0.16,3,371.0,223.99247497637452
500,-0.03999999999999998,-0.2,-0.12,-0.07999999999999999,55,246.0,174.15363037203517
500,0.2,0.16,-0.03999999999999998,0.12,77,500.0,259.12410747446273
500,-0.12,-0.16,0.16,-0.16,79,500.0,259.12410747446273
500,0.2,-0.16,-0.07999999999999999,-0.2,90,218.0,160.18302979410896
500,-0.03999999999999998,-0.2,0.04,-0.12,27,321.0,206.26873635155093
500,0.08,-0.2,0.16,-0.2,22,413.0,236.95506298042687
500,0.2,0.04,-0.16,0.08,65,452.0,247.61172670829453
500,-0.12,-0.07999999999999999,-0.07999999999999999,-0.03999999999999998,43,500.0,259.12410747446273
500,-0.16,0.12,0.04,-0.2,85,500.0,259.12410747446273
500,-0.07999999999999999,0.2,-0.16,-0.03999999999999998,32,500.0,259.12410747446273
500,-0.12,-0.2,0.2,-0.07999999999999999,83,300.0,197.99331256942412
500,-0.07999999999999999,-0.16,0.16,0.12,11,500.0,259.12410747446273
500,0.16,-0.2,-0.07999999999999999,-0.03999999999999998,67,378.0,226.26807059732843
500,0.16,0.04,0.0,0.16,48,500.0,259.12410747446273
500,0.08,0.04,0.04,-0.12,15,356.0,218.95201331182977
500,-0.07999999999999999,0.08,0.0,-0.03999999999999998,59,500.0,259.12410747446273
500,0.0,-0.16,0.2,0.0,42,500.0,259.12410747446273
500,-0.2,0.04,-0.12,-0.07999999999999999,27,500.0,259.12410747446273
500,0.2,-0.16,0.12,0.08,8,500.0,259.12410747446273
500,-0.16,0.12,0.16,0.0,39,199.0,150.0110536187962
500,-0.03999999999999998,0.08,0.12,-0.2,36,500.0,259.12410747446273
500,-0.03999999999999998,-0.2,-0.03999999999999998,-0.03999999999999998,85,376.0,225.62277665225207
500,0.04,0.2,-0.07999999999999999,-0.2,10,407.0,235.201891907462
500,0.0,0.2,-0.2,-0.16,37,500.0,259.12410747446273
500,0.0,0.04,0.0,0.0,27,500.0,259.12410747446273
500,0.2,0.08,0.08,0.2,44,221.0,161.73671214282464
500,-0.12,0.12,-0.2,-0.07999999999999999,46,203.0,152.2010413562232
500,-0.03999999999999998,0.12,0.12,0.04,10,194.0,147.23629663068388
500,0.12,0.12,0.04,0.16,72,353.0,217.91637381783934
500,0.04,0.08,0.08,-0.2,79,500.0,259.12410747446273
500,0.0,0.2,0.04,0.0,45,500.0,259.12410747446273
500,0.04,-0.2,-0.16,-0.16,68,166.0,130.9032634603651
500,0.12,0.16,-0.2,-0.16,57,255.0,178.40026752807307
500,-0.2,-0.12,0.16,-0.03999999999999998,31,489.0,256.6305436257705
500,-0.2,-0.07999999999999999,-0.03999999999999998,-0.12,62,233.0,167.81327454936869
500,-0.07999999999999999,0.16,-0.12,-0.2,86,401.0,233.41682973705548
500,-0.03999999999999998,0.2,0.16,-0.12,7,500.0,259.12410747446273
500,-0.2,-0.12,-0.03999999999999998,0.0,60,500.0,259.12410747446273
500,0.16,-0.2,-0.07999999999999999,0.2,45,419.0,238.67691270758837
500,0.04,0.12,0.08,0.0,23,200.0,150.56102045793983
500,-0.12,-0.16,-0.03999999999999998,0.16,78,500.0,259.12410747446273
500,-0.2,-0.12,0.04,0.0,54,500.0,259.12410747446273
500,0.12,-0.07999999999999999,-0.2,0.12,38,279.0,189.1789295460886
500,-0.12,0.04,0.0,-0.03999999999999998,77,500.0,259.12410747446273
500,0.12,0.04,0.12,-0.16,83,368.0,223.0024731893695
500,0.2,0.0,0.04,-0.12,77,500.0,259.12410747446273
500,0.08,-0.03999999999999998,0.08,0.08,84,420.0,238.96088196946562
500,0.04,0.16,-0.03999999999999998,-0.12,5,500.0,259.12410747446273
500,-0.07999999999999999,0.0,-0.12,-0.2,98,500.0,259.12410747446273
500,0.2,0.08,-0.12,0.16,84,500.0,259.12410747446273
500,-0.07999999999999999,0.16,-0.12,0.12,40,500.0,259.12410747446273
500,-0.03999999999999998,-0.16,-0.03999999999999998,0.04,18,359.0,219.97835998467835
500,-0.2,-0.16,0.16,0.16,58,311.0,202.3931392816573
500,0.08,0.0,-0.07999999999999999,0.16,84,500.0,259.12410747446273
500,-0.07999999999999999,-0.16,0.04,0.16,21,285.0,191.75432563818825
500,0.04,0.0,-0.12,0.08,37,285.0,191.75432563818825
500,0.16,-0.2,-0.2,-0.2,54,137.0,112.47416422605835
500,-0.2,0.12,0.16,0.04,80,206.0,153.8263463027057
500,-0.03999999999999998,0.16,-0.07999999999999999,-0.16,40,500.0,259.12410747446273
500,-0.16,-0.12,0.12,-0.07999999999999999,32,500.0,259.12410747446273
500,0.04,0.04,0.0,-0.07999999999999999,54,500.0,259.12410747446273
500,0.04,-0.12,0.2,0.2,56,214.0,158.08954862990785
500,0.04,-0.03999999999999998,0.16,-0.2,26,248.0,175.1072759724763
500,0.04,-0.03999999999999998,0.0,-0.2,63,443.0,245.26214072497248
500,-0.07999999999999999,0.0,-0.2,-0.16,65,173.0,135.1162263680502
500,-0.16,0.08,0.12,-0.16,53,500.0,259.12410747446273
500,0.12,0.2,0.16,0.2,88,161.0,127.8392919024141
500,0.04,-0.16,-0.12,-0.07999999999999999,31,471.0,252.36814879543638
500,0.16,-0.03999999999999998,0.2,-0.16,22,172.0,134.5197857252259
500,-0.07999999999999999,0.0,0.08,0.2,71,288.0,193.02471789687
500,-0.03999999999999998,0.04,-0.12,0.2,64,500.0,259.12410747446273
500,-0.03999999999999998,0.08,-0.07999999999999999,-0.03999999999999998,93,500.0,259.12410747446273
500,-0.16,0.08,0.16,0.04,44,210.0,155.9707561419881
500,-0.07999999999999999,0.2,-0.16,-0.07999999999999999,1,6.0,5.955179595485758
500,0.16,-0.07999999999999999,-0.07999999999999999,0.16,33,399.0,232.81462213828596
500,0.04,0.16,0.0,0.2,59,500.0,259.12410747446273
500,0.04,0.2,-0.03999999999999998,0.04,46,500.0,259.12410747446273
500,0.0,0.2,0.08,0.0,70,314.0,203.56806917826825
500,0.12,0.0,-0.12,0.04,15,259.0,180.25111465240425
500,0.0,0.16,-0.03999999999999998,0.04,42,500.0,259.12410747446273
500,0.0,-0.03999999999999998,0.08,-0.07999999999999999,92,500.0,259.12410747446273
500,0.0,0.2,-0.16,-0.12,67,500.0,259.12410747446273
500,0.2,0.08,-0.07999999999999999,0.04,38,500.0,259.12410747446273
500,0.16,-0.16,-0.12,-0.12,98,240.0,171.25806844077178
500,-0.12,-0.16,-0.03999999999999998,0.0,90,500.0,259.12410747446273
500,-0.12,-0.12,0.16,-0.16,12,205.0,153.28620491745806
500,0.0,-0.2,0.0,-0.07999999999999999,41,339.0,212.9580248943337
500,0.16,0.08,0.04,-0.12,13,203.0,152.2010413562232
500,0.0,0.2,0.04,0.2,5,185.0,142.13547075737839
500,0.16,0.12,0.16,-0.12,7,363.0,221.33251072945674
500,0.16,0.04,-0.07999999999999999,0.08,52,500.0,259.12410747446273
500,-0.2,-0.12,-0.03999999999999998,0.2,70,348.0,216.16942840857988
500,-0.12,0.08,-0.12,0.08,46,500.0,259.12410747446273
500,-0.16,0.2,-0.12,0.0,98,500.0,259.12410747446273
500,-0.2,-0.07999999999999999,-0.12,-0.07999999999999999,11,166.0,130.9032634603651
500,0.0,-0.07999999999999999,-0.07999999999999999,-0.16,80,441.0,244.73132609963542
500,0.04,0.16,0.12,0.0,38,222.0,162.25150200639618
500,-0.07999999999999999,0.04,-0.12,0.12,15,500.0,259.12410747446273
500,0.0,-0.16,0.08,-0.03999999999999998,54,500.0,259.12410747446273
500,-0.03999999999999998,0.04,0.04,-0.16,87,500.0,259.12410747446273
500,-0.2,0.0,-0.12,0.08,84,440.0,244.46472026041667
500,0.08,-0.2,0.2,0.2,17,500.0,259.12410747446273
500,0.16,0.16,-0.16,-0.16,5,286.0,192.1790626612737
500,0.2,-0.2,-0.07999999999999999,0.12,95,500.0,259.12410747446273
500,0.2,0.0,-0.12,-0.03999999999999998,14,369.0,223.3334657698014
500,-0.2,-0.07999999999999999,0.12,0.0,15,395.0,231.5992963534892
500,0.12,-0.2,0.04,-0.2,1,12.0,11.803966698928045
500,0.0,0.12,-0.07999999999999999,0.08,41,500.0,259.12410747446273
500,-0.07999999999999999,0.04,-0.2,-0.12,51,206.0,153.8263463027057
500,0.16,-0.03999999999999998,0.04,0.08,96,500.0,259.12410747446273
500,0.08,-0.03999999999999998,0.16,0.08,3,500.0,259.12410747446273
500,0.16,0.12,0.16,-0.03999999999999998,19,185.0,142.13547075737839
500,-0.07999999999999999,-0.12,-0.12,-0.07999999999999999,12,272.0,186.1150307462666
500,-0.07999999999999999,-0.07999999999999999,0.12,0.08,2,132.0,109.1312507306372
500,0.0,-0.03999999999999998,0.04,0.16,24,500.0,259.12410747446273
500,0.0,0.08,0.04,-0.2,85,500.0,259.12410747446273
500,0.2,0.16,-0.16,0.08,60,500.0,259.12410747446273
500,0.04,0.0,-0.07999999999999999,0.0,32,500.0,259.12410747446273
500,0.16,-0.2,0.04,-0.12,32,500.0,259.12410747446273
500,-0.2,0.12,0.16,-0.16,54,288.0,193.02471789687
500,-0.2,-0.03999999999999998,-0.07999999999999999,0.16,63,500.0,259.12410747446273
500,0.0,0.2,0.08,-0.2,89,500.0,259.12410747446273
500,-0.2,0.04,-0.2,-0.07999999999999999,77,207.0,154.36486726379758
500,-0.16,-0.2,-0.07999999999999999,0.16,26,211.0,156.5028438735621
500,0.0,0.16,0.0,0.16,84,439.0,244.1973121970077
500,-0.16,-0.16,0.16,-0.2,26,450.0,247.09507329238923
500,0.04,0.12,0.0,0.16,9,500.0,259.12410747446273
500,-0.12,-0.2,0.0,0.04,2,113.0,95.96016066567812
500,0.0,0.0,0.12,-0.07999999999999999,77,303.0,199.20772222991923
500,0.2,-0.2,-0.2,0.2,95,225.0,163.78662389810222
500,0.08,-0.16,0.04,-0.2,90,500.0,259.12410747446273
500,-0.2,-0.12,0.2,0.16,80,225.0,163.78662389810222
500,-0.16,-0.12,-0.2,0.08,81,213.0,157.5622353359156
500,0.04,-0.07999999999999999,-0.16,0.0,97,249.0,175.58195414455886
500,-0.07999999999999999,0.2,0.04,0.04,40,500.0,259.12410747446273
500,0.08,0.12,-0.2,-0.16,75,235.0,168.8049052215434
500,0.16,0.04,0.08,0.0,80,500.0,259.12410747446273
500,0.0,-0.03999999999999998,0.0,0.04,86,500.0,259.12410747446273
500,-0.07999999999999999,0.12,-0.2,0.2,52,500.0,259.12410747446273
500,0.2,-0.03999999999999998,-0.2,0.16,14,242.0,172.22906135274312
500,-0.07999999999999999,-0.2,-0.12,0.04,99,328.0,208.9131973958026
500,0.16,0.16,-0.16,0.12,14,355.0,218.60783682229666
500,0.08,-0.07999999999999999,0.04,-0.03999999999999998,52,370.0,223.663465372492
500,0.08,0.16,-0.03999999999999998,0.04,1,26.0,25.04800162271025
500,-0.16,0.04,0.08,0.2,59,372.0,224.3204975514454
500,0.2,0.08,0.08,0.2,54,213.0,157.5622353359156
500,0.16,0.08,0.04,-0.03999999999999998,80,500.0,259.12410747446273
500,0.0,0.2,-0.12,-0.07999999999999999,96,500.0,259.12410747446273
500,-0.16,-0.07999999999999999,-0.16,0.04,20,172.0,134.5197857252259
500,-0.07999999999999999,0.08,0.12,-0.07999999999999999,25,384.0,228.18084920142076
500,-0.07999999999999999,0.2,-0.12,0.08,9,500.0,259.12410747446273
500,-0.12,-0.12,0.12,0.2,30,500.0,259.12410747446273
500,-0.2,0.2,0.0,0.12,14,500.0,259.12410747446273
500,0.0,0.2,0.2,0.12,49,209.0,155.43706734402016
500,-0.2,-0.16,0.12,0.04,1,15.0,14.689058387031462
500,-0.2,-0.2,0.2,-0.2,19,236.0,169.2984905058788
500,-0.2,0.0,-0.16,0.0,83,500.0,259.12410747446273
500,0.12,0.12,0.08,0.12,1,7.0,6.9373140566993
500,0.12,-0.07999999999999999,-0.07999999999999999,0.0,88,500.0,259.12410747446273
500,0.16,-0.16,0.0,0.2,78,500.0,259.12410747446273
500,0.2,-0.12,-0.16,-0.12,13,500.0,259.12410747446273
500,-0.12,0.16,0.12,0.04,80,441.0,244.73132609963542
500,-0.03999999999999998,-0.12,0.08,-0.12,60,500.0,259.12410747446273
500,-0.07999999999999999,0.08,0.12,0.08,26,328.0,208.9131973958026
500,0.04,0.04,0.16,0.12,84,253.0,177.46646914471907
500,0.08,0.08,0.12,-0.16,51,312.0,202.78595986381234
500,0.0,-0.16,-0.12,0.0,18,307.0,200.8100012548624
500,0.2,-0.12,-0.16,0.08,77,245.0,173.6746543350403
500,0.12,0.0,-0.03999999999999998,0.2,98,500.0,259.12410747446273
500,-0.16,0.08,0.2,0.08,27,233.0,167.81327454936869
500,-0.03999999999999998,0.2,0.12,0.08,23,182.0,140.4043134529078
500,0.04,0.08,0.12,0.2,92,500.0,259.12410747446273
500,-0.2,0.04,0.12,0.12,5,135.0,111.14302207128743
500,-0.16,0.08,0.12,-0.07999999999999999,17,231.0,166.81566721163358
500,0.16,0.04,-0.07999999999999999,0.08,28,500.0,259.12410747446273
500,-0.12,-0.07999999999999999,-0.03999999999999998,-0.07999999999999999,75,500.0,259.12410747446273
500,0.12,-0.12,-0.07999999999999999,-0.16,98,452.0,247.61172670829453
500,0.04,-0.07999999999999999,-0.07999999999999999,0.08,40,500.0,259.12410747446273
500,-0.07999999999999999,-0.16,0.0,0.2,100,500.0,259.12410747446273
500,0.12,-0.07999999999999999,-0.16,0.0,15,276.0,187.87371647662368
500,0.08,-0.07999999999999999,-0.03999999999999998,-0.12,62,286.0,192.1790626612737
500,0.0,-0.2,0.12,-0.07999999999999999,96,500.0,259.12410747446273
500,-0.2,0.08,-0.12,0.04,63,459.0,249.39575982810274
500,0.12,0.12,0.2,-0.2,25,500.0,259.12410747446273
500,0.12,0.08,-0.03999999999999998,0.12,89,388.0,229.43701212481153
500,0.04,-0.12,0.04,0.12,39,500.0,259.12410747446273
500,0.16,-0.07999999999999999,0.2,0.2,43,500.0,259.12410747446273
500,-0.2,0.08,-0.07999999999999999,0.0,81,500.0,259.12410747446273
500,0.16,-0.07999999999999999,-0.2,0.08,53,219.0,160.70248070472664
500,-0.12,-0.2,0.12,0.04,93,434.0,242.84815377542532
500,-0.03999999999999998,-0.16,-0.03999999999999998,-0.03999999999999998,42,323.0,207.0299803520688
500,-0.16,0.08,0.2,-0.16,51,500.0,259.12410747446273
500,-0.07999999999999999,0.08,0.04,0.04,18,500.0,259.12410747446273
500,0.08,0.0,0.08,0.16,78,308.0,201.20757125109782
500,-0.12,-0.03999999999999998,-0.03999999999999998,-0.12,30,500.0,259.12410747446273
500,-0.12,0.0,-0.07999999999999999,-0.07999999999999999,52,357.0,219.29515727189428
500,0.08,0.04,0.12,-0.12,11,213.0,157.5622353359156
500,0.12,0.04,0.12,0.08,88,396.0,231.9044984644287
500,-0.16,0.08,-0.12,0.0,85,342.0,214.03815578709018
500,0.0,0.04,0.04,-0.03999999999999998,43,500.0,259.12410747446273
500,-0.12,-0.12,-0.16,-0.07999999999999999,32,207.0,154.36486726379758
500,-0.16,0.08,0.2,0.16,77,191.0,145.55132358711683
500,0.12,0.08,-0.03999999999999998,-0.07999999999999999,37,500.0,259.12410747446273
500,0.16,-0.16,-0.16,0.16,51,309.0,201.60394853734454
500,0.0,0.0,0.2,-0.16,66,268.0,184.33508155072926
500,0.16,0.04,0.16,0.2,52,167.0,131.510553669984
500,-0.12,0.16,-0.12,0.12,2,275.0,187.4360245502745
