Temperature,Cart Position,Cart Velocity,Pole Angle,Pole Angular Velocity,Simulations,Return,Discounted Return
500,0.12,0.16,-0.03999999999999998,-0.12,61,387.0,229.12438528065348
500,-0.16,0.04,0.2,0.2,68,170.0,133.3215149211183
500,0.16,0.0,-0.16,0.08,43,436.0,243.39025048615676
500,0.12,-0.12,0.04,-0.2,53,500.0,259.12410747446273
500,-0.2,0.12,0.12,0.12,47,229.0,165.81204718632685
500,0.12,0.2,-0.16,0.12,83,500.0,259.12410747446273
500,0.04,0.08,-0.03999999999999998,-0.03999999999999998,46,500.0,259.12410747446273
500,0.2,-0.2,-0.12,-0.2,83,199.0,150.0110536187962
500,0.2,0.2,0.0,0.08,61,280.0,189.61139275745032
500,-0.12,-0.12,0.0,0.0,1,12.0,11.803966698928045
500,-0.07999999999999999,0.04,-0.07999999999999999,-0.16,30,398.0,232.51215861412834
500,0.2,0.04,-0.2,0.04,87,425.0,240.36800066166487
500,0.2,0.04,0.04,0.08,19,500.0,259.12410747446273
500,0.2,-0.12,0.2,0.16,33,194.0,147.23629663068388
500,0.16,-0.2,0.2,0.04,46,495.0,258.0008802903204
500,0.04,0.0,-0.16,-0.16,38,270.0,185.22773007715884
500,-0.16,0.0,0.12,0.2,2,16.0,15.644991211870368
500,0.08,-0.07999999999999999,0.2,0.16,56,184.0,141.56015121101143
500,0.04,0.2,0.16,-0.16,24,500.0,259.12410747446273
500,0.0,-0.07999999999999999,0.08,0.16,28,409.0,235.7897973730444
500,0.0,-0.16,-0.07999999999999999,-0.2,9,179.0,138.6574817806778
500,-0.2,0.12,-0.03999999999999998,0.0,100,500.0,259.12410747446273
500,-0.07999999999999999,0.12,0.0,0.0,77,436.0,243.39025048615676
500,0.08,0.16,0.04,0.16,38,500.0,259.12410747446273
500,-0.2,-0.03999999999999998,-0.16,-0.03999999999999998,55,236.0,169.2984905058788
500,0.12,-0.12,-0.07999999999999999,-0.12,69,305.0,200.01126876603976
500,0.12,0.16,0.16,0.04,52,199.0,150.0110536187962
500,0.04,0.04,-0.07999999999999999,-0.07999999999999999,84,500.0,259.12410747446273
500,-0.12,-0.16,-0.2,0.16,35,140.0,114.4559395136555
500,-0.2,-0.07999999999999999,-0.03999999999999998,-0.2,32,500.0,259.12410747446273
500,0.16,-0.07999999999999999,0.16,-0.16,41,500.0,259.12410747446273
500,-0.16,-0.12,-0.12,-0.12,91,193.0,146.6763256075064
500,-0.03999999999999998,-0.03999999999999998,-0.2,0.2,14,235.0,168.8049052215434
500,-0.03999999999999998,-0.07999999999999999,-0.07999999999999999,0.0,64,329.0,209.28645780361518
500,-0.2,0.04,0.0,-0.2,27,500.0,259.12410747446273
500,-0.03999999999999998,0.08,0.16,-0.2,55,500.0,259.12410747446273
500,0.2,0.16,0.08,-0.07999999999999999,84,405.0,234.6104430719058
500,-0.16,0.0,-0.2,0.2,91,392.0,230.6781687903556
500,-0.12,0.08,0.16,0.0,93,255.0,178.40026752807307
500,0.2,-0.16,0.04,-0.03999999999999998,98,500.0,259.12410747446273
500,0.04,0.04,-0.07999999999999999,0.16,34,325.0,207.78666373977956
500,-0.2,0.16,0.04,-0.2,98,500.0,259.12410747446273
500,-0.07999999999999999,0.2,0.0,0.16,98,368.0,223.0024731893695
500,0.2,-0.07999999999999999,0.08,0.08,37,500.0,259.12410747446273
500,0.08,0.0,0.04,0.04,67,500.0,259.12410747446273
500,0.04,0.0,0.08,0.12,7,438.0,243.9290994954942
500,-0.16,-0.07999999999999999,0.16,-0.07999999999999999,41,328.0,208.9131973958026
500,-0.2,-0.12,-0.07999999999999999,0.16,1,24.0,23.189932508367882
500,0.08,0.04,-0.03999999999999998,-0.16,22,500.0,259.12410747446273
500,0.12,0.16,-0.2,-0.16,11,500.0,259.12410747446273
500,-0.16,0.12,0.12,-0.03999999999999998,48,365.0,222.00350765767655
500,0.04,0.2,0.04,-0.16,95,500.0,259.12410747446273
500,0.16,0.0,-0.07999999999999999,-0.2,94,332.0,210.399533767009
500,-0.03999999999999998,0.16,0.12,0.12,11,150.0,120.93432143677008
500,0.2,-0.12,-0.03999999999999998,0.12,62,500.0,259.12410747446273
500,-0.03999999999999998,0.12,0.2,0.0,52,241.0,171.74429423544947
500,0.2,-0.16,-0.16,0.0,79,192.0,146.11466961635549
500,0.16,0.0,0.16,-0.07999999999999999,3,312.0,202.78595986381234
500,0.08,0.16,0.12,-0.2,5,423.0,239.8076885236098
500,-0.03999999999999998,-0.2,-0.03999999999999998,-0.03999999999999998,96,362.0,220.9954972211201
500,-0.16,0.08,0.2,0.0,69,186.0,142.70906434510624
500,0.12,0.2,-0.07999999999999999,-0.2,23,456.0,248.63576627202733
500,0.04,0.0,-0.03999999999999998,0.12,39,500.0,259.12410747446273
500,0.2,0.08,-0.16,0.04,75,269.0,184.78207630607707
500,0.16,0.12,-0.03999999999999998,0.0,90,500.0,259.12410747446273
500,-0.07999999999999999,-0.16,0.16,0.12,5,194.0,147.23629663068388
500,0.08,0.0,-0.2,-0.07999999999999999,68,239.0,170.77037957951032
500,0.12,0.04,0.04,-0.03999999999999998,16,500.0,259.12410747446273
500,0.2,0.16,-0.16,-0.12,47,336.0,211.868114203521
500,0.08,-0.07999999999999999,-0.07999999999999999,0.2,27,287.0,192.60252547328986
500,-0.07999999999999999,-0.03999999999999998,0.12,0.0,23,500.0,259.12410747446273
500,-0.03999999999999998,0.0,-0.03999999999999998,-0.2,69,299.0,197.58607078176942
500,-0.07999999999999999,-0.03999999999999998,0.16,0.08,32,196.0,148.35120397756944
500,-0.03999999999999998,0.12,-0.07999999999999999,-0.16,86,427.0,240.92495596970082
500,0.2,0.0,0.0,-0.2,6,500.0,259.12410747446273
500,0.04,0.2,-0.2,-0.07999999999999999,18,500.0,259.12410747446273
500,0.12,0.04,0.12,0.0,93,292.0,194.70085975883944
500,0.16,0.0,-0.03999999999999998,0.04,38,500.0,259.12410747446273
500,0.16,0.08,-0.03999999999999998,-0.16,37,483.0,255.23527982161005
500,0.16,0.04,0.08,-0.2,24,500.0,259.12410747446273
500,0.12,-0.07999999999999999,0.2,0.0,53,229.0,165.81204718632685
500,0.2,0.2,-0.03999999999999998,-0.16,49,500.0,259.12410747446273
500,-0.12,-0.16,-0.07999999999999999,0.2,53,284.0,191.32831056989795
500,-0.07999999999999999,0.2,-0.2,-0.12,25,500.0,259.12410747446273
500,-0.03999999999999998,-0.16,0.08,0.0,76,500.0,259.12410747446273
500,-0.07999999999999999,0.08,-0.16,-0.07999999999999999,83,464.0,250.64729167823623
500,-0.07999999999999999,-0.16,0.08,0.16,9,500.0,259.12410747446273
500,0.12,-0.2,0.08,0.16,52,451.0,247.35378807251206
500,0.0,-0.12,0.12,0.16,89,500.0,259.12410747446273
500,-0.12,0.2,-0.03999999999999998,0.12,28,500.0,259.12410747446273
500,-0.12,0.12,0.12,-0.2,99,500.0,259.12410747446273
500,0.2,0.2,0.0,0.04,36,393.0,230.98613428398454
500,0.04,0.0,0.12,0.16,61,500.0,259.12410747446273
500,-0.12,0.08,0.12,0.04,12,222.0,162.25150200639618
