Temperature,Cart Position,Cart Velocity,Pole Angle,Pole Angular Velocity,Simulations,Return,Discounted Return
500,0.12,-0.12,0.04,0.2,46,500.0,259.12410747446273
500,-0.16,0.08,-0.07999999999999999,0.2,96,500.0,259.12410747446273
500,-0.2,-0.12,-0.2,-0.2,84,143.0,116.41993227808909
500,0.16,0.0,-0.12,-0.07999999999999999,15,500.0,259.12410747446273
500,-0.07999999999999999,0.12,-0.12,-0.07999999999999999,22,240.0,171.25806844077178
500,0.16,-0.03999999999999998,-0.12,0.2,54,500.0,259.12410747446273
500,0.12,-0.03999999999999998,0.08,0.12,66,500.0,259.12410747446273
500,-0.12,-0.03999999999999998,-0.03999999999999998,0.08,97,500.0,259.12410747446273
500,0.16,0.04,-0.03999999999999998,0.08,52,500.0,259.12410747446273
500,0.04,-0.12,0.2,-0.16,93,298.0,197.17760359254706
500,-0.03999999999999998,0.0,-0.03999999999999998,0.04,2,148.0,119.65416956664384
500,0.12,0.2,0.12,0.12,84,226.0,164.29526402640792
500,-0.2,0.16,0.2,0.16,10,119.0,100.20096028883653
500,0.12,-0.2,0.2,0.0,66,500.0,259.12410747446273
500,0.0,-0.12,-0.03999999999999998,0.08,62,500.0,259.12410747446273
500,-0.16,0.04,-0.12,0.08,54,500.0,259.12410747446273
500,0.16,-0.07999999999999999,-0.07999999999999999,-0.07999999999999999,99,500.0,259.12410747446273
500,0.0,0.16,0.12,-0.03999999999999998,72,256.0,178.86506672548884
500,0.16,0.04,0.16,0.0,75,211.0,156.5028438735621
500,0.16,0.2,-0.2,0.04,89,313.0,203.1776019842209
500,-0.12,0.16,0.0,-0.2,37,500.0,259.12410747446273
500,-0.03999999999999998,-0.2,0.2,-0.07999999999999999,75,500.0,259.12410747446273
500,-0.2,0.08,0.08,0.04,38,261.0,181.1682302245217
500,0.2,-0.03999999999999998,0.04,0.04,3,202.0,151.65600938437632
500,0.0,-0.16,-0.07999999999999999,-0.07999999999999999,10,233.0,167.81327454936869
500,0.2,0.2,0.08,0.12,38,364.0,221.66851319726837
500,0.08,0.04,0.12,0.16,46,259.0,180.25111465240425
500,-0.03999999999999998,0.2,0.04,-0.03999999999999998,74,333.0,210.76833516570795
500,0.08,0.12,0.2,0.12,20,181.0,139.8237848073298
500,0.0,0.2,0.16,0.0,24,417.0,238.10640819910924
500,-0.12,-0.03999999999999998,0.08,0.04,79,500.0,259.12410747446273
500,0.16,0.08,0.0,0.12,20,500.0,259.12410747446273
500,-0.16,0.12,0.16,0.16,41,186.0,142.70906434510624
500,-0.07999999999999999,0.04,-0.03999999999999998,0.12,47,500.0,259.12410747446273
500,-0.2,0.12,-0.16,0.08,30,298.0,197.17760359254706
500,0.08,-0.12,-0.12,0.0,34,500.0,259.12410747446273
500,0.08,-0.16,-0.03999999999999998,0.2,19,500.0,259.12410747446273
500,0.2,0.0,-0.03999999999999998,0.08,53,500.0,259.12410747446273
500,0.2,0.0,-0.07999999999999999,-0.07999999999999999,72,367.0,222.6704846432994
500,0.08,0.08,-0.03999999999999998,0.16,9,500.0,259.12410747446273
500,0.12,0.2,-0.03999999999999998,-0.03999999999999998,11,409.0,235.7897973730444
500,-0.16,0.0,0.08,0.08,13,493.0,257.5468434293054
500,0.0,0.16,-0.03999999999999998,-0.03999999999999998,1,29.0,27.814254227853624
500,0.08,-0.03999999999999998,0.12,0.2,2,244.0,173.1942370461788
500,-0.2,0.04,0.2,0.2,15,243.0,172.71237416868487
500,0.04,0.16,0.12,0.04,85,500.0,259.12410747446273
500,0.04,-0.2,-0.2,-0.16,50,133.0,109.8038569784453
500,0.2,-0.2,0.04,-0.12,13,428.0,241.20218110179172
500,-0.03999999999999998,-0.03999999999999998,-0.16,0.12,7,215.0,158.61527998401812
500,0.16,-0.16,-0.12,0.04,81,320.0,205.88639553816543
500,0.16,0.2,-0.2,-0.07999999999999999,20,500.0,259.12410747446273
500,0.16,0.2,-0.03999999999999998,-0.2,50,500.0,259.12410747446273
500,-0.12,0.2,-0.12,-0.07999999999999999,43,317.0,204.73245639719377
500,0.2,0.2,-0.16,-0.12,53,281.0,190.04255857917798
500,0.12,0.08,-0.07999999999999999,0.08,53,428.0,241.20218110179172
500,0.04,0.12,-0.07999999999999999,-0.07999999999999999,91,500.0,259.12410747446273
500,0.2,0.04,-0.12,-0.2,76,319.0,205.5029042509182
500,0.2,0.08,0.04,0.04,12,289.0,193.44564374317937
500,-0.2,0.12,0.12,0.16,31,271.0,185.67204688692738
500,-0.12,0.12,0.2,-0.03999999999999998,97,218.0,160.18302979410896
500,0.08,-0.03999999999999998,0.08,-0.03999999999999998,75,500.0,259.12410747446273
500,-0.07999999999999999,0.04,0.16,0.2,92,223.0,162.76474750037698
500,-0.03999999999999998,-0.07999999999999999,0.16,-0.16,70,346.0,215.46326885227384
500,0.08,0.12,-0.07999999999999999,0.12,76,500.0,259.12410747446273
500,0.04,0.0,0.0,-0.2,99,500.0,259.12410747446273
500,0.04,0.12,0.2,-0.07999999999999999,73,218.0,160.18302979410896
