Temperature,Cart Position,Cart Velocity,Pole Angle,Pole Angular Velocity,Simulations,Return,Discounted Return
500,-0.03,0.03,0.0,-0.03,33,368.0,223.0024731893695
500,0.01,0.01,-0.009999999999999995,-0.05,85,500.0,259.12410747446273
500,0.05,-0.04,-0.019999999999999997,0.0,11,329.0,209.28645780361518
500,0.02,0.03,0.01,-0.04,50,500.0,259.12410747446273
500,-0.019999999999999997,0.03,0.05,-0.009999999999999995,37,500.0,259.12410747446273
500,0.0,0.04,-0.05,-0.009999999999999995,53,500.0,259.12410747446273
500,-0.009999999999999995,0.03,0.01,-0.009999999999999995,12,500.0,259.12410747446273
500,0.04,0.03,0.01,0.03,67,500.0,259.12410747446273
500,-0.05,-0.009999999999999995,-0.009999999999999995,0.03,24,500.0,259.12410747446273
500,0.02,0.0,0.03,-0.019999999999999997,78,500.0,259.12410747446273
500,0.03,-0.009999999999999995,0.05,-0.03,13,500.0,259.12410747446273
500,0.03,0.03,0.04,0.01,15,392.0,230.6781687903556
500,0.05,-0.05,0.0,-0.009999999999999995,56,421.0,239.24399932355723
500,0.0,-0.04,0.02,0.02,31,349.0,216.52092012335413
500,0.05,-0.019999999999999997,-0.05,0.02,80,500.0,259.12410747446273
500,0.05,0.0,0.03,0.0,6,379.0,226.58926638553643
500,0.02,-0.05,0.03,0.03,77,500.0,259.12410747446273
500,0.03,-0.04,-0.019999999999999997,0.04,75,500.0,259.12410747446273
500,0.05,0.02,0.01,0.04,17,500.0,259.12410747446273
500,-0.05,-0.05,-0.05,-0.04,75,500.0,259.12410747446273
500,-0.03,0.01,0.02,0.05,92,500.0,259.12410747446273
500,-0.04,0.04,0.04,0.02,51,500.0,259.12410747446273
500,0.0,0.0,0.0,-0.05,92,500.0,259.12410747446273
500,-0.05,-0.03,0.05,0.03,40,500.0,259.12410747446273
500,0.02,0.01,-0.019999999999999997,0.04,88,500.0,259.12410747446273
500,0.01,-0.009999999999999995,-0.04,0.04,39,369.0,223.3334657698014
500,0.02,0.01,-0.05,-0.03,28,500.0,259.12410747446273
500,0.01,-0.019999999999999997,0.0,-0.019999999999999997,25,489.0,256.6305436257705
500,-0.04,-0.05,0.0,-0.05,25,463.0,250.3984871396552
500,0.04,0.02,0.03,-0.009999999999999995,16,406.0,234.90661174269007
500,0.0,-0.03,0.04,0.04,45,265.0,182.9860109677653
