Temperature,Cart Position,Cart Velocity,Pole Angle,Pole Angular Velocity,Simulations,Return,Discounted Return
500,-0.019999999999999997,-0.009999999999999995,-0.05,0.04,57,500.0,259.12410747446273
500,-0.03,0.03,0.0,-0.009999999999999995,99,500.0,259.12410747446273
500,0.04,-0.009999999999999995,0.04,0.05,70,484.0,255.46957398214522
500,0.01,0.04,0.02,0.02,4,500.0,259.12410747446273
500,-0.04,0.03,0.01,-0.05,75,500.0,259.12410747446273
500,-0.05,-0.019999999999999997,-0.019999999999999997,-0.009999999999999995,92,500.0,259.12410747446273
500,-0.019999999999999997,-0.019999999999999997,-0.019999999999999997,-0.04,79,500.0,259.12410747446273
500,-0.019999999999999997,0.04,0.04,0.01,37,277.0,188.3100953271938
500,0.03,0.01,-0.009999999999999995,0.04,57,500.0,259.12410747446273
500,0.0,-0.04,0.02,-0.04,28,500.0,259.12410747446273
500,-0.03,0.05,0.05,0.05,75,500.0,259.12410747446273
500,-0.05,-0.04,0.04,-0.03,97,403.0,234.0154295101008
500,-0.03,-0.04,0.01,-0.019999999999999997,78,500.0,259.12410747446273
500,-0.04,0.01,0.01,-0.05,40,500.0,259.12410747446273
500,0.05,-0.05,0.01,0.05,46,500.0,259.12410747446273
500,-0.009999999999999995,0.02,0.05,0.01,59,500.0,259.12410747446273
500,-0.03,0.05,0.04,-0.019999999999999997,18,278.0,188.74516504121223
500,0.04,-0.04,-0.03,0.04,41,500.0,259.12410747446273
500,-0.019999999999999997,0.05,0.01,0.03,24,437.0,243.6600797346983
500,0.01,-0.04,0.05,-0.019999999999999997,78,500.0,259.12410747446273
500,0.04,0.03,0.05,-0.009999999999999995,6,145.0,117.71946046381106
500,-0.009999999999999995,0.01,0.04,-0.03,74,500.0,259.12410747446273
500,0.05,-0.04,0.04,0.0,44,500.0,259.12410747446273
500,0.02,0.05,0.05,0.03,26,341.0,213.67919336719174
500,-0.05,-0.009999999999999995,-0.009999999999999995,0.01,90,500.0,259.12410747446273
500,-0.03,0.04,0.0,0.01,1,28.0,26.89493904498859
500,-0.03,0.0,-0.05,0.01,50,392.0,230.6781687903556
500,-0.04,0.02,-0.04,0.0,84,500.0,259.12410747446273
500,-0.05,0.03,0.01,0.04,20,500.0,259.12410747446273
500,0.01,0.05,-0.03,0.04,69,500.0,259.12410747446273
500,0.04,0.03,0.0,0.01,60,500.0,259.12410747446273
500,0.02,-0.019999999999999997,-0.03,0.0,7,344.0,214.75285319576972
500,-0.03,-0.009999999999999995,0.05,-0.05,22,500.0,259.12410747446273
500,0.01,-0.009999999999999995,0.0,0.03,99,500.0,259.12410747446273
500,0.04,-0.009999999999999995,0.0,0.01,29,500.0,259.12410747446273
500,-0.03,-0.03,0.02,-0.04,3,321.0,206.26873635155093
500,-0.04,0.01,-0.019999999999999997,-0.03,63,500.0,259.12410747446273
500,0.0,-0.04,-0.03,-0.04,2,217.0,159.66201584163386
500,0.04,-0.009999999999999995,-0.05,0.03,92,500.0,259.12410747446273
500,0.01,0.0,-0.019999999999999997,0.03,76,500.0,259.12410747446273
500,-0.04,-0.009999999999999995,0.02,0.01,41,498.0,258.67684042545164
500,0.01,0.05,0.03,-0.019999999999999997,35,500.0,259.12410747446273
500,-0.009999999999999995,0.05,-0.04,0.04,46,500.0,259.12410747446273
500,-0.009999999999999995,0.02,0.01,-0.019999999999999997,55,500.0,259.12410747446273
500,0.03,0.04,0.0,-0.05,98,500.0,259.12410747446273
500,0.02,0.05,-0.009999999999999995,-0.03,28,500.0,259.12410747446273
500,-0.03,-0.03,-0.03,-0.019999999999999997,32,500.0,259.12410747446273
500,0.02,0.0,0.0,0.02,67,500.0,259.12410747446273
500,-0.019999999999999997,0.04,-0.009999999999999995,-0.05,66,500.0,259.12410747446273
500,-0.05,-0.04,0.02,-0.03,99,500.0,259.12410747446273
500,0.02,0.0,-0.04,0.04,72,500.0,259.12410747446273
500,-0.009999999999999995,0.02,-0.03,-0.05,82,500.0,259.12410747446273
500,0.0,-0.05,-0.009999999999999995,0.03,36,500.0,259.12410747446273
500,-0.019999999999999997,0.02,-0.03,-0.05,76,500.0,259.12410747446273
500,-0.019999999999999997,0.02,0.0,-0.03,4,386.0,228.81081773385506
500,0.02,0.04,-0.05,0.02,65,500.0,259.12410747446273
500,-0.019999999999999997,-0.009999999999999995,0.01,-0.019999999999999997,29,500.0,259.12410747446273
500,-0.04,-0.019999999999999997,-0.009999999999999995,0.05,34,482.0,255.00028066360085
500,-0.009999999999999995,0.0,-0.03,0.02,44,500.0,259.12410747446273
500,0.03,0.03,-0.019999999999999997,-0.009999999999999995,83,500.0,259.12410747446273
500,0.03,-0.03,0.02,0.03,76,500.0,259.12410747446273
500,-0.009999999999999995,-0.05,-0.009999999999999995,-0.03,61,500.0,259.12410747446273
500,-0.019999999999999997,0.02,-0.009999999999999995,0.03,98,500.0,259.12410747446273
500,0.03,-0.04,0.02,0.02,48,500.0,259.12410747446273
500,-0.05,-0.03,0.01,-0.009999999999999995,73,500.0,259.12410747446273
500,0.02,-0.03,0.03,0.02,51,500.0,259.12410747446273
500,0.02,-0.009999999999999995,0.04,0.0,25,500.0,259.12410747446273
500,0.04,0.03,0.02,-0.019999999999999997,6,224.0,163.27645325787586
500,0.01,0.05,-0.04,0.04,92,500.0,259.12410747446273
