Temperature,Cart Position,Cart Velocity,Pole Angle,Pole Angular Velocity,Simulations,Return,Discounted Return
500,-0.04,-0.009999999999999995,0.03,0.05,17,348.0,216.16942840857988
500,-0.05,0.01,0.01,-0.05,59,500.0,259.12410747446273
500,-0.009999999999999995,0.01,0.02,-0.05,92,500.0,259.12410747446273
500,0.01,0.0,-0.009999999999999995,-0.05,35,500.0,259.12410747446273
500,-0.05,-0.05,0.04,0.04,98,500.0,259.12410747446273
500,0.02,0.0,0.05,0.05,28,500.0,259.12410747446273
500,0.05,0.05,0.02,0.01,47,500.0,259.12410747446273
500,-0.019999999999999997,-0.04,-0.009999999999999995,0.05,22,500.0,259.12410747446273
500,0.01,0.01,-0.04,0.0,57,500.0,259.12410747446273
500,0.03,0.01,0.0,0.03,34,249.0,175.58195414455886
500,-0.009999999999999995,0.03,0.02,0.04,91,500.0,259.12410747446273
500,-0.019999999999999997,0.01,-0.019999999999999997,-0.04,39,500.0,259.12410747446273
500,0.0,0.01,-0.009999999999999995,-0.03,4,482.0,255.00028066360085
500,0.04,-0.04,0.03,-0.04,12,323.0,207.0299803520688
500,0.01,-0.03,-0.009999999999999995,0.03,42,500.0,259.12410747446273
500,0.0,0.03,0.04,-0.03,70,458.0,249.1431893962916
500,-0.009999999999999995,0.05,0.0,0.0,19,465.0,250.89534980320153
500,0.02,-0.009999999999999995,0.02,-0.009999999999999995,18,500.0,259.12410747446273
500,0.05,-0.04,0.01,0.05,41,500.0,259.12410747446273
500,0.03,0.05,0.0,-0.019999999999999997,40,500.0,259.12410747446273
500,0.01,-0.04,-0.03,0.04,96,500.0,259.12410747446273
500,0.05,-0.05,0.0,-0.03,24,500.0,259.12410747446273
500,-0.019999999999999997,0.02,-0.009999999999999995,-0.04,58,500.0,259.12410747446273
500,0.05,-0.03,-0.019999999999999997,-0.019999999999999997,21,500.0,259.12410747446273
500,-0.05,-0.019999999999999997,0.0,0.03,35,500.0,259.12410747446273
500,0.05,0.01,0.05,0.0,97,500.0,259.12410747446273
500,-0.009999999999999995,-0.019999999999999997,-0.04,0.05,1,11.0,10.836476127309975
500,0.05,-0.05,0.05,-0.05,100,500.0,259.12410747446273
500,-0.05,0.0,-0.009999999999999995,-0.03,36,500.0,259.12410747446273
500,0.03,-0.05,-0.03,0.01,13,500.0,259.12410747446273
500,0.0,-0.04,0.0,0.01,80,500.0,259.12410747446273
500,-0.009999999999999995,0.03,-0.04,0.01,96,500.0,259.12410747446273
500,0.04,-0.04,0.0,-0.04,65,411.0,236.37418069698248
500,0.01,-0.04,-0.03,0.03,57,500.0,259.12410747446273
500,0.0,-0.019999999999999997,-0.019999999999999997,-0.009999999999999995,21,500.0,259.12410747446273
500,0.03,-0.04,-0.04,-0.04,66,488.0,256.3997428543335
500,0.05,-0.05,0.0,0.04,68,474.0,253.0946515823549
500,-0.03,0.04,0.0,-0.05,89,500.0,259.12410747446273
500,0.05,0.0,0.0,-0.019999999999999997,23,500.0,259.12410747446273
500,-0.03,-0.04,0.04,-0.03,4,500.0,259.12410747446273
500,0.01,0.02,0.05,0.01,91,500.0,259.12410747446273
500,-0.019999999999999997,-0.03,0.01,-0.05,55,500.0,259.12410747446273
500,-0.04,-0.019999999999999997,0.03,-0.009999999999999995,51,500.0,259.12410747446273
500,0.04,-0.019999999999999997,0.04,0.0,47,500.0,259.12410747446273
500,-0.009999999999999995,-0.05,-0.019999999999999997,0.02,57,500.0,259.12410747446273
500,0.04,0.03,0.05,-0.05,50,404.0,234.3133832215705
500,-0.009999999999999995,-0.04,0.0,0.05,4,221.0,161.73671214282464
500,0.01,0.01,-0.04,0.05,9,442.0,244.9971321213365
500,-0.019999999999999997,0.05,0.04,-0.019999999999999997,86,500.0,259.12410747446273
500,0.01,-0.009999999999999995,-0.019999999999999997,0.03,98,500.0,259.12410747446273
500,-0.009999999999999995,0.04,0.04,0.01,24,500.0,259.12410747446273
500,-0.03,0.01,-0.009999999999999995,-0.04,79,500.0,259.12410747446273
500,0.05,-0.009999999999999995,0.03,0.04,12,368.0,223.0024731893695
500,-0.03,0.02,0.0,0.02,26,500.0,259.12410747446273
500,-0.04,0.0,0.03,-0.009999999999999995,61,500.0,259.12410747446273
500,-0.03,-0.009999999999999995,-0.019999999999999997,0.0,75,500.0,259.12410747446273
500,0.01,-0.04,0.02,0.05,91,500.0,259.12410747446273
500,0.04,0.02,0.03,-0.04,57,500.0,259.12410747446273
500,0.02,-0.05,0.05,0.03,46,423.0,239.8076885236098
500,0.01,-0.04,0.01,-0.05,80,500.0,259.12410747446273
500,0.01,-0.009999999999999995,-0.05,0.0,47,500.0,259.12410747446273
500,0.0,-0.04,-0.019999999999999997,0.03,92,500.0,259.12410747446273
500,0.05,0.01,0.03,-0.009999999999999995,71,500.0,259.12410747446273
500,0.04,0.0,0.02,-0.009999999999999995,70,500.0,259.12410747446273
500,-0.04,-0.04,0.04,-0.04,10,292.0,194.70085975883944
500,-0.019999999999999997,0.05,0.0,-0.03,64,500.0,259.12410747446273
500,-0.05,-0.05,0.01,0.01,34,500.0,259.12410747446273
500,0.01,0.04,0.0,0.02,13,374.0,224.97359345061471
500,-0.03,0.02,0.02,0.01,56,500.0,259.12410747446273
500,0.0,-0.03,-0.019999999999999997,-0.009999999999999995,59,500.0,259.12410747446273
500,0.04,-0.05,0.04,-0.019999999999999997,81,410.0,236.08242798092525
500,0.03,0.04,-0.05,-0.03,2,433.0,242.57588141968438
500,0.0,0.04,0.03,0.03,17,500.0,259.12410747446273
500,0.05,-0.019999999999999997,-0.03,0.02,40,447.0,246.314248696427
500,0.01,-0.05,0.05,-0.019999999999999997,74,500.0,259.12410747446273
500,0.03,-0.04,0.04,-0.009999999999999995,90,500.0,259.12410747446273
500,-0.019999999999999997,-0.009999999999999995,-0.04,-0.019999999999999997,80,500.0,259.12410747446273
500,-0.04,-0.04,-0.05,0.02,32,500.0,259.12410747446273
500,-0.03,0.01,-0.05,0.04,91,500.0,259.12410747446273
500,0.04,-0.019999999999999997,0.03,-0.019999999999999997,89,500.0,259.12410747446273
500,-0.019999999999999997,-0.019999999999999997,-0.04,0.04,77,359.0,219.97835998467835
500,0.05,0.04,-0.009999999999999995,0.03,2,284.0,191.32831056989795
500,0.04,-0.05,0.0,-0.05,29,500.0,259.12410747446273
500,0.02,0.01,-0.03,0.01,77,500.0,259.12410747446273
500,0.03,0.01,0.03,-0.04,39,500.0,259.12410747446273
500,-0.04,0.0,-0.05,-0.019999999999999997,5,367.0,222.6704846432994
500,-0.019999999999999997,0.03,0.04,0.01,91,500.0,259.12410747446273
500,0.05,-0.05,-0.03,-0.03,34,500.0,259.12410747446273
500,-0.03,0.03,0.04,-0.009999999999999995,2,298.0,197.17760359254706
500,0.03,-0.04,0.02,-0.04,30,500.0,259.12410747446273
500,-0.05,0.02,0.03,0.02,13,402.0,233.71657924784432
