Temperature,Cart Position,Cart Velocity,Pole Angle,Pole Angular Velocity,Simulations,Return,Discounted Return
500,0.04,-0.019999999999999997,0.02,0.03,42,500.0,259.12410747446273
500,0.0,-0.03,0.0,-0.019999999999999997,43,500.0,259.12410747446273
500,-0.05,-0.04,-0.009999999999999995,0.05,26,350.0,216.87135736298407
500,0.0,0.04,-0.03,0.01,88,500.0,259.12410747446273
500,-0.009999999999999995,-0.03,0.05,-0.009999999999999995,59,500.0,259.12410747446273
500,0.0,-0.05,0.0,0.05,26,499.0,258.9008099041753
500,-0.04,-0.03,0.02,0.03,30,500.0,259.12410747446273
500,-0.009999999999999995,0.04,-0.05,-0.05,34,454.0,248.12528485358516
500,-0.019999999999999997,-0.009999999999999995,-0.009999999999999995,0.04,45,500.0,259.12410747446273
500,-0.009999999999999995,-0.05,-0.05,0.02,20,500.0,259.12410747446273
500,-0.05,-0.04,0.02,0.03,37,500.0,259.12410747446273
500,0.04,0.03,-0.04,-0.009999999999999995,86,500.0,259.12410747446273
500,0.02,0.03,-0.05,-0.03,88,500.0,259.12410747446273
500,0.02,-0.04,-0.03,0.05,86,500.0,259.12410747446273
500,-0.009999999999999995,0.04,-0.019999999999999997,-0.03,24,342.0,214.03815578709018
500,0.01,-0.04,0.03,0.05,65,500.0,259.12410747446273
500,0.02,0.02,0.02,0.01,56,500.0,259.12410747446273
500,-0.019999999999999997,0.01,0.03,-0.05,86,500.0,259.12410747446273
500,-0.04,-0.05,0.02,0.0,52,500.0,259.12410747446273
500,-0.05,0.04,-0.019999999999999997,-0.009999999999999995,57,500.0,259.12410747446273
500,0.0,0.03,-0.05,0.02,39,500.0,259.12410747446273
500,0.0,-0.04,0.03,0.04,66,500.0,259.12410747446273
500,0.0,-0.04,-0.04,0.01,60,500.0,259.12410747446273
500,-0.019999999999999997,0.01,-0.04,0.03,54,500.0,259.12410747446273
500,0.04,0.02,-0.019999999999999997,0.03,98,500.0,259.12410747446273
500,-0.009999999999999995,0.05,-0.009999999999999995,0.05,68,500.0,259.12410747446273
500,0.0,0.05,0.05,-0.03,75,500.0,259.12410747446273
500,0.04,0.02,0.01,-0.05,95,500.0,259.12410747446273
500,-0.019999999999999997,0.03,-0.05,-0.009999999999999995,51,500.0,259.12410747446273
500,-0.03,0.01,0.04,-0.03,49,322.0,206.6499301424963
500,-0.019999999999999997,0.05,0.04,0.04,56,500.0,259.12410747446273
500,0.02,0.03,-0.019999999999999997,0.05,90,500.0,259.12410747446273
500,-0.03,0.04,0.04,-0.019999999999999997,57,500.0,259.12410747446273
500,0.03,0.0,0.05,-0.03,68,410.0,236.08242798092525
500,-0.009999999999999995,-0.03,-0.009999999999999995,-0.04,17,500.0,259.12410747446273
500,-0.019999999999999997,-0.009999999999999995,0.02,-0.05,43,468.0,251.63506805524293
500,-0.05,0.03,0.03,0.03,4,199.0,150.0110536187962
500,-0.009999999999999995,-0.04,-0.05,-0.05,68,500.0,259.12410747446273
500,0.03,0.01,0.05,-0.03,11,500.0,259.12410747446273
500,-0.009999999999999995,-0.04,0.04,-0.05,41,463.0,250.3984871396552
500,-0.05,0.01,0.0,-0.019999999999999997,57,482.0,255.00028066360085
500,-0.009999999999999995,-0.05,-0.03,-0.009999999999999995,44,500.0,259.12410747446273
500,0.02,0.04,-0.03,-0.04,87,500.0,259.12410747446273
500,-0.03,-0.05,0.03,-0.03,36,500.0,259.12410747446273
500,0.0,-0.019999999999999997,0.05,0.02,80,500.0,259.12410747446273
500,0.0,-0.03,0.01,-0.019999999999999997,9,500.0,259.12410747446273
500,-0.03,0.0,-0.019999999999999997,0.05,11,222.0,162.25150200639618
500,0.0,0.04,0.05,0.04,55,305.0,200.01126876603976
500,-0.05,0.05,0.0,0.03,22,358.0,219.6372718000786
500,-0.03,-0.009999999999999995,0.05,-0.04,5,323.0,207.0299803520688
500,0.02,-0.019999999999999997,-0.019999999999999997,0.03,85,500.0,259.12410747446273
500,0.05,-0.04,0.0,-0.03,42,500.0,259.12410747446273
500,0.05,-0.019999999999999997,-0.04,-0.009999999999999995,39,500.0,259.12410747446273
500,-0.03,0.02,-0.04,0.0,87,500.0,259.12410747446273
500,-0.019999999999999997,0.0,0.03,0.04,46,470.0,252.12452236252395
500,-0.009999999999999995,-0.009999999999999995,-0.05,-0.009999999999999995,88,366.0,222.3374971347035
500,-0.04,-0.009999999999999995,-0.05,-0.019999999999999997,74,500.0,259.12410747446273
500,-0.05,-0.03,0.03,0.01,49,500.0,259.12410747446273
500,-0.03,-0.009999999999999995,0.04,0.0,39,335.0,211.5026220697302
500,-0.04,0.04,-0.04,-0.04,62,500.0,259.12410747446273
500,-0.03,-0.05,-0.03,0.04,62,500.0,259.12410747446273
500,-0.03,0.05,0.0,-0.04,9,500.0,259.12410747446273
500,0.05,0.04,0.04,0.05,68,500.0,259.12410747446273
500,-0.04,0.03,0.03,0.03,78,500.0,259.12410747446273
500,0.05,-0.019999999999999997,0.0,0.04,66,500.0,259.12410747446273
500,-0.009999999999999995,-0.05,0.04,0.04,18,500.0,259.12410747446273
500,-0.03,0.04,-0.05,0.04,26,500.0,259.12410747446273
500,0.0,0.04,-0.04,0.0,9,283.0,190.90101361073013
500,0.01,0.0,-0.05,0.02,62,500.0,259.12410747446273
500,0.03,-0.04,0.0,-0.03,17,500.0,259.12410747446273
500,0.04,0.0,0.02,-0.05,37,473.0,252.85321121600293
500,0.03,-0.019999999999999997,0.02,-0.009999999999999995,95,500.0,259.12410747446273
500,-0.009999999999999995,0.03,0.02,0.03,52,500.0,259.12410747446273
500,0.03,0.03,-0.05,-0.03,68,500.0,259.12410747446273
500,-0.05,0.01,0.05,-0.05,95,500.0,259.12410747446273
500,0.01,0.04,0.02,-0.04,38,500.0,259.12410747446273
