Temperature,Simulations,Return
1,5,336.0
1,16,185.0
1,2,155.0
1,16,270.0
1,3,230.0
1,14,276.0
1,12,472.0
1,8,500.0
1,3,195.0
1,10,289.0
1,9,255.0
1,16,304.0
1,11,500.0
1,6,485.0
1,1,9.0
1,10,481.0
1,11,500.0
1,12,500.0
1,7,374.0
1,7,500.0
1,12,186.0
1,3,500.0
1,2,392.0
1,16,452.0
1,5,237.0
1,5,190.0
1,11,176.0
1,12,414.0
1,2,82.0
1,8,500.0
1,1,9.0
1,7,477.0
1,8,216.0
1,1,9.0
1,15,494.0
1,10,390.0
1,15,500.0
1,9,500.0
1,13,257.0
1,5,302.0
1,12,407.0
1,7,325.0
1,14,303.0
1,1,9.0
1,16,172.0
1,16,225.0
1,16,239.0
1,1,10.0
1,5,233.0
1,2,179.0
1,6,500.0
1,4,500.0
1,1,10.0
1,2,361.0
1,12,202.0
1,13,221.0
1,2,243.0
1,6,266.0
1,8,263.0
1,1,9.0
1,5,376.0
1,6,245.0
1,6,201.0
1,8,294.0
1,9,302.0
1,8,449.0
1,10,476.0
1,7,314.0
1,8,296.0
1,4,500.0
1,15,500.0
1,6,221.0
1,7,268.0
1,12,365.0
1,3,189.0
1,2,119.0
1,16,500.0
1,5,500.0
1,14,402.0
1,14,243.0
1,14,449.0
1,9,378.0
1,5,245.0
1,5,495.0
1,13,276.0
1,13,434.0
1,4,186.0
1,2,137.0
1,4,209.0
1,6,500.0
1,11,247.0
1,6,495.0
1,3,167.0
1,10,324.0
1,14,462.0
1,10,500.0
1,12,223.0
1,8,184.0
1,6,287.0
1,11,305.0
