Temperature,Simulations,Return
1,3,225.0
1,8,177.0
1,6,364.0
1,16,370.0
1,9,361.0
1,13,221.0
1,6,375.0
1,15,236.0
1,7,234.0
1,14,500.0
1,8,305.0
1,9,364.0
1,11,215.0
1,8,500.0
1,11,500.0
1,6,195.0
1,1,10.0
1,16,500.0
1,12,399.0
1,4,436.0
1,11,363.0
1,3,214.0
1,7,325.0
1,12,500.0
1,2,500.0
1,12,383.0
1,8,298.0
1,14,342.0
1,6,256.0
1,4,464.0
1,3,500.0
1,12,500.0
1,1,10.0
1,8,445.0
1,15,280.0
1,13,208.0
1,10,337.0
1,7,345.0
1,14,277.0
1,13,289.0
1,2,207.0
1,13,249.0
1,12,245.0
1,15,187.0
1,4,250.0
1,5,500.0
1,10,264.0
1,6,250.0
1,7,186.0
1,5,500.0
1,16,263.0
1,6,500.0
1,10,212.0
1,2,318.0
1,10,191.0
1,7,356.0
1,1,10.0
1,8,355.0
1,6,143.0
1,8,246.0
1,6,244.0
1,4,405.0
1,16,434.0
1,2,267.0
1,9,192.0
1,10,220.0
1,11,500.0
1,2,221.0
1,8,262.0
1,4,181.0
1,2,282.0
1,14,500.0
1,4,369.0
1,14,271.0
1,9,390.0
1,11,500.0
1,8,265.0
1,2,188.0
1,1,9.0
1,11,265.0
1,13,356.0
1,14,324.0
1,14,181.0
1,15,477.0
1,10,500.0
1,8,205.0
1,9,384.0
1,7,229.0
1,13,366.0
1,3,422.0
1,11,279.0
1,12,215.0
1,14,286.0
1,6,232.0
1,6,210.0
1,6,286.0
1,7,500.0
1,4,434.0
1,15,458.0
1,2,221.0
1,16,251.0
1,10,415.0
1,5,145.0
1,15,389.0
1,4,445.0
1,3,87.0
1,13,355.0
1,1,10.0
1,5,259.0
1,15,255.0
1,16,275.0
1,4,500.0
1,2,215.0
1,12,205.0
1,4,384.0
1,11,246.0
1,6,347.0
1,3,280.0
1,13,205.0
1,5,171.0
1,11,347.0
1,11,283.0
1,16,216.0
1,8,500.0
1,8,500.0
1,6,213.0
1,12,500.0
1,2,166.0
1,12,384.0
1,15,265.0
1,7,372.0
1,2,291.0
1,3,333.0
1,13,223.0
1,13,440.0
1,5,209.0
1,15,210.0
1,16,233.0
1,15,500.0
1,6,342.0
1,6,278.0
1,14,436.0
1,12,500.0
1,9,438.0
1,14,211.0
1,7,500.0
1,13,211.0
1,13,423.0
1,6,240.0
1,14,161.0
1,3,500.0
1,11,500.0
1,10,500.0
1,16,171.0
1,5,500.0
1,5,238.0
1,5,209.0
1,9,218.0
1,13,195.0
1,10,266.0
1,8,387.0
1,1,9.0
1,3,500.0
1,4,192.0
1,11,222.0
1,12,349.0
1,11,500.0
1,8,240.0
1,9,257.0
1,13,243.0
1,2,383.0
1,6,380.0
1,6,348.0
1,13,286.0
1,11,356.0
1,16,500.0
1,13,193.0
1,10,500.0
1,11,413.0
1,1,10.0
1,5,158.0
1,8,500.0
1,6,434.0
1,10,500.0
1,13,500.0
1,11,479.0
1,13,463.0
1,6,178.0
1,2,49.0
1,16,459.0
1,11,500.0
1,6,219.0
1,10,311.0
1,8,499.0
1,9,500.0
1,12,258.0
1,5,188.0
1,11,295.0
1,2,177.0
1,11,353.0
1,14,257.0
1,9,500.0
1,15,306.0
1,11,239.0
1,12,500.0
1,3,181.0
1,4,233.0
1,5,354.0
1,7,238.0
1,2,221.0
1,13,197.0
1,10,482.0
1,15,464.0
1,7,345.0
1,8,500.0
1,3,191.0
1,1,10.0
1,8,229.0
1,4,314.0
1,4,174.0
1,1,8.0
1,6,267.0
1,1,11.0
1,6,417.0
1,2,228.0
1,8,184.0
1,2,155.0
1,2,151.0
1,14,263.0
1,16,266.0
1,9,186.0
1,15,308.0
1,14,241.0
1,2,379.0
1,12,299.0
1,7,442.0
1,2,148.0
1,4,233.0
1,5,211.0
1,6,404.0
1,10,500.0
1,9,401.0
1,7,500.0
1,11,244.0
1,5,421.0
1,16,500.0
1,16,202.0
1,6,280.0
1,11,205.0
1,1,8.0
1,7,369.0
1,5,191.0
1,9,259.0
1,2,308.0
1,15,500.0
1,14,500.0
1,2,190.0
1,14,357.0
1,13,500.0
1,12,177.0
1,8,394.0
1,12,210.0
1,15,269.0
1,7,500.0
1,15,500.0
1,16,215.0
1,11,500.0
1,1,9.0
1,4,282.0
1,2,216.0
1,2,216.0
1,4,396.0
1,7,235.0
1,4,260.0
1,13,500.0
1,11,307.0
1,13,210.0
1,9,263.0
1,6,411.0
1,3,265.0
1,3,221.0
1,9,372.0
1,15,286.0
1,1,8.0
1,12,233.0
1,8,500.0
1,10,500.0
1,11,167.0
1,16,360.0
1,11,289.0
1,11,415.0
1,6,468.0
1,3,244.0
1,1,8.0
1,8,367.0
1,3,157.0
1,14,254.0
1,11,305.0
1,9,500.0
1,6,276.0
1,7,283.0
1,8,261.0
1,1,10.0
1,13,326.0
1,2,9.0
1,1,9.0
1,9,500.0
1,14,258.0
1,11,272.0
1,16,174.0
1,5,272.0
1,11,386.0
1,6,197.0
1,16,150.0
1,7,206.0
1,12,240.0
1,12,203.0
1,1,9.0
1,12,272.0
1,2,24.0
1,14,184.0
1,9,161.0
1,16,282.0
1,4,454.0
1,1,10.0
1,5,190.0
1,5,229.0
1,4,166.0
1,15,400.0
1,15,472.0
1,4,192.0
1,16,203.0
1,9,152.0
1,14,295.0
1,13,431.0
1,13,336.0
1,7,345.0
1,10,213.0
1,12,482.0
1,9,500.0
1,11,315.0
1,9,500.0
1,1,9.0
1,12,439.0
1,15,359.0
1,14,245.0
1,16,500.0
1,8,500.0
1,2,205.0
1,15,255.0
1,3,165.0
1,3,500.0
1,4,500.0
1,15,336.0
1,12,257.0
1,11,500.0
1,5,316.0
1,6,403.0
1,15,500.0
1,12,299.0
1,13,472.0
1,3,376.0
1,7,500.0
1,3,81.0
1,11,305.0
1,1,9.0
1,16,230.0
1,4,458.0
1,16,297.0
1,8,362.0
1,3,390.0
1,7,500.0
1,16,292.0
1,5,500.0
1,6,256.0
1,3,239.0
1,16,500.0
1,1,10.0
1,15,446.0
1,8,256.0
1,14,500.0
1,8,299.0
1,11,303.0
1,11,500.0
1,15,319.0
1,3,386.0
1,13,500.0
1,5,500.0
1,4,427.0
1,4,267.0
1,13,215.0
1,4,241.0
1,11,458.0
1,7,237.0
1,14,334.0
1,9,279.0
1,4,500.0
1,3,224.0
1,1,9.0
1,14,273.0
1,16,326.0
1,7,365.0
1,10,388.0
1,9,375.0
1,11,212.0
1,6,239.0
1,8,226.0
1,12,240.0
1,14,170.0
1,5,274.0
1,15,192.0
1,11,500.0
1,6,500.0
1,3,300.0
1,14,231.0
1,10,446.0
1,14,276.0
1,11,349.0
1,2,429.0
1,2,421.0
1,14,405.0
1,12,500.0
1,5,260.0
1,5,252.0
1,1,10.0
1,13,256.0
1,16,500.0
1,8,500.0
1,7,194.0
1,16,292.0
1,4,266.0
1,7,315.0
1,10,350.0
1,5,267.0
1,13,500.0
1,8,249.0
1,12,306.0
1,11,500.0
1,3,500.0
1,4,364.0
1,14,292.0
1,12,274.0
1,10,412.0
1,10,437.0
1,1,10.0
1,15,333.0
1,3,220.0
1,4,156.0
1,13,328.0
1,15,232.0
1,15,258.0
1,9,152.0
1,12,262.0
1,1,9.0
1,11,201.0
1,5,500.0
1,8,500.0
1,9,284.0
1,16,271.0
1,5,500.0
1,15,389.0
1,11,225.0
1,4,500.0
1,4,500.0
1,3,500.0
1,9,329.0
1,9,481.0
1,9,315.0
1,7,224.0
1,2,200.0
1,12,282.0
1,12,494.0
