Temperature,Simulations,Return
1,52,1.0
1,92,1.0
1,91,1.0
1,81,1.0
1,58,1.0
1,35,1.0
1,70,1.0
1,87,1.0
1,49,1.0
1,79,1.0
1,42,1.0
1,82,1.0
1,35,1.0
1,47,1.0
1,4,0.0
1,29,1.0
1,25,1.0
1,78,1.0
1,93,1.0
1,43,1.0
1,96,1.0
1,25,1.0
1,18,0.0
1,53,1.0
1,38,0.0
1,91,1.0
1,17,0.0
1,79,1.0
1,100,1.0
1,91,1.0
1,63,1.0
1,53,1.0
1,66,1.0
1,32,1.0
1,91,1.0
1,85,1.0
1,6,0.0
1,51,1.0
1,46,1.0
1,90,1.0
1,88,1.0
1,91,1.0
1,11,1.0
1,78,1.0
1,22,1.0
1,93,1.0
1,82,1.0
1,36,1.0
1,3,0.0
1,55,1.0
1,38,1.0
1,56,1.0
1,3,0.0
1,60,1.0
1,27,1.0
1,100,1.0
1,28,1.0
1,62,1.0
1,20,0.0
1,10,0.0
1,5,0.0
1,78,1.0
1,12,0.0
1,70,1.0
1,52,1.0
1,6,0.0
1,57,1.0
1,12,0.0
1,29,1.0
1,77,1.0
1,66,1.0
1,2,0.0
1,37,1.0
1,73,1.0
1,3,0.0
1,33,1.0
1,51,1.0
1,35,1.0
1,47,1.0
1,9,0.0
1,67,1.0
1,87,1.0
1,49,1.0
1,49,1.0
1,89,1.0
1,81,1.0
1,94,1.0
1,31,1.0
1,4,0.0
1,93,1.0
1,41,1.0
1,45,1.0
1,99,1.0
1,4,0.0
1,79,1.0
1,34,1.0
1,89,1.0
1,51,1.0
1,39,1.0
1,30,1.0
