Temperature,Simulations,Return
1,12,370.0
1,48,216.0
1,44,427.0
1,31,500.0
1,37,222.0
1,91,279.0
1,33,500.0
1,96,500.0
1,48,310.0
1,5,500.0
1,86,500.0
1,30,500.0
1,70,277.0
1,64,500.0
1,86,277.0
1,67,276.0
1,89,333.0
1,77,221.0
1,44,500.0
1,34,192.0
1,10,325.0
1,89,260.0
1,46,272.0
1,8,171.0
1,52,267.0
1,59,420.0
1,4,374.0
1,46,297.0
1,6,500.0
1,60,500.0
1,31,297.0
1,92,483.0
1,76,413.0
1,24,336.0
1,94,302.0
1,44,294.0
1,10,271.0
1,23,437.0
1,60,303.0
1,18,268.0
1,91,312.0
1,3,146.0
1,42,474.0
1,49,500.0
1,96,298.0
1,53,244.0
1,69,491.0
1,93,326.0
1,19,412.0
1,27,500.0
1,4,195.0
1,7,196.0
1,94,302.0
1,61,500.0
1,12,500.0
1,48,341.0
1,91,324.0
1,26,288.0
1,57,285.0
1,35,477.0
1,68,426.0
1,53,348.0
1,26,208.0
1,12,395.0
1,37,308.0
1,65,500.0
1,60,273.0
1,39,424.0
1,54,241.0
1,21,183.0
1,30,285.0
1,35,214.0
1,63,500.0
1,70,500.0
1,13,500.0
1,65,380.0
1,71,239.0
1,15,302.0
1,48,197.0
1,3,299.0
1,4,500.0
1,36,183.0
1,71,393.0
1,77,279.0
1,89,192.0
1,38,266.0
1,21,248.0
1,28,239.0
1,49,432.0
1,42,500.0
1,94,214.0
1,12,219.0
1,71,204.0
1,43,473.0
1,20,413.0
1,95,297.0
1,61,285.0
1,84,215.0
1,92,274.0
1,87,423.0
1,43,500.0
1,49,299.0
1,73,301.0
1,37,428.0
1,7,438.0
1,70,210.0
1,11,242.0
1,96,500.0
1,50,311.0
1,28,500.0
1,4,343.0
1,9,339.0
1,2,57.0
1,96,230.0
1,22,238.0
1,72,437.0
1,11,319.0
1,68,263.0
1,16,500.0
1,5,209.0
1,50,455.0
1,2,161.0
1,4,444.0
1,95,500.0
1,55,457.0
1,5,422.0
1,54,326.0
1,36,500.0
1,67,256.0
1,45,500.0
1,99,500.0
1,31,397.0
1,52,372.0
1,89,235.0
1,92,310.0
1,83,410.0
1,32,500.0
1,66,500.0
1,31,328.0
1,47,209.0
1,29,279.0
1,52,500.0
1,60,483.0
1,72,500.0
1,13,330.0
1,32,182.0
1,46,500.0
1,33,191.0
1,92,286.0
1,99,195.0
1,73,500.0
1,86,500.0
1,93,239.0
1,96,409.0
1,62,500.0
1,29,344.0
1,89,186.0
1,47,159.0
1,12,500.0
1,75,500.0
1,22,309.0
1,54,163.0
1,14,208.0
1,38,500.0
1,28,311.0
1,97,384.0
1,9,310.0
1,69,300.0
1,58,500.0
1,93,313.0
1,56,186.0
1,71,295.0
1,3,133.0
1,80,177.0
1,87,500.0
1,38,500.0
1,77,500.0
1,98,500.0
1,12,265.0
1,97,243.0
1,19,238.0
1,40,500.0
1,53,437.0
1,78,500.0
1,8,450.0
1,69,261.0
1,3,158.0
1,88,208.0
1,49,500.0
1,64,500.0
1,72,197.0
1,77,429.0
1,41,349.0
1,58,415.0
1,68,500.0
1,29,415.0
1,63,500.0
1,61,201.0
1,56,231.0
1,12,188.0
1,88,403.0
1,11,347.0
1,65,500.0
1,5,418.0
1,76,500.0
1,83,360.0
1,56,350.0
1,10,230.0
1,66,500.0
1,44,391.0
1,59,308.0
1,90,241.0
1,68,311.0
1,24,244.0
1,100,360.0
1,81,486.0
1,59,211.0
1,83,201.0
1,65,270.0
1,24,429.0
1,2,232.0
1,11,236.0
1,55,303.0
1,21,304.0
1,93,277.0
1,18,337.0
1,16,500.0
1,22,500.0
1,93,500.0
1,42,260.0
1,7,332.0
1,84,369.0
1,95,275.0
1,66,135.0
1,21,284.0
1,71,223.0
1,59,272.0
1,85,500.0
1,92,333.0
1,16,275.0
1,29,373.0
1,5,199.0
1,71,266.0
1,75,351.0
1,58,474.0
1,43,296.0
1,6,500.0
1,9,257.0
1,80,365.0
1,10,224.0
1,99,415.0
1,19,381.0
1,84,306.0
1,84,230.0
1,21,306.0
1,5,500.0
1,74,293.0
1,6,500.0
1,16,237.0
1,4,204.0
1,73,195.0
1,20,260.0
1,55,500.0
1,45,192.0
1,46,194.0
1,73,403.0
1,97,287.0
1,62,190.0
1,70,500.0
1,76,500.0
1,40,364.0
1,87,500.0
1,48,195.0
1,11,301.0
1,41,452.0
1,79,194.0
1,94,228.0
1,36,226.0
1,34,500.0
1,56,500.0
1,3,499.0
1,79,336.0
1,2,289.0
1,98,325.0
1,23,393.0
1,74,288.0
1,83,407.0
1,6,242.0
1,16,391.0
1,9,365.0
1,26,325.0
1,26,296.0
1,46,333.0
1,95,317.0
1,95,218.0
1,46,500.0
1,53,297.0
1,56,270.0
1,43,227.0
1,26,245.0
1,38,500.0
1,33,500.0
1,67,331.0
1,14,239.0
1,15,440.0
1,53,226.0
1,76,204.0
1,6,165.0
1,35,459.0
1,40,463.0
1,33,315.0
1,4,500.0
1,1,10.0
1,59,411.0
1,77,500.0
1,50,225.0
1,90,403.0
1,96,216.0
1,87,495.0
1,6,481.0
1,17,500.0
1,30,499.0
1,5,500.0
1,58,500.0
1,77,500.0
1,79,500.0
1,76,186.0
1,13,500.0
