Temperature,Simulations,Return
500,98,286.0
500,71,500.0
500,67,500.0
500,64,500.0
500,14,500.0
500,5,500.0
500,14,491.0
500,94,342.0
500,26,354.0
500,56,444.0
500,6,195.0
500,27,351.0
500,61,500.0
500,20,269.0
500,16,229.0
500,74,500.0
500,14,406.0
500,100,464.0
500,17,343.0
500,23,365.0
500,67,500.0
500,34,500.0
500,84,344.0
500,90,270.0
500,92,296.0
500,9,184.0
500,15,500.0
500,49,500.0
500,49,252.0
500,76,357.0
500,33,483.0
500,91,388.0
500,76,500.0
500,67,500.0
500,51,384.0
500,31,500.0
500,60,500.0
500,83,314.0
500,71,500.0
500,18,405.0
500,60,500.0
500,94,292.0
500,93,355.0
500,4,179.0
500,35,272.0
500,53,362.0
500,37,490.0
500,97,333.0
500,1,9.0
500,35,500.0
500,93,323.0
500,55,499.0
500,31,348.0
500,31,500.0
500,62,500.0
500,79,500.0
500,7,286.0
500,1,9.0
500,45,244.0
500,94,272.0
500,58,500.0
500,93,362.0
500,35,345.0
500,89,350.0
500,77,500.0
500,64,500.0
500,85,474.0
500,83,399.0
500,94,245.0
500,34,440.0
500,19,359.0
500,32,288.0
500,90,294.0
500,57,500.0
500,3,428.0
500,71,339.0
500,41,281.0
500,35,259.0
500,74,414.0
500,11,247.0
500,45,322.0
500,43,249.0
500,58,500.0
500,40,263.0
500,59,500.0
500,72,391.0
500,95,257.0
500,24,228.0
500,2,443.0
500,6,500.0
500,52,291.0
500,100,428.0
500,54,445.0
500,8,195.0
500,86,380.0
500,66,500.0
500,78,348.0
500,67,500.0
500,52,350.0
500,54,357.0
500,42,500.0
500,97,239.0
500,47,309.0
500,4,177.0
500,7,282.0
500,73,303.0
500,76,407.0
500,65,500.0
500,48,278.0
500,61,500.0
500,62,500.0
500,90,345.0
500,95,241.0
500,74,500.0
500,97,391.0
500,45,288.0
500,58,500.0
500,98,296.0
500,75,457.0
500,8,260.0
500,39,353.0
500,95,337.0
500,67,500.0
500,67,500.0
500,59,500.0
500,79,484.0
500,87,340.0
500,40,370.0
500,68,500.0
500,49,310.0
500,35,500.0
500,83,500.0
500,37,333.0
500,25,251.0
500,47,375.0
500,6,500.0
500,52,329.0
500,59,500.0
500,57,500.0
500,31,404.0
500,23,284.0
500,51,500.0
500,78,297.0
500,38,500.0
500,95,306.0
500,67,373.0
500,14,288.0
500,82,500.0
500,10,196.0
500,12,302.0
500,46,332.0
500,40,500.0
500,4,266.0
500,2,394.0
500,40,445.0
500,61,500.0
500,67,500.0
500,72,386.0
500,10,231.0
500,68,500.0
500,42,305.0
500,96,253.0
500,75,418.0
500,20,293.0
500,12,397.0
500,27,369.0
500,66,500.0
500,49,382.0
500,60,500.0
500,64,316.0
500,63,457.0
500,26,239.0
500,69,304.0
500,90,422.0
500,96,279.0
500,92,259.0
500,59,500.0
500,99,310.0
500,70,398.0
500,69,500.0
500,78,379.0
500,82,340.0
500,52,349.0
500,13,236.0
500,79,326.0
500,60,500.0
500,72,500.0
500,42,304.0
500,28,364.0
500,63,500.0
500,11,200.0
500,28,500.0
500,64,421.0
500,97,392.0
500,13,500.0
500,26,291.0
500,51,315.0
500,79,459.0
500,64,420.0
500,13,289.0
500,27,500.0
500,29,500.0
500,48,314.0
