Temperature,Simulations,Initial State,Return,Discounted Return
1,95,14,1.0,1.0
1,98,8,1.0,0.991026973
1,54,1,1.0,0.9674905716180701
1,98,8,1.0,0.991026973
1,99,9,1.0,0.994009
1,93,3,1.0,0.9445131481500655
1,9,9,1.0,0.988053892081
1,1,1,0.0,0.0
1,84,10,1.0,0.997
1,87,6,1.0,0.994009
1,25,4,1.0,0.8152123778407558
1,65,9,1.0,0.994009
1,32,8,1.0,0.9445131481500655
1,55,14,1.0,1.0
1,7,13,1.0,0.997
1,42,10,1.0,0.997
1,37,8,1.0,0.9821344612135428
1,65,1,1.0,0.9645880999032158
1,71,3,1.0,0.988053892081
1,34,9,1.0,0.994009
1,31,9,1.0,0.994009
1,80,3,1.0,0.985089730404757
1,35,8,1.0,0.9559328248389055
1,86,4,1.0,0.9704017769489168
1,72,3,1.0,0.9674905716180701
1,56,9,1.0,0.994009
1,74,4,1.0,0.988053892081
1,53,1,1.0,0.9704017769489168
1,87,3,1.0,0.988053892081
1,45,9,1.0,0.994009
1,67,14,1.0,1.0
1,95,4,1.0,0.988053892081
1,85,14,1.0,1.0
1,100,9,1.0,0.994009
1,46,10,1.0,0.997
1,87,14,1.0,1.0
1,76,13,1.0,0.997
1,40,10,1.0,0.997
1,95,2,1.0,0.9502058312852957
1,78,8,1.0,0.991026973
1,5,14,1.0,1.0
1,71,2,1.0,0.991026973
1,46,13,1.0,0.997
1,61,13,1.0,0.997
1,60,13,1.0,0.997
1,43,2,1.0,0.93603800616986
1,84,3,1.0,0.988053892081
1,37,8,1.0,0.9276389118674717
1,38,10,1.0,0.997
1,28,2,1.0,0.8761671489944468
1,21,4,1.0,0.9473552137914398
1,17,2,1.0,0.9821344612135428
1,94,1,1.0,0.9821344612135428
1,47,0,1.0,0.9762504936564125
1,54,14,1.0,1.0
1,18,6,1.0,0.994009
1,11,10,1.0,0.997
1,4,0,0.0,0.0
1,28,13,1.0,0.997
1,16,4,1.0,0.9388545698794984
1,8,9,1.0,0.994009
1,98,2,1.0,0.991026973
1,17,2,1.0,0.9304302024748964
1,17,9,1.0,0.994009
1,23,4,1.0,0.9193151828650342
1,68,2,1.0,0.985089730404757
1,82,13,1.0,0.997
1,51,9,1.0,0.994009
1,93,6,1.0,0.994009
1,22,0,1.0,0.9220814271464737
1,12,13,1.0,0.997
1,85,13,1.0,0.997
1,54,1,1.0,0.9645880999032158
1,99,10,1.0,0.997
1,37,4,1.0,0.9138075656044898
1,67,10,1.0,0.997
1,52,8,1.0,0.991026973
1,50,9,1.0,0.994009
1,23,14,1.0,1.0
1,18,13,1.0,0.997
1,27,8,1.0,0.988053892081
1,100,14,1.0,1.0
1,33,0,1.0,0.8947894553945313
1,32,2,1.0,0.9762504936564125
1,15,2,1.0,0.7722956964947572
1,25,0,1.0,0.90289112180858
1,65,2,1.0,0.9530650263643888
1,91,2,1.0,0.9821344612135428
1,79,4,1.0,0.9733217421754432
1,72,13,1.0,0.997
1,17,2,1.0,0.9502058312852957
1,28,4,1.0,0.9193151828650342
1,34,8,1.0,0.991026973
1,69,13,1.0,0.997
1,36,2,1.0,0.9645880999032158
1,35,8,1.0,0.991026973
1,41,3,1.0,0.9704017769489168
1,26,4,1.0,0.9473552137914398
1,44,2,1.0,0.991026973
1,8,2,1.0,0.8761671489944468
1,51,6,1.0,0.994009
1,61,2,1.0,0.985089730404757
1,13,1,1.0,0.9001824484431542
1,47,10,1.0,0.997
1,33,3,1.0,0.9588092525966956
1,42,8,1.0,0.8250687380258053
1,69,13,1.0,0.997
1,76,13,1.0,0.997
1,75,8,1.0,0.991026973
1,66,14,1.0,1.0
1,41,4,1.0,0.8921050870283477
1,27,13,1.0,0.997
1,63,9,1.0,0.994009
1,64,4,1.0,0.9645880999032158
1,82,9,1.0,0.994009
1,64,13,1.0,0.997
1,2,3,0.0,0.0
1,55,0,1.0,0.9674905716180701
1,23,4,1.0,0.9733217421754432
1,6,13,1.0,0.997
1,94,6,1.0,0.994009
1,25,0,1.0,0.8788035596734672
1,8,6,0.0,0.0
1,29,9,1.0,0.994009
1,82,3,1.0,0.988053892081
1,5,1,0.0,0.0
1,49,0,1.0,0.9248559951318693
1,38,14,1.0,1.0
1,22,2,1.0,0.991026973
1,90,2,1.0,0.988053892081
1,66,4,1.0,0.988053892081
1,59,0,1.0,0.9559328248389055
1,9,13,0.0,0.0
1,60,8,1.0,0.991026973
1,50,14,1.0,1.0
1,75,1,1.0,0.985089730404757
1,55,4,1.0,0.9821344612135428
1,5,1,0.0,0.0
1,3,2,0.0,0.0
1,10,2,1.0,0.9704017769489168
1,21,10,1.0,0.997
1,61,6,1.0,0.994009
1,97,3,1.0,0.9674905716180701
1,71,13,1.0,0.997
1,6,2,0.0,0.0
1,31,10,1.0,0.997
1,84,10,1.0,0.997
1,10,3,0.0,0.0
1,77,6,1.0,0.994009
1,9,14,1.0,1.0
1,75,4,1.0,0.9645880999032158
1,76,6,1.0,0.994009
1,38,14,1.0,1.0
1,99,14,1.0,1.0
1,99,14,1.0,1.0
1,83,9,1.0,0.994009
1,42,14,1.0,1.0
1,88,10,1.0,0.997
1,46,1,1.0,0.9645880999032158
1,82,1,1.0,0.9502058312852957
1,15,10,1.0,0.997
1,52,8,1.0,0.991026973
1,18,4,1.0,0.857932408958235
1,21,9,1.0,0.994009
1,25,10,1.0,0.997
1,21,1,1.0,0.8476834558136123
1,1,6,0.0,0.0
1,50,2,1.0,0.9791880578299021
1,62,4,1.0,0.9110661429076764
1,54,4,1.0,0.985089730404757
1,21,3,1.0,0.9502058312852957
1,70,1,1.0,0.9733217421754432
1,9,8,0.0,0.0
1,68,1,1.0,0.9645880999032158
1,79,8,1.0,0.991026973
1,100,14,1.0,1.0
1,68,0,1.0,0.9762504936564125
1,81,3,1.0,0.93603800616986
1,55,10,1.0,0.997
1,21,3,0.0,0.0
1,91,4,1.0,0.9110661429076764
1,67,13,1.0,0.997
1,61,3,1.0,0.985089730404757
1,7,1,0.0,0.0
1,12,10,1.0,0.997
1,60,6,1.0,0.994009
1,58,2,1.0,0.9762504936564125
1,90,14,1.0,1.0
1,60,6,1.0,0.994009
1,46,13,1.0,0.997
1,62,4,1.0,0.988053892081
1,93,8,1.0,0.991026973
1,98,3,1.0,0.988053892081
1,30,1,1.0,0.9704017769489168
1,75,2,1.0,0.988053892081
1,87,8,1.0,0.991026973
1,62,1,1.0,0.9588092525966956
1,30,4,1.0,0.9616943356035061
1,67,10,1.0,0.997
1,98,13,1.0,0.997
1,74,14,1.0,1.0
1,22,2,1.0,0.9193151828650342
1,74,3,1.0,0.9645880999032158
1,88,14,1.0,1.0
1,84,6,1.0,0.994009
1,68,13,1.0,0.997
1,100,4,1.0,0.988053892081
1,61,14,1.0,1.0
1,56,6,1.0,0.994009
1,86,10,1.0,0.997
1,4,8,0.0,0.0
1,83,9,1.0,0.994009
1,12,13,1.0,0.997
1,47,9,1.0,0.994009
1,48,9,1.0,0.9791880578299021
1,84,10,1.0,0.997
1,5,1,0.0,0.0
1,88,9,1.0,0.994009
1,92,13,1.0,0.997
1,3,6,0.0,0.0
1,45,0,1.0,0.8709180316048211
1,40,0,1.0,0.9791880578299021
1,95,4,1.0,0.9821344612135428
1,96,6,1.0,0.994009
1,97,14,1.0,1.0
1,87,6,1.0,0.994009
1,13,14,1.0,1.0
1,34,10,1.0,0.997
1,82,10,1.0,0.997
