Temperature,Simulations,Return
500,15,209.0
500,8,259.0
500,5,270.0
500,3,355.0
500,13,500.0
500,1,8.0
500,2,51.0
500,4,154.0
500,5,199.0
500,11,194.0
500,3,242.0
500,12,420.0
500,16,273.0
500,10,221.0
500,14,220.0
500,8,209.0
500,8,309.0
500,5,283.0
500,9,324.0
500,8,500.0
500,1,9.0
500,16,500.0
500,5,317.0
500,6,500.0
500,1,10.0
500,10,225.0
500,10,149.0
500,6,436.0
500,13,458.0
500,2,243.0
500,4,360.0
500,4,161.0
500,1,9.0
500,7,500.0
500,8,215.0
500,16,226.0
500,8,500.0
500,15,500.0
500,13,459.0
500,13,319.0
500,2,500.0
500,4,221.0
500,15,500.0
500,3,208.0
500,7,428.0
500,10,226.0
500,16,500.0
500,2,238.0
500,1,9.0
500,4,161.0
500,16,500.0
500,2,416.0
500,16,389.0
500,1,11.0
500,1,10.0
500,9,202.0
500,9,500.0
500,1,8.0
500,2,14.0
500,2,376.0
500,7,347.0
500,2,165.0
500,12,500.0
500,13,206.0
500,12,500.0
500,1,10.0
500,14,500.0
500,6,286.0
500,4,148.0
500,9,209.0
500,6,500.0
500,10,183.0
500,4,384.0
500,11,209.0
500,15,374.0
500,10,220.0
500,7,180.0
500,16,444.0
500,6,184.0
500,15,340.0
500,2,444.0
500,15,241.0
500,9,218.0
500,3,425.0
500,11,200.0
500,11,307.0
500,8,243.0
500,4,153.0
500,10,421.0
500,2,205.0
500,9,233.0
500,10,308.0
500,2,440.0
500,15,500.0
500,13,500.0
500,15,322.0
500,6,238.0
500,6,500.0
500,1,9.0
500,7,330.0
500,9,288.0
500,16,310.0
500,2,259.0
500,16,500.0
500,16,445.0
500,11,240.0
500,11,225.0
500,2,167.0
500,9,147.0
500,12,241.0
500,2,286.0
500,8,284.0
500,5,500.0
500,9,202.0
500,12,297.0
500,8,274.0
500,4,255.0
500,3,152.0
500,12,265.0
500,1,10.0
500,8,248.0
500,10,206.0
500,15,221.0
500,6,237.0
500,4,136.0
500,11,290.0
500,3,193.0
500,15,331.0
500,10,210.0
500,11,172.0
500,7,174.0
500,7,468.0
500,11,247.0
500,8,301.0
500,12,189.0
500,10,364.0
500,3,443.0
500,9,295.0
500,5,184.0
500,3,236.0
500,4,186.0
500,7,243.0
500,16,401.0
500,11,310.0
500,7,262.0
