Temperature,Simulations,Return
500,47,327.0
500,39,230.0
500,34,500.0
500,11,440.0
500,40,308.0
500,85,492.0
500,43,331.0
500,7,475.0
500,78,500.0
500,78,500.0
500,60,500.0
500,81,250.0
500,46,260.0
500,68,500.0
500,25,500.0
500,85,338.0
500,26,500.0
500,73,419.0
500,4,269.0
500,50,363.0
500,55,500.0
500,81,500.0
500,59,500.0
500,24,457.0
500,20,500.0
500,99,256.0
500,91,373.0
500,35,355.0
500,60,477.0
500,85,363.0
500,20,334.0
500,97,292.0
500,71,500.0
500,12,294.0
500,94,365.0
500,74,407.0
500,90,284.0
500,42,316.0
500,46,306.0
500,78,328.0
500,41,286.0
500,89,252.0
500,50,418.0
500,50,320.0
500,28,500.0
500,76,500.0
500,91,311.0
500,46,286.0
500,72,411.0
500,98,302.0
500,78,500.0
500,15,378.0
500,35,307.0
500,50,228.0
500,71,500.0
500,67,500.0
500,94,346.0
500,83,386.0
500,64,297.0
500,17,289.0
500,82,500.0
500,92,367.0
500,44,493.0
500,85,500.0
500,88,383.0
500,98,305.0
500,27,500.0
500,4,147.0
500,55,482.0
500,12,404.0
500,98,346.0
500,53,500.0
500,56,420.0
500,63,500.0
500,32,354.0
500,41,282.0
500,59,500.0
500,78,327.0
500,19,454.0
500,1,8.0
500,94,349.0
500,28,443.0
500,74,500.0
500,12,195.0
500,79,419.0
500,57,415.0
500,92,315.0
500,50,410.0
500,7,500.0
500,70,500.0
500,99,315.0
500,33,314.0
500,67,500.0
500,24,351.0
500,71,500.0
500,60,500.0
500,21,286.0
500,90,376.0
500,88,344.0
500,73,328.0
