Temperature,Map,Simulations,Initial State,Return,Discounted Return
1,"['SFHH', 'HFHH', 'HFFF', 'HHHG']",43,5,1.0,0.991026973
1,"['SHFF', 'FFFF', 'HFHF', 'FHHG']",19,2,1.0,0.985089730404757
1,"['SFFF', 'HHFF', 'HHHF', 'HHHG']",21,7,1.0,0.997
1,"['SFHH', 'FFHH', 'HFHH', 'HFFG']",71,14,1.0,1.0
1,"['SFHF', 'FHHH', 'FFFH', 'HFFG']",1,3,0.0,0.0
1,"['SFFH', 'HHFF', 'HFFH', 'HFFG']",83,9,1.0,0.994009
1,"['SFFF', 'HFHF', 'FFHF', 'FFHG']",17,2,1.0,0.9762504936564125
1,"['SFFF', 'FHFF', 'HHFH', 'HHFG']",34,2,1.0,0.9445131481500655
1,"['SFFF', 'FFFF', 'FFHF', 'HHFG']",32,5,1.0,0.991026973
1,"['SFHH', 'FFHH', 'HFHF', 'HFFG']",100,1,1.0,0.9473552137914398
1,"['SFHF', 'HFFH', 'HFFF', 'HHHG']",26,5,0.0,0.0
1,"['SHFH', 'FHHH', 'FFFF', 'HHFG']",81,8,1.0,0.991026973
1,"['SFHH', 'HFFH', 'HHFH', 'FFFG']",59,1,1.0,0.988053892081
1,"['SHHF', 'FFFF', 'HHHF', 'HFHG']",20,5,0.0,0.0
1,"['SFHF', 'FHHF', 'FFFF', 'HFHG']",79,1,1.0,0.8152123778407558
1,"['SFFF', 'HHFH', 'HFFF', 'FHHG']",53,3,1.0,0.9791880578299021
1,"['SFFF', 'FFFF', 'HFFF', 'HHFG']",49,14,1.0,1.0
1,"['SHFH', 'FHHH', 'FFFH', 'FFFG']",46,4,1.0,0.9821344612135428
1,"['SFFF', 'HFHF', 'HHFF', 'HFFG']",31,3,1.0,0.994009
1,"['SFHH', 'FFHH', 'HFFH', 'HHFG']",4,1,0.0,0.0
1,"['SFHF', 'FHFF', 'FHHF', 'FFFG']",4,0,0.0,0.0
1,"['SFFF', 'HHFH', 'FFFF', 'HFFG']",83,2,1.0,0.991026973
