Temperature,Simulations,Initial State,Return,Discounted Return
1,84,0,1.0,0.9821344612135428
1,84,4,1.0,0.985089730404757
1,71,6,1.0,0.994009
1,12,2,1.0,0.8225935318117279
1,30,2,1.0,0.857932408958235
1,44,4,1.0,0.9791880578299021
1,51,13,1.0,0.997
1,46,2,1.0,0.9733217421754432
1,7,8,1.0,0.776950406379376
1,75,13,1.0,0.997
1,96,0,1.0,0.9704017769489168
1,41,14,1.0,1.0
1,71,9,1.0,0.994009
1,52,2,1.0,0.988053892081
1,93,1,1.0,0.9704017769489168
1,58,13,1.0,0.997
1,80,2,1.0,0.991026973
1,4,2,0.0,0.0
1,49,4,1.0,0.9473552137914398
1,79,4,1.0,0.988053892081
1,56,4,1.0,0.9821344612135428
1,78,3,1.0,0.985089730404757
1,2,4,0.0,0.0
1,34,8,1.0,0.9056079456455165
1,63,2,1.0,0.9588092525966956
1,72,8,1.0,0.991026973
1,24,8,1.0,0.991026973
1,15,8,0.0,0.0
1,40,3,1.0,0.9616943356035061
1,14,6,1.0,0.8631032605924442
1,82,9,1.0,0.994009
1,54,10,1.0,0.997
1,85,0,1.0,0.9733217421754432
1,24,10,1.0,0.997
1,45,0,1.0,0.9502058312852957
1,26,0,1.0,0.9276389118674717
1,53,10,1.0,0.997
1,80,6,1.0,0.994009
1,52,14,1.0,1.0
1,27,4,1.0,0.9388545698794984
1,45,1,1.0,0.985089730404757
1,11,4,1.0,0.8867604854519608
1,11,13,1.0,0.997
1,97,3,1.0,0.9762504936564125
1,81,1,1.0,0.9791880578299021
1,90,9,1.0,0.994009
1,99,6,1.0,0.994009
1,68,6,1.0,0.994009
1,30,0,1.0,0.8631032605924442
1,14,13,1.0,0.985089730404757
1,37,6,1.0,0.985089730404757
1,89,2,1.0,0.985089730404757
1,46,3,1.0,0.9791880578299021
1,34,3,1.0,0.9674905716180701
1,72,13,1.0,0.997
1,100,3,1.0,0.985089730404757
1,62,10,1.0,0.997
1,8,3,0.0,0.0
1,28,6,1.0,0.9304302024748964
1,54,3,1.0,0.9616943356035061
1,62,4,1.0,0.9733217421754432
1,95,3,1.0,0.9821344612135428
1,91,10,1.0,0.997
1,72,1,1.0,0.9616943356035061
1,99,8,1.0,0.991026973
1,88,9,1.0,0.994009
1,15,1,1.0,0.8400771692771434
1,45,2,1.0,0.991026973
