Temperature,Simulations,Initial State,Return,Discounted Return
1,66,13,1.0,0.997
1,1,9,0.0,0.0
1,63,1,1.0,0.9791880578299021
1,28,3,1.0,0.9445131481500655
1,35,9,1.0,0.994009
1,69,8,1.0,0.991026973
1,27,14,1.0,1.0
1,36,2,1.0,0.991026973
1,55,1,1.0,0.9704017769489168
1,31,13,1.0,0.997
1,92,1,1.0,0.988053892081
1,37,3,1.0,0.9821344612135428
1,38,6,1.0,0.8451404054461714
1,29,13,1.0,0.997
1,78,9,1.0,0.994009
1,31,9,1.0,0.994009
1,33,2,1.0,0.9704017769489168
1,37,4,1.0,0.9791880578299021
1,99,3,1.0,0.9674905716180701
1,74,4,1.0,0.9674905716180701
1,67,3,1.0,0.9762504936564125
1,27,8,1.0,0.991026973
1,54,14,1.0,1.0
1,79,14,1.0,1.0
1,15,0,1.0,0.8502341582884777
1,4,13,0.0,0.0
1,33,2,1.0,0.9645880999032158
1,27,13,1.0,0.997
1,26,10,1.0,0.997
1,97,0,1.0,0.9559328248389055
1,46,13,1.0,0.997
1,42,14,1.0,1.0
1,47,6,1.0,0.994009
1,1,6,0.0,0.0
1,22,1,1.0,0.9616943356035061
1,13,10,1.0,0.997
1,67,8,1.0,0.9616943356035061
1,35,10,1.0,0.997
1,78,10,1.0,0.997
1,73,14,1.0,1.0
1,28,0,1.0,0.9056079456455165
1,32,10,1.0,0.997
1,29,6,1.0,0.9416796087056153
1,42,1,1.0,0.9821344612135428
1,93,1,1.0,0.9645880999032158
1,38,14,1.0,1.0
1,43,2,1.0,0.9704017769489168
1,90,13,1.0,0.997
1,97,4,1.0,0.9791880578299021
1,28,4,1.0,0.9473552137914398
1,5,6,0.0,0.0
1,2,14,0.0,0.0
1,66,9,1.0,0.994009
1,66,2,1.0,0.9645880999032158
1,37,0,1.0,0.9220814271464737
1,43,1,1.0,0.8894287717672626
1,88,14,1.0,1.0
1,63,14,1.0,1.0
1,52,3,1.0,0.9821344612135428
1,80,0,1.0,0.9762504936564125
1,31,10,1.0,0.997
1,16,14,1.0,1.0
1,1,0,0.0,0.0
1,22,2,1.0,0.9530650263643888
1,67,2,1.0,0.991026973
1,56,0,1.0,0.8947894553945313
1,13,9,0.0,0.0
1,63,4,1.0,0.9733217421754432
1,96,0,1.0,0.9733217421754432
1,9,0,0.0,0.0
1,70,13,1.0,0.997
1,98,0,1.0,0.9821344612135428
1,71,9,1.0,0.994009
1,95,10,1.0,0.997
1,48,1,1.0,0.9791880578299021
1,23,13,1.0,0.997
1,70,1,1.0,0.988053892081
1,97,3,1.0,0.985089730404757
1,73,14,1.0,1.0
1,20,14,1.0,1.0
1,69,8,1.0,0.991026973
1,18,2,1.0,0.9821344612135428
1,64,1,1.0,0.988053892081
1,8,4,0.0,0.0
1,39,0,1.0,0.9821344612135428
1,62,9,1.0,0.994009
1,100,3,1.0,0.985089730404757
1,50,2,1.0,0.9821344612135428
1,73,2,1.0,0.985089730404757
1,31,2,1.0,0.8921050870283477
1,59,6,1.0,0.988053892081
1,32,6,1.0,0.994009
1,95,6,1.0,0.994009
1,47,1,1.0,0.9762504936564125
1,35,9,1.0,0.994009
1,42,9,1.0,0.994009
1,42,8,1.0,0.9056079456455165
1,10,0,0.0,0.0
1,40,0,1.0,0.9674905716180701
1,18,14,1.0,1.0
1,69,10,1.0,0.997
1,100,0,1.0,0.9616943356035061
1,21,0,1.0,0.7449472384453084
1,35,14,1.0,1.0
1,19,6,1.0,0.994009
1,76,6,1.0,0.994009
1,16,0,1.0,0.835044266956004
1,49,0,1.0,0.9588092525966956
1,45,0,0.0,0.0
1,13,4,0.0,0.0
1,32,3,1.0,0.9530650263643888
1,53,2,1.0,0.991026973
1,46,1,1.0,0.9502058312852957
1,73,0,1.0,0.9502058312852957
1,4,13,0.0,0.0
1,58,2,1.0,0.991026973
1,76,3,1.0,0.9502058312852957
1,63,8,1.0,0.991026973
1,33,13,1.0,0.997
1,13,0,0.0,0.0
1,14,13,1.0,0.997
1,63,1,1.0,0.9791880578299021
1,24,14,1.0,1.0
1,57,8,1.0,0.985089730404757
1,5,2,0.0,0.0
1,80,4,1.0,0.988053892081
1,17,10,1.0,0.997
1,28,3,1.0,0.93603800616986
1,10,10,1.0,0.997
1,31,2,1.0,0.9616943356035061
1,44,10,1.0,0.997
1,67,8,1.0,0.9791880578299021
1,60,1,1.0,0.985089730404757
1,20,13,1.0,0.997
1,96,4,1.0,0.988053892081
1,71,2,1.0,0.991026973
1,34,14,1.0,1.0
1,70,2,1.0,0.9762504936564125
1,51,10,1.0,0.997
1,80,4,1.0,0.9733217421754432
1,69,4,1.0,0.9821344612135428
1,18,2,1.0,0.9674905716180701
1,31,1,1.0,0.8502341582884777
1,8,9,1.0,0.994009
1,17,14,1.0,1.0
1,1,10,0.0,0.0
1,46,1,1.0,0.9588092525966956
1,3,2,0.0,0.0
1,21,8,1.0,0.991026973
1,83,2,1.0,0.991026973
1,83,9,1.0,0.994009
1,4,9,0.0,0.0
1,25,10,1.0,0.997
1,27,1,1.0,0.9276389118674717
1,84,4,1.0,0.988053892081
1,92,3,1.0,0.988053892081
1,58,2,1.0,0.9588092525966956
1,38,0,1.0,0.9220814271464737
1,61,0,1.0,0.9674905716180701
1,56,8,1.0,0.991026973
1,79,6,1.0,0.994009
1,24,0,0.0,0.0
1,58,10,1.0,0.997
1,73,3,1.0,0.9821344612135428
1,64,0,1.0,0.9304302024748964
1,77,10,1.0,0.997
1,15,8,1.0,0.798246224976786
1,51,14,1.0,1.0
1,48,6,1.0,0.994009
1,20,6,1.0,0.9083329444789534
1,77,8,1.0,0.991026973
1,52,1,1.0,0.985089730404757
1,3,3,0.0,0.0
1,12,1,0.0,0.0
1,47,9,1.0,0.994009
1,25,6,1.0,0.994009
1,81,9,1.0,0.994009
1,40,2,1.0,0.9388545698794984
1,14,14,1.0,1.0
1,53,8,1.0,0.991026973
1,24,13,1.0,0.997
1,80,4,1.0,0.985089730404757
1,86,13,1.0,0.997
1,53,6,1.0,0.994009
1,20,0,1.0,0.9733217421754432
1,10,3,0.0,0.0
1,64,3,1.0,0.9762504936564125
1,74,6,1.0,0.994009
1,93,2,1.0,0.988053892081
1,40,9,1.0,0.994009
1,55,9,1.0,0.994009
1,5,8,0.0,0.0
1,13,4,1.0,0.7516921927868743
1,82,10,1.0,0.997
1,35,9,1.0,0.994009
1,68,9,1.0,0.994009
1,41,0,1.0,0.8947894553945313
1,54,6,1.0,0.994009
1,56,8,1.0,0.991026973
1,10,3,0.0,0.0
1,17,10,1.0,0.997
1,44,2,1.0,0.991026973
1,69,9,1.0,0.994009
1,30,1,1.0,0.857932408958235
1,62,3,1.0,0.9674905716180701
1,31,8,1.0,0.857932408958235
1,48,6,1.0,0.994009
1,47,6,1.0,0.994009
1,47,1,1.0,0.9588092525966956
1,92,0,1.0,0.9791880578299021
1,24,8,1.0,0.9502058312852957
1,46,9,1.0,0.994009
1,64,3,1.0,0.985089730404757
1,32,4,1.0,0.9704017769489168
1,4,8,0.0,0.0
1,62,3,1.0,0.9332298921513504
1,58,10,1.0,0.997
1,69,1,1.0,0.9276389118674717
1,8,8,1.0,0.8527925358961662
1,39,6,1.0,0.994009
1,2,10,0.0,0.0
1,4,13,1.0,0.997
1,72,10,1.0,0.997
1,49,10,1.0,0.997
1,78,2,1.0,0.9733217421754432
1,80,8,1.0,0.991026973
1,10,1,0.0,0.0
1,64,13,1.0,0.997
1,48,8,1.0,0.985089730404757
1,82,6,1.0,0.994009
1,39,10,1.0,0.997
1,55,9,1.0,0.994009
1,18,1,1.0,0.7699788094052729
1,93,9,1.0,0.994009
1,24,2,1.0,0.9416796087056153
1,24,0,1.0,0.9588092525966956
1,55,4,1.0,0.9445131481500655
1,66,10,1.0,0.997
1,49,9,1.0,0.994009
1,17,10,1.0,0.997
1,79,0,1.0,0.9138075656044898
1,25,14,1.0,1.0
1,79,0,1.0,0.9733217421754432
1,76,9,1.0,0.994009
1,2,6,0.0,0.0
1,52,6,1.0,0.994009
1,4,1,0.0,0.0
1,54,14,1.0,1.0
1,84,2,1.0,0.991026973
1,30,8,1.0,0.991026973
1,94,13,1.0,0.997
1,85,4,1.0,0.7863441585589971
1,55,9,1.0,0.994009
1,59,14,1.0,1.0
1,14,1,0.0,0.0
1,30,2,1.0,0.9332298921513504
1,34,13,1.0,0.997
1,96,4,1.0,0.9762504936564125
1,7,13,1.0,0.997
1,69,2,1.0,0.985089730404757
1,82,9,1.0,0.994009
1,21,9,0.0,0.0
1,91,8,1.0,0.9821344612135428
1,25,2,1.0,0.9645880999032158
1,5,9,0.0,0.0
1,56,14,1.0,1.0
1,93,6,1.0,0.994009
1,9,3,1.0,0.8657003616774767
1,68,3,1.0,0.9733217421754432
1,23,3,1.0,0.9001824484431542
1,57,13,1.0,0.997
1,65,1,1.0,0.9791880578299021
1,18,9,0.0,0.0
1,90,8,1.0,0.985089730404757
1,37,13,1.0,0.997
1,68,0,1.0,0.985089730404757
1,34,10,1.0,0.997
1,69,1,1.0,0.9821344612135428
1,81,3,1.0,0.988053892081
1,37,0,1.0,0.9674905716180701
1,64,1,1.0,0.988053892081
1,90,0,1.0,0.985089730404757
1,78,2,1.0,0.991026973
1,73,2,1.0,0.991026973
1,46,8,1.0,0.991026973
1,31,6,1.0,0.994009
1,13,3,1.0,0.9056079456455165
1,29,4,1.0,0.988053892081
1,73,14,1.0,1.0
1,47,1,1.0,0.9276389118674717
1,14,8,1.0,0.991026973
1,15,0,0.0,0.0
1,88,3,1.0,0.9733217421754432
1,16,1,1.0,0.857932408958235
1,7,2,1.0,0.991026973
1,27,14,1.0,1.0
1,2,10,0.0,0.0
1,6,4,0.0,0.0
1,36,0,1.0,0.9473552137914398
1,89,13,1.0,0.997
1,7,0,1.0,0.8814479033836181
1,2,14,0.0,0.0
1,82,3,1.0,0.9821344612135428
1,20,3,0.0,0.0
1,13,0,1.0,0.93603800616986
1,6,9,0.0,0.0
1,82,0,1.0,0.985089730404757
1,30,13,1.0,0.997
1,87,9,1.0,0.994009
1,91,14,1.0,1.0
1,84,8,1.0,0.991026973
1,35,2,1.0,0.9821344612135428
1,12,3,1.0,0.8788035596734672
1,98,9,1.0,0.994009
1,13,14,1.0,1.0
1,18,3,1.0,0.8325391341551359
1,14,9,1.0,0.994009
1,52,14,1.0,1.0
1,68,1,1.0,0.9674905716180701
1,23,4,1.0,0.8761671489944468
1,30,4,1.0,0.9791880578299021
1,61,8,1.0,0.991026973
1,96,4,1.0,0.988053892081
1,7,10,0.0,0.0
1,99,0,1.0,0.9588092525966956
1,77,9,1.0,0.994009
1,10,0,0.0,0.0
1,31,10,1.0,0.997
1,18,3,1.0,0.9559328248389055
1,75,10,1.0,0.997
1,99,10,1.0,0.997
1,41,1,1.0,0.9502058312852957
1,4,3,0.0,0.0
1,79,2,1.0,0.988053892081
1,13,1,1.0,0.8201257512162927
1,9,6,0.0,0.0
1,5,6,0.0,0.0
1,39,4,1.0,0.8426049842298329
1,60,9,1.0,0.994009
1,50,4,1.0,0.9704017769489168
1,31,3,1.0,0.9473552137914398
1,4,14,1.0,1.0
1,94,3,1.0,0.9821344612135428
1,26,13,1.0,0.997
1,44,6,1.0,0.994009
1,94,9,1.0,0.994009
1,34,0,1.0,0.9083329444789534
1,40,0,1.0,0.8761671489944468
1,45,8,1.0,0.985089730404757
1,3,14,1.0,1.0
1,8,4,0.0,0.0
1,53,6,1.0,0.994009
1,18,1,0.0,0.0
1,87,1,1.0,0.9001824484431542
1,5,1,0.0,0.0
1,1,14,0.0,0.0
1,91,14,1.0,1.0
1,45,13,1.0,0.997
1,31,1,1.0,0.9559328248389055
1,93,13,1.0,0.997
1,40,4,1.0,0.988053892081
1,83,1,1.0,0.985089730404757
1,8,1,0.0,0.0
1,75,2,1.0,0.9248559951318693
1,21,8,1.0,0.9416796087056153
1,88,9,1.0,0.994009
1,4,1,1.0,0.8201257512162927
1,33,13,1.0,0.997
1,48,2,1.0,0.991026973
1,71,1,1.0,0.985089730404757
1,39,2,1.0,0.991026973
1,20,8,1.0,0.8325391341551359
1,54,3,1.0,0.988053892081
1,46,4,1.0,0.9530650263643888
1,21,0,0.0,0.0
1,84,3,1.0,0.985089730404757
1,9,1,1.0,0.78398512608332
1,28,14,1.0,1.0
1,16,9,0.0,0.0
1,37,3,1.0,0.988053892081
1,43,13,1.0,0.997
1,47,8,1.0,0.985089730404757
