Temperature,Simulations,Return,Discounted Return,Map
1,41,1.0,0.985089730404757,"['SFHH', 'HFHH', 'FFHH', 'HFFG']"
1,44,1.0,0.9762504936564125,"['SFHH', 'HFHH', 'FFHH', 'HFFG']"
1,45,1.0,0.8527925358961662,"['SFHH', 'HFHH', 'FFHH', 'HFFG']"
1,46,1.0,0.93603800616986,"['SFHH', 'HFHH', 'FFHH', 'HFFG']"
1,47,1.0,0.9445131481500655,"['SFHH', 'HFHH', 'FFHH', 'HFFG']"
1,48,1.0,0.9276389118674717,"['SFHH', 'HFHH', 'FFHH', 'HFFG']"
1,50,1.0,0.8761671489944468,"['SFHH', 'HFHH', 'FFHH', 'HFFG']"
1,52,1.0,0.985089730404757,"['SFHH', 'HFHH', 'FFHH', 'HFFG']"
1,54,1.0,0.9502058312852957,"['SFHH', 'HFHH', 'FFHH', 'HFFG']"
1,56,1.0,0.9559328248389055,"['SFHH', 'HFHH', 'FFHH', 'HFFG']"
1,59,1.0,0.9193151828650342,"['SFHH', 'HFHH', 'FFHH', 'HFFG']"
1,60,1.0,0.985089730404757,"['SFHH', 'HFHH', 'FFHH', 'HFFG']"
1,61,1.0,0.857932408958235,"['SFHH', 'HFHH', 'FFHH', 'HFFG']"
1,68,1.0,0.9416796087056153,"['SFHH', 'HFHH', 'FFHH', 'HFFG']"
1,76,1.0,0.9704017769489168,"['SFHH', 'HFHH', 'FFHH', 'HFFG']"
1,23,1.0,0.9674905716180701,"['SFHH', 'HFHH', 'HFFF', 'FFHG']"
1,29,1.0,0.9674905716180701,"['SFHH', 'HFHH', 'HFFF', 'FFHG']"
1,33,1.0,0.9821344612135428,"['SFHH', 'HFHH', 'HFFF', 'FFHG']"
1,37,1.0,0.860513950810667,"['SFHH', 'HFHH', 'HFFF', 'FFHG']"
1,38,1.0,0.7887102894272789,"['SFHH', 'HFHH', 'HFFF', 'FFHG']"
1,42,1.0,0.9473552137914398,"['SFHH', 'HFHH', 'HFFF', 'FFHG']"
1,43,1.0,0.9616943356035061,"['SFHH', 'HFHH', 'HFFF', 'FFHG']"
1,44,1.0,0.9502058312852957,"['SFHH', 'HFHH', 'HFFF', 'FFHG']"
1,47,1.0,0.9674905716180701,"['SFHH', 'HFHH', 'HFFF', 'FFHG']"
1,53,1.0,0.9588092525966956,"['SFHH', 'HFHH', 'HFFF', 'FFHG']"
1,58,1.0,0.9645880999032158,"['SFHH', 'HFHH', 'HFFF', 'FFHG']"
1,60,1.0,0.9616943356035061,"['SFHH', 'HFHH', 'HFFF', 'FFHG']"
1,92,1.0,0.9645880999032158,"['SFHH', 'HFHH', 'HFFF', 'FFHG']"
1,12,0.0,0.0,"['SFHH', 'HFHH', 'HFFF', 'FHFG']"
1,13,0.0,0.0,"['SFHH', 'HFHH', 'HFFF', 'FHFG']"
1,26,1.0,0.9138075656044898,"['SFHH', 'HFHH', 'HFFF', 'FHFG']"
1,32,1.0,0.8709180316048211,"['SFHH', 'HFHH', 'HFFF', 'FHFG']"
1,33,1.0,0.9445131481500655,"['SFHH', 'HFHH', 'HFFF', 'FHFG']"
1,37,1.0,0.9001824484431542,"['SFHH', 'HFHH', 'HFFF', 'FHFG']"
1,20,1.0,0.9001824484431542,"['SFHH', 'HFHH', 'HFFF', 'FHHG']"
1,21,1.0,0.8761671489944468,"['SFHH', 'HFHH', 'HFFF', 'FHHG']"
1,26,1.0,0.8553586117313603,"['SFHH', 'HFHH', 'HFFF', 'FHHG']"
1,29,1.0,0.767668872977057,"['SFHH', 'HFHH', 'HFFF', 'FHHG']"
1,30,1.0,0.79346393184295,"['SFHH', 'HFHH', 'HFFF', 'FHHG']"
1,31,1.0,0.8788035596734672,"['SFHH', 'HFHH', 'HFFF', 'FHHG']"
1,33,1.0,0.9165572373164391,"['SFHH', 'HFHH', 'HFFF', 'FHHG']"
1,35,1.0,0.9276389118674717,"['SFHH', 'HFHH', 'HFFF', 'FHHG']"
1,37,1.0,0.8894287717672626,"['SFHH', 'HFHH', 'HFFF', 'FHHG']"
