Temperature,Simulations,Return,Discounted Return,Map
1,88,0,1.0,0.9791880578299021,"['SHFH', 'FFFF', 'FFFH', 'FFFG']"
1,22,0,0.0,0.0,"['SFHF', 'FFHF', 'FHFF', 'FFFG']"
1,8,0,0.0,0.0,"['SFHF', 'HFFF', 'FHHF', 'FHHG']"
1,31,0,0.0,0.0,"['SHHH', 'FFHF', 'HFFF', 'HFHG']"
1,100,0,1.0,0.9821344612135428,"['SHFH', 'FHHF', 'FFFH', 'FFFG']"
1,29,0,0.0,0.0,"['SHFH', 'FHHH', 'FFHF', 'HFFG']"
1,80,0,1.0,0.9821344612135428,"['SFFH', 'FFFF', 'HFFH', 'FHFG']"
1,63,0,1.0,0.9110661429076764,"['SFFH', 'HFHH', 'FFFF', 'FFHG']"
1,17,0,1.0,0.9332298921513504,"['SFFH', 'FFFH', 'FHFH', 'FHFG']"
1,72,0,0.0,0.0,"['SFFH', 'FHHH', 'FFFF', 'FHHG']"
1,66,0,0.0,0.0,"['SHHH', 'FFFF', 'HFHF', 'HHHG']"
1,57,0,0.0,0.0,"['SFHF', 'HFFH', 'FHFF', 'FFHG']"
1,48,0,0.0,0.0,"['SHHF', 'FFHH', 'HFFF', 'FHFG']"
1,7,0,0.0,0.0,"['SFFH', 'FHHF', 'FFFH', 'HFFG']"
1,71,0,1.0,0.9762504936564125,"['SHHF', 'FFFF', 'FFFF', 'FHHG']"
1,60,0,1.0,0.9530650263643888,"['SFFH', 'FFFH', 'HFFF', 'FFHG']"
1,90,0,0.0,0.0,"['SHFF', 'FFHF', 'FFFF', 'FFHG']"
1,82,0,1.0,0.9791880578299021,"['SFFF', 'FHFF', 'FFHF', 'HHFG']"
1,86,0,0.0,0.0,"['SHFH', 'FFFF', 'HHFH', 'FHFG']"
1,30,0,1.0,0.985089730404757,"['SFFH', 'HFFH', 'HFFF', 'HFFG']"
1,11,0,1.0,0.9110661429076764,"['SFHF', 'HFFF', 'FFFH', 'HFFG']"
1,49,0,1.0,0.8867604854519608,"['SFHH', 'HFHH', 'HFFF', 'FFFG']"
1,62,0,0.0,0.0,"['SFHH', 'FHHH', 'FFFF', 'HFHG']"
1,87,0,1.0,0.9821344612135428,"['SHHH', 'FFFH', 'FFHF', 'FFFG']"
1,79,0,1.0,0.9559328248389055,"['SFFH', 'FHHH', 'FFFH', 'HFFG']"
1,52,0,0.0,0.0,"['SHFH', 'FFFF', 'FFHF', 'HHHG']"
1,93,0,1.0,0.9674905716180701,"['SFFH', 'FHFF', 'HHFF', 'HHHG']"
1,56,0,1.0,0.9645880999032158,"['SFFF', 'FHHF', 'FFFF', 'HFHG']"
1,31,0,1.0,0.9821344612135428,"['SHHH', 'FFHF', 'FFFH', 'HFFG']"
1,17,0,0.0,0.0,"['SHFF', 'FHFF', 'FFFF', 'HHHG']"
1,15,0,0.0,0.0,"['SFHH', 'HFHF', 'HFHF', 'HFFG']"
1,36,0,1.0,0.8735386475474635,"['SHHH', 'FHHF', 'FFHF', 'FFFG']"
1,39,0,0.0,0.0,"['SFHH', 'FFFF', 'FHFH', 'HHFG']"
1,64,0,1.0,0.9821344612135428,"['SFFF', 'FFFF', 'FFHH', 'HFFG']"
1,55,0,1.0,0.798246224976786,"['SFFF', 'HHFF', 'HFFH', 'HHFG']"
1,96,0,1.0,0.985089730404757,"['SFFH', 'FFFF', 'HFFF', 'FHHG']"
1,25,0,0.0,0.0,"['SFHH', 'FFFF', 'FHHF', 'FHHG']"
1,33,0,1.0,0.9821344612135428,"['SHFF', 'FFFF', 'HFFF', 'HHHG']"
1,54,0,1.0,0.9502058312852957,"['SFHF', 'FFFF', 'FHHF', 'FHHG']"
1,26,0,1.0,0.79346393184295,"['SHHF', 'FHFF', 'FFFF', 'HHFG']"
1,60,0,0.0,0.0,"['SHFH', 'FFFF', 'HHFH', 'FHFG']"
1,96,0,0.0,0.0,"['SHFF', 'FFHH', 'HFHH', 'HFFG']"
1,35,0,0.0,0.0,"['SHFF', 'FFFF', 'HFFH', 'HHFG']"
1,8,0,1.0,0.90289112180858,"['SHHH', 'FFHF', 'FFFH', 'FFFG']"
1,14,0,0.0,0.0,"['SFHH', 'FFHF', 'HFFH', 'FFFG']"
1,90,0,1.0,0.9704017769489168,"['SHHH', 'FHHF', 'FHFF', 'FFFG']"
1,66,0,1.0,0.9733217421754432,"['SFHF', 'HFHF', 'FFFF', 'FFFG']"
1,84,0,1.0,0.9530650263643888,"['SFFF', 'HHFF', 'HHFH', 'FHFG']"
1,60,0,1.0,0.9645880999032158,"['SFHF', 'HFFH', 'FFFF', 'HHFG']"
1,48,0,0.0,0.0,"['SFHH', 'FHHH', 'FFFF', 'HFHG']"
1,62,0,1.0,0.9762504936564125,"['SFFH', 'HHFF', 'FHFF', 'HFHG']"
1,25,0,1.0,0.8527925358961662,"['SFHF', 'FFFF', 'FHHH', 'FFFG']"
1,28,0,1.0,0.9762504936564125,"['SFHF', 'HFFH', 'HFFF', 'HFFG']"
1,61,0,1.0,0.9821344612135428,"['SFFH', 'FFFF', 'FHFF', 'FHHG']"
1,76,0,1.0,0.9645880999032158,"['SFFF', 'FFFF', 'FHHF', 'FHFG']"
1,68,0,1.0,0.9416796087056153,"['SFFF', 'HHFH', 'HFFF', 'FHHG']"
1,33,0,0.0,0.0,"['SHFH', 'FHHH', 'FFFF', 'HFHG']"
1,43,0,1.0,0.860513950810667,"['SFHF', 'HFHH', 'FFHF', 'HFFG']"
1,18,0,0.0,0.0,"['SFFF', 'FHFF', 'HHFH', 'FFFG']"
1,99,0,1.0,0.9193151828650342,"['SFFH', 'HFFF', 'HHFH', 'FHFG']"
1,19,0,1.0,0.8054737627981655,"['SFFF', 'FHHF', 'FHFH', 'FFFG']"
1,15,0,0.0,0.0,"['SFFF', 'FHHH', 'FFFF', 'FHHG']"
1,27,0,1.0,0.9332298921513504,"['SFFH', 'HFFF', 'FFFH', 'HFFG']"
1,8,0,0.0,0.0,"['SFFH', 'HHFF', 'HFHF', 'FFHG']"
