Temperature,Simulations,Return,Discounted Return,Map
1,76,0,1.0,0.985089730404757,"['SFFF', 'FFHF', 'HFFF', 'HFFG']"
1,94,0,1.0,0.9821344612135428,"['SFFH', 'FFHH', 'HFFF', 'HFFG']"
1,9,0,0.0,0.0,"['SHFF', 'FHFH', 'FHFF', 'FFFG']"
1,85,0,1.0,0.9645880999032158,"['SFHF', 'HFHH', 'FFFF', 'HFFG']"
1,82,0,1.0,0.9530650263643888,"['SFFF', 'HHHF', 'FHHF', 'HFHG']"
1,41,0,1.0,0.7630697687590515,"['SFHH', 'HFFF', 'FFHH', 'HFFG']"
1,41,0,1.0,0.8451404054461714,"['SHFH', 'FFHF', 'FHHH', 'FFFG']"
1,68,0,1.0,0.985089730404757,"['SFFH', 'HFFF', 'HHFF', 'HHFG']"
1,77,0,1.0,0.9674905716180701,"['SHFF', 'FHFF', 'FFFF', 'FHFG']"
1,98,0,1.0,0.9083329444789534,"['SFFH', 'FFFF', 'HHHF', 'FHFG']"
1,92,0,1.0,0.9083329444789534,"['SFFH', 'FFFF', 'FHHF', 'HHHG']"
1,86,0,1.0,0.9791880578299021,"['SFHF', 'HFFF', 'HFFF', 'FHHG']"
1,9,0,0.0,0.0,"['SFFF', 'FFFH', 'FFFF', 'FHHG']"
1,89,0,1.0,0.9762504936564125,"['SFFF', 'FFFF', 'FHFH', 'HHFG']"
1,84,0,1.0,0.9530650263643888,"['SFFF', 'FHFH', 'HHFF', 'HFFG']"
1,35,0,1.0,0.9645880999032158,"['SFFF', 'HHHF', 'HFHF', 'FFFG']"
1,32,0,1.0,0.9138075656044898,"['SFHH', 'HFFF', 'FFHH', 'HFFG']"
1,29,0,1.0,0.8921050870283477,"['SFHH', 'FFFF', 'HFHF', 'HFHG']"
1,62,0,1.0,0.9502058312852957,"['SFFF', 'FHHF', 'HFHF', 'FFHG']"
1,84,0,1.0,0.9762504936564125,"['SFFF', 'FFFF', 'FHHH', 'FFFG']"
1,72,0,1.0,0.9791880578299021,"['SHFF', 'FFHF', 'HFFF', 'FHHG']"
1,77,0,1.0,0.9791880578299021,"['SFFF', 'HFHF', 'HHFF', 'HHHG']"
1,72,0,1.0,0.9704017769489168,"['SFHH', 'FHHF', 'FFFF', 'FFHG']"
1,94,0,1.0,0.9388545698794984,"['SFHF', 'FHFF', 'FFFH', 'HFFG']"
1,81,0,0.0,0.0,"['SFFF', 'FHHH', 'FFFF', 'HFHG']"
1,40,0,1.0,0.9704017769489168,"['SFFF', 'HHFF', 'HFFF', 'FHHG']"
1,17,0,1.0,0.9588092525966956,"['SFFF', 'HFFF', 'HFFF', 'FHFG']"
1,11,0,1.0,0.837556937769312,"['SFFF', 'HHHF', 'HFFF', 'HFHG']"
1,61,0,1.0,0.860513950810667,"['SFHH', 'HFFF', 'FFHF', 'HFHG']"
1,88,0,1.0,0.985089730404757,"['SHHF', 'FFFF', 'FFFF', 'FFFG']"
1,5,0,0.0,0.0,"['SHHH', 'FFHH', 'FFFH', 'FFFG']"
1,64,0,1.0,0.9821344612135428,"['SFFH', 'HFFH', 'FHFF', 'FHFG']"
1,40,0,1.0,0.9821344612135428,"['SFFH', 'FHFF', 'HFFF', 'HFHG']"
1,4,0,0.0,0.0,"['SFFH', 'FFHF', 'FFFH', 'HHFG']"
1,1,0,0.0,0.0,"['SHFF', 'FHHH', 'FFHF', 'FFFG']"
1,33,0,0.0,0.0,"['SFHH', 'FHHF', 'FFFF', 'HHHG']"
1,67,0,0.0,0.0,"['SHHH', 'FFHH', 'HFFF', 'FHHG']"
1,45,0,1.0,0.9733217421754432,"['SFFF', 'FHHF', 'HHFF', 'HHHG']"
