Temperature,Simulations,Return,Discounted Return,Map
1,92,0,1.0,0.9588092525966956,"['SHFH', 'FHHH', 'FHFF', 'FFFG']"
1,67,0,1.0,0.9821344612135428,"['SFFF', 'HFHH', 'FFFF', 'FFFG']"
1,98,0,1.0,0.9388545698794984,"['SHHF', 'FHFH', 'FFFF', 'FHHG']"
1,55,0,1.0,0.90289112180858,"['SFFH', 'FFFH', 'HHFH', 'HHFG']"
1,21,0,1.0,0.7722956964947572,"['SHHF', 'FHHH', 'FFFF', 'HFFG']"
1,57,0,1.0,0.884100203995605,"['SFHF', 'FFFH', 'FFHH', 'HFFG']"
1,5,0,0.0,0.0,"['SFHH', 'FHFF', 'FHFF', 'FFFG']"
1,57,0,1.0,0.9645880999032158,"['SFHF', 'HFFF', 'FHFF', 'HFHG']"
1,18,0,0.0,0.0,"['SFFH', 'FHHH', 'FFFF', 'FHFG']"
1,39,0,1.0,0.9248559951318693,"['SFHH', 'HFFF', 'HFFF', 'FFHG']"
1,49,0,1.0,0.9791880578299021,"['SHFH', 'FFFH', 'FFHF', 'FFFG']"
1,58,0,1.0,0.9762504936564125,"['SFFF', 'FFFH', 'HHFH', 'FFFG']"
1,39,0,1.0,0.9473552137914398,"['SFFF', 'HFFF', 'HFHF', 'FHFG']"
1,29,0,1.0,0.8400771692771434,"['SFFF', 'HFFF', 'HHFH', 'FHFG']"
1,84,0,1.0,0.9645880999032158,"['SFFF', 'HFFH', 'HHFH', 'FHFG']"
1,89,0,1.0,0.9588092525966956,"['SFFH', 'FFFH', 'FHFF', 'FFFG']"
1,47,0,1.0,0.9733217421754432,"['SFFF', 'HHHF', 'FFFF', 'FHFG']"
1,62,0,1.0,0.93603800616986,"['SHFF', 'FHFF', 'FHFF', 'FFFG']"
1,80,0,1.0,0.9791880578299021,"['SHFH', 'FHHH', 'FFHH', 'HFFG']"
1,81,0,1.0,0.9502058312852957,"['SFHH', 'HFFF', 'FHHF', 'FFHG']"
1,55,0,1.0,0.8527925358961662,"['SFHF', 'HFHH', 'FFFF', 'FFHG']"
1,46,0,1.0,0.9502058312852957,"['SFFH', 'FHFF', 'HHFF', 'HHFG']"
1,84,0,1.0,0.985089730404757,"['SFFH', 'FFFH', 'FFFF', 'HFHG']"
1,7,0,0.0,0.0,"['SHHF', 'FFHH', 'FFFF', 'HHHG']"
1,48,0,0.0,0.0,"['SHFF', 'FFFH', 'FHFH', 'HHFG']"
1,36,0,1.0,0.9821344612135428,"['SFFH', 'FFFH', 'HFFF', 'HFFG']"
1,67,0,1.0,0.9704017769489168,"['SFFH', 'FFFH', 'FFFF', 'HFFG']"
1,95,0,1.0,0.9762504936564125,"['SFFH', 'FHFH', 'FFHF', 'FFFG']"
