Temperature,Simulations,Return,Discounted Return,Map
1,88,0,1.0,0.9733217421754432,"['SHFH', 'FFFH', 'HFHH', 'FFFG']"
1,48,0,1.0,0.9645880999032158,"['SFFF', 'FFHF', 'HHFF', 'FFHG']"
1,53,0,0.0,0.0,"['SHHF', 'FHFF', 'FFFH', 'FHFG']"
1,45,0,1.0,0.9791880578299021,"['SFFF', 'HFFF', 'HFHF', 'HFFG']"
1,84,0,1.0,0.9791880578299021,"['SHFH', 'FFHF', 'HFHF', 'FFFG']"
1,87,0,1.0,0.8553586117313603,"['SHFF', 'FFFH', 'FHFF', 'FHHG']"
1,21,0,0.0,0.0,"['SFHH', 'FFFH', 'FHFH', 'HFFG']"
1,14,0,1.0,0.8527925358961662,"['SFFH', 'HFFH', 'HFFH', 'HFFG']"
1,10,0,1.0,0.9083329444789534,"['SFFH', 'HFFF', 'HHHF', 'FHFG']"
1,56,0,1.0,0.9821344612135428,"['SFHF', 'FHFF', 'FFHF', 'FFFG']"
1,84,0,1.0,0.9001824484431542,"['SFFF', 'HHFH', 'FFFF', 'FFHG']"
1,56,0,1.0,0.9821344612135428,"['SHFF', 'FFHF', 'FFFH', 'HHFG']"
1,68,0,1.0,0.7746195551602378,"['SHHF', 'FFFF', 'HFHH', 'HFFG']"
1,20,0,1.0,0.9674905716180701,"['SFFH', 'FHFH', 'HFFF', 'FFFG']"
1,44,0,0.0,0.0,"['SFHF', 'HFFF', 'HHHF', 'FHHG']"
1,92,0,1.0,0.985089730404757,"['SHHH', 'FHHH', 'FFFF', 'HFHG']"
1,94,0,1.0,0.8921050870283477,"['SFFH', 'FFHF', 'HFHH', 'FFFG']"
1,97,0,1.0,0.9704017769489168,"['SFFH', 'HFFH', 'HFFF', 'HFHG']"
1,23,0,0.0,0.0,"['SFFF', 'HFFF', 'FFHH', 'HFFG']"
1,32,0,0.0,0.0,"['SFFF', 'HFHH', 'FFFF', 'FHHG']"
1,88,0,1.0,0.9762504936564125,"['SFHF', 'FFHF', 'FFFF', 'HFHG']"
1,76,0,1.0,0.9588092525966956,"['SFFH', 'HHFF', 'HHHF', 'HHHG']"
1,39,0,1.0,0.9588092525966956,"['SFHF', 'HFFH', 'FHFF', 'FFFG']"
1,68,0,1.0,0.9791880578299021,"['SFFF', 'FHFH', 'FFHH', 'FFFG']"
1,81,0,1.0,0.9791880578299021,"['SFFF', 'HFFF', 'FFHF', 'FFHG']"
1,55,0,0.0,0.0,"['SHHH', 'FFHH', 'HFFF', 'FFHG']"
1,90,0,1.0,0.9733217421754432,"['SFFF', 'HFFF', 'HHFF', 'HFHG']"
1,5,0,0.0,0.0,"['SHHF', 'FFFF', 'HFHF', 'FFHG']"
1,82,0,0.0,0.0,"['SHHF', 'FFHF', 'HFFF', 'HHHG']"
1,50,0,1.0,0.9645880999032158,"['SHFH', 'FHFH', 'FFHH', 'FFFG']"
1,35,0,1.0,0.9248559951318693,"['SFFH', 'FFFH', 'FHFF', 'HFHG']"
1,60,0,1.0,0.8814479033836181,"['SFHH', 'HFHH', 'FFFF', 'HFHG']"
