Temperature,Simulations,Return,Discounted Return,Map
1,2,0,0.0,0.0,"['SHHH', 'FFFF', 'HHFF', 'HHHG']"
1,48,0,1.0,0.7722956964947572,"['SFHH', 'FFHH', 'FFFH', 'HHFG']"
1,38,0,0.0,0.0,"['SHFH', 'FFFH', 'HFFF', 'HFFG']"
1,52,0,1.0,0.7494371162085136,"['SFFH', 'HFHF', 'HFHH', 'HFFG']"
1,35,0,1.0,0.9674905716180701,"['SFFF', 'HHFF', 'FFHF', 'FFHG']"
1,68,0,1.0,0.9304302024748964,"['SFFF', 'FHFF', 'HHFH', 'HHFG']"
1,19,0,0.0,0.0,"['SHFF', 'FFHH', 'HFHH', 'FFFG']"
1,41,0,1.0,0.9165572373164391,"['SFFH', 'FFHF', 'FHFF', 'FFFG']"
1,6,0,0.0,0.0,"['SHHH', 'FHHH', 'FFHH', 'FFFG']"
1,11,0,1.0,0.9001824484431542,"['SFHH', 'FFHF', 'HFFH', 'HFFG']"
1,32,0,1.0,0.8974819010978248,"['SFHF', 'HFFH', 'FFFH', 'HHFG']"
1,60,0,0.0,0.0,"['SHHH', 'FFHH', 'HFFH', 'HFFG']"
1,59,0,1.0,0.857932408958235,"['SHFF', 'FFFF', 'HFHF', 'HFFG']"
1,71,0,1.0,0.93603800616986,"['SHHH', 'FFFF', 'HFFF', 'HHFG']"
1,11,0,0.0,0.0,"['SFFH', 'FHFF', 'FHHF', 'HHFG']"
1,83,0,1.0,0.9332298921513504,"['SFHF', 'FFHF', 'HFFF', 'HHHG']"
1,12,0,1.0,0.8709180316048211,"['SFFF', 'FFFF', 'HFFH', 'HFFG']"
1,80,0,1.0,0.9588092525966956,"['SFFF', 'FFFF', 'HHHF', 'HHFG']"
1,85,0,1.0,0.9821344612135428,"['SFHF', 'FHFF', 'FFHF', 'FFFG']"
1,69,0,1.0,0.9332298921513504,"['SFHH', 'FHHH', 'FFHF', 'HFFG']"
1,86,0,1.0,0.9530650263643888,"['SFFF', 'FFFH', 'FFFH', 'FHFG']"
1,98,0,1.0,0.9248559951318693,"['SFHH', 'FFFH', 'HHFH', 'FHFG']"
1,93,0,1.0,0.9762504936564125,"['SFFH', 'FHFF', 'FHFF', 'FHHG']"
1,86,0,1.0,0.9791880578299021,"['SFFF', 'FFHF', 'FHHF', 'FHFG']"
1,61,0,1.0,0.9821344612135428,"['SFHF', 'FHFH', 'FFHF', 'FFFG']"
1,49,0,1.0,0.8250687380258053,"['SFFF', 'FHFH', 'HHFH', 'HFFG']"
1,36,0,1.0,0.9110661429076764,"['SFHF', 'FFFF', 'FFFF', 'HHHG']"
1,90,0,1.0,0.9502058312852957,"['SFFF', 'FHHF', 'HFFF', 'FFFG']"
1,25,0,0.0,0.0,"['SFFH', 'FHFF', 'FHHF', 'FFHG']"
1,42,0,1.0,0.9791880578299021,"['SFHF', 'FFHH', 'HFHF', 'FFFG']"
1,95,0,1.0,0.9821344612135428,"['SFFF', 'FHFF', 'FHFF', 'FFFG']"
1,44,0,1.0,0.985089730404757,"['SHFF', 'FFFF', 'FFFF', 'HFFG']"
1,86,0,1.0,0.9502058312852957,"['SHFH', 'FFFF', 'FFFF', 'HHHG']"
1,75,0,1.0,0.9276389118674717,"['SFFH', 'HFFH', 'FHFF', 'HHFG']"
1,36,0,1.0,0.9645880999032158,"['SHFF', 'FHHH', 'FFFF', 'FFFG']"
