Temperature,Simulations,Return,Discounted Return,Map
1,10,0,0.0,0.0,"['SFHF', 'FFHH', 'HFFF', 'HHFG']"
1,83,0,1.0,0.985089730404757,"['SHFF', 'FFFH', 'FFFH', 'FHFG']"
1,57,0,1.0,0.985089730404757,"['SFFH', 'HFFH', 'FHFF', 'FFFG']"
1,90,0,1.0,0.93603800616986,"['SFFF', 'HFHF', 'FHHF', 'FHHG']"
1,2,0,0.0,0.0,"['SHFH', 'FFFH', 'FHFF', 'HFHG']"
1,28,0,1.0,0.860513950810667,"['SFFH', 'HFFF', 'HHHF', 'FFHG']"
1,94,0,1.0,0.9645880999032158,"['SHFF', 'FFFF', 'HFFH', 'FFFG']"
1,6,0,0.0,0.0,"['SFFH', 'HHFF', 'HHFH', 'HFFG']"
1,29,0,0.0,0.0,"['SHHH', 'FHHH', 'FFFF', 'HHHG']"
1,91,0,1.0,0.9616943356035061,"['SFFH', 'FHFF', 'FFFH', 'FFFG']"
1,87,0,0.0,0.0,"['SFHH', 'HFFH', 'FHFF', 'HFHG']"
1,63,0,1.0,0.9791880578299021,"['SFFF', 'HFHF', 'FFFF', 'HFFG']"
1,89,0,1.0,0.9791880578299021,"['SFFF', 'HHFF', 'FHFH', 'FHFG']"
1,49,0,1.0,0.9530650263643888,"['SFFH', 'FHFH', 'FFHF', 'FFFG']"
1,44,0,1.0,0.9762504936564125,"['SHFH', 'FFHF', 'FFFH', 'HHFG']"
1,10,0,0.0,0.0,"['SFFF', 'FHFH', 'HFFF', 'HFFG']"
1,7,0,1.0,0.7449472384453084,"['SFFF', 'HHHF', 'FFFF', 'FFHG']"
1,16,0,1.0,0.8921050870283477,"['SFFF', 'FFFH', 'HHFF', 'HHHG']"
1,16,0,1.0,0.9248559951318693,"['SFFF', 'FFFF', 'FHFF', 'HFHG']"
1,41,0,1.0,0.8974819010978248,"['SHHH', 'FFFH', 'FFFH', 'FHFG']"
1,80,0,1.0,0.9332298921513504,"['SFHH', 'FHHF', 'FFFH', 'FHFG']"
1,52,0,1.0,0.9762504936564125,"['SFHF', 'FFFH', 'HFFH', 'HFFG']"
1,23,0,1.0,0.7584982177744161,"['SFFH', 'HHFF', 'FFHF', 'FFHG']"
1,47,0,0.0,0.0,"['SHHH', 'FFFF', 'HFHF', 'HHHG']"
1,100,0,1.0,0.9674905716180701,"['SFFF', 'FFFF', 'FHFH', 'FFFG']"
1,90,0,1.0,0.9733217421754432,"['SHFF', 'FFFH', 'FFFF', 'HHHG']"
1,83,0,1.0,0.9388545698794984,"['SHHH', 'FFFF', 'FHFF', 'FFHG']"
1,38,0,0.0,0.0,"['SFHF', 'HFHH', 'FFFH', 'HHFG']"
1,33,0,1.0,0.8225935318117279,"['SFHF', 'HFFH', 'FHFH', 'HHFG']"
1,12,0,0.0,0.0,"['SHHF', 'FFFF', 'HHFH', 'FFFG']"
1,85,0,0.0,0.0,"['SHHH', 'FFHF', 'FFFH', 'HHFG']"
1,87,0,1.0,0.8152123778407558,"['SHHH', 'FFFF', 'HHHF', 'HFHG']"
1,90,0,1.0,0.9304302024748964,"['SHHF', 'FFFH', 'HHFF', 'HHHG']"
1,1,0,0.0,0.0,"['SFFH', 'FHFH', 'HFFH', 'HFFG']"
1,68,0,1.0,0.9791880578299021,"['SFFF', 'FHHF', 'FHFH', 'FFFG']"
1,17,0,1.0,0.7584982177744161,"['SFFH', 'FHFH', 'FFHF', 'FFFG']"
1,46,0,1.0,0.9304302024748964,"['SFFH', 'HHFF', 'FFHF', 'FHFG']"
1,29,0,1.0,0.884100203995605,"['SFFF', 'FFFF', 'HHHF', 'HHHG']"
1,70,0,0.0,0.0,"['SHHH', 'FFFH', 'FHFH', 'FHFG']"
1,98,0,1.0,0.9645880999032158,"['SFFH', 'HFFH', 'HFFH', 'FHFG']"
1,26,0,1.0,0.9733217421754432,"['SFFH', 'HHFH', 'HHFF', 'HFFG']"
1,18,0,0.0,0.0,"['SFHH', 'HFHH', 'HFFH', 'FHFG']"
1,99,0,1.0,0.9473552137914398,"['SFFF', 'FFHF', 'HHFF', 'HFHG']"
1,100,0,1.0,0.985089730404757,"['SFFF', 'FHFF', 'HHFF', 'HHHG']"
1,99,0,1.0,0.9733217421754432,"['SFHF', 'FFHF', 'FFFF', 'FFHG']"
1,29,0,1.0,0.9762504936564125,"['SFFF', 'HHHF', 'FFHF', 'FHHG']"
1,67,0,1.0,0.9762504936564125,"['SFFH', 'FFHF', 'FFFF', 'HFFG']"
1,69,0,1.0,0.8761671489944468,"['SFHH', 'HFHH', 'HFHH', 'FFFG']"
1,82,0,1.0,0.8894287717672626,"['SHHH', 'FFFF', 'HHHF', 'HFFG']"
1,75,0,1.0,0.8527925358961662,"['SFFH', 'FFHF', 'HFFF', 'FHHG']"
1,23,0,1.0,0.9502058312852957,"['SFFH', 'HHFH', 'FFFF', 'HHFG']"
1,31,0,0.0,0.0,"['SHFF', 'FFFH', 'HFFF', 'FFHG']"
1,43,0,1.0,0.9704017769489168,"['SFFF', 'FHHF', 'FFFF', 'HHHG']"
1,18,0,0.0,0.0,"['SFFH', 'HFFF', 'FFHH', 'HFFG']"
1,89,0,1.0,0.985089730404757,"['SFHF', 'FHFH', 'FFFF', 'HFFG']"
1,100,0,1.0,0.9445131481500655,"['SHFH', 'FFHF', 'FFFF', 'HFHG']"
1,73,0,0.0,0.0,"['SHFH', 'FFFF', 'HHHF', 'HFHG']"
1,88,0,1.0,0.9821344612135428,"['SFHH', 'FFFH', 'HHFF', 'HHHG']"
1,19,0,1.0,0.9332298921513504,"['SFFF', 'HHFF', 'FFFF', 'FHHG']"
1,22,0,1.0,0.9473552137914398,"['SFFH', 'HHFF', 'HHHF', 'HHFG']"
1,12,0,1.0,0.835044266956004,"['SFFH', 'HHFF', 'FHHF', 'FFHG']"
1,2,0,0.0,0.0,"['SHHF', 'FFFH', 'FHFH', 'FHFG']"
1,26,0,1.0,0.9616943356035061,"['SFFH', 'FHFF', 'HFFF', 'HFFG']"
1,84,0,1.0,0.9138075656044898,"['SHHF', 'FFHH', 'FFFF', 'FHHG']"
1,26,0,1.0,0.9645880999032158,"['SFHH', 'FFFF', 'HHFF', 'HFFG']"
1,11,0,0.0,0.0,"['SHHF', 'FFFF', 'HHHF', 'FFHG']"
1,83,0,1.0,0.9762504936564125,"['SFFH', 'FHFH', 'FFFF', 'FFFG']"
1,64,0,1.0,0.9332298921513504,"['SHFH', 'FFFH', 'HHFF', 'FFFG']"
1,21,0,0.0,0.0,"['SHHF', 'FHFF', 'FFHF', 'HFFG']"
1,67,0,1.0,0.857932408958235,"['SFHH', 'FFHF', 'FFFF', 'HHHG']"
1,36,0,1.0,0.9645880999032158,"['SFFF', 'HFHF', 'HFHF', 'HFHG']"
1,46,0,1.0,0.9332298921513504,"['SFHF', 'FFFF', 'HFFH', 'HHFG']"
1,65,0,1.0,0.9110661429076764,"['SFFH', 'HHFH', 'HHFH', 'HHFG']"
1,26,0,1.0,0.7653658663581259,"['SFFF', 'FHFH', 'HHFF', 'FFHG']"
1,72,0,1.0,0.985089730404757,"['SFFH', 'HFFH', 'HFFF', 'HHFG']"
1,66,0,1.0,0.9762504936564125,"['SHFH', 'FFFF', 'HFFF', 'FFFG']"
1,72,0,1.0,0.9791880578299021,"['SFHF', 'FFHH', 'FHHH', 'FFFG']"
1,52,0,1.0,0.9821344612135428,"['SFFF', 'HFFF', 'FFFF', 'HFFG']"
1,30,0,1.0,0.9821344612135428,"['SFFH', 'HFFF', 'HFHF', 'FFFG']"
1,82,0,1.0,0.9674905716180701,"['SFFH', 'HFFF', 'FHFF', 'HFHG']"
1,36,0,1.0,0.9821344612135428,"['SFFF', 'HFFF', 'FHHF', 'FFHG']"
1,91,0,1.0,0.9645880999032158,"['SHFH', 'FFFF', 'FHHF', 'HHHG']"
1,40,0,1.0,0.9530650263643888,"['SFFF', 'HHHF', 'HHHF', 'HHFG']"
1,8,0,1.0,0.9056079456455165,"['SFHH', 'HFFF', 'HFFH', 'HFFG']"
1,95,0,1.0,0.9704017769489168,"['SHHF', 'FHHF', 'FHFH', 'FFFG']"
1,41,0,0.0,0.0,"['SHHH', 'FFFF', 'HFFH', 'HHFG']"
1,95,0,1.0,0.985089730404757,"['SHFF', 'FFFF', 'FFFF', 'HHHG']"
1,14,0,1.0,0.9791880578299021,"['SFHF', 'FFFH', 'FFFF', 'HFFG']"
1,17,0,0.0,0.0,"['SFHH', 'HFFF', 'FFHF', 'HFFG']"
1,47,0,1.0,0.9138075656044898,"['SFFF', 'FFHH', 'HFFF', 'HFFG']"
1,2,0,0.0,0.0,"['SFHF', 'FFFF', 'HFFF', 'FFFG']"
1,51,0,1.0,0.8867604854519608,"['SFFH', 'FHFF', 'FFHF', 'HHHG']"
1,41,0,0.0,0.0,"['SFFH', 'FHHH', 'FFFF', 'FFHG']"
1,96,0,1.0,0.9791880578299021,"['SHHH', 'FFHH', 'HFHF', 'FFFG']"
1,66,0,1.0,0.9674905716180701,"['SFHH', 'HFHF', 'FFFH', 'FHFG']"
1,34,0,1.0,0.857932408958235,"['SFFH', 'FFFH', 'FHFH', 'HFFG']"
1,21,0,1.0,0.9588092525966956,"['SFFF', 'FHHF', 'FHHF', 'HFFG']"
1,57,0,1.0,0.8735386475474635,"['SFHF', 'FFHF', 'HFFH', 'FFFG']"
1,100,0,1.0,0.9588092525966956,"['SFFF', 'HHHF', 'FHHF', 'HHHG']"
1,20,0,1.0,0.9530650263643888,"['SFFH', 'HFFF', 'FFHF', 'FFHG']"
1,31,0,1.0,0.8225935318117279,"['SFHF', 'FFFF', 'HHHF', 'HFHG']"
1,30,0,1.0,0.9559328248389055,"['SFFF', 'FFFH', 'HHFF', 'FFHG']"
1,13,0,1.0,0.8657003616774767,"['SFHH', 'HFFH', 'FFFF', 'FFHG']"
