Temperature,Simulations,Return,Discounted Return,Map
1,79,0,1.0,0.8921050870283477,"['SFHH', 'HFFH', 'FHFH', 'FFFG']"
1,51,0,1.0,0.9193151828650342,"['SFHF', 'HFHH', 'HFFF', 'FHHG']"
1,15,0,1.0,0.9733217421754432,"['SFFF', 'FHHF', 'HHHF', 'FFHG']"
1,93,0,1.0,0.9821344612135428,"['SHFF', 'FHHH', 'FFHH', 'HFFG']"
1,67,0,1.0,0.9821344612135428,"['SHFF', 'FFFF', 'FFFF', 'HHFG']"
1,67,0,1.0,0.9791880578299021,"['SFFH', 'FHFF', 'HHFF', 'FFHG']"
1,65,0,1.0,0.985089730404757,"['SFHH', 'FHFF', 'FFFF', 'HHHG']"
1,63,0,1.0,0.9674905716180701,"['SFHH', 'FFFF', 'HFHF', 'HHFG']"
1,94,0,1.0,0.9821344612135428,"['SFFH', 'FHFF', 'FFHF', 'HFFG']"
1,65,0,1.0,0.985089730404757,"['SFFH', 'HHFF', 'HHFF', 'FHFG']"
1,40,0,1.0,0.985089730404757,"['SFFF', 'HFHF', 'FFFF', 'FHHG']"
1,42,0,1.0,0.9791880578299021,"['SFHH', 'FFHF', 'FFHF', 'FFFG']"
1,49,0,1.0,0.9645880999032158,"['SFFF', 'HHFF', 'HHFF', 'FFHG']"
1,39,0,1.0,0.8921050870283477,"['SFHH', 'FFHH', 'HFFF', 'FFHG']"
1,5,0,0.0,0.0,"['SHHH', 'FFFH', 'HFFF', 'FHHG']"
1,96,0,1.0,0.9645880999032158,"['SFFH', 'FFFF', 'FHHF', 'FHHG']"
1,96,0,1.0,0.9821344612135428,"['SFFF', 'FFHF', 'HFFF', 'FHHG']"
1,36,0,1.0,0.9762504936564125,"['SHHH', 'FFFF', 'FFFF', 'FFHG']"
1,91,0,1.0,0.9762504936564125,"['SFHF', 'FFFH', 'FFFF', 'FHHG']"
1,43,0,1.0,0.9791880578299021,"['SFHF', 'HFFH', 'FFFH', 'FFFG']"
1,3,0,0.0,0.0,"['SHFH', 'FFFF', 'FHFF', 'HFFG']"
1,3,0,0.0,0.0,"['SFHF', 'FFFF', 'FFHF', 'FFFG']"
1,60,0,1.0,0.9304302024748964,"['SHHF', 'FHFH', 'FHHF', 'FFFG']"
1,83,0,1.0,0.93603800616986,"['SFFH', 'FHFF', 'FHFH', 'FHFG']"
1,100,0,1.0,0.9791880578299021,"['SFFF', 'HFHF', 'FFFF', 'FHFG']"
