Temperature,Simulations,Return,Discounted Return,Map
1,31,0,0.0,0.0,"['SHFF', 'FFHH', 'HFHH', 'HFFG']"
1,61,0,1.0,0.93603800616986,"['SFHH', 'HFFF', 'FFFH', 'HHFG']"
1,47,0,1.0,0.9762504936564125,"['SHFH', 'FFFF', 'HHFF', 'FHFG']"
1,21,0,0.0,0.0,"['SHFF', 'FFFF', 'FHFF', 'FFFG']"
1,39,0,1.0,0.8894287717672626,"['SHHF', 'FFFF', 'FFFF', 'HHHG']"
1,7,0,1.0,0.9276389118674717,"['SFFH', 'HHFF', 'HHFF', 'HHFG']"
1,82,0,1.0,0.9733217421754432,"['SFHF', 'FHHH', 'FFFF', 'FHFG']"
1,1,0,0.0,0.0,"['SHFH', 'FFFF', 'FFHF', 'HFFG']"
1,28,0,1.0,0.9304302024748964,"['SFFF', 'FHFH', 'FHFH', 'FHFG']"
1,19,0,0.0,0.0,"['SFHF', 'FHFH', 'FFFF', 'HFHG']"
1,66,0,1.0,0.9762504936564125,"['SHHF', 'FFFF', 'HFFF', 'FFHG']"
1,98,0,1.0,0.9821344612135428,"['SFHF', 'HFFH', 'HFFH', 'FFFG']"
1,61,0,1.0,0.9388545698794984,"['SFFH', 'FHFH', 'FHFF', 'HHFG']"
1,34,0,1.0,0.9704017769489168,"['SFFH', 'HHFF', 'FFHF', 'FHFG']"
1,34,0,0.0,0.0,"['SHHH', 'FFFF', 'FHFH', 'FHFG']"
1,43,0,1.0,0.9502058312852957,"['SFFF', 'FFFH', 'FFHH', 'FFFG']"
1,40,0,1.0,0.9304302024748964,"['SFHF', 'FHFH', 'FFHH', 'FFFG']"
1,57,0,0.0,0.0,"['SHFF', 'FFFH', 'HFFF', 'HHHG']"
1,100,0,1.0,0.9762504936564125,"['SFFF', 'FHHF', 'HFHF', 'HFHG']"
1,54,0,1.0,0.9138075656044898,"['SFHF', 'FHHF', 'FHFH', 'FFFG']"
1,70,0,1.0,0.9473552137914398,"['SFHH', 'HFFF', 'HHFF', 'FHHG']"
1,67,0,1.0,0.9530650263643888,"['SFHH', 'FFFF', 'FFHF', 'HHHG']"
1,62,0,1.0,0.9791880578299021,"['SHFH', 'FFHH', 'FFFF', 'FFFG']"
1,69,0,1.0,0.8451404054461714,"['SFHH', 'FHHH', 'FHHH', 'FFFG']"
1,52,0,1.0,0.8201257512162927,"['SFFH', 'FFHH', 'FFFF', 'FHHG']"
