Temperature,Simulations,Return,Discounted Return,Map
1,69,0,1.0,0.9791880578299021,"['SFFF', 'FHHF', 'FHFF', 'FFFG']"
1,91,0,1.0,0.9674905716180701,"['SFFH', 'FHHH', 'FHHF', 'FFFG']"
1,98,0,1.0,0.8527925358961662,"['SHFF', 'FHHH', 'FFHH', 'HFFG']"
1,25,0,0.0,0.0,"['SFHF', 'HFFF', 'HFFH', 'HHFG']"
1,92,0,1.0,0.9674905716180701,"['SFFH', 'FHFH', 'HFFH', 'FFFG']"
1,27,0,1.0,0.7816331707050701,"['SFFH', 'HFHH', 'FFHH', 'HFFG']"
1,61,0,1.0,0.985089730404757,"['SFHH', 'FHHH', 'FFHH', 'FFFG']"
1,12,0,1.0,0.9445131481500655,"['SFFH', 'FFFF', 'FFHF', 'FHHG']"
1,30,0,0.0,0.0,"['SHHF', 'FFFH', 'HHFF', 'HHFG']"
1,5,0,0.0,0.0,"['SFFH', 'FFFF', 'FHHF', 'HHFG']"
1,49,0,1.0,0.9304302024748964,"['SFFH', 'FFFH', 'HFFH', 'FFFG']"
1,39,0,1.0,0.8631032605924442,"['SFFF', 'FFHH', 'HFFF', 'FFHG']"
1,40,0,0.0,0.0,"['SHHH', 'FFFF', 'FHFH', 'HHFG']"
1,79,0,1.0,0.9416796087056153,"['SFFH', 'FFFH', 'HFFF', 'FHFG']"
1,6,0,1.0,0.9502058312852957,"['SFFF', 'HFFF', 'FFHF', 'HFFG']"
1,20,0,1.0,0.9588092525966956,"['SFFF', 'HHFF', 'FHHF', 'HFFG']"
1,67,0,1.0,0.93603800616986,"['SFHH', 'FHHF', 'FHHH', 'FFFG']"
1,54,0,1.0,0.9083329444789534,"['SFFF', 'FFFF', 'FFHH', 'HFFG']"
1,33,0,1.0,0.9502058312852957,"['SFFH', 'HHFF', 'FHFH', 'HFFG']"
1,4,0,0.0,0.0,"['SHHH', 'FFFH', 'HFFH', 'HHFG']"
1,8,0,0.0,0.0,"['SFFH', 'FHFF', 'FFHF', 'HFHG']"
1,38,0,1.0,0.9530650263643888,"['SFFF', 'FHFH', 'HFFF', 'FHFG']"
1,45,0,1.0,0.9762504936564125,"['SFFH', 'HHFF', 'HFHF', 'FHHG']"
1,31,0,1.0,0.9645880999032158,"['SFFF', 'HFFH', 'FFHF', 'FFFG']"
1,100,0,1.0,0.9304302024748964,"['SFHH', 'FFFH', 'HHFF', 'HFFG']"
1,51,0,1.0,0.9762504936564125,"['SFFF', 'HFFF', 'FFFF', 'FFHG']"
1,73,0,1.0,0.985089730404757,"['SFFF', 'HFHF', 'FHHF', 'FHHG']"
1,38,0,1.0,0.8325391341551359,"['SFHF', 'HFHH', 'HFHH', 'FFFG']"
1,21,0,1.0,0.9645880999032158,"['SFFH', 'FFFH', 'FFHF', 'FFFG']"
1,43,0,1.0,0.803057341509771,"['SHHF', 'FHHH', 'FFFF', 'FFHG']"
1,10,0,0.0,0.0,"['SHFF', 'FFFF', 'FHFF', 'HFFG']"
1,50,0,1.0,0.9056079456455165,"['SHHF', 'FFHH', 'HFHF', 'FFFG']"
1,80,0,1.0,0.9704017769489168,"['SFHF', 'FFFF', 'HFFF', 'HFHG']"
1,6,0,0.0,0.0,"['SFFF', 'FHFF', 'HHFH', 'FFFG']"
1,72,0,1.0,0.9791880578299021,"['SFFH', 'FHFH', 'HHFF', 'FFFG']"
1,74,0,1.0,0.985089730404757,"['SFHH', 'FFFF', 'FHFF', 'HFHG']"
1,9,0,0.0,0.0,"['SFFH', 'FHFH', 'FFFF', 'HFHG']"
1,11,0,0.0,0.0,"['SFHH', 'HFFH', 'HFFF', 'FHHG']"
1,5,0,0.0,0.0,"['SHFF', 'FFFF', 'FFFF', 'FHFG']"
1,44,0,1.0,0.9791880578299021,"['SFFF', 'HFHF', 'FHFF', 'FFFG']"
1,94,0,1.0,0.9821344612135428,"['SFHF', 'FFFF', 'FFFF', 'HHHG']"
1,24,0,0.0,0.0,"['SHFH', 'FFFF', 'HFFF', 'HFHG']"
