Temperature,Simulations,Return,Discounted Return,Map
1,77,0,1.0,0.884100203995605,"['SFFH', 'FFFF', 'FFHH', 'HFFG']"
1,98,0,0.0,0.0,"['SHHF', 'FFFF', 'HFHF', 'HFHG']"
1,15,0,0.0,0.0,"['SHHF', 'FFHF', 'HFFF', 'FFFG']"
1,63,0,1.0,0.8127667407072335,"['SHHH', 'FFFF', 'FFHF', 'FHHG']"
1,24,0,0.0,0.0,"['SHHH', 'FFFF', 'HFHF', 'HFFG']"
1,74,0,1.0,0.9791880578299021,"['SFFH', 'FFHF', 'FFHH', 'HFFG']"
1,59,0,0.0,0.0,"['SHHF', 'FFFH', 'FHFH', 'FHFG']"
1,65,0,1.0,0.9762504936564125,"['SFFF', 'FFFH', 'FFFH', 'HHFG']"
1,61,0,0.0,0.0,"['SHFF', 'FFFH', 'FHFF', 'HFHG']"
1,82,0,0.0,0.0,"['SHHF', 'FFFF', 'FHHF', 'FHFG']"
1,7,0,0.0,0.0,"['SHFH', 'FFFH', 'HFFH', 'FHFG']"
1,56,0,1.0,0.9791880578299021,"['SHHF', 'FHHF', 'FFFF', 'FFFG']"
1,75,0,1.0,0.985089730404757,"['SFFH', 'HHFF', 'FHFF', 'HFFG']"
1,13,0,0.0,0.0,"['SFHF', 'FFFH', 'HFFF', 'FFHG']"
1,91,0,1.0,0.9502058312852957,"['SFFH', 'FHFF', 'HHHF', 'HHHG']"
1,9,0,1.0,0.7958514863018556,"['SFFH', 'HFFF', 'HHHF', 'FHHG']"
1,85,0,1.0,0.9791880578299021,"['SFFH', 'FHFF', 'HHFF', 'FHHG']"
1,66,0,1.0,0.9704017769489168,"['SHFF', 'FFFH', 'FHFF', 'FFFG']"
1,68,0,1.0,0.9388545698794984,"['SFHH', 'HFHF', 'FFHH', 'HFFG']"
1,96,0,1.0,0.9733217421754432,"['SFHH', 'FFHF', 'FFFF', 'FFHG']"
1,53,0,1.0,0.9821344612135428,"['SHFH', 'FFHH', 'FFHH', 'FFFG']"
1,74,0,0.0,0.0,"['SHHF', 'FFFF', 'HFHF', 'HFHG']"
1,6,0,1.0,0.9138075656044898,"['SFFF', 'FHFF', 'HFFF', 'HHFG']"
1,36,0,1.0,0.9704017769489168,"['SFFH', 'HFFF', 'FFFF', 'HFHG']"
1,73,0,1.0,0.9733217421754432,"['SFFF', 'FHHF', 'HHHF', 'HFFG']"
1,83,0,1.0,0.9762504936564125,"['SFFF', 'FFFF', 'FHFF', 'FFFG']"
1,45,0,1.0,0.9445131481500655,"['SFHH', 'HFFF', 'HFFH', 'FHFG']"
1,15,0,0.0,0.0,"['SHFH', 'FHHF', 'FFFF', 'FHFG']"
1,71,0,1.0,0.9473552137914398,"['SHHF', 'FFHF', 'HFHH', 'HFFG']"
1,17,0,1.0,0.9220814271464737,"['SFFF', 'HFFF', 'FFHF', 'HFHG']"
1,31,0,0.0,0.0,"['SHHF', 'FHHF', 'FFFF', 'FHFG']"
1,64,0,1.0,0.9821344612135428,"['SFFH', 'HFHH', 'FFFF', 'FFFG']"
1,7,0,0.0,0.0,"['SHFH', 'FFHF', 'FFHF', 'HFFG']"
1,58,0,1.0,0.9674905716180701,"['SFFF', 'FFFH', 'HFFF', 'HFFG']"
1,40,0,1.0,0.9588092525966956,"['SFFF', 'HFFF', 'HHHF', 'FHFG']"
1,10,0,0.0,0.0,"['SHHF', 'FFFF', 'FHFF', 'FHHG']"
1,50,0,0.0,0.0,"['SHHH', 'FFFF', 'FFHF', 'FHHG']"
1,49,0,1.0,0.9704017769489168,"['SHFF', 'FHHH', 'FFFF', 'HFHG']"
1,37,0,1.0,0.9083329444789534,"['SFHF', 'FHFH', 'FHHF', 'FFFG']"
1,54,0,1.0,0.9674905716180701,"['SFFH', 'HFFF', 'HFFF', 'FHFG']"
1,51,0,1.0,0.7630697687590515,"['SFHH', 'FFHF', 'HFFF', 'HHHG']"
1,51,0,1.0,0.8974819010978248,"['SFFF', 'HFHH', 'FFFF', 'HHHG']"
1,21,0,0.0,0.0,"['SFHH', 'FFFF', 'FFHF', 'HFHG']"
1,97,0,1.0,0.9762504936564125,"['SFFF', 'FHHF', 'HHFF', 'FHFG']"
1,21,0,0.0,0.0,"['SFHF', 'FHFF', 'FFFF', 'FFHG']"
1,6,0,0.0,0.0,"['SFFH', 'FHFF', 'HHFF', 'HFFG']"
1,22,0,1.0,0.7910835400474212,"['SFHF', 'FHHH', 'FHFF', 'FFFG']"
1,91,0,1.0,0.9733217421754432,"['SFHF', 'FFFF', 'FHFH', 'HFFG']"
1,58,0,1.0,0.9704017769489168,"['SFHF', 'FFHF', 'HFFH', 'FFFG']"
1,67,0,1.0,0.835044266956004,"['SHHH', 'FFFH', 'HFFF', 'FHHG']"
1,95,0,0.0,0.0,"['SHHF', 'FFHF', 'HFFF', 'FHHG']"
1,74,0,1.0,0.9588092525966956,"['SHFF', 'FFHF', 'HFHF', 'HFFG']"
1,34,0,1.0,0.9821344612135428,"['SFFF', 'FFHF', 'HFFF', 'FHFG']"
