Temperature,Simulations,Return,Discounted Return,Map
1,15,0,1.0,0.9616943356035061,"['SFHH', 'HFFF', 'FHFF', 'HHHG']"
1,74,0,1.0,0.9645880999032158,"['SFFF', 'HHHF', 'HHFF', 'HFFG']"
1,67,0,1.0,0.9110661429076764,"['SFHH', 'FFFF', 'FHFH', 'HFFG']"
1,16,0,1.0,0.8502341582884777,"['SFFH', 'FHFH', 'FFFH', 'HFFG']"
1,2,0,0.0,0.0,"['SHHH', 'FHFH', 'FFFH', 'FHFG']"
1,50,0,1.0,0.9791880578299021,"['SFFH', 'FHFF', 'FHFF', 'HFFG']"
1,64,0,1.0,0.9733217421754432,"['SFHH', 'HFFF', 'HHFF', 'HHFG']"
1,34,0,1.0,0.9445131481500655,"['SFFF', 'FFFH', 'HFFH', 'HHFG']"
1,20,0,0.0,0.0,"['SFFH', 'HFFH', 'FFHH', 'HFFG']"
1,19,0,1.0,0.9110661429076764,"['SFFF', 'FFFH', 'FHFF', 'FHHG']"
1,65,0,1.0,0.9138075656044898,"['SFHF', 'HFHF', 'HFHH', 'FFFG']"
1,1,0,0.0,0.0,"['SFFF', 'HFHF', 'HFFF', 'HFHG']"
1,2,0,0.0,0.0,"['SFFF', 'HHFF', 'FFFF', 'FFHG']"
1,48,0,1.0,0.9762504936564125,"['SHFH', 'FFHH', 'FFHH', 'FFFG']"
1,27,0,1.0,0.9791880578299021,"['SHFH', 'FFHF', 'HFFF', 'FFFG']"
1,20,0,1.0,0.9138075656044898,"['SFFF', 'HFHF', 'HHFF', 'HHFG']"
1,30,0,0.0,0.0,"['SFHH', 'FFFH', 'HHFF', 'FFHG']"
1,97,0,1.0,0.9762504936564125,"['SHHF', 'FFFH', 'FFFF', 'FHFG']"
1,64,0,1.0,0.985089730404757,"['SFFF', 'FFFF', 'FHHH', 'FFFG']"
1,44,0,0.0,0.0,"['SHFH', 'FHHH', 'FFFF', 'HFHG']"
1,34,0,1.0,0.9165572373164391,"['SFHH', 'FFHF', 'FFFF', 'FFHG']"
1,46,0,1.0,0.8006481694852418,"['SHFH', 'FHFF', 'FHFH', 'FFFG']"
1,11,0,0.0,0.0,"['SHHH', 'FFFH', 'FHFH', 'FFFG']"
1,77,0,1.0,0.8814479033836181,"['SHHH', 'FFFH', 'HHFF', 'FHFG']"
1,81,0,1.0,0.9704017769489168,"['SFHF', 'HFFF', 'HFFF', 'HHHG']"
1,66,0,1.0,0.9645880999032158,"['SFHH', 'FFFH', 'HHFF', 'FHFG']"
1,34,0,1.0,0.8451404054461714,"['SFFH', 'FHHF', 'FFHF', 'HFFG']"
