Temperature,Simulations,Return,Discounted Return,Map
1,33,0,1.0,0.9388545698794984,"['SFHH', 'FFFF', 'HFHF', 'HFFG']"
1,77,0,1.0,0.9559328248389055,"['SHHF', 'FFFH', 'FFHF', 'HFFG']"
1,8,0,0.0,0.0,"['SHFF', 'FFHF', 'HFFF', 'FHFG']"
1,42,0,1.0,0.8502341582884777,"['SFFF', 'FHFH', 'FFFH', 'HFFG']"
1,48,0,1.0,0.9791880578299021,"['SFFF', 'HFFF', 'FFHF', 'HHFG']"
1,67,0,1.0,0.8947894553945313,"['SHFF', 'FFFF', 'HHFF', 'HFHG']"
1,50,0,1.0,0.8814479033836181,"['SFFF', 'HFHH', 'FFHF', 'FFFG']"
1,66,0,1.0,0.9733217421754432,"['SFHF', 'FFHH', 'HFFF', 'HFFG']"
1,3,0,0.0,0.0,"['SFFH', 'HFHF', 'HFFF', 'HFFG']"
1,37,0,1.0,0.985089730404757,"['SFFF', 'HFHF', 'HFFH', 'HFFG']"
1,27,0,0.0,0.0,"['SHHF', 'FFFF', 'FHFH', 'HHFG']"
1,32,0,1.0,0.9704017769489168,"['SFFF', 'HHHF', 'FHFF', 'FHFG']"
1,21,0,0.0,0.0,"['SHHH', 'FFFH', 'HHFF', 'FHHG']"
1,8,0,0.0,0.0,"['SHHH', 'FFHH', 'FFFF', 'FHHG']"
1,20,0,0.0,0.0,"['SFHF', 'FFHF', 'FHFF', 'FFFG']"
1,55,0,0.0,0.0,"['SHHH', 'FHHH', 'FFFF', 'HFHG']"
1,70,0,1.0,0.9616943356035061,"['SFFF', 'HFHF', 'HFFF', 'HHFG']"
1,18,0,0.0,0.0,"['SFHH', 'HFHH', 'HFFH', 'FFFG']"
1,45,0,1.0,0.8974819010978248,"['SFFH', 'FHFH', 'HFFH', 'HFFG']"
1,10,0,0.0,0.0,"['SFFF', 'HHFH', 'HHFH', 'HFFG']"
1,80,0,1.0,0.9821344612135428,"['SFHH', 'FFFF', 'FFHF', 'FHHG']"
1,89,0,0.0,0.0,"['SFHF', 'FHHH', 'FFFF', 'HFHG']"
1,4,0,0.0,0.0,"['SHFH', 'FHFH', 'FFFH', 'HHFG']"
1,12,0,0.0,0.0,"['SFHH', 'FFFF', 'FFHH', 'HFFG']"
1,63,0,0.0,0.0,"['SHFH', 'FFFF', 'FHHF', 'HFFG']"
1,70,0,1.0,0.9276389118674717,"['SFFF', 'HFFF', 'FHFH', 'HHFG']"
1,55,0,1.0,0.9821344612135428,"['SHFH', 'FFHH', 'FFHF', 'FFFG']"
