Temperature,Simulations,Return,Discounted Return,Map
1,23,0,0.0,0.0,"['SFFF', 'FFHH', 'HFFF', 'HFHG']"
1,87,0,1.0,0.9821344612135428,"['SFFF', 'HFHF', 'FFFF', 'FHFG']"
1,1,0,0.0,0.0,"['SFFF', 'FFFH', 'HFFF', 'FFFG']"
1,61,0,1.0,0.9821344612135428,"['SFHH', 'FFFH', 'FFFF', 'HFFG']"
1,46,0,1.0,0.8814479033836181,"['SFFH', 'HFFH', 'FFHF', 'HFFG']"
1,77,0,1.0,0.8683052775100066,"['SFHF', 'HFFF', 'FHFH', 'HFFG']"
1,42,0,0.0,0.0,"['SFHH', 'FHHF', 'FFFF', 'FHHG']"
1,88,0,1.0,0.9645880999032158,"['SFFH', 'FFFF', 'FHHF', 'HHFG']"
1,7,0,0.0,0.0,"['SFHH', 'FFFH', 'HHFH', 'FHFG']"
1,99,0,1.0,0.9559328248389055,"['SFFF', 'FFHF', 'FHFF', 'HFFG']"
1,57,0,1.0,0.9821344612135428,"['SHHF', 'FFFH', 'FHFH', 'FFFG']"
1,53,0,1.0,0.8788035596734672,"['SFHH', 'FFFF', 'HHHF', 'FFFG']"
1,11,0,0.0,0.0,"['SFHF', 'HFFH', 'HHFF', 'FHFG']"
1,55,0,1.0,0.9733217421754432,"['SHHF', 'FHHF', 'FFHF', 'FFFG']"
1,26,0,0.0,0.0,"['SFHF', 'HFHF', 'HFHF', 'FFFG']"
1,83,0,1.0,0.9473552137914398,"['SFFF', 'FHFF', 'FFHH', 'HFFG']"
1,44,0,1.0,0.9083329444789534,"['SFFH', 'HHFF', 'FHFH', 'FFFG']"
1,34,0,1.0,0.8400771692771434,"['SFHH', 'FHFH', 'FHHF', 'FFFG']"
1,66,0,1.0,0.9473552137914398,"['SFFH', 'HFFH', 'HHFF', 'FHHG']"
1,30,0,1.0,0.9645880999032158,"['SHHH', 'FFFH', 'HFFF', 'HHHG']"
1,91,0,1.0,0.9821344612135428,"['SFFF', 'FFHF', 'FHHF', 'HHHG']"
1,44,0,0.0,0.0,"['SHHF', 'FFFF', 'HFHH', 'FFFG']"
1,78,0,0.0,0.0,"['SHFF', 'FFHF', 'FFFH', 'HHFG']"
1,61,0,1.0,0.9704017769489168,"['SFFF', 'FFFH', 'FFFF', 'HHFG']"
1,45,0,0.0,0.0,"['SHHH', 'FFFF', 'FHHF', 'HFFG']"
1,76,0,1.0,0.985089730404757,"['SFFH', 'HFHH', 'FFFH', 'FFFG']"
1,94,0,1.0,0.985089730404757,"['SFHF', 'FHHH', 'FFFF', 'FFFG']"
1,70,0,1.0,0.9733217421754432,"['SFHF', 'HFFH', 'HHFF', 'FHFG']"
1,59,0,0.0,0.0,"['SHHF', 'FFHF', 'HFHH', 'FFFG']"
1,1,0,0.0,0.0,"['SFHF', 'HFHH', 'HFFF', 'FHHG']"
1,55,0,1.0,0.8735386475474635,"['SFFF', 'FHFF', 'FFFH', 'FHFG']"
1,93,0,1.0,0.9733217421754432,"['SFFH', 'FFFF', 'HFHF', 'HFHG']"
1,93,0,1.0,0.9588092525966956,"['SFFH', 'HFHH', 'HFFH', 'FFFG']"
1,36,0,0.0,0.0,"['SHHH', 'FHFH', 'FFFF', 'HFHG']"
1,6,0,0.0,0.0,"['SFHF', 'FHFH', 'FHHF', 'FFFG']"
