Temperature,Simulations,Return,Discounted Return,Map
1,14,0,1.0,0.7653658663581259,"['SFHH', 'HFFH', 'FHFF', 'FFFG']"
1,79,0,1.0,0.9733217421754432,"['SFFF', 'FHFH', 'HFFF', 'HFFG']"
1,53,0,1.0,0.9645880999032158,"['SFHF', 'FFHH', 'HFFF', 'FFFG']"
1,9,0,0.0,0.0,"['SFFF', 'HFHH', 'HFFF', 'HHHG']"
1,81,0,1.0,0.9762504936564125,"['SFFH', 'FHFH', 'HHFF', 'HFFG']"
1,25,0,0.0,0.0,"['SHFH', 'FFFH', 'FHFF', 'HHFG']"
1,61,0,1.0,0.9704017769489168,"['SFFH', 'HHFH', 'FHFF', 'FHFG']"
1,48,0,0.0,0.0,"['SHHH', 'FFHH', 'HFFF', 'FHFG']"
1,73,0,1.0,0.9704017769489168,"['SHFF', 'FHFF', 'FHHF', 'FFFG']"
1,72,0,0.0,0.0,"['SFHH', 'HFFF', 'HHFH', 'HHFG']"
1,59,0,1.0,0.8176653739626438,"['SFHH', 'FFFH', 'HHFF', 'FFHG']"
1,20,0,1.0,0.8974819010978248,"['SFFH', 'HFHH', 'FFFF', 'HHFG']"
1,31,0,1.0,0.9821344612135428,"['SFFH', 'HFFF', 'HHFF', 'HFFG']"
1,84,0,1.0,0.7607805594527743,"['SHFF', 'FFFH', 'HHFF', 'FFHG']"
1,95,0,1.0,0.9821344612135428,"['SFFF', 'FHFH', 'FHFF', 'HFFG']"
1,76,0,1.0,0.9616943356035061,"['SHFH', 'FHHH', 'FFFF', 'HFFG']"
1,35,0,1.0,0.9388545698794984,"['SFHF', 'FFFF', 'FFHF', 'HFFG']"
1,19,0,1.0,0.9559328248389055,"['SFFF', 'FHHF', 'HFFF', 'HFFG']"
1,77,0,1.0,0.9645880999032158,"['SHHH', 'FFHF', 'FHHF', 'FFFG']"
1,48,0,1.0,0.9821344612135428,"['SFHH', 'FHHF', 'FHFF', 'FFFG']"
1,43,0,1.0,0.9821344612135428,"['SHFF', 'FFFF', 'FFFF', 'HFFG']"
1,12,0,1.0,0.9445131481500655,"['SFFF', 'FFFF', 'FHFF', 'FHHG']"
1,11,0,0.0,0.0,"['SHHF', 'FFFF', 'FHHF', 'FHHG']"
1,25,0,0.0,0.0,"['SFFF', 'HFHH', 'HFFH', 'HFFG']"
1,33,0,1.0,0.9332298921513504,"['SFFH', 'FFFF', 'FHFH', 'FFFG']"
1,72,0,1.0,0.9762504936564125,"['SHHF', 'FHHH', 'FHHH', 'FFFG']"
1,35,0,1.0,0.9559328248389055,"['SFHH', 'FFFH', 'FFFF', 'FFHG']"
1,20,0,0.0,0.0,"['SFFF', 'HFHF', 'FFFH', 'HHFG']"
1,8,0,0.0,0.0,"['SFFH', 'FFHF', 'FFFF', 'FFHG']"
1,20,0,1.0,0.8078974551636565,"['SFFH', 'FFHF', 'HFHF', 'HFFG']"
1,67,0,1.0,0.9704017769489168,"['SFHH', 'FHFF', 'FHFH', 'FFFG']"
1,29,0,0.0,0.0,"['SFHF', 'FFFF', 'HFFH', 'HHFG']"
1,67,0,1.0,0.9193151828650342,"['SHHH', 'FFHF', 'FFFF', 'HFHG']"
1,74,0,0.0,0.0,"['SHFH', 'FFHF', 'HFHH', 'HFFG']"
1,71,0,1.0,0.9388545698794984,"['SFFH', 'FHFH', 'HHFF', 'HHFG']"
1,74,0,1.0,0.9304302024748964,"['SFHF', 'HFHH', 'HFFH', 'FFFG']"
1,59,0,1.0,0.985089730404757,"['SFFF', 'HFHF', 'HFHF', 'HFFG']"
1,10,0,1.0,0.767668872977057,"['SHHF', 'FFFF', 'HHFF', 'HHFG']"
1,63,0,1.0,0.9416796087056153,"['SHFF', 'FFHF', 'FFFF', 'HHFG']"
1,88,0,1.0,0.9645880999032158,"['SHHF', 'FFHH', 'HFFF', 'HFFG']"
1,72,0,1.0,0.9645880999032158,"['SFFH', 'FFFF', 'FFFF', 'FFFG']"
1,53,0,1.0,0.9791880578299021,"['SFFF', 'FFFH', 'FFFF', 'HFHG']"
1,16,0,0.0,0.0,"['SFHF', 'FFFF', 'HFHF', 'FFHG']"
1,39,0,1.0,0.9733217421754432,"['SFHH', 'FHHH', 'FFFF', 'FFFG']"
1,36,0,0.0,0.0,"['SHHH', 'FFHH', 'FFFF', 'HHFG']"
1,36,0,1.0,0.9821344612135428,"['SFHH', 'FFFF', 'FFFF', 'FFHG']"
1,18,0,1.0,0.9704017769489168,"['SFFF', 'FHFF', 'FFFF', 'FHFG']"
1,18,0,1.0,0.9276389118674717,"['SFFF', 'HHFH', 'FFFF', 'FHFG']"
1,63,0,1.0,0.9762504936564125,"['SFHH', 'FFHH', 'FFFH', 'HFFG']"
1,40,0,1.0,0.985089730404757,"['SFFF', 'FHFF', 'FHFF', 'FHFG']"
1,68,0,1.0,0.9248559951318693,"['SFFH', 'FHFH', 'HHFF', 'HHFG']"
1,85,0,1.0,0.9762504936564125,"['SHFF', 'FFFH', 'HFFF', 'HFHG']"
1,84,0,1.0,0.93603800616986,"['SFHH', 'FHFH', 'FFFF', 'HHFG']"
1,94,0,1.0,0.9674905716180701,"['SFFF', 'FHHH', 'FFFF', 'FHFG']"
1,60,0,1.0,0.9821344612135428,"['SFFF', 'HHFF', 'HHFF', 'HHHG']"
1,67,0,1.0,0.803057341509771,"['SHFF', 'FHFH', 'FFHH', 'HFFG']"
1,23,0,0.0,0.0,"['SHHF', 'FFFH', 'FHFH', 'HFFG']"
1,63,0,0.0,0.0,"['SHHH', 'FFHF', 'HFFH', 'FHFG']"
1,100,0,1.0,0.90289112180858,"['SFHH', 'HFHF', 'HFFF', 'FHHG']"
1,34,0,1.0,0.8631032605924442,"['SFFH', 'HFFH', 'HFFF', 'FHHG']"
1,2,0,0.0,0.0,"['SHFH', 'FFFH', 'HFFF', 'FFHG']"
1,32,0,0.0,0.0,"['SHHH', 'FFFH', 'HFFF', 'HHHG']"
1,41,0,1.0,0.9559328248389055,"['SHFF', 'FFHF', 'HFFF', 'HFFG']"
1,89,0,1.0,0.9704017769489168,"['SFHH', 'HFHF', 'HFFH', 'FFFG']"
1,45,0,0.0,0.0,"['SFFH', 'FFHF', 'FHHH', 'FFFG']"
1,71,0,1.0,0.985089730404757,"['SHHF', 'FFFF', 'FFFF', 'HHFG']"
1,99,0,1.0,0.9704017769489168,"['SFFF', 'FHHF', 'HHHF', 'FFHG']"
