Temperature,Simulations,Return,Discounted Return,Map
1,21,0,1.0,0.985089730404757,"['SFFH', 'FFFH', 'HFFF', 'HFFG']"
1,3,0,0.0,0.0,"['SHFH', 'FFHH', 'HFFH', 'HHFG']"
1,50,0,1.0,0.9588092525966956,"['SFFH', 'FHFF', 'FHHF', 'HHHG']"
1,40,0,0.0,0.0,"['SFHH', 'HFFF', 'HFFH', 'HHFG']"
1,37,0,0.0,0.0,"['SFFH', 'HFHF', 'HFHH', 'HFFG']"
1,74,0,1.0,0.9762504936564125,"['SHHH', 'FFHF', 'HFFF', 'FFFG']"
1,2,0,0.0,0.0,"['SFFF', 'FFFH', 'FFFF', 'FFFG']"
1,51,0,1.0,0.985089730404757,"['SFHF', 'HFFF', 'FFFH', 'HFFG']"
1,2,0,1.0,0.9304302024748964,"['SFFF', 'HHFF', 'FFFF', 'FFFG']"
1,52,0,1.0,0.9388545698794984,"['SFFF', 'HFFH', 'FHFH', 'HFFG']"
1,29,0,0.0,0.0,"['SHHH', 'FFHH', 'HFFH', 'FFFG']"
1,37,0,1.0,0.857932408958235,"['SFFH', 'HFHH', 'HFFF', 'FHFG']"
1,52,0,1.0,0.9762504936564125,"['SFFF', 'FFFF', 'FHFF', 'HHFG']"
1,84,0,1.0,0.9821344612135428,"['SHFF', 'FFFF', 'HFFH', 'HHFG']"
1,90,0,1.0,0.9821344612135428,"['SHFH', 'FFFH', 'FFFF', 'FFFG']"
1,58,0,0.0,0.0,"['SFFH', 'FHHF', 'FFHH', 'HFFG']"
1,41,0,1.0,0.767668872977057,"['SHHF', 'FFFH', 'HFFF', 'FHFG']"
1,63,0,0.0,0.0,"['SHFF', 'FFFF', 'HFHH', 'FFFG']"
1,50,0,1.0,0.9733217421754432,"['SFHH', 'FFFF', 'HFFF', 'FHHG']"
1,35,0,0.0,0.0,"['SHFH', 'FHFF', 'FFFF', 'FFHG']"
1,40,0,1.0,0.9674905716180701,"['SHHH', 'FFFF', 'FFFF', 'FFHG']"
1,7,0,0.0,0.0,"['SFHH', 'FFFF', 'FFFF', 'FHHG']"
1,96,0,1.0,0.9821344612135428,"['SHFH', 'FFFF', 'FHHF', 'FHHG']"
1,67,0,1.0,0.9791880578299021,"['SHHH', 'FFFF', 'FHHF', 'FFFG']"
1,16,0,0.0,0.0,"['SFFH', 'HFHH', 'FFFF', 'FFHG']"
1,71,0,1.0,0.9762504936564125,"['SFHF', 'FFHF', 'FFHH', 'FFFG']"
1,17,0,0.0,0.0,"['SHHH', 'FHHF', 'FHFH', 'FFFG']"
1,32,0,1.0,0.8735386475474635,"['SFFH', 'HHFH', 'HFFH', 'HHFG']"
1,82,0,0.0,0.0,"['SHHH', 'FHHH', 'FFFF', 'HFHG']"
