Temperature,Map,Simulations,Return,Discounted Return
1,"['SHHH', 'FFFH', 'HHFH', 'FHFG']",6,0.0,0.0
1,"['SHFH', 'FHHF', 'FFFH', 'HHFG']",28,0.0,0.0
1,"['SHHF', 'FFFH', 'HHFH', 'FHFG']",56,0.0,0.0
1,"['SFHH', 'FFFH', 'HHFF', 'HHHG']",40,1.0,0.9674905716180701
1,"['SFFH', 'HFFH', 'HHFF', 'HFFG']",13,1.0,0.835044266956004
1,"['SFFF', 'FHFF', 'FFHF', 'FFFG']",74,1.0,0.9733217421754432
1,"['SFFH', 'HFFF', 'HHFF', 'HFHG']",92,1.0,0.9762504936564125
1,"['SHHH', 'FHFH', 'FFFH', 'FHFG']",31,0.0,0.0
1,"['SFFH', 'HHFH', 'HHFH', 'HFFG']",44,1.0,0.884100203995605
1,"['SFHH', 'HFFH', 'HFFF', 'FFHG']",23,1.0,0.798246224976786
1,"['SFFF', 'FFHF', 'FFFF', 'FFHG']",7,1.0,0.9056079456455165
1,"['SFFF', 'FFHF', 'FHFF', 'FFFG']",65,1.0,0.9704017769489168
1,"['SFFF', 'FFFH', 'HHFH', 'FHFG']",48,1.0,0.8683052775100066
1,"['SFFH', 'FFFH', 'HFFF', 'FFHG']",38,1.0,0.9588092525966956
1,"['SHHF', 'FHHH', 'FFFH', 'HFFG']",43,1.0,0.8974819010978248
1,"['SHFH', 'FFHH', 'HFHF', 'HFFG']",8,0.0,0.0
1,"['SFFH', 'HHFF', 'HHHF', 'HHFG']",20,0.0,0.0
1,"['SFFH', 'HHFF', 'HHFH', 'HHFG']",61,1.0,0.837556937769312
1,"['SFHH', 'HFHF', 'HFHH', 'FFFG']",31,1.0,0.9559328248389055
1,"['SHHF', 'FHFH', 'FHHF', 'FFFG']",21,0.0,0.0
1,"['SHFF', 'FHHF', 'FFHH', 'FFFG']",13,0.0,0.0
1,"['SFHH', 'FFFH', 'HHFH', 'FHFG']",15,0.0,0.0
1,"['SFHH', 'HFHH', 'HFFF', 'HHHG']",95,1.0,0.8894287717672626
1,"['SHFF', 'FFHF', 'HFFF', 'HFHG']",20,0.0,0.0
1,"['SHHH', 'FFFF', 'HFHF', 'HHHG']",31,0.0,0.0
1,"['SFFF', 'FHFF', 'FFFF', 'HHHG']",35,1.0,0.9588092525966956
1,"['SHHH', 'FHHH', 'FFFH', 'HFFG']",70,1.0,0.9616943356035061
1,"['SFHF', 'FFFH', 'FFFH', 'HFFG']",4,0.0,0.0
1,"['SFHH', 'HFHF', 'FFFH', 'HHFG']",57,0.0,0.0
1,"['SHFH', 'FHHF', 'FFFF', 'HHHG']",100,1.0,0.9821344612135428
1,"['SFHH', 'HFFF', 'FHFH', 'HHFG']",31,0.0,0.0
1,"['SHHH', 'FHFF', 'FFHH', 'HFFG']",70,1.0,0.9645880999032158
1,"['SFHH', 'HFHH', 'HFHF', 'FFFG']",39,1.0,0.8176653739626438
1,"['SFHF', 'FFFH', 'FFFF', 'HFHG']",26,0.0,0.0
1,"['SHHF', 'FFHF', 'HFFF', 'FFFG']",99,1.0,0.9821344612135428
1,"['SFFF', 'HFHH', 'FFFF', 'HHFG']",91,1.0,0.8683052775100066
1,"['SHFH', 'FFHH', 'HFFF', 'HFHG']",47,0.0,0.0
1,"['SFHH', 'FFFF', 'HHHF', 'FHHG']",50,1.0,0.9138075656044898
1,"['SFHF', 'FFFH', 'HHFF', 'HHHG']",67,1.0,0.9110661429076764
1,"['SHFH', 'FFFH', 'FHFH', 'FHFG']",74,1.0,0.884100203995605
1,"['SFFF', 'FHFH', 'FHFF', 'FFHG']",27,1.0,0.9530650263643888
1,"['SFFF', 'HHHF', 'HFHF', 'FHHG']",53,1.0,0.9762504936564125
1,"['SFFF', 'HHFH', 'HFFF', 'HHHG']",44,1.0,0.79346393184295
1,"['SFFF', 'HHFF', 'FFFF', 'FHHG']",94,1.0,0.9791880578299021
1,"['SFHH', 'HFFF', 'HFFF', 'HFFG']",6,1.0,0.8502341582884777
1,"['SFFH', 'HFFF', 'HHFH', 'FFFG']",5,0.0,0.0
1,"['SFFH', 'HFFH', 'FFHF', 'FFFG']",96,1.0,0.9674905716180701
1,"['SHFH', 'FFHH', 'FFFF', 'FHHG']",49,0.0,0.0
1,"['SFFH', 'FFHF', 'FFFF', 'FHHG']",59,1.0,0.7699788094052729
1,"['SFFH', 'FFFF', 'HHFF', 'HFHG']",33,1.0,0.9821344612135428
1,"['SHFF', 'FHHH', 'FFFF', 'HHFG']",29,0.0,0.0
1,"['SFHH', 'FFFH', 'HFFH', 'HHFG']",40,0.0,0.0
1,"['SHFH', 'FFHH', 'FFHH', 'HFFG']",58,0.0,0.0
1,"['SFHH', 'FFHF', 'HFFF', 'HHHG']",5,0.0,0.0
1,"['SFFF', 'FFFF', 'FHFF', 'HFHG']",70,1.0,0.9821344612135428
1,"['SHHH', 'FFFH', 'HFFH', 'HHFG']",73,1.0,0.9530650263643888
1,"['SHHH', 'FHHH', 'FHHH', 'FFFG']",85,1.0,0.9645880999032158
1,"['SFFF', 'HFFF', 'HFFF', 'HFHG']",54,1.0,0.9791880578299021
1,"['SHHF', 'FFFF', 'FFHF', 'HHHG']",90,1.0,0.9304302024748964
1,"['SHHF', 'FFFF', 'FFFF', 'HHFG']",67,1.0,0.9791880578299021
1,"['SFHH', 'FHHH', 'FFFF', 'HHHG']",86,1.0,0.9762504936564125
1,"['SHFF', 'FFHH', 'HFHH', 'HFFG']",37,0.0,0.0
1,"['SFFH', 'FHFF', 'FFHF', 'HHHG']",33,1.0,0.835044266956004
