Temperature,Map,Simulations,Return,Discounted Return
1,"['SFFF', 'HFHF', 'HFHF', 'FHHG']",91,1.0,0.9704017769489168
1,"['SHHH', 'FHFF', 'FFFH', 'HFFG']",13,0.0,0.0
1,"['SHFH', 'FFFH', 'HHFH', 'FHFG']",32,0.0,0.0
1,"['SFFH', 'FFHH', 'HFHF', 'HFFG']",88,1.0,0.9502058312852957
1,"['SFFH', 'HHFH', 'HFFH', 'FHFG']",62,1.0,0.9056079456455165
1,"['SFHF', 'FFFH', 'FFFF', 'HHHG']",97,1.0,0.9616943356035061
1,"['SFFH', 'HHFH', 'HHFF', 'FFFG']",18,1.0,0.9304302024748964
1,"['SHHF', 'FFFH', 'HFFH', 'HHFG']",52,1.0,0.9304302024748964
1,"['SFFH', 'HHFF', 'HHFF', 'HFHG']",89,1.0,0.9791880578299021
1,"['SHHH', 'FFFF', 'HHHF', 'HHHG']",92,1.0,0.9588092525966956
1,"['SHHF', 'FFHH', 'HFFF', 'HFHG']",1,0.0,0.0
1,"['SHHF', 'FFHH', 'HFFF', 'FFFG']",32,1.0,0.9138075656044898
1,"['SHHH', 'FFHH', 'HFFH', 'HHFG']",63,0.0,0.0
1,"['SFFH', 'HFHF', 'HFFF', 'HHFG']",14,0.0,0.0
1,"['SHFH', 'FFFH', 'HHFF', 'FFHG']",27,0.0,0.0
1,"['SFHH', 'HFFH', 'HFFF', 'HHHG']",8,0.0,0.0
1,"['SFHF', 'HFHH', 'FFFH', 'HHFG']",18,0.0,0.0
1,"['SFHF', 'FFFF', 'HHFF', 'HFHG']",12,0.0,0.0
1,"['SFFH', 'HFFH', 'HFHH', 'FFFG']",95,1.0,0.9674905716180701
1,"['SFHF', 'HFFH', 'FFFF', 'FHFG']",2,0.0,0.0
1,"['SFHH', 'HFHH', 'HFFF', 'HHHG']",30,0.0,0.0
1,"['SFHF', 'FFFF', 'FFFF', 'FFHG']",65,1.0,0.9674905716180701
1,"['SHHH', 'FHHF', 'FHFH', 'FFFG']",67,1.0,0.985089730404757
1,"['SHHF', 'FFFH', 'HHFF', 'HHHG']",8,0.0,0.0
1,"['SFFF', 'FFFH', 'FHFH', 'FFFG']",66,1.0,0.9762504936564125
1,"['SHHF', 'FFFF', 'HHFH', 'FHFG']",60,0.0,0.0
