Temperature,Map,Simulations,Return,Discounted Return
1,"['SFHHFHF', 'HFFFHHH', 'FFHHHHF', 'HFFFFFH', 'HHHHHFF', 'HFFFHFF', 'FFHHHFG']",183,0.0,0.0
1,"['SFFHHHH', 'FFHFHHF', 'FFFHFHH', 'FHFFHFH', 'FHHFFHH', 'HHFFFFF', 'HHHHFFG']",178,0.0,0.0
1,"['SFFFHFF', 'FFFFFFF', 'FHFHFHF', 'FFFFFFF', 'FFFFFHH', 'FFHFFFF', 'FFFFFFG']",102,0.0,0.0
1,"['SFFHFFF', 'FFFHFFF', 'FFFFHFF', 'FFFFFFH', 'FFHFFFF', 'FFFFFFF', 'FFFFFHG']",152,0.0,0.0
1,"['SHFFFHH', 'FHHFFFH', 'FHFHHHH', 'FFFHHHF', 'FHFFHHH', 'HHHFFFH', 'FFHHFFG']",125,0.0,0.0
1,"['SFFFFFF', 'FFFFHHF', 'FFFFFFF', 'FFFFFHF', 'FFFFFFH', 'HHFFFFF', 'FHFFFHG']",149,0.0,0.0
1,"['SFFHHHH', 'FFFFFFH', 'HHFFHFH', 'HHFFFHH', 'FFHHFHF', 'FFFHFFF', 'FFFFFFG']",147,0.0,0.0
1,"['SHFFFFH', 'FFFFFHH', 'HHHFFFF', 'HFHFFFH', 'FFHFHFH', 'HFHHHFH', 'FHHFFFG']",125,0.0,0.0
1,"['SFFFFHF', 'FFHFFFF', 'HHFFFFF', 'FFFFFHF', 'FFFFFFH', 'FHHHHFF', 'FFFFFFG']",165,0.0,0.0
1,"['SFHFFFF', 'HFHFFFF', 'FFFFFFF', 'FFHFFHF', 'FFFHHFF', 'FFFHFFF', 'FFFFFFG']",193,0.0,0.0
1,"['SHHHHHH', 'FHFFFFH', 'FFFFFHF', 'FHHHFFF', 'FFFFFFF', 'HHHHFFF', 'HFHHHFG']",176,0.0,0.0
1,"['SFFHFFF', 'FFFFFFF', 'FFFFFFF', 'FFFFFFF', 'HFFFFFF', 'FFFFFFF', 'FFFFFFG']",170,1.0,0.9248559951318693
1,"['SFFFFFF', 'FFFFFFF', 'FFFFFFF', 'HFFFFFF', 'FFFFFFH', 'FFFFHHF', 'HFFFFFG']",137,0.0,0.0
1,"['SFFFFFF', 'FFFFFFF', 'FFFFFFF', 'FFFFFHF', 'FFFFFHH', 'FHFFFFF', 'HFFHFFG']",178,1.0,0.9276389118674717
1,"['SFFFFFF', 'FHHFHHH', 'HHHFFHF', 'HFHHFFH', 'FHFFFHH', 'FFFHFHH', 'FHHHFFG']",196,0.0,0.0
1,"['SFHHFFF', 'HFHFFFF', 'HFFHHFF', 'HFFHFFF', 'FHFFFHH', 'HHFFFFF', 'HHHFFFG']",133,0.0,0.0
1,"['SFHFHHF', 'FHFFFFF', 'FFFFHFH', 'HFFFFFF', 'FFFFFHF', 'FFFFHFF', 'FHHFHHG']",130,0.0,0.0
1,"['SFFFFHF', 'FFHHFFF', 'FFFHFFF', 'FFHHFHF', 'FFFHFFF', 'FFFHFHH', 'FFHHFFG']",164,0.0,0.0
1,"['SHHFFFF', 'FHHHHHH', 'FFFFFHF', 'FFHFFHH', 'FFFFFHH', 'FHHHFHH', 'HFHHFFG']",145,0.0,0.0
1,"['SFHFFFH', 'FFHFHFH', 'FFFHFFH', 'FFHHFFF', 'FFHFFFF', 'HFFHHHF', 'FFFFFFG']",153,0.0,0.0
1,"['SHHHFFH', 'FHFFFFF', 'FFFHHFF', 'HHHHHHF', 'FHFHFFF', 'FFFHFFH', 'HHHFFFG']",129,0.0,0.0
1,"['SFFFFHF', 'FFHFFFF', 'FFFFFFF', 'FFFFFFF', 'FFFFFFF', 'HFFHFFF', 'FFFFFFG']",116,1.0,0.9645880999032158
1,"['SHFFFFF', 'FFHFFFH', 'FHFFFFF', 'FFFFFFH', 'FFFFFFF', 'FFFFFHF', 'HFFHFFG']",134,0.0,0.0
1,"['SHFFFFH', 'FFFHFFF', 'FFHFFFH', 'FFFFFFF', 'HHFHHHH', 'FFFFFHH', 'HFFFFFG']",137,0.0,0.0
1,"['SFFHHFH', 'HFFHHFH', 'HFHFHFH', 'HFFFHHF', 'FHHFHHF', 'HFFFFFH', 'HFHHHFG']",143,0.0,0.0
1,"['SHHHFHF', 'FFFFFHF', 'HFFFFFH', 'HHHFFFH', 'FFHHFHF', 'FFFHFHH', 'FHHHFFG']",186,0.0,0.0
1,"['SFHFHFH', 'HFFHFFF', 'FHFFFFF', 'FFHFFFF', 'FFFFFHF', 'FFFHFFF', 'FFHHFFG']",153,0.0,0.0
1,"['SFFFFHH', 'FFFHFFF', 'FHHFFHF', 'HFFFFFF', 'FFHFFFF', 'FFFFHFF', 'FFFFFFG']",154,0.0,0.0
1,"['SFFHFFH', 'FFFFFFF', 'HHFHFFF', 'FFHFHHF', 'HFFHFFF', 'HHHFHFF', 'FFHFFFG']",188,0.0,0.0
1,"['SFFFFHH', 'HHHFFFF', 'HFFFFHF', 'FFHHFFH', 'HFFFHFF', 'FHFHHHF', 'FFFFFFG']",155,0.0,0.0
1,"['SFFFFHF', 'HHFFFFH', 'HHFFHFF', 'FHFFFHF', 'FFHFHHF', 'HFFFFFF', 'FFFFFHG']",173,0.0,0.0
1,"['SHHFFHH', 'FFHHFFH', 'HFHHHHH', 'HFHFFHF', 'FFFFHHH', 'FHFFFHH', 'HFFFFFG']",186,0.0,0.0
1,"['SFFFFHH', 'FFHFFFF', 'HFFFFFF', 'HHHFFFF', 'HHHHHHF', 'HHFHHFF', 'FHFHFFG']",197,0.0,0.0
1,"['SFFHFFF', 'FFHHHFF', 'HFHHHHF', 'FFFHFHF', 'HFFFHHF', 'FFHFFFF', 'HFHFFFG']",184,0.0,0.0
1,"['SFFFFFF', 'FFFFFFF', 'FFFFFHF', 'FFFFFFF', 'FFFFFFF', 'FFFFFFF', 'FHFHFFG']",173,1.0,0.9165572373164391
1,"['SHFHHFH', 'FFFHHHH', 'FHFHHFF', 'HFFFFFF', 'HFHFHHF', 'FHHHHHF', 'HHHFHFG']",143,0.0,0.0
1,"['SHHHHFH', 'FHFHHFF', 'FFFFFFH', 'FHHHHFH', 'FFFFFHF', 'FHHHFFH', 'FFHFHFG']",167,0.0,0.0
1,"['SFFFFHH', 'FFHHHHF', 'FFFFFFF', 'FFFHFFF', 'HFFFHHH', 'FHFFFFH', 'FFFFFFG']",161,0.0,0.0
1,"['SHHHHHH', 'FHFHFFH', 'FHHHFHF', 'FFFHHHH', 'HHFFFFH', 'HHHFHFF', 'HFFHHFG']",173,0.0,0.0
1,"['SFHHFFF', 'HFFFFFH', 'FHFFFFF', 'FFFFHFF', 'FFFFFFF', 'FFHFFFF', 'FFFFFFG']",127,0.0,0.0
1,"['SHHFFHH', 'FHHHFHH', 'FHFHHHF', 'FFHFHHH', 'HFFFFHF', 'HHHFFFH', 'FHFHFFG']",123,0.0,0.0
1,"['SHHFHHF', 'FFHFFFH', 'FFFFHHF', 'HFHFFFF', 'FFFFHFF', 'HHHHHHF', 'HFFHHHG']",163,0.0,0.0
1,"['SHHFHHH', 'FFFHFHH', 'FHHHFFF', 'FHFFHHH', 'FFFFHHF', 'HHHFFFF', 'FFHHFFG']",188,0.0,0.0
1,"['SHHHHFF', 'FFFFHHF', 'HHHFHFH', 'FHHFFHH', 'HHHHFHH', 'HHHHFFF', 'FFFHFHG']",133,0.0,0.0
1,"['SFFFFFF', 'HFFFFHH', 'FHFFFFF', 'FFFFFFF', 'FFFFFHF', 'FFHFFFH', 'FFFFHFG']",186,0.0,0.0
1,"['SFHFFHH', 'FHFFHFF', 'FHFHHFF', 'FFFFFHH', 'FFHFHHH', 'FFFFFFH', 'HHFHHFG']",144,0.0,0.0
1,"['SFHHFFF', 'FHHHFHF', 'FHHHFHH', 'FFFHHFH', 'FHHHHHH', 'FFFFFFF', 'FHHHHHG']",167,0.0,0.0
1,"['SFFHFFH', 'HHFFFHF', 'FFFHHHF', 'FFFFFHF', 'HFHHFFF', 'HFHHFHF', 'FHHFHFG']",104,0.0,0.0
1,"['SFHHFHF', 'HFFFFFF', 'FFFFFFF', 'FHFHHHF', 'FHFFFFF', 'FFHFFFF', 'HFFFFHG']",166,0.0,0.0
1,"['SFFHFHH', 'HHFFHFF', 'FFFFFFH', 'FFHHFFH', 'FFFFFFF', 'HHFHFFF', 'FFFHFFG']",184,0.0,0.0
1,"['SFFFHFF', 'FHFHFFF', 'FFFFFFF', 'FHFFFFF', 'HFFFFFF', 'FFFFFFF', 'HHFFFFG']",183,1.0,0.8814479033836181
1,"['SHHHFFH', 'FFFFHFF', 'FHHFHHF', 'FFFFHFH', 'HHFFFFH', 'FFFHFFH', 'HFFHFFG']",170,0.0,0.0
1,"['SHHHFFH', 'FFHHHHF', 'FFFFFFF', 'FHFHFFF', 'HHFHHFF', 'HHHHFFH', 'FHFHHFG']",127,0.0,0.0
1,"['SFHHFFF', 'HFFHFFH', 'FFFHFFH', 'FHHHHHH', 'FHFHHFF', 'FFFFFFH', 'FFFHFFG']",106,0.0,0.0
1,"['SFHFHHH', 'HFFFFHH', 'FHHHFFH', 'FFHHFHH', 'HFFHFFF', 'FHFFHFF', 'HHHFHHG']",190,0.0,0.0
1,"['SFFFFFF', 'FFFFFFF', 'FFFHFFF', 'FHFFHFH', 'FFHFFFF', 'FFHFFHH', 'FFFFFFG']",114,0.0,0.0
1,"['SHHHFFF', 'FFHFHFF', 'FFFFHFH', 'HFFHFFF', 'FHFHHHH', 'HHFFFFH', 'HHFFFFG']",182,0.0,0.0
1,"['SFFFFFH', 'FHFFFFH', 'HFFHFFH', 'FFFFFFF', 'FFFFFFF', 'FFHFFFF', 'FFFFFFG']",177,1.0,0.9304302024748964
1,"['SHHHHFF', 'FFFHHFF', 'HFFFFFH', 'FHFFHHF', 'FFFHHHF', 'FFFFFFF', 'HFFHHFG']",145,0.0,0.0
1,"['SFFFFFF', 'FHFFFFF', 'FFFFFFF', 'FFFFFHF', 'FFFFFFF', 'FFFFFFF', 'FFFFFFG']",117,1.0,0.9530650263643888
1,"['SFFHFHF', 'FFFFFFH', 'FFFHFFF', 'FFFFFFH', 'HFHFFFF', 'FFFFFFF', 'FFFFFFG']",163,1.0,0.8400771692771434
1,"['SHHHFHH', 'FFHHFFH', 'FFHHHHF', 'FHHHFFH', 'FHHFHFH', 'FFFFFHH', 'HFFFFFG']",124,0.0,0.0
1,"['SHHFHHF', 'FFFHHFF', 'FFFFFHH', 'HHHHFFH', 'HHHHHFF', 'HHHHHHF', 'FFFHHHG']",193,0.0,0.0
1,"['SFHFHHF', 'FFFHFHF', 'FHFHFHH', 'FHFHHFH', 'HHFFFFF', 'FHHHFFF', 'FFHFFHG']",139,0.0,0.0
1,"['SFFHFHF', 'FHFFHHF', 'HHFHFHF', 'HHFFFFF', 'HFHHFFH', 'HHFFFFH', 'FFHFHFG']",120,0.0,0.0
1,"['SFFFHHH', 'FFHHFHH', 'HFHHFHF', 'HFFHHHF', 'FHFFFHH', 'FFHHFFH', 'HFHHHFG']",150,0.0,0.0
1,"['SFFFFFF', 'FFHFHFF', 'FFFHFFF', 'HFFFHFF', 'FFFFFHH', 'FFFFFFF', 'HFFFFFG']",125,0.0,0.0
1,"['SFHFHHF', 'FFFFFFF', 'FFFHHFH', 'FFFHFFF', 'FFFHFHF', 'FHFFFFF', 'FFFFFHG']",195,0.0,0.0
1,"['SFHFHFF', 'FHHFFFH', 'FFHHFFH', 'FFFFFFF', 'FFFFFFF', 'HFFHFFF', 'HFFHHFG']",161,0.0,0.0
1,"['SFFFFHF', 'FFFFFHF', 'FFFFFFH', 'FFFFFFF', 'FFFHFFF', 'FHHFFFF', 'HFFHFFG']",144,1.0,0.9332298921513504
1,"['SFFHFHF', 'FFHFFHF', 'FFFHFHF', 'FFHFHFF', 'HFFFFFF', 'FHFHFFF', 'FFFFHFG']",197,0.0,0.0
1,"['SFHFFFF', 'FFFFFFF', 'FFHFFFF', 'FFFFFFF', 'HFFFFFF', 'FFFFFFF', 'FFFFFFG']",188,1.0,0.9445131481500655
1,"['SFHFFFF', 'FFFHFFF', 'FFFFFFF', 'FFFFFFF', 'FFFFFFF', 'FFFFFHF', 'FHFFFFG']",151,1.0,0.8947894553945313
1,"['SFHHFHH', 'FFHHFHH', 'FFFFHHF', 'HHFFHHF', 'FHFFFFF', 'FFHFHHF', 'FHHFFHG']",184,0.0,0.0
1,"['SHHFFFF', 'FFFFFHF', 'FFHHHHH', 'FFFHFFH', 'FHFFFFH', 'FFHFFFH', 'HFFFFFG']",166,0.0,0.0
1,"['SHFFHHH', 'FHFHFFH', 'FHHFFHF', 'FFFHHHH', 'HHFHHHF', 'HHFFFFH', 'HHHHHFG']",123,0.0,0.0
1,"['SHHFHFF', 'FHFFHFH', 'FFFFFHH', 'FFHFFFH', 'FFFFFHH', 'FFFFFHF', 'FHFHFFG']",159,0.0,0.0
1,"['SHHHFFF', 'FHHFHHH', 'FHFFFHH', 'FFFFHFF', 'HHHFFFH', 'HHFHFFH', 'HFHHHFG']",166,0.0,0.0
1,"['SFHHHHF', 'FFFFFHF', 'FHHHFHF', 'HFFHFFH', 'FHHFHFF', 'HHFHHHF', 'HHHHFFG']",196,0.0,0.0
1,"['SFFFFHH', 'FFHFHFH', 'HFFHHHF', 'HFHFHHF', 'FFFFFFF', 'HFHFHHF', 'HFHHHFG']",160,0.0,0.0
1,"['SFHFFHH', 'FFFFFFF', 'FFFFFFH', 'HHFFFFH', 'FFHHFFH', 'HHFFFFF', 'FFFFFFG']",173,0.0,0.0
1,"['SFFHHHH', 'HHFHFHH', 'HFFFFFF', 'HFHHHHF', 'FHHFHFF', 'HFFFHFF', 'HHFFHHG']",198,0.0,0.0
1,"['SFHFHHF', 'HFHHHFH', 'HFFFHHH', 'HHHFFFH', 'HHFHHFF', 'HHHFHFF', 'FHHHHHG']",119,0.0,0.0
1,"['SFFFFFH', 'FFFHFFF', 'FFHHHFH', 'HFHFFFH', 'HFFFFFF', 'HHFHHHF', 'FHHHHFG']",137,0.0,0.0
1,"['SFFHFFF', 'FFFFFFF', 'HHFFFFF', 'FHHFFFF', 'FFFFHFF', 'FFFFFFF', 'FHHFFFG']",126,0.0,0.0
1,"['SFHHHFH', 'FFFFFHH', 'HFFHHHH', 'HFFFFHH', 'HFFFHHF', 'FHHFFFF', 'HHHHHHG']",156,0.0,0.0
1,"['SFFFFHF', 'HHFFFHF', 'FFHHFFF', 'FFHHHFH', 'FFHHHFF', 'FFHFFHF', 'HHFFFFG']",116,0.0,0.0
1,"['SHFFFFF', 'FFFFHFH', 'FFFFFFF', 'FFFFFFH', 'HFHHFFF', 'FHHHHFF', 'HHFFFFG']",104,0.0,0.0
1,"['SFFHFFF', 'FHHFFFF', 'FHHFFFF', 'FFHFFFF', 'FHFHFFF', 'FFFFHHF', 'FFFFFFG']",154,0.0,0.0
1,"['SFHHFFF', 'HFFFHFF', 'HFHHFHH', 'FFHHFFF', 'FFFFFFF', 'FFFFFFH', 'HFFFFFG']",101,0.0,0.0
1,"['SFFHFHF', 'FFFFHHH', 'HHHFHHF', 'FHHFHHH', 'FFFFFHF', 'HFHHFFH', 'FHHHFFG']",134,0.0,0.0
1,"['SFFHFHF', 'HHFHHHH', 'HHFFFFH', 'HFHHHFF', 'HFHHFFF', 'HHHFFFF', 'FHFHHFG']",192,0.0,0.0
1,"['SFFFHFF', 'FHFFHHF', 'FFFFFFF', 'FFFFFFF', 'FFFFFHF', 'FFFFFFF', 'HFFFFFG']",152,1.0,0.9645880999032158
1,"['SFFHFHF', 'FHFFFHH', 'FHFHFFH', 'FHHHHFF', 'HHFFHFF', 'HFFHFFF', 'FFFHHHG']",157,0.0,0.0
1,"['SFHHFFF', 'FFHHHHF', 'HFHFHHH', 'FFFHFFF', 'HFHFFFF', 'FFHHHHF', 'FFFFFFG']",188,0.0,0.0
1,"['SFHHFHH', 'FFFFHFH', 'HHHFFFH', 'FHHFFFH', 'HHFFFFH', 'HHHHHFF', 'HHHHFHG']",196,0.0,0.0
1,"['SHFFHFF', 'FFHHFHF', 'FFFFHFH', 'HHHFFFF', 'FHFFFFF', 'FHHFFHF', 'HFFFFFG']",145,0.0,0.0
1,"['SFFFFHH', 'HFFFFFH', 'FFFHFFF', 'FFHFFHF', 'FFFFFFF', 'HFHFFHF', 'FFFFFFG']",126,0.0,0.0
1,"['SHFHHFF', 'FFFFFHF', 'FFHFFHH', 'FFFFHFF', 'FFFFFHH', 'FFHFFHF', 'FHFFFFG']",132,0.0,0.0
1,"['SFFFFFH', 'FFHFHFF', 'FHHFFFH', 'FFFFHHF', 'HFFFFHH', 'FHFFFFF', 'FHFHFHG']",199,0.0,0.0
1,"['SHFFFHF', 'FFFFFFF', 'HFFFFFF', 'FHHFFFF', 'FHFFFFF', 'FFFFHFF', 'FFFFFFG']",153,0.0,0.0
1,"['SFHHHHH', 'HFFFHHF', 'HHFFFHH', 'FFFFFFF', 'FHHHFFF', 'FFHHFHF', 'FHFFHHG']",155,0.0,0.0
1,"['SFHFHHH', 'FHFHHHF', 'FFFHHFH', 'FHFFFFF', 'FHFHHFF', 'HHHHHHF', 'HHFHHHG']",189,0.0,0.0
1,"['SFFFFHF', 'HFFFHHF', 'FHFHFFF', 'FFFFFHF', 'FFFFHFF', 'FFFHFHF', 'FFHFHFG']",194,0.0,0.0
1,"['SFHHFFF', 'FFFHFFH', 'FFFHFHF', 'FHFFFFF', 'FFFHFFH', 'FFFHFFH', 'HFFHHFG']",147,0.0,0.0
1,"['SFFHFFF', 'FFFFFFF', 'HHFHFFF', 'FFFFFFF', 'FFFFFHF', 'FFFHFFF', 'FFFFHHG']",137,0.0,0.0
1,"['SFFHHHH', 'FFFHHHF', 'FHFFFHF', 'HFFFHFH', 'FHHFFFH', 'FFHFFFF', 'FHFHFFG']",126,0.0,0.0
1,"['SFFFFFF', 'FFFFFHF', 'FHFFFFH', 'FFFHFFF', 'HFFFFFF', 'FFFFFFF', 'FFFFHFG']",171,1.0,0.8683052775100066
1,"['SFFFFFF', 'FFFFFFF', 'FFFFFFF', 'FHFFFFF', 'FFFFHFF', 'FFFFFFF', 'FFFFFFG']",111,1.0,0.9388545698794984
1,"['SFFFFFF', 'HHFFFFF', 'FFHFFFH', 'HHHFHHH', 'FHHFHFF', 'FFFFHHF', 'HFFFFFG']",184,0.0,0.0
1,"['SFFFFHF', 'FFFHFFH', 'HFFFFFF', 'FHFFHHF', 'FFFHFFF', 'FHFFHFF', 'FHFFFHG']",137,0.0,0.0
1,"['SFFFFFF', 'HFFHFFF', 'FFHHFFH', 'FFFFFHF', 'FHFHFFF', 'FFFFFFF', 'FFHHFFG']",100,0.0,0.0
1,"['SFHFHFH', 'FFFFFHF', 'FFHFFHH', 'HHHFFFF', 'FFFFFFF', 'FFHFFFH', 'FFHHFFG']",156,0.0,0.0
1,"['SFFFFFF', 'FFHHHHF', 'FFFFHFH', 'FFFFFFF', 'FFFFFFF', 'HHHHFFH', 'HFFFFFG']",169,0.0,0.0
1,"['SFHFFHF', 'HFFHFHH', 'HHFFHFH', 'HHHFFHH', 'HHHHFFH', 'HFHHFHF', 'HHHFFFG']",187,0.0,0.0
1,"['SHFFFFF', 'FFFHFFF', 'FHFFFFH', 'FFFFFFH', 'FFFFFHF', 'FHHHFFF', 'HHFHFFG']",182,0.0,0.0
1,"['SHFHHFH', 'FFFFFHH', 'FFFFFHF', 'FFFFFFF', 'HHFFHFH', 'FFFFFFH', 'FHFFFFG']",107,0.0,0.0
