Temperature,Map,Simulations,Return,Discounted Return
1,"['SHHH', 'FFHF', 'HFFH', 'FHFG']",25,0.0,0.0
1,"['SHHH', 'FFHH', 'HFHF', 'HFFG']",34,0.0,0.0
1,"['SFFF', 'FFHF', 'FHFF', 'HHHG']",23,1.0,0.8683052775100066
1,"['SFFH', 'FHFF', 'FFHF', 'FFFG']",95,1.0,0.9762504936564125
1,"['SFFF', 'FHFH', 'FHFH', 'HFFG']",3,0.0,0.0
1,"['SFFF', 'HFFF', 'HHFH', 'HFFG']",4,0.0,0.0
1,"['SFHF', 'HFFF', 'HHHF', 'HFHG']",63,1.0,0.9674905716180701
1,"['SFHH', 'HFFF', 'FFHF', 'HHHG']",7,0.0,0.0
1,"['SHHF', 'FHFF', 'FFFF', 'FHFG']",94,1.0,0.9220814271464737
1,"['SFFH', 'HFHH', 'FFHH', 'FFFG']",69,1.0,0.9588092525966956
1,"['SHHH', 'FFHH', 'FFFH', 'HFFG']",79,1.0,0.9530650263643888
1,"['SHFF', 'FFFH', 'HHFF', 'HHHG']",63,1.0,0.9276389118674717
1,"['SFFF', 'HHFF', 'HFFF', 'FHHG']",25,1.0,0.9674905716180701
1,"['SFFH', 'FFFF', 'FFFF', 'HHFG']",91,1.0,0.9821344612135428
1,"['SFHF', 'FFHF', 'FFFH', 'FHFG']",30,1.0,0.798246224976786
1,"['SFHF', 'HFHF', 'FFHH', 'HFFG']",23,1.0,0.7722956964947572
1,"['SFHH', 'FFFH', 'HHFH', 'HHFG']",18,0.0,0.0
1,"['SFFF', 'FHFF', 'HFFF', 'HFFG']",19,1.0,0.985089730404757
1,"['SFHF', 'FFFF', 'FFFH', 'FFFG']",82,1.0,0.9821344612135428
1,"['SFHF', 'HFFF', 'HHHF', 'HHHG']",47,1.0,0.8788035596734672
1,"['SFFH', 'HFHF', 'HFFF', 'FHHG']",97,1.0,0.9138075656044898
1,"['SHHH', 'FHHF', 'FHFF', 'FFFG']",20,1.0,0.7584982177744161
1,"['SFHH', 'FFHF', 'HFHF', 'FFFG']",4,0.0,0.0
1,"['SFHF', 'FHFF', 'FFHH', 'HFFG']",56,0.0,0.0
1,"['SFHF', 'HFHH', 'HFHH', 'HFFG']",24,1.0,0.8631032605924442
1,"['SFFH', 'FFFF', 'FHFF', 'HFFG']",100,1.0,0.9821344612135428
1,"['SFFH', 'FFFH', 'FFFF', 'FFFG']",93,1.0,0.985089730404757
1,"['SFFH', 'HHFH', 'HFFF', 'HHFG']",6,0.0,0.0
1,"['SFFF', 'HHHF', 'HHHF', 'FHHG']",58,1.0,0.9791880578299021
1,"['SHFH', 'FFFH', 'FFFF', 'FHHG']",88,1.0,0.9674905716180701
1,"['SHFF', 'FFFF', 'HFFF', 'HHFG']",85,1.0,0.9821344612135428
1,"['SFFH', 'HFFF', 'HHHF', 'FFHG']",47,1.0,0.9733217421754432
1,"['SHHH', 'FFHF', 'HFHF', 'HFFG']",56,0.0,0.0
1,"['SFFH', 'FHFF', 'FFHF', 'FFFG']",11,1.0,0.8788035596734672
1,"['SFFF', 'HFFH', 'HFFF', 'HHHG']",54,1.0,0.9704017769489168
1,"['SHHF', 'FFHH', 'HFHH', 'HFFG']",44,0.0,0.0
1,"['SFHH', 'FFFF', 'HHHF', 'HHFG']",2,0.0,0.0
1,"['SFHF', 'FFFH', 'HHFF', 'FHHG']",75,1.0,0.9304302024748964
1,"['SFHH', 'FHHH', 'FFFF', 'HHFG']",76,1.0,0.9001824484431542
1,"['SHFH', 'FFHF', 'FFFF', 'FHFG']",76,1.0,0.9645880999032158
1,"['SHFH', 'FFFF', 'HHHF', 'HHHG']",81,1.0,0.9473552137914398
1,"['SHHH', 'FFFH', 'HFHH', 'HFFG']",18,0.0,0.0
1,"['SHHF', 'FFHH', 'HFHH', 'HFFG']",40,0.0,0.0
1,"['SFFF', 'FFHF', 'HFHF', 'FHFG']",72,1.0,0.9674905716180701
1,"['SHHH', 'FHHH', 'FFHH', 'HFFG']",69,0.0,0.0
1,"['SHHH', 'FHHF', 'FFFF', 'HHHG']",98,0.0,0.0
1,"['SFHH', 'HFHF', 'FFFH', 'HHFG']",68,1.0,0.8275513922024125
1,"['SHHF', 'FFFF', 'FFHF', 'FFFG']",98,1.0,0.9733217421754432
1,"['SFFH', 'HHFH', 'HHFF', 'HFHG']",98,1.0,0.9304302024748964
1,"['SHHF', 'FFHF', 'HFFF', 'FHHG']",5,0.0,0.0
1,"['SFHF', 'HFHF', 'HFFH', 'HFFG']",68,1.0,0.9733217421754432
1,"['SFHH', 'HFFF', 'HFHF', 'FHHG']",44,1.0,0.9821344612135428
1,"['SFHF', 'FFFH', 'HFHH', 'FFFG']",4,0.0,0.0
1,"['SHHF', 'FFFF', 'HFFF', 'HFFG']",94,1.0,0.985089730404757
1,"['SHHH', 'FFHH', 'FFHH', 'HFFG']",25,0.0,0.0
1,"['SFFF', 'HFFF', 'FFFF', 'FHFG']",77,1.0,0.9791880578299021
1,"['SFHF', 'FFFH', 'HHFF', 'HHHG']",12,0.0,0.0
1,"['SHFF', 'FFFF', 'FHHF', 'FFFG']",6,0.0,0.0
1,"['SFFF', 'HFHF', 'HHFF', 'HFFG']",89,1.0,0.9762504936564125
1,"['SHHH', 'FFFH', 'FHFF', 'HHFG']",72,1.0,0.9502058312852957
1,"['SFHH', 'HFFF', 'FHFH', 'HHFG']",97,1.0,0.8761671489944468
1,"['SFHF', 'HFFF', 'HHFH', 'FHFG']",31,1.0,0.8761671489944468
1,"['SHHF', 'FFFF', 'HHHF', 'HHFG']",66,1.0,0.9220814271464737
1,"['SFFF', 'HHHF', 'HFFF', 'HFFG']",72,1.0,0.9733217421754432
1,"['SHHF', 'FHHH', 'FFHH', 'HFFG']",40,0.0,0.0
1,"['SFFF', 'HHHF', 'HHFF', 'HFHG']",20,1.0,0.9276389118674717
1,"['SFHH', 'HFHF', 'HFFF', 'FHFG']",98,1.0,0.9821344612135428
1,"['SHHF', 'FFFH', 'FFFH', 'HFFG']",54,1.0,0.9733217421754432
1,"['SFHF', 'HFHF', 'FFFH', 'FFFG']",80,1.0,0.9762504936564125
1,"['SFHH', 'FFFF', 'HHFF', 'FFHG']",80,1.0,0.9733217421754432
1,"['SFHH', 'HFHH', 'HFFH', 'HHFG']",7,0.0,0.0
1,"['SFFF', 'FHFF', 'HFFF', 'HHHG']",16,1.0,0.9588092525966956
1,"['SHFH', 'FHFH', 'FFHF', 'HFFG']",59,0.0,0.0
1,"['SFFF', 'FFHF', 'FHHF', 'HHFG']",10,1.0,0.884100203995605
