Temperature,Map,Simulations,Return,Discounted Return
1,"['SHFFF', 'FFFFF', 'FFFFF', 'FFFFF', 'FHFHG']",90,1.0,0.9762504936564125
1,"['SFFFH', 'FFHHH', 'FFFFF', 'HHFFF', 'HHFFG']",11,0.0,0.0
1,"['SFHHH', 'FFFFF', 'FHHFF', 'HFHFF', 'FHFHG']",60,1.0,0.803057341509771
1,"['SFFFF', 'HHFHF', 'FHFFF', 'FFFFH', 'HFFFG']",64,0.0,0.0
1,"['SFFHH', 'HHFFH', 'FHHFH', 'FHHFF', 'HFHHG']",20,0.0,0.0
1,"['SFHHF', 'FHHHF', 'FFFHF', 'FHFHF', 'FFFFG']",90,0.0,0.0
1,"['SHHHH', 'FHHHH', 'FFFHH', 'HFHHF', 'HFFFG']",84,0.0,0.0
1,"['SFHFF', 'FFFHF', 'FHFFF', 'FFHFF', 'HFFFG']",3,0.0,0.0
1,"['SFFFF', 'HFHFF', 'FHFFF', 'HFFFF', 'FFFHG']",55,1.0,0.9762504936564125
1,"['SFFHH', 'FHFFF', 'FHHHF', 'FHHFF', 'FHFFG']",1,0.0,0.0
1,"['SFFFF', 'FFFFF', 'FFFFF', 'HFFFF', 'HFFFG']",29,1.0,0.884100203995605
1,"['SFHFF', 'HFHHF', 'HFFHF', 'FFFFH', 'FFHFG']",27,0.0,0.0
1,"['SFFHH', 'FFFFF', 'FFFFF', 'HFFFF', 'HFHFG']",56,1.0,0.9445131481500655
1,"['SHHHH', 'FHHHH', 'FFFFH', 'FFHFF', 'HHHHG']",77,0.0,0.0
1,"['SFFFH', 'FHHFF', 'HHHFH', 'HHHFH', 'HHHFG']",69,0.0,0.0
1,"['SFHHH', 'FFHFH', 'FFFFF', 'FHHFH', 'HHHFG']",11,0.0,0.0
1,"['SHFFF', 'FHFFH', 'FHFFF', 'FFFHF', 'FFFFG']",76,1.0,0.9445131481500655
1,"['SFHHF', 'FFFFF', 'HFFHF', 'FHFFF', 'FHFHG']",49,0.0,0.0
1,"['SFFHF', 'FFFFF', 'FHFHH', 'HFFFF', 'FHFHG']",66,0.0,0.0
1,"['SFFFF', 'HHHHF', 'FHFHF', 'FHFFF', 'HHFFG']",90,1.0,0.798246224976786
1,"['SFHFF', 'HFHFH', 'HFHHF', 'FFFFH', 'FFFFG']",43,0.0,0.0
1,"['SFFFF', 'FFFFH', 'FHHHF', 'FFFHF', 'FFFFG']",58,1.0,0.8974819010978248
1,"['SHFHH', 'FHHHH', 'FFHHH', 'HFFFF', 'HHHHG']",85,0.0,0.0
1,"['SFFHH', 'HHFFH', 'HFFFH', 'FFHFH', 'HFHFG']",33,0.0,0.0
1,"['SHFFF', 'FFFFF', 'HFFFF', 'FFFFF', 'FFFFG']",23,1.0,0.9445131481500655
1,"['SFFFH', 'HFHFH', 'FHFFF', 'HFHFF', 'HHFHG']",52,1.0,0.7699788094052729
1,"['SFFFF', 'HHFFH', 'HHHFH', 'FHHFF', 'HFHHG']",79,0.0,0.0
1,"['SFHFH', 'FFFFF', 'FHFFF', 'HFFFF', 'HHHFG']",43,1.0,0.9704017769489168
1,"['SFFFH', 'HFFHH', 'HHFFH', 'HHFFH', 'FHHFG']",83,0.0,0.0
1,"['SFHHH', 'FHHFF', 'FHHFF', 'FFFFF', 'HHHHG']",40,0.0,0.0
1,"['SFFHH', 'HHFHH', 'HHFFF', 'HHHHF', 'HHHHG']",26,0.0,0.0
1,"['SFFHH', 'FFFFF', 'FHFFF', 'HHFHF', 'HFHFG']",5,0.0,0.0
1,"['SFFFH', 'HHFFH', 'HFFFH', 'FHFFH', 'FFHFG']",100,1.0,0.9332298921513504
1,"['SFFHH', 'FHFFH', 'HHHFH', 'HHHFF', 'HHHFG']",67,0.0,0.0
1,"['SFHFH', 'FFHHH', 'HFFHF', 'FHFFF', 'FHHHG']",90,0.0,0.0
1,"['SFHFF', 'FFFHH', 'FFHFH', 'HFFHF', 'HFFFG']",65,0.0,0.0
1,"['SHFHH', 'FHFHH', 'FFHFH', 'HFFFH', 'HHHFG']",81,0.0,0.0
1,"['SHHFH', 'FHHHH', 'FFHFH', 'HFFFH', 'HFFFG']",50,0.0,0.0
1,"['SFFFF', 'HHHFF', 'FFHFH', 'FHFFF', 'HHFFG']",77,1.0,0.8078974551636565
1,"['SFFHH', 'FFFFH', 'FFFFH', 'FFFHF', 'FFFFG']",91,1.0,0.9704017769489168
1,"['SFFFF', 'HFFFF', 'FFFFH', 'FFFFF', 'FFFHG']",57,1.0,0.9001824484431542
1,"['SHHHF', 'FFFHF', 'HHFFF', 'HHFFF', 'HFHHG']",59,0.0,0.0
1,"['SFFFF', 'FFFHF', 'FFHFF', 'FHFFF', 'FFFFG']",22,0.0,0.0
1,"['SFHFH', 'HFHFF', 'FFFFF', 'HFHHH', 'FFFFG']",23,0.0,0.0
1,"['SFFHF', 'HHFFF', 'FFFHF', 'FHFFF', 'FFFFG']",50,1.0,0.9165572373164391
1,"['SFFFF', 'FHFHF', 'HFFFF', 'HHFFF', 'FFFFG']",59,1.0,0.9416796087056153
1,"['SHHFF', 'FHHFH', 'FHFHH', 'FFFHF', 'FHFFG']",11,0.0,0.0
1,"['SHHHH', 'FHHHH', 'FFFHF', 'HHFFH', 'HHFFG']",63,0.0,0.0
1,"['SFFHF', 'FFHFF', 'FFFFH', 'FHHFF', 'FHHHG']",18,0.0,0.0
1,"['SFFFF', 'FFFFF', 'FFFFH', 'FFFFF', 'HFFHG']",72,1.0,0.9733217421754432
1,"['SFHHH', 'HFFFH', 'HFHFF', 'HHHHF', 'FHHHG']",74,0.0,0.0
1,"['SFFFF', 'HHHHF', 'HHHHF', 'HHHHF', 'HHHHG']",56,1.0,0.835044266956004
1,"['SFFFH', 'HHFHH', 'HHFFH', 'HHHFF', 'FFHHG']",66,0.0,0.0
1,"['SFHHF', 'FFFFF', 'HFFFF', 'HFFFF', 'FHHFG']",59,1.0,0.9445131481500655
1,"['SFHHF', 'FHFFH', 'FFFFF', 'FFHHF', 'HFFFG']",61,0.0,0.0
1,"['SHHHH', 'FHHHH', 'FFHHH', 'HFHHH', 'HFFFG']",31,0.0,0.0
1,"['SHHHH', 'FFFHF', 'HFFHH', 'HFFFF', 'FHHHG']",98,0.0,0.0
1,"['SFFHF', 'FHFHF', 'FFFFF', 'FFFFF', 'HHFFG']",48,1.0,0.8735386475474635
1,"['SFHHH', 'HFHHH', 'HFFHF', 'FHFFF', 'HHHHG']",73,0.0,0.0
1,"['SFFFH', 'HHHFF', 'HHFHF', 'HHFHF', 'HHHFG']",78,0.0,0.0
1,"['SHHFF', 'FHHHH', 'FFHHH', 'FFFHH', 'HHFFG']",17,0.0,0.0
1,"['SFHHH', 'FHHHH', 'FFFFF', 'HHFFH', 'HFFFG']",13,0.0,0.0
1,"['SHFFH', 'FHHHH', 'FFHHH', 'FHFFF', 'FFFHG']",28,0.0,0.0
1,"['SFFFH', 'FFHFF', 'FHHHF', 'HHHFF', 'FFFFG']",52,0.0,0.0
1,"['SHHFF', 'FFFHF', 'HFFHH', 'HFFFF', 'HHHFG']",34,0.0,0.0
1,"['SFFFF', 'HHFFH', 'HHFFF', 'HHHHF', 'HHHHG']",90,1.0,0.8761671489944468
1,"['SHHHH', 'FFHHH', 'HFFHH', 'FHFFF', 'HHHHG']",39,0.0,0.0
1,"['SHFFF', 'FFFFF', 'FFHFF', 'FFFFF', 'HFFFG']",54,1.0,0.9416796087056153
1,"['SHHFH', 'FFFHH', 'HHFFH', 'HHHFH', 'HHFFG']",26,0.0,0.0
1,"['SFFFF', 'FHFFF', 'FFFHF', 'FFFFF', 'HFFFG']",75,1.0,0.9502058312852957
1,"['SFFFF', 'FHFFH', 'FHFHH', 'FHFFH', 'FHFFG']",56,1.0,0.8054737627981655
1,"['SFFFF', 'HFHHF', 'FHFFF', 'HHHHF', 'HHFHG']",85,1.0,0.8426049842298329
1,"['SFFFF', 'FFFHF', 'FFFHF', 'FFFHF', 'FFFFG']",47,1.0,0.9588092525966956
1,"['SFHHF', 'FFFHF', 'FFFFF', 'FFFFH', 'FFFFG']",4,0.0,0.0
1,"['SFFHF', 'HFHHH', 'FFFFF', 'FHHFF', 'HHFFG']",85,0.0,0.0
1,"['SFFFF', 'FFFFH', 'HHHFH', 'HHHFF', 'HFFFG']",66,1.0,0.7584982177744161
1,"['SFHHH', 'HFFFF', 'HHHFH', 'HHHFH', 'HHHFG']",33,0.0,0.0
1,"['SFFHF', 'FFHFF', 'FHHFH', 'FHFFF', 'FFFHG']",55,0.0,0.0
1,"['SFFHH', 'FFHHH', 'FFFFF', 'HFHHF', 'HHFHG']",53,0.0,0.0
1,"['SFFFF', 'HHHHF', 'HFHHF', 'HHHHF', 'HHHHG']",1,0.0,0.0
1,"['SFFFF', 'FHFFF', 'FFHFH', 'HFFHF', 'FHFFG']",42,0.0,0.0
1,"['SFFFF', 'FHFFF', 'FHFFF', 'FHHFF', 'FHHFG']",36,1.0,0.9502058312852957
1,"['SFFFF', 'HFHFH', 'HFFFF', 'HHHHF', 'FHHFG']",41,0.0,0.0
1,"['SFFFH', 'FFFFF', 'HHFHH', 'FFFFF', 'FFFHG']",48,0.0,0.0
1,"['SHFFF', 'FFHFH', 'HFHFF', 'FFFFH', 'FHFFG']",27,0.0,0.0
1,"['SFFFF', 'FFHHF', 'FFHFF', 'HFHHF', 'HFHFG']",82,1.0,0.9704017769489168
1,"['SFHHH', 'FHHHF', 'FFFHH', 'HHFFH', 'HHHFG']",63,0.0,0.0
1,"['SFFFF', 'FFFFF', 'HFFFH', 'HFFFF', 'FFFHG']",46,1.0,0.9473552137914398
1,"['SFHFF', 'HFFFH', 'FFHFH', 'FFFFH', 'FFFFG']",21,0.0,0.0
1,"['SHHHH', 'FFFFH', 'HHHFF', 'FFFFF', 'HFHHG']",78,0.0,0.0
1,"['SFHFF', 'FHFHH', 'FFHFF', 'FFFFH', 'FFFFG']",73,1.0,0.9248559951318693
1,"['SFFHF', 'HFHFH', 'FFHFF', 'FFFFF', 'FFHFG']",49,0.0,0.0
1,"['SFFHH', 'HHFHF', 'FHFHF', 'FFFHH', 'FFFFG']",10,0.0,0.0
1,"['SFFHH', 'HHFFF', 'HFHFF', 'FHFFF', 'HFFHG']",29,0.0,0.0
1,"['SHHFH', 'FFHFH', 'FFFFF', 'FHFFF', 'FFFFG']",9,0.0,0.0
1,"['SFFHH', 'FFHHF', 'HFHFH', 'HFFFH', 'HFFFG']",74,0.0,0.0
1,"['SFFFH', 'FHFFF', 'HFFHF', 'FFFHF', 'HFFFG']",65,1.0,0.835044266956004
1,"['SFFFF', 'HFFFH', 'FHHFF', 'FHHFF', 'FFFHG']",64,1.0,0.9332298921513504
1,"['SFFFH', 'FFFFH', 'FFFHF', 'FFHHF', 'FFFFG']",16,0.0,0.0
1,"['SFHHF', 'HFFHF', 'HHFFF', 'FHHFH', 'HHHFG']",36,0.0,0.0
1,"['SFFFF', 'FHFHF', 'FHFFH', 'HFHFF', 'FFFFG']",98,0.0,0.0
1,"['SFFHF', 'FFFFF', 'FFFHF', 'FFFFF', 'FFFFG']",78,1.0,0.9674905716180701
1,"['SFFFF', 'FFHHF', 'HHHHF', 'HHHFF', 'HHFHG']",36,1.0,0.8225935318117279
1,"['SFFFF', 'FFFFF', 'FHFFF', 'FFFFF', 'FHFFG']",84,1.0,0.9791880578299021
1,"['SFFHF', 'FFFFF', 'FHHFH', 'HFHFH', 'FFHFG']",12,0.0,0.0
1,"['SFHFF', 'FFFFF', 'FFFHF', 'FHFFF', 'HFHHG']",75,0.0,0.0
1,"['SFFFF', 'FFFHF', 'HFFFH', 'FFFFF', 'FFFHG']",44,0.0,0.0
1,"['SHFHH', 'FHFHF', 'FFFFH', 'FHFHH', 'FHFFG']",87,0.0,0.0
1,"['SFFFF', 'HHFFF', 'HHFHF', 'FFFFF', 'HHFHG']",59,1.0,0.9445131481500655
1,"['SHHFH', 'FHFHH', 'FFHFH', 'HFFFH', 'HHFFG']",54,0.0,0.0
1,"['SHHHF', 'FHHHH', 'FHHHH', 'FFFFF', 'HHHFG']",50,0.0,0.0
1,"['SFFFF', 'HFHFH', 'FFFFF', 'FHHHF', 'FFFFG']",91,1.0,0.7699788094052729
1,"['SFFFF', 'HFHFF', 'FHFFH', 'FFHFF', 'FHFFG']",74,1.0,0.7887102894272789
1,"['SFHHH', 'HFFHH', 'FHFFF', 'HHHFF', 'HFHHG']",5,0.0,0.0
1,"['SFFFF', 'FFFFF', 'FFFFF', 'FFFFF', 'FFFFG']",41,1.0,0.9559328248389055
1,"['SHHHH', 'FFFHF', 'HHFHF', 'HHFFF', 'HFHHG']",66,0.0,0.0
1,"['SHFHF', 'FFHHH', 'FFFHH', 'HHFHF', 'FFFFG']",83,0.0,0.0
1,"['SFFFF', 'HFFFF', 'FHHFH', 'HFFFH', 'FFFFG']",98,1.0,0.9530650263643888
1,"['SHFHH', 'FFFFH', 'FHFFH', 'FHFHF', 'FFFFG']",30,0.0,0.0
1,"['SFFHF', 'HHFHH', 'HHFHF', 'FFFFF', 'FHHHG']",92,0.0,0.0
1,"['SHHFH', 'FFFHH', 'HHFFH', 'FHHFF', 'FFHFG']",83,0.0,0.0
1,"['SFFFF', 'HHHFH', 'HHHFF', 'FHHHF', 'HHHFG']",22,0.0,0.0
1,"['SHFFH', 'FFFHF', 'FHFHH', 'HFFFF', 'HHFFG']",4,0.0,0.0
1,"['SHFHH', 'FFFFH', 'HHFFF', 'HHHHF', 'HHFFG']",44,0.0,0.0
1,"['SHHFH', 'FHFFH', 'FFHHH', 'HFFFH', 'HHFFG']",63,0.0,0.0
1,"['SHHHF', 'FHFHH', 'FFHHH', 'HFFFF', 'HHHHG']",43,0.0,0.0
