Temperature,Simulations,Return,Discounted Return,Map
1,22,0,1.0,0.9056079456455165,"['SFFF', 'HFHF', 'HFHF', 'HFFG']"
1,56,0,0.0,0.0,"['SHFF', 'FFFH', 'HFFH', 'FFFG']"
1,91,0,1.0,0.8527925358961662,"['SFFF', 'FFHH', 'HFHF', 'HFFG']"
1,71,0,0.0,0.0,"['SFHF', 'HFHF', 'HFFH', 'FHFG']"
1,93,0,1.0,0.9791880578299021,"['SHHF', 'FHFF', 'FFFH', 'HFFG']"
1,60,0,1.0,0.9502058312852957,"['SFFH', 'HFFH', 'FFFF', 'FHFG']"
1,14,0,0.0,0.0,"['SFHH', 'HFHH', 'FFFH', 'FHFG']"
1,21,0,0.0,0.0,"['SHFH', 'FFFF', 'FFHF', 'FHHG']"
1,26,0,1.0,0.860513950810667,"['SFHF', 'HFFF', 'FHHF', 'FHFG']"
1,32,0,0.0,0.0,"['SHHH', 'FFFH', 'HFFF', 'FFHG']"
1,99,0,1.0,0.9791880578299021,"['SFFF', 'HFHH', 'FFFF', 'HFFG']"
1,85,0,1.0,0.9762504936564125,"['SHFF', 'FFHH', 'FFFF', 'FFFG']"
1,94,0,1.0,0.9416796087056153,"['SHHH', 'FFHH', 'FFFF', 'HFHG']"
1,39,0,1.0,0.985089730404757,"['SHFF', 'FFFF', 'HFFF', 'FHFG']"
1,48,0,1.0,0.9559328248389055,"['SFHF', 'FFHF', 'FHHF', 'FFFG']"
1,16,0,1.0,0.9416796087056153,"['SFFF', 'FFFF', 'HHHF', 'FHHG']"
1,18,0,1.0,0.7792882711929549,"['SFFH', 'HHFF', 'HFHF', 'HHFG']"
1,24,0,1.0,0.90289112180858,"['SFFH', 'FFFH', 'FHHF', 'FFFG']"
1,38,0,0.0,0.0,"['SFHH', 'FFFH', 'HHFF', 'HHFG']"
1,42,0,1.0,0.7516921927868743,"['SFFH', 'HFFH', 'HFHF', 'FFFG']"
1,84,0,1.0,0.9559328248389055,"['SFFH', 'FHHH', 'FFHF', 'FFFG']"
1,29,0,1.0,0.9588092525966956,"['SFFH', 'FFFF', 'HHFF', 'FHHG']"
1,28,0,1.0,0.9588092525966956,"['SFHF', 'HFFH', 'HFFF', 'FHFG']"
1,57,0,1.0,0.8867604854519608,"['SFHH', 'HFFH', 'HHFF', 'FFHG']"
1,90,0,1.0,0.9388545698794984,"['SFHF', 'HFHF', 'FFFF', 'FFHG']"
1,49,0,1.0,0.9762504936564125,"['SFFH', 'FFFF', 'HHHF', 'FFHG']"
1,68,0,1.0,0.9762504936564125,"['SHHF', 'FFHH', 'HFFF', 'HHFG']"
1,37,0,1.0,0.9276389118674717,"['SFHF', 'HFFF', 'FFHF', 'HHHG']"
