Temperature,Simulations,Return,Discounted Return,Map
1,87,0,1.0,0.9791880578299021,"['SFHH', 'HFFF', 'FFHH', 'HFFG']"
1,64,0,1.0,0.9704017769489168,"['SFFF', 'FFHF', 'FFFF', 'HHHG']"
1,36,0,0.0,0.0,"['SHFF', 'FHHF', 'FFFF', 'HFHG']"
1,91,0,1.0,0.9704017769489168,"['SFHH', 'HFFH', 'FHFF', 'HFFG']"
1,41,0,1.0,0.9473552137914398,"['SFFH', 'HHFF', 'HFFF', 'HHHG']"
1,16,0,0.0,0.0,"['SHFH', 'FFFF', 'HFHH', 'HFFG']"
1,37,0,0.0,0.0,"['SFFH', 'FHHH', 'FFFF', 'FFHG']"
1,13,0,0.0,0.0,"['SFFF', 'HFHH', 'FFFF', 'HFHG']"
1,71,0,1.0,0.9821344612135428,"['SFFF', 'FHFF', 'FFFF', 'HHHG']"
1,16,0,0.0,0.0,"['SHHH', 'FFHH', 'HFFF', 'FHHG']"
1,96,0,1.0,0.9791880578299021,"['SHHH', 'FFFH', 'FFFF', 'FFFG']"
1,42,0,1.0,0.767668872977057,"['SHFF', 'FFFF', 'FFHF', 'HHFG']"
1,77,0,1.0,0.9733217421754432,"['SFHH', 'HFHF', 'FFFF', 'FFFG']"
1,50,0,0.0,0.0,"['SFHH', 'FHHH', 'FFFF', 'HHHG']"
1,52,0,1.0,0.9645880999032158,"['SFFH', 'FHHF', 'FFFF', 'HHFG']"
1,42,0,1.0,0.9821344612135428,"['SFHH', 'FFHF', 'HFFH', 'FFFG']"
1,88,0,1.0,0.985089730404757,"['SFFF', 'FFFF', 'HHHF', 'HFHG']"
1,23,0,1.0,0.9388545698794984,"['SFFH', 'FHFF', 'FHFF', 'FFHG']"
1,80,0,1.0,0.9821344612135428,"['SFFF', 'HFFF', 'FFFF', 'FFHG']"
1,39,0,0.0,0.0,"['SFHH', 'FFFH', 'FFFH', 'HHFG']"
1,56,0,1.0,0.9332298921513504,"['SFFH', 'FHFF', 'HFHF', 'HHFG']"
1,3,0,0.0,0.0,"['SFHH', 'FHHF', 'FHFH', 'FFFG']"
1,43,0,1.0,0.9733217421754432,"['SFHF', 'HFFF', 'HHHF', 'FFFG']"
1,38,0,0.0,0.0,"['SHHF', 'FFHF', 'HFFF', 'FFHG']"
1,10,0,0.0,0.0,"['SHFF', 'FFFH', 'HFFF', 'HFFG']"
1,90,0,1.0,0.9791880578299021,"['SFHH', 'HFFH', 'HFFF', 'FHHG']"
1,92,0,1.0,0.9791880578299021,"['SHFH', 'FFFH', 'FHHH', 'FFFG']"
1,50,0,1.0,0.9645880999032158,"['SFFF', 'FHHF', 'HHHF', 'HFHG']"
1,12,0,0.0,0.0,"['SFFH', 'FFFH', 'HHFH', 'HHFG']"
1,98,0,1.0,0.9821344612135428,"['SFHF', 'HFFH', 'FFHH', 'FFFG']"
1,79,0,1.0,0.90289112180858,"['SFFF', 'HFHH', 'FFFF', 'FHHG']"
1,89,0,0.0,0.0,"['SFFH', 'FHFH', 'FFHF', 'HFFG']"
1,40,0,1.0,0.9762504936564125,"['SFFF', 'FHFF', 'HFHF', 'HHFG']"
1,2,0,0.0,0.0,"['SHHF', 'FFFH', 'HFFF', 'HFFG']"
1,65,0,1.0,0.9791880578299021,"['SFFF', 'FHHF', 'FFHF', 'FHFG']"
1,1,0,0.0,0.0,"['SHFH', 'FHHH', 'FFFH', 'FFFG']"
1,12,0,0.0,0.0,"['SFHF', 'FFFF', 'HHFF', 'HHHG']"
1,68,0,1.0,0.9559328248389055,"['SFFH', 'HFFF', 'FHFF', 'FFFG']"
1,1,0,0.0,0.0,"['SHFH', 'FFFH', 'HHFH', 'FFFG']"
1,8,0,1.0,0.7699788094052729,"['SFFH', 'HFFF', 'FFFF', 'HFHG']"
1,95,0,1.0,0.9821344612135428,"['SHHF', 'FFFH', 'FFFF', 'FHHG']"
1,60,0,1.0,0.8400771692771434,"['SFHF', 'HFFF', 'HFHH', 'FFFG']"
