Temperature,Simulations,Return,Discounted Return,Map
1,86,0,1.0,0.9821344612135428,"['SFFF', 'HFFH', 'HHFH', 'FFFG']"
1,50,0,1.0,0.798246224976786,"['SHFH', 'FHHH', 'FFFH', 'HHFG']"
1,11,0,0.0,0.0,"['SFFF', 'FFFH', 'FFFF', 'HHHG']"
1,31,0,1.0,0.9616943356035061,"['SFFF', 'HHFF', 'FHFF', 'FFHG']"
1,5,0,0.0,0.0,"['SFHH', 'FFHF', 'HFHH', 'HFFG']"
1,49,0,1.0,0.9645880999032158,"['SFFF', 'FHHF', 'HFHF', 'HFHG']"
1,28,0,0.0,0.0,"['SFHH', 'FHHF', 'FHFF', 'FFFG']"
1,27,0,1.0,0.9220814271464737,"['SFFF', 'FHHF', 'HHHF', 'FFFG']"
1,55,0,1.0,0.9248559951318693,"['SFFH', 'HHFF', 'FFFH', 'FFFG']"
1,60,0,1.0,0.8300415167526705,"['SFHF', 'HFFF', 'HHFH', 'HHFG']"
1,74,0,1.0,0.9616943356035061,"['SFHF', 'FFHH', 'FFFF', 'HHFG']"
1,76,0,1.0,0.9645880999032158,"['SFFH', 'HHFF', 'HFFF', 'FFHG']"
1,23,0,1.0,0.8426049842298329,"['SFHF', 'HFHH', 'FFFH', 'HHFG']"
1,6,0,1.0,0.9704017769489168,"['SFFF', 'FFFF', 'HFHF', 'HHFG']"
1,5,0,0.0,0.0,"['SHHH', 'FFFH', 'HHFF', 'FHHG']"
1,92,0,0.0,0.0,"['SHHH', 'FFHF', 'HFHH', 'HFFG']"
1,54,0,1.0,0.9473552137914398,"['SFFH', 'FHFF', 'FFHF', 'FFHG']"
1,47,0,1.0,0.985089730404757,"['SFFF', 'HHFF', 'FHFF', 'HFHG']"
1,16,0,0.0,0.0,"['SHFF', 'FFFF', 'FFHF', 'FHFG']"
1,79,0,1.0,0.93603800616986,"['SFFF', 'HFFH', 'HHFF', 'HHHG']"
1,76,0,1.0,0.9791880578299021,"['SHFH', 'FHHF', 'FFFF', 'FHFG']"
1,19,0,0.0,0.0,"['SHFF', 'FFFH', 'HHFH', 'FHFG']"
1,89,0,1.0,0.8867604854519608,"['SHHF', 'FFFF', 'HHFF', 'HFHG']"
1,40,0,1.0,0.9733217421754432,"['SFFF', 'FFFF', 'HFFF', 'FHHG']"
