Temperature,Simulations,Return,Discounted Return,Map
1,50,0,1.0,0.9674905716180701,"['SFFF', 'HFFH', 'FHFH', 'HFFG']"
1,23,0,0.0,0.0,"['SFFH', 'FHHH', 'FHHH', 'FFFG']"
1,77,0,1.0,0.9704017769489168,"['SFFF', 'FFHF', 'HFHF', 'FFHG']"
1,65,0,1.0,0.803057341509771,"['SHHH', 'FFFH', 'HFFF', 'FFHG']"
1,9,0,0.0,0.0,"['SFHF', 'FFFH', 'FFFF', 'HFHG']"
1,7,0,1.0,0.9001824484431542,"['SFFF', 'FHFF', 'FHHF', 'FHHG']"
1,2,0,0.0,0.0,"['SFHF', 'FFFF', 'HFFF', 'FFHG']"
1,8,0,0.0,0.0,"['SFFH', 'FFFF', 'HHHF', 'HFHG']"
1,40,0,1.0,0.9616943356035061,"['SHHH', 'FHFF', 'FHFH', 'FFFG']"
1,65,0,1.0,0.8894287717672626,"['SHFH', 'FHFF', 'FFFF', 'FHHG']"
1,20,0,1.0,0.9248559951318693,"['SFFH', 'HHFH', 'HFFF', 'FFHG']"
1,97,0,1.0,0.9821344612135428,"['SHFF', 'FFHF', 'FFFF', 'FHFG']"
1,60,0,1.0,0.9530650263643888,"['SHHF', 'FFFF', 'HHHF', 'FHHG']"
1,89,0,1.0,0.9762504936564125,"['SFHF', 'FFHH', 'FFFF', 'FHHG']"
1,55,0,1.0,0.9645880999032158,"['SFFH', 'HHFH', 'HFFF', 'FFHG']"
1,94,0,1.0,0.9821344612135428,"['SFFF', 'FHFF', 'FHHF', 'HFFG']"
1,86,0,1.0,0.884100203995605,"['SHHH', 'FHHF', 'FFFF', 'HHFG']"
1,83,0,1.0,0.9733217421754432,"['SFFH', 'FHFH', 'FFHH', 'FFFG']"
1,76,0,0.0,0.0,"['SHFF', 'FFFH', 'FFFF', 'HFHG']"
1,64,0,1.0,0.9559328248389055,"['SFFH', 'HFHF', 'HFHH', 'HFFG']"
1,32,0,1.0,0.9388545698794984,"['SFFF', 'HHFH', 'HHFF', 'HHFG']"
1,47,0,1.0,0.9791880578299021,"['SFFF', 'HFFF', 'FFFF', 'HFFG']"
1,58,0,1.0,0.9276389118674717,"['SFFF', 'HHFH', 'FFFF', 'FHHG']"
1,22,0,1.0,0.8921050870283477,"['SFFF', 'FHFH', 'FFFH', 'HFFG']"
1,3,0,0.0,0.0,"['SHHF', 'FFFH', 'HHFF', 'HHHG']"
1,56,0,1.0,0.9821344612135428,"['SHHF', 'FHFH', 'FFFH', 'FFFG']"
1,25,0,1.0,0.9588092525966956,"['SFFF', 'HHFH', 'FHFF', 'FHFG']"
1,80,0,1.0,0.985089730404757,"['SHFH', 'FFFF', 'FHFF', 'HHFG']"
1,100,0,1.0,0.9645880999032158,"['SHFH', 'FHFH', 'FHFF', 'FFFG']"
1,82,0,1.0,0.985089730404757,"['SFFF', 'FFFF', 'HFFF', 'FFFG']"
1,50,0,0.0,0.0,"['SFHF', 'FHHH', 'FFFF', 'HHHG']"
1,96,0,1.0,0.9502058312852957,"['SFFF', 'FFFF', 'FFFF', 'HHHG']"
1,62,0,1.0,0.9645880999032158,"['SFFF', 'HFFF', 'HFFH', 'HHFG']"
1,5,0,0.0,0.0,"['SFFF', 'FHFF', 'HFFH', 'FFFG']"
1,56,0,1.0,0.9645880999032158,"['SFHH', 'FFFH', 'FFFF', 'FFFG']"
1,9,0,1.0,0.9165572373164391,"['SFFF', 'FFFF', 'FFHF', 'HFHG']"
1,84,0,1.0,0.985089730404757,"['SFHF', 'FFFF', 'HFHH', 'FFFG']"
1,42,0,1.0,0.9762504936564125,"['SFHF', 'FFFF', 'FHFF', 'HFHG']"
1,78,0,1.0,0.985089730404757,"['SFHH', 'HFFH', 'HFFF', 'HFFG']"
1,36,0,1.0,0.9110661429076764,"['SHFH', 'FHFF', 'FFFF', 'FHFG']"
1,63,0,1.0,0.985089730404757,"['SFFH', 'FFFF', 'FFFF', 'FFHG']"
1,10,0,0.0,0.0,"['SHFH', 'FFFF', 'HHFF', 'HFFG']"
1,74,0,1.0,0.9674905716180701,"['SFHH', 'FFFF', 'HFFH', 'HHFG']"
1,55,0,1.0,0.9762504936564125,"['SFHH', 'HFFH', 'FFFH', 'HFFG']"
1,50,0,1.0,0.9502058312852957,"['SHFH', 'FFFF', 'HFFF', 'FHHG']"
1,54,0,1.0,0.9332298921513504,"['SFHF', 'FFFF', 'HFHH', 'HFFG']"
1,38,0,1.0,0.9674905716180701,"['SFFH', 'HFFH', 'HHFF', 'FFFG']"
1,19,0,0.0,0.0,"['SFHF', 'HFFF', 'FHHF', 'HFFG']"
1,63,0,1.0,0.985089730404757,"['SFHF', 'HFFH', 'FFFF', 'FFFG']"
1,28,0,1.0,0.8761671489944468,"['SFFF', 'HFFF', 'HFFH', 'FHFG']"
1,54,0,1.0,0.9530650263643888,"['SFFF', 'FHFH', 'FHFH', 'HFFG']"
1,95,0,1.0,0.9821344612135428,"['SFFF', 'FHFF', 'HFHF', 'FHHG']"
1,51,0,0.0,0.0,"['SHFH', 'FFHF', 'HFFF', 'HFHG']"
1,52,0,1.0,0.9733217421754432,"['SFHH', 'FFHH', 'FFFH', 'FFFG']"
1,89,0,1.0,0.9388545698794984,"['SFFF', 'FHHH', 'FHFH', 'FFFG']"
1,80,0,1.0,0.9762504936564125,"['SFFH', 'HFHH', 'HFFH', 'HFFG']"
1,57,0,1.0,0.9416796087056153,"['SFHH', 'FFHF', 'HFFF', 'HFHG']"
1,34,0,1.0,0.8683052775100066,"['SHFF', 'FFHH', 'HFFF', 'FFFG']"
1,25,0,0.0,0.0,"['SHHF', 'FFFF', 'FFFF', 'HHHG']"
1,65,0,1.0,0.9762504936564125,"['SFFF', 'FFHF', 'HFFF', 'HHFG']"
1,16,0,1.0,0.8502341582884777,"['SFFH', 'HFFH', 'HFFF', 'HHHG']"
1,94,0,1.0,0.9704017769489168,"['SFHH', 'FFFF', 'HHHF', 'HFHG']"
1,25,0,1.0,0.9332298921513504,"['SHFF', 'FFHH', 'FFHH', 'FFFG']"
1,13,0,1.0,0.8894287717672626,"['SFFH', 'HFFF', 'FFFF', 'FHHG']"
1,29,0,1.0,0.835044266956004,"['SFFH', 'FFFH', 'FHFF', 'HHHG']"
1,59,0,1.0,0.9704017769489168,"['SFFF', 'HHHF', 'FHFF', 'FFHG']"
1,1,0,0.0,0.0,"['SFFF', 'HFHF', 'FHHF', 'FFHG']"
1,82,0,1.0,0.9616943356035061,"['SFFH', 'HHFH', 'HHFF', 'HHHG']"
1,81,0,0.0,0.0,"['SHFH', 'FFFH', 'FHFF', 'FHHG']"
1,100,0,1.0,0.7607805594527743,"['SFHF', 'FHFF', 'FFFF', 'FHHG']"
1,93,0,1.0,0.9791880578299021,"['SHHF', 'FFHF', 'FHHH', 'FFFG']"
