Temperature,Simulations,Return,Discounted Return,Map
1,3,0,0.0,0.0,"['SHHH', 'FFFF', 'HFFF', 'FFFG']"
1,23,0,1.0,0.9220814271464737,"['SFFH', 'HFFH', 'HHFH', 'HHFG']"
1,9,0,0.0,0.0,"['SFHF', 'FHHH', 'FHFH', 'FFFG']"
1,3,0,0.0,0.0,"['SFHF', 'HFFF', 'FHHF', 'HHHG']"
1,62,0,1.0,0.9791880578299021,"['SFFH', 'HFFF', 'HHFF', 'FFFG']"
1,41,0,0.0,0.0,"['SHHF', 'FFHH', 'FFFH', 'FHFG']"
1,78,0,1.0,0.9445131481500655,"['SFFF', 'HHFH', 'HHFH', 'HHFG']"
1,59,0,1.0,0.9416796087056153,"['SFHH', 'HFFH', 'FHFF', 'FFFG']"
1,32,0,1.0,0.9193151828650342,"['SFFH', 'FHFF', 'HFFH', 'FFFG']"
1,32,0,1.0,0.93603800616986,"['SFFF', 'HHHF', 'FFHF', 'HHFG']"
1,15,0,1.0,0.8078974551636565,"['SFHF', 'FFHF', 'FFFH', 'FHFG']"
1,87,0,1.0,0.8761671489944468,"['SHHF', 'FFFF', 'FHFF', 'FFHG']"
1,25,0,1.0,0.7887102894272789,"['SHHH', 'FHHF', 'FFHH', 'FFFG']"
1,66,0,1.0,0.9674905716180701,"['SFFF', 'HHHF', 'FHHF', 'HHFG']"
1,88,0,1.0,0.8451404054461714,"['SHFH', 'FFHF', 'FFFH', 'FHFG']"
1,24,0,0.0,0.0,"['SFFF', 'FHHH', 'FHFF', 'FFFG']"
1,3,0,0.0,0.0,"['SHHF', 'FFHH', 'FFFF', 'HHHG']"
1,51,0,1.0,0.9416796087056153,"['SHFH', 'FHHH', 'FHFH', 'FFFG']"
1,34,0,1.0,0.9165572373164391,"['SFFH', 'HFFF', 'FHFH', 'FHFG']"
1,35,0,0.0,0.0,"['SHFH', 'FFFH', 'HHFH', 'FHFG']"
1,27,0,1.0,0.8152123778407558,"['SFHF', 'HFHH', 'FFFF', 'FHHG']"
1,43,0,1.0,0.9588092525966956,"['SFHH', 'HFFF', 'FFFH', 'HFFG']"
1,28,0,1.0,0.9388545698794984,"['SHHH', 'FHFF', 'FFHF', 'FFFG']"
1,25,0,0.0,0.0,"['SFHF', 'FFHF', 'FFHH', 'HFFG']"
1,85,0,0.0,0.0,"['SHFF', 'FFFH', 'HHFF', 'HHHG']"
1,38,0,1.0,0.9165572373164391,"['SFFF', 'FFFH', 'FHFH', 'FHFG']"
1,35,0,1.0,0.9445131481500655,"['SFFF', 'FHFH', 'FFFH', 'FHFG']"
1,45,0,1.0,0.8300415167526705,"['SHHH', 'FFFH', 'HHFF', 'FHFG']"
1,65,0,1.0,0.9559328248389055,"['SFFH', 'FHFH', 'FFFF', 'HHFG']"
1,5,0,0.0,0.0,"['SHHH', 'FFFH', 'HHFF', 'HFFG']"
1,2,0,0.0,0.0,"['SFFF', 'FHFF', 'HFHF', 'HHHG']"
1,76,0,1.0,0.8867604854519608,"['SFHF', 'FFHF', 'FFFH', 'FHFG']"
1,92,0,1.0,0.9733217421754432,"['SFFH', 'HFFF', 'HFHF', 'HFFG']"
1,25,0,0.0,0.0,"['SHHF', 'FFHF', 'FFHH', 'FFFG']"
1,40,0,1.0,0.9791880578299021,"['SFFH', 'FFFF', 'FHFF', 'HFFG']"
1,41,0,0.0,0.0,"['SFHF', 'FFFH', 'HFHH', 'HFFG']"
1,65,0,1.0,0.9332298921513504,"['SFHH', 'HFHF', 'HFHF', 'HFFG']"
1,65,0,1.0,0.9704017769489168,"['SFFH', 'HHFF', 'FFFF', 'HHFG']"
1,68,0,1.0,0.9762504936564125,"['SFFF', 'FFFF', 'FHFF', 'HHFG']"
1,32,0,1.0,0.9645880999032158,"['SFHF', 'FFFF', 'FFFH', 'HFFG']"
1,60,0,1.0,0.9083329444789534,"['SHFF', 'FHHF', 'FHHH', 'FFFG']"
1,96,0,1.0,0.9645880999032158,"['SFFH', 'HFHH', 'FFFF', 'FHHG']"
1,12,0,0.0,0.0,"['SFFF', 'FHFF', 'HHFH', 'HHFG']"
1,72,0,1.0,0.9733217421754432,"['SHHF', 'FFHH', 'FFHH', 'FFFG']"
1,40,0,1.0,0.9733217421754432,"['SFFH', 'HFHH', 'FFFF', 'HFFG']"
1,21,0,1.0,0.8761671489944468,"['SFFH', 'HHFF', 'HFFF', 'FHHG']"
1,73,0,0.0,0.0,"['SHHF', 'FHHH', 'FFFH', 'HHFG']"
1,35,0,1.0,0.9388545698794984,"['SFHH', 'FFHH', 'HFFF', 'FHFG']"
1,66,0,0.0,0.0,"['SHHH', 'FHFH', 'FFHH', 'HFFG']"
1,97,0,0.0,0.0,"['SHHH', 'FFFF', 'FHFH', 'FHFG']"
1,17,0,0.0,0.0,"['SFHF', 'HFHF', 'HFHH', 'HFFG']"
1,86,0,1.0,0.9502058312852957,"['SFHH', 'HFFF', 'FHFH', 'FFFG']"
1,87,0,1.0,0.9791880578299021,"['SFFF', 'HHFH', 'HFFH', 'HFFG']"
1,22,0,1.0,0.9304302024748964,"['SFFF', 'HFFF', 'HFHF', 'HHFG']"
1,55,0,1.0,0.9821344612135428,"['SFFF', 'HHFF', 'HFFF', 'FHFG']"
1,66,0,1.0,0.9616943356035061,"['SFHH', 'FFFH', 'FFFF', 'HHHG']"
1,25,0,1.0,0.767668872977057,"['SFFF', 'FFFH', 'HHFF', 'FFHG']"
1,56,0,1.0,0.9762504936564125,"['SHHF', 'FHHH', 'FFFH', 'FFFG']"
1,43,0,1.0,0.9001824484431542,"['SFFH', 'FFFH', 'HHFH', 'FFFG']"
1,90,0,1.0,0.8502341582884777,"['SHHH', 'FFFF', 'FHHF', 'HHHG']"
1,71,0,1.0,0.9733217421754432,"['SFFF', 'FFFF', 'FFHF', 'FHFG']"
1,60,0,1.0,0.9821344612135428,"['SFFF', 'HHFF', 'FHFF', 'HHFG']"
1,19,0,0.0,0.0,"['SHFF', 'FFFF', 'HFFH', 'HFFG']"
1,92,0,1.0,0.9616943356035061,"['SFFF', 'FFFH', 'FFHF', 'FFFG']"
1,50,0,1.0,0.9332298921513504,"['SFFF', 'HHHF', 'FFHF', 'HHHG']"
1,42,0,1.0,0.9821344612135428,"['SFHH', 'FHFH', 'FFHH', 'FFFG']"
1,3,0,0.0,0.0,"['SHFH', 'FHHH', 'FHHF', 'FFFG']"
1,69,0,1.0,0.9762504936564125,"['SFHF', 'HFFF', 'FHFF', 'FFFG']"
1,66,0,1.0,0.985089730404757,"['SHHH', 'FHHF', 'FFFF', 'FFFG']"
1,52,0,1.0,0.9821344612135428,"['SFHF', 'FFHH', 'FFFF', 'HFFG']"
1,17,0,0.0,0.0,"['SFHH', 'HFHH', 'HFHH', 'HFFG']"
1,14,0,0.0,0.0,"['SHHF', 'FFHF', 'HFFH', 'FHFG']"
1,12,0,1.0,0.8553586117313603,"['SFHH', 'HFHF', 'FFFF', 'HFFG']"
1,2,0,0.0,0.0,"['SFHF', 'HFFH', 'FFHH', 'HFFG']"
1,12,0,1.0,0.9762504936564125,"['SHHF', 'FFHF', 'FFFH', 'FFFG']"
1,91,0,1.0,0.9588092525966956,"['SFHH', 'HFFF', 'HHHF', 'HFHG']"
1,59,0,1.0,0.9733217421754432,"['SHFF', 'FFFF', 'FHFF', 'FFFG']"
1,16,0,0.0,0.0,"['SHHF', 'FFFH', 'FFFH', 'HHFG']"
1,15,0,0.0,0.0,"['SFHH', 'HFFH', 'FHFF', 'HHFG']"
1,11,0,0.0,0.0,"['SHHF', 'FFFF', 'HFHH', 'FFFG']"
1,82,0,1.0,0.9762504936564125,"['SHFF', 'FFHF', 'FFFF', 'FHHG']"
1,6,0,0.0,0.0,"['SHFF', 'FFFH', 'HHFF', 'FFHG']"
1,57,0,1.0,0.9704017769489168,"['SHHF', 'FHHH', 'FHFF', 'FFFG']"
1,100,0,1.0,0.9559328248389055,"['SFHH', 'FHFH', 'FFFF', 'HFFG']"
1,4,0,0.0,0.0,"['SHHH', 'FFFH', 'HFFH', 'HFFG']"
1,16,0,1.0,0.8476834558136123,"['SFHH', 'HFHH', 'FFFF', 'FHFG']"
1,76,0,1.0,0.78398512608332,"['SFHH', 'HFHF', 'FFFF', 'HFHG']"
1,83,0,1.0,0.8631032605924442,"['SHHH', 'FFHH', 'HFFF', 'FHHG']"
1,41,0,1.0,0.9821344612135428,"['SFFF', 'HFHH', 'HFFF', 'FFFG']"
1,10,0,0.0,0.0,"['SHFH', 'FFFF', 'FFHF', 'FHHG']"
