Temperature,Simulations,Return,Discounted Return,Map
1,85,0,0.0,0.0,"['SHHF', 'FFFF', 'FFHH', 'HFFG']"
1,16,0,0.0,0.0,"['SHHF', 'FFHH', 'HFHF', 'HFFG']"
1,19,0,0.0,0.0,"['SHHF', 'FFFH', 'FFFH', 'FHFG']"
1,25,0,1.0,0.8947894553945313,"['SFFF', 'HFFF', 'HHFH', 'HHFG']"
1,40,0,1.0,0.9388545698794984,"['SFFF', 'FFHF', 'HFFH', 'FFFG']"
1,66,0,1.0,0.9733217421754432,"['SHFH', 'FFFH', 'HHFH', 'FHFG']"
1,1,0,1.0,0.9791880578299021,"['SFFF', 'FFHF', 'HFFF', 'FFHG']"
1,16,0,0.0,0.0,"['SHFF', 'FHFF', 'FFFF', 'HHFG']"
1,40,0,1.0,0.9445131481500655,"['SFFH', 'HHFF', 'HFFH', 'HFFG']"
1,97,0,1.0,0.9791880578299021,"['SHHF', 'FHHF', 'FFFF', 'FHFG']"
1,74,0,1.0,0.9220814271464737,"['SHHF', 'FFFF', 'FHHF', 'HFFG']"
1,79,0,1.0,0.9791880578299021,"['SHFH', 'FFFF', 'FHFF', 'HFFG']"
1,25,0,1.0,0.9248559951318693,"['SHFF', 'FHHH', 'FHHF', 'FFFG']"
1,56,0,0.0,0.0,"['SFHF', 'FFFH', 'HHFH', 'FHFG']"
1,32,0,1.0,0.93603800616986,"['SFHF', 'HFFF', 'HFHF', 'HFFG']"
1,23,0,0.0,0.0,"['SHFF', 'FFFF', 'FHHF', 'FHHG']"
1,2,0,0.0,0.0,"['SFHH', 'FFFF', 'FFHF', 'HHFG']"
1,61,0,1.0,0.9616943356035061,"['SFFH', 'HHFF', 'FFFF', 'FFHG']"
1,18,0,0.0,0.0,"['SHHF', 'FFHH', 'FFFF', 'FHHG']"
1,25,0,0.0,0.0,"['SHFF', 'FFFH', 'HFHF', 'FFFG']"
1,54,0,1.0,0.9616943356035061,"['SHHF', 'FFFF', 'FFHF', 'HFFG']"
1,29,0,1.0,0.9733217421754432,"['SFFF', 'FFHH', 'HFFF', 'FFFG']"
1,10,0,1.0,0.8103284404851119,"['SHFH', 'FFFF', 'FFFF', 'FHHG']"
1,37,0,0.0,0.0,"['SHFH', 'FFFF', 'FFHH', 'HFFG']"
1,90,0,1.0,0.9704017769489168,"['SHHF', 'FHHF', 'FHFF', 'FFFG']"
1,23,0,0.0,0.0,"['SFFF', 'FHFH', 'FHFH', 'HHFG']"
1,6,0,0.0,0.0,"['SFHF', 'HFHF', 'HFHH', 'FFFG']"
1,79,0,1.0,0.9762504936564125,"['SFHH', 'FFFH', 'HFHH', 'FFFG']"
1,35,0,0.0,0.0,"['SFHF', 'FFFH', 'HHFH', 'HFFG']"
1,26,0,1.0,0.9248559951318693,"['SFFF', 'FFFF', 'HFHF', 'FHFG']"
1,78,0,0.0,0.0,"['SFHH', 'HFFH', 'HHFH', 'FHFG']"
1,9,0,1.0,0.9083329444789534,"['SHHF', 'FFFF', 'FHFF', 'HHHG']"
1,64,0,1.0,0.9733217421754432,"['SFHH', 'HFFH', 'FFFF', 'HFFG']"
1,32,0,1.0,0.9445131481500655,"['SHHH', 'FHHH', 'FFHF', 'FFFG']"
1,96,0,1.0,0.985089730404757,"['SHFH', 'FFFF', 'HFFH', 'FFFG']"
1,39,0,1.0,0.9416796087056153,"['SFHF', 'HFFF', 'HFHF', 'FHFG']"
1,13,0,0.0,0.0,"['SFHH', 'FHFH', 'FFFF', 'HHHG']"
1,67,0,1.0,0.9645880999032158,"['SHHF', 'FHHH', 'FFHF', 'HFFG']"
1,32,0,1.0,0.9220814271464737,"['SFFH', 'HFFF', 'HFHF', 'FFHG']"
1,76,0,1.0,0.9674905716180701,"['SFHF', 'HFFF', 'HHHF', 'FFHG']"
1,1,0,0.0,0.0,"['SHFF', 'FHFF', 'FFHF', 'HFFG']"
1,95,0,1.0,0.9445131481500655,"['SFHH', 'FFFF', 'HFHF', 'HHFG']"
1,96,0,1.0,0.9733217421754432,"['SFFH', 'HFFH', 'FHFH', 'FFFG']"
1,38,0,0.0,0.0,"['SFHH', 'FHFH', 'FFFH', 'HHFG']"
1,36,0,1.0,0.9083329444789534,"['SHFH', 'FFHH', 'FFFH', 'HHFG']"
1,88,0,1.0,0.9588092525966956,"['SFFF', 'FHHF', 'FFHF', 'FHHG']"
1,75,0,1.0,0.9110661429076764,"['SFFF', 'FHFH', 'FHHH', 'FFFG']"
1,76,0,1.0,0.7910835400474212,"['SFFH', 'FHHF', 'FFHF', 'HFFG']"
1,61,0,1.0,0.9502058312852957,"['SFHH', 'HFFH', 'FFFF', 'FFHG']"
1,86,0,1.0,0.9502058312852957,"['SFHH', 'HFFH', 'FHFF', 'HHFG']"
1,58,0,1.0,0.8709180316048211,"['SFHF', 'FHFH', 'FHHH', 'FFFG']"
1,100,0,1.0,0.9588092525966956,"['SFHF', 'HFFF', 'FHHF', 'FFHG']"
1,68,0,1.0,0.9502058312852957,"['SFHH', 'HFFF', 'FHHF', 'HHFG']"
1,67,0,1.0,0.9821344612135428,"['SHFF', 'FFFF', 'HHHF', 'HFFG']"
1,24,0,1.0,0.8921050870283477,"['SFHH', 'HFHF', 'FFHF', 'HFFG']"
1,5,0,0.0,0.0,"['SHHH', 'FFHH', 'HFFH', 'FFFG']"
1,68,0,1.0,0.9388545698794984,"['SFHH', 'FHHF', 'FFFF', 'FHFG']"
1,72,0,1.0,0.9791880578299021,"['SFFH', 'HFFF', 'FHFH', 'FHFG']"
1,31,0,1.0,0.8947894553945313,"['SHFH', 'FFHF', 'FFHH', 'HFFG']"
1,77,0,1.0,0.9304302024748964,"['SFFF', 'HHFH', 'HFFF', 'HHHG']"
1,64,0,1.0,0.9762504936564125,"['SFFH', 'HFFF', 'HFHF', 'HHFG']"
1,70,0,1.0,0.9445131481500655,"['SHHF', 'FFFF', 'HHFF', 'FHHG']"
1,74,0,1.0,0.9791880578299021,"['SFFH', 'FFHF', 'FFHH', 'FFFG']"
1,83,0,1.0,0.9588092525966956,"['SHFH', 'FFFF', 'HFFF', 'FHFG']"
1,6,0,0.0,0.0,"['SFHF', 'FFFF', 'HFHF', 'HHFG']"
1,87,0,1.0,0.9762504936564125,"['SFFH', 'FFHF', 'FHFF', 'FFFG']"
1,27,0,0.0,0.0,"['SHHH', 'FFFF', 'FHHF', 'HFHG']"
1,59,0,1.0,0.8054737627981655,"['SHFH', 'FHFH', 'FFFH', 'HHFG']"
1,79,0,1.0,0.9791880578299021,"['SFFF', 'HFHF', 'HFFF', 'FHFG']"
1,1,0,0.0,0.0,"['SFFH', 'HFFF', 'FFFH', 'HHFG']"
1,81,0,1.0,0.9616943356035061,"['SHHF', 'FHFF', 'FHFF', 'FFFG']"
1,23,0,1.0,0.8814479033836181,"['SFHF', 'FHFF', 'FFHH', 'FFFG']"
1,24,0,1.0,0.985089730404757,"['SFFH', 'HFFF', 'HHFF', 'HFHG']"
1,26,0,0.0,0.0,"['SFHH', 'FHFH', 'FFFF', 'HHHG']"
1,45,0,0.0,0.0,"['SHFF', 'FFHH', 'FFFF', 'HHHG']"
1,34,0,1.0,0.9704017769489168,"['SHFH', 'FHHF', 'FFFF', 'HFFG']"
1,75,0,1.0,0.9674905716180701,"['SFFF', 'HFFF', 'HFHF', 'FHHG']"
1,58,0,1.0,0.985089730404757,"['SHFF', 'FFHH', 'FFHH', 'FFFG']"
1,93,0,1.0,0.9645880999032158,"['SHHF', 'FHHF', 'FFFF', 'FHHG']"
1,74,0,1.0,0.9791880578299021,"['SFFH', 'FFFF', 'HHFF', 'FFFG']"
1,79,0,1.0,0.985089730404757,"['SFFH', 'HFFF', 'FHFF', 'FFHG']"
1,5,0,0.0,0.0,"['SHHH', 'FHHF', 'FFFH', 'HHFG']"
1,30,0,1.0,0.798246224976786,"['SHFF', 'FHHF', 'FHHH', 'FFFG']"
1,61,0,0.0,0.0,"['SHHH', 'FFFH', 'FFFH', 'HHFG']"
1,10,0,1.0,0.8788035596734672,"['SFFF', 'FHHF', 'FFFF', 'FHHG']"
1,72,0,1.0,0.9588092525966956,"['SFFF', 'FFHF', 'HHFF', 'FHFG']"
1,22,0,1.0,0.8657003616774767,"['SFFF', 'FHFF', 'FFHF', 'FHHG']"
1,62,0,1.0,0.9704017769489168,"['SHFF', 'FHHF', 'FFFF', 'FFHG']"
1,57,0,1.0,0.985089730404757,"['SFHF', 'FFFF', 'FHFF', 'HFFG']"
1,67,0,1.0,0.9674905716180701,"['SFFF', 'HHFF', 'FFHF', 'FHHG']"
1,5,0,0.0,0.0,"['SHFF', 'FHHF', 'FHFH', 'FFFG']"
1,45,0,1.0,0.9733217421754432,"['SHHF', 'FFFF', 'FFFH', 'FHFG']"
1,43,0,1.0,0.9388545698794984,"['SFFH', 'FHFH', 'FFFH', 'FHFG']"
1,85,0,1.0,0.9791880578299021,"['SHFH', 'FFFH', 'FFFH', 'HFFG']"
1,44,0,1.0,0.9762504936564125,"['SFFF', 'HHHF', 'HFFF', 'HFFG']"
1,85,0,1.0,0.9530650263643888,"['SFFH', 'FFHF', 'HFFF', 'FHHG']"
1,34,0,1.0,0.93603800616986,"['SHHF', 'FFHF', 'FHHF', 'FFFG']"
1,20,0,1.0,0.9791880578299021,"['SFFF', 'HFHF', 'HHFF', 'FHHG']"
1,37,0,1.0,0.9138075656044898,"['SFFF', 'FHHH', 'FHFF', 'FFFG']"
1,21,0,0.0,0.0,"['SFHH', 'HFFF', 'FFFF', 'HFHG']"
1,28,0,1.0,0.9733217421754432,"['SFFF', 'HFFF', 'HFHF', 'HHHG']"
1,93,0,1.0,0.9762504936564125,"['SFFH', 'HFFF', 'FHFF', 'HFFG']"
1,28,0,0.0,0.0,"['SFFH', 'HFFH', 'FFHH', 'HFFG']"
1,51,0,1.0,0.9674905716180701,"['SFFH', 'FFFH', 'HFFF', 'HHHG']"
1,84,0,1.0,0.9791880578299021,"['SFFF', 'FHFF', 'HHFF', 'HHHG']"
1,2,0,0.0,0.0,"['SFHF', 'FHFF', 'FFFF', 'FHHG']"
1,88,0,1.0,0.9138075656044898,"['SFFH', 'HHFH', 'FHFH', 'FFFG']"
1,51,0,1.0,0.9388545698794984,"['SFFH', 'FFFH', 'FFFF', 'HFHG']"
1,5,0,0.0,0.0,"['SFHH', 'FHFH', 'FFFF', 'HHHG']"
1,98,0,1.0,0.9645880999032158,"['SHHF', 'FHHH', 'FFFF', 'HFFG']"
1,36,0,1.0,0.9220814271464737,"['SFHF', 'FFFH', 'FFFF', 'FHHG']"
1,37,0,1.0,0.9502058312852957,"['SFFF', 'FFHF', 'HFHF', 'HHHG']"
1,73,0,1.0,0.9791880578299021,"['SHHH', 'FFFF', 'HFHH', 'HFFG']"
1,39,0,0.0,0.0,"['SHHF', 'FFFF', 'HFHF', 'HHFG']"
1,36,0,0.0,0.0,"['SFFH', 'HHFF', 'FHFH', 'FHFG']"
1,70,0,1.0,0.9733217421754432,"['SHFF', 'FFHF', 'HFFF', 'HHFG']"
1,81,0,1.0,0.9704017769489168,"['SFHF', 'HFFH', 'FFHF', 'HFFG']"
1,37,0,0.0,0.0,"['SFHH', 'HFHF', 'HFFH', 'FHFG']"
1,15,0,0.0,0.0,"['SHFF', 'FFHF', 'FHFH', 'FFFG']"
1,11,0,0.0,0.0,"['SHFF', 'FFHF', 'HFFF', 'HFFG']"
1,80,0,1.0,0.9762504936564125,"['SFHF', 'FFFH', 'FFFH', 'HHFG']"
1,53,0,0.0,0.0,"['SHFH', 'FFFF', 'HHHF', 'HHHG']"
1,91,0,1.0,0.9791880578299021,"['SFFF', 'HFHF', 'HFFF', 'FHHG']"
1,5,0,0.0,0.0,"['SFFF', 'HHFH', 'FFFF', 'FFHG']"
1,86,0,1.0,0.9220814271464737,"['SFFH', 'HHFH', 'FHFF', 'FHFG']"
1,50,0,1.0,0.9791880578299021,"['SFHF', 'FFFH', 'HFFF', 'HFFG']"
1,42,0,1.0,0.8631032605924442,"['SFFH', 'FHHH', 'FHHH', 'FFFG']"
1,13,0,0.0,0.0,"['SFHH', 'FFFF', 'FHFF', 'FFHG']"
1,12,0,0.0,0.0,"['SFHF', 'HFFH', 'FFFH', 'HHFG']"
1,74,0,1.0,0.8921050870283477,"['SFHF', 'HFHH', 'HFFH', 'HHFG']"
1,17,0,1.0,0.9473552137914398,"['SFFH', 'FFFH', 'HFFF', 'HFFG']"
1,26,0,0.0,0.0,"['SFHF', 'FHFH', 'FFFH', 'HFFG']"
1,32,0,1.0,0.7958514863018556,"['SHHF', 'FHFF', 'FHHF', 'FFFG']"
1,73,0,1.0,0.9821344612135428,"['SFFF', 'FHHH', 'FFFF', 'HFFG']"
1,73,0,1.0,0.9674905716180701,"['SHHH', 'FHFH', 'FFFF', 'HFHG']"
1,5,0,0.0,0.0,"['SFHH', 'HFHH', 'FFHH', 'HFFG']"
1,71,0,1.0,0.9791880578299021,"['SFFF', 'FFFF', 'HHFH', 'FFFG']"
1,93,0,1.0,0.985089730404757,"['SFHF', 'FFFH', 'FFFF', 'FHFG']"
1,79,0,1.0,0.78398512608332,"['SHHH', 'FHFH', 'FFHH', 'HFFG']"
1,83,0,0.0,0.0,"['SFHF', 'FHFH', 'FFFF', 'HHHG']"
1,55,0,1.0,0.9821344612135428,"['SFFH', 'HFFF', 'HHHF', 'FFHG']"
1,63,0,1.0,0.985089730404757,"['SHFH', 'FFHF', 'FFHF', 'FFFG']"
1,75,0,1.0,0.9530650263643888,"['SHFH', 'FFFF', 'FHFF', 'FHHG']"
1,1,0,0.0,0.0,"['SHFH', 'FHHF', 'FHHH', 'FFFG']"
1,82,0,1.0,0.9821344612135428,"['SHHF', 'FFFH', 'FFFF', 'FFHG']"
1,58,0,1.0,0.9616943356035061,"['SHFF', 'FHHH', 'FFFH', 'FFFG']"
1,88,0,1.0,0.9821344612135428,"['SHHF', 'FFFF', 'FFHF', 'FFFG']"
1,14,0,0.0,0.0,"['SFHF', 'FFHH', 'FHFF', 'FFFG']"
1,65,0,0.0,0.0,"['SHFF', 'FHHH', 'FFFF', 'FFHG']"
1,44,0,1.0,0.93603800616986,"['SFHF', 'HFHH', 'FFFF', 'HFFG']"
1,26,0,0.0,0.0,"['SFHF', 'FHFH', 'FFFH', 'HFFG']"
1,7,0,0.0,0.0,"['SFHH', 'HFFH', 'HHFF', 'FFHG']"
1,81,0,1.0,0.985089730404757,"['SFFF', 'FHFF', 'HHFF', 'FFFG']"
1,50,0,1.0,0.985089730404757,"['SFFF', 'HFHF', 'HHHF', 'FHFG']"
1,100,0,1.0,0.985089730404757,"['SFFF', 'FFHF', 'FHHF', 'FFFG']"
1,42,0,1.0,0.9559328248389055,"['SFFF', 'HFFH', 'HHFH', 'HHFG']"
1,89,0,1.0,0.8947894553945313,"['SHHF', 'FFFF', 'HHFH', 'FHFG']"
1,37,0,1.0,0.9616943356035061,"['SFHH', 'HFFH', 'FFHH', 'FFFG']"
1,97,0,1.0,0.8894287717672626,"['SFHF', 'FHFH', 'FFHF', 'HFFG']"
1,78,0,0.0,0.0,"['SHHH', 'FFFF', 'FHHF', 'FHHG']"
1,87,0,1.0,0.9762504936564125,"['SFHF', 'FFHH', 'FFHH', 'FFFG']"
1,69,0,1.0,0.9645880999032158,"['SFHF', 'HFHF', 'HFFF', 'FFHG']"
1,91,0,1.0,0.9645880999032158,"['SFHH', 'FFFF', 'HHFF', 'HHHG']"
1,8,0,1.0,0.7816331707050701,"['SHFF', 'FFFF', 'HFFF', 'FFHG']"
1,48,0,1.0,0.79346393184295,"['SHFF', 'FFFH', 'HHFF', 'HFFG']"
1,14,0,1.0,0.8947894553945313,"['SFFF', 'FFFF', 'FFFF', 'HHHG']"
1,16,0,0.0,0.0,"['SFHH', 'FFFF', 'FFHF', 'HHHG']"
1,28,0,1.0,0.9304302024748964,"['SFFH', 'FFFF', 'FFFF', 'HHFG']"
1,31,0,1.0,0.7699788094052729,"['SFFF', 'HHFH', 'HHFF', 'HHHG']"
1,42,0,1.0,0.9332298921513504,"['SFFH', 'HHFH', 'FHFF', 'HHFG']"
1,98,0,1.0,0.9220814271464737,"['SFHH', 'HFFF', 'HHFF', 'HFHG']"
1,34,0,1.0,0.9762504936564125,"['SFHF', 'FFFF', 'FHFF', 'FHFG']"
1,11,0,0.0,0.0,"['SFHH', 'HFHH', 'FFHH', 'HFFG']"
1,4,0,0.0,0.0,"['SFHH', 'FFFH', 'FFHF', 'FFFG']"
1,78,0,1.0,0.9733217421754432,"['SFHF', 'FFFF', 'HFFF', 'HFHG']"
1,96,0,1.0,0.9559328248389055,"['SFHH', 'HFFF', 'FFFH', 'HHFG']"
1,5,0,0.0,0.0,"['SFHH', 'FFFF', 'HHFF', 'FHFG']"
1,46,0,1.0,0.9645880999032158,"['SFFF', 'FFFH', 'FHFF', 'FHHG']"
1,22,0,1.0,0.9473552137914398,"['SFFH', 'HFFF', 'HHFF', 'HFHG']"
1,41,0,1.0,0.8250687380258053,"['SFFH', 'HFFF', 'HFFH', 'FHFG']"
1,22,0,1.0,0.9416796087056153,"['SFFF', 'FFFF', 'FFHF', 'FFHG']"
1,13,0,0.0,0.0,"['SFHF', 'HFFF', 'FFHF', 'FFHG']"
1,20,0,1.0,0.9733217421754432,"['SFFF', 'HFFH', 'FFFF', 'FFFG']"
1,91,0,1.0,0.9220814271464737,"['SFHH', 'HFHF', 'FFFF', 'FHFG']"
1,73,0,1.0,0.9588092525966956,"['SFFH', 'FFHH', 'FHHH', 'FFFG']"
1,6,0,0.0,0.0,"['SFFH', 'HHFF', 'HHFF', 'HHFG']"
1,90,0,1.0,0.9791880578299021,"['SFHF', 'HFFF', 'FHFF', 'FFFG']"
1,7,0,0.0,0.0,"['SFHH', 'FFHF', 'HFHF', 'HFFG']"
1,52,0,1.0,0.985089730404757,"['SFFH', 'FFFF', 'HFFF', 'FHHG']"
1,49,0,1.0,0.9388545698794984,"['SFFH', 'FFFH', 'HHFF', 'HHHG']"
1,74,0,1.0,0.9616943356035061,"['SFHF', 'HFFH', 'HFFF', 'FHFG']"
1,44,0,0.0,0.0,"['SHFF', 'FHFH', 'FFFF', 'FHHG']"
1,37,0,1.0,0.9791880578299021,"['SFFH', 'HFFF', 'HFFF', 'HFFG']"
1,76,0,1.0,0.9821344612135428,"['SHFF', 'FFFF', 'FHFF', 'FFFG']"
1,4,0,0.0,0.0,"['SFHF', 'FHFF', 'FFFF', 'HFHG']"
1,78,0,1.0,0.8451404054461714,"['SFHF', 'FFFF', 'HHFH', 'FHFG']"
1,74,0,1.0,0.985089730404757,"['SFFF', 'HFFF', 'HHFF', 'HHHG']"
1,20,0,0.0,0.0,"['SFHH', 'HFHF', 'HFFF', 'HFHG']"
1,92,0,1.0,0.9645880999032158,"['SHFF', 'FHFF', 'FFHF', 'HFFG']"
1,50,0,1.0,0.9248559951318693,"['SHHH', 'FFHH', 'HFHH', 'FFFG']"
1,85,0,1.0,0.9762504936564125,"['SFFF', 'HHFF', 'HHHF', 'FHHG']"
1,100,0,1.0,0.8761671489944468,"['SHFF', 'FFFH', 'FHFH', 'HHFG']"
1,38,0,1.0,0.9138075656044898,"['SFHH', 'FHFF', 'FHHH', 'FFFG']"
1,63,0,1.0,0.9445131481500655,"['SFHF', 'FFFF', 'FHFH', 'HHFG']"
1,80,0,1.0,0.9791880578299021,"['SFHF', 'FFFH', 'FFFF', 'HHHG']"
1,34,0,1.0,0.9588092525966956,"['SFHF', 'HFFF', 'FFFF', 'FHFG']"
1,44,0,1.0,0.985089730404757,"['SHHF', 'FFFF', 'HFFF', 'HHFG']"
1,53,0,1.0,0.9821344612135428,"['SFHF', 'FFFF', 'FFFF', 'HFFG']"
1,95,0,1.0,0.9001824484431542,"['SFHF', 'HFFH', 'FHFF', 'FFHG']"
1,89,0,1.0,0.9502058312852957,"['SFHF', 'FFFF', 'HHHF', 'HHFG']"
1,98,0,1.0,0.9502058312852957,"['SFFH', 'FFHF', 'FFFH', 'HFFG']"
1,73,0,1.0,0.9616943356035061,"['SHFF', 'FFFH', 'FHFH', 'HHFG']"
1,90,0,1.0,0.9416796087056153,"['SFFH', 'HFHH', 'FFHH', 'FFFG']"
1,89,0,0.0,0.0,"['SHFH', 'FFFF', 'FFHF', 'FHHG']"
1,47,0,1.0,0.9304302024748964,"['SFFF', 'FFFH', 'FHFF', 'FHHG']"
1,73,0,1.0,0.8788035596734672,"['SFFH', 'FHFF', 'HFHF', 'FHHG']"
1,69,0,1.0,0.9733217421754432,"['SFFF', 'HFFH', 'HFFH', 'FHFG']"
1,72,0,1.0,0.9791880578299021,"['SHFF', 'FHHF', 'FHHF', 'FFFG']"
