Temperature,Simulations,Return,Discounted Return,Map
1,21,0,0.0,0.0,"['SHHF', 'FFFF', 'HFFH', 'HHFG']"
1,67,0,1.0,0.9616943356035061,"['SFFH', 'FHFH', 'HFFH', 'FFFG']"
1,16,0,1.0,0.9704017769489168,"['SHHH', 'FFFF', 'FFFH', 'FFFG']"
1,45,0,1.0,0.9733217421754432,"['SFFF', 'HHFF', 'HFHF', 'FHFG']"
1,12,0,0.0,0.0,"['SFHF', 'FFFF', 'FHHF', 'FHHG']"
1,66,0,1.0,0.9821344612135428,"['SFFF', 'FFHH', 'FFFH', 'FHFG']"
1,53,0,0.0,0.0,"['SFHH', 'FHHH', 'FFFF', 'HHHG']"
1,14,0,0.0,0.0,"['SHHH', 'FFFH', 'HHFH', 'FFFG']"
1,1,0,0.0,0.0,"['SFFH', 'HHFF', 'FHFH', 'FHFG']"
1,38,0,0.0,0.0,"['SHHF', 'FHHH', 'FFFF', 'HFHG']"
1,6,0,0.0,0.0,"['SHHH', 'FFFF', 'FHFH', 'HFFG']"
1,47,0,1.0,0.9762504936564125,"['SFFH', 'FHFF', 'HHFF', 'FHHG']"
1,9,0,0.0,0.0,"['SFFH', 'FHHF', 'FFFF', 'FHHG']"
1,4,0,0.0,0.0,"['SHFF', 'FFFF', 'FFFF', 'FHFG']"
1,25,0,1.0,0.9704017769489168,"['SHFH', 'FHHH', 'FFHH', 'FFFG']"
1,96,0,1.0,0.9645880999032158,"['SHFH', 'FHHH', 'FHFH', 'FFFG']"
1,4,0,0.0,0.0,"['SFHH', 'HFHF', 'FFFF', 'HHHG']"
1,95,0,1.0,0.9704017769489168,"['SFHF', 'FFFF', 'FFHF', 'FHHG']"
1,89,0,1.0,0.9791880578299021,"['SFFF', 'HHFF', 'HFFF', 'FHHG']"
1,71,0,1.0,0.9821344612135428,"['SFFF', 'HFFF', 'HFHF', 'HFHG']"
1,95,0,1.0,0.9821344612135428,"['SFFH', 'HFFH', 'FHFH', 'FFFG']"
1,95,0,0.0,0.0,"['SHFH', 'FFFF', 'HFHF', 'FHHG']"
1,53,0,1.0,0.9821344612135428,"['SFHH', 'FFHH', 'FFFF', 'FFFG']"
1,54,0,1.0,0.9645880999032158,"['SFFF', 'HFFH', 'HFFF', 'HHHG']"
1,84,0,0.0,0.0,"['SHHF', 'FFFF', 'HHHF', 'HHHG']"
1,85,0,1.0,0.9388545698794984,"['SHHF', 'FHFF', 'FHHF', 'FFFG']"
1,63,0,1.0,0.9674905716180701,"['SFFH', 'HFFF', 'HFHF', 'HFHG']"
1,63,0,1.0,0.985089730404757,"['SFHF', 'FFFF', 'HHFF', 'FHFG']"
1,58,0,1.0,0.9821344612135428,"['SFFH', 'HFFH', 'FHFF', 'FHFG']"
1,32,0,0.0,0.0,"['SHHF', 'FHHH', 'FHHF', 'FFFG']"
1,70,0,0.0,0.0,"['SHHH', 'FFHH', 'HFFH', 'FHFG']"
1,28,0,1.0,0.9762504936564125,"['SFFF', 'HFFF', 'FHHF', 'HHFG']"
1,9,0,0.0,0.0,"['SFFH', 'FFFH', 'FHHF', 'FFFG']"
1,64,0,1.0,0.9616943356035061,"['SHHF', 'FFFH', 'FFFF', 'FHFG']"
1,83,0,0.0,0.0,"['SHFH', 'FFFH', 'HHFF', 'FFHG']"
1,29,0,0.0,0.0,"['SFHF', 'FFHH', 'FFFF', 'HFHG']"
1,93,0,0.0,0.0,"['SHFH', 'FFFF', 'FHHF', 'HHHG']"
1,77,0,1.0,0.8947894553945313,"['SHHH', 'FHHH', 'FFHF', 'HFFG']"
1,79,0,1.0,0.9762504936564125,"['SFFH', 'FFFH', 'HFFH', 'HFFG']"
1,61,0,1.0,0.9616943356035061,"['SHFF', 'FFHH', 'FFFF', 'HHFG']"
1,7,0,0.0,0.0,"['SFHF', 'FHFH', 'FFFF', 'HFHG']"
1,28,0,1.0,0.9473552137914398,"['SFFF', 'HHHF', 'HFFF', 'HHHG']"
1,26,0,1.0,0.9704017769489168,"['SFHH', 'HFFF', 'FFFF', 'FHHG']"
1,70,0,1.0,0.9821344612135428,"['SHHF', 'FFFF', 'FFFF', 'HHFG']"
1,82,0,1.0,0.9502058312852957,"['SFFF', 'HHFH', 'HFFF', 'HFHG']"
