Temperature,Simulations,Return,Discounted Return,Map
1,58,0,1.0,0.9056079456455165,"['SHFH', 'FFFH', 'HFFH', 'HHFG']"
1,56,0,1.0,0.9588092525966956,"['SFFH', 'FFFF', 'FHFF', 'FFFG']"
1,58,0,1.0,0.9762504936564125,"['SFFH', 'HFFF', 'FFHF', 'FHHG']"
1,5,0,0.0,0.0,"['SHFF', 'FFFH', 'FFFF', 'HFFG']"
1,4,0,0.0,0.0,"['SHHH', 'FFHF', 'FFFF', 'FFHG']"
1,92,0,1.0,0.9704017769489168,"['SFHF', 'HFHF', 'FFHH', 'FFFG']"
1,9,0,0.0,0.0,"['SHFF', 'FHFH', 'FHFF', 'FFFG']"
1,30,0,1.0,0.9588092525966956,"['SFFF', 'FFHH', 'HFFF', 'FFFG']"
1,16,0,1.0,0.8974819010978248,"['SFFF', 'FFFF', 'FFHF', 'HFFG']"
1,43,0,1.0,0.9588092525966956,"['SFFH', 'HFFF', 'HHFF', 'HFHG']"
1,70,0,1.0,0.8894287717672626,"['SFFF', 'HFHH', 'HFFH', 'HHFG']"
1,72,0,1.0,0.9559328248389055,"['SFFF', 'HHHF', 'FHFF', 'FHFG']"
1,17,0,0.0,0.0,"['SFHF', 'FFFH', 'FHFF', 'FFHG']"
1,16,0,0.0,0.0,"['SHFH', 'FHHF', 'FFHF', 'HFFG']"
1,24,0,0.0,0.0,"['SHHH', 'FHHF', 'FFFF', 'HHHG']"
1,58,0,1.0,0.9332298921513504,"['SFHF', 'FFFH', 'FFFF', 'FHHG']"
1,92,0,1.0,0.9821344612135428,"['SFFH', 'FFFF', 'HFFH', 'FHFG']"
1,27,0,1.0,0.9704017769489168,"['SHHF', 'FFFF', 'FFHF', 'FFFG']"
1,28,0,0.0,0.0,"['SFHH', 'HFFF', 'HFHF', 'HHFG']"
1,51,0,1.0,0.9791880578299021,"['SHHH', 'FFFF', 'FHFF', 'HHFG']"
1,67,0,1.0,0.9762504936564125,"['SHFF', 'FFFH', 'HFFF', 'FHFG']"
1,11,0,0.0,0.0,"['SHHH', 'FFFF', 'FHFF', 'HHHG']"
1,88,0,1.0,0.9821344612135428,"['SHFH', 'FFFF', 'FHFF', 'HHHG']"
1,31,0,1.0,0.8426049842298329,"['SFHH', 'HFFF', 'FHHF', 'HHFG']"
1,3,0,0.0,0.0,"['SFFF', 'HHFH', 'HFFF', 'HHFG']"
1,48,0,1.0,0.985089730404757,"['SFFH', 'FFFF', 'HHFF', 'HFFG']"
1,59,0,1.0,0.9502058312852957,"['SFHH', 'HFFF', 'HHHF', 'FFHG']"
1,44,0,1.0,0.8657003616774767,"['SFFH', 'FHHF', 'FHFF', 'FFFG']"
1,54,0,1.0,0.9791880578299021,"['SHFF', 'FHFH', 'FFHH', 'FFFG']"
1,95,0,1.0,0.9674905716180701,"['SFHF', 'HFHH', 'FFFF', 'HFFG']"
1,57,0,1.0,0.985089730404757,"['SFFF', 'FFFF', 'HFFF', 'HFFG']"
1,65,0,1.0,0.9559328248389055,"['SFHF', 'FFHH', 'FFFH', 'HHFG']"
1,69,0,1.0,0.9193151828650342,"['SFFH', 'FFFF', 'FHHF', 'HFHG']"
1,53,0,1.0,0.9559328248389055,"['SHHH', 'FHHH', 'FFHF', 'FFFG']"
1,88,0,1.0,0.9791880578299021,"['SFFH', 'HHFF', 'HFFF', 'HFFG']"
1,11,0,1.0,0.8527925358961662,"['SFFF', 'FFFH', 'HFFF', 'HFHG']"
1,60,0,1.0,0.9165572373164391,"['SFFH', 'FFFH', 'HHFF', 'HFFG']"
1,67,0,1.0,0.9588092525966956,"['SHHH', 'FHFH', 'FHFF', 'FFFG']"
1,7,0,1.0,0.8867604854519608,"['SFFF', 'FFHF', 'HHFF', 'HFHG']"
1,64,0,1.0,0.9616943356035061,"['SFHH', 'FFFH', 'HHFH', 'HHFG']"
1,17,0,1.0,0.9588092525966956,"['SFFF', 'HFFH', 'HFFF', 'HHFG']"
1,46,0,1.0,0.9762504936564125,"['SFFF', 'FFFH', 'FFFH', 'FHFG']"
1,25,0,1.0,0.9616943356035061,"['SFFF', 'HFFH', 'FFFF', 'HHFG']"
1,83,0,1.0,0.9704017769489168,"['SHFH', 'FHFH', 'FFHF', 'FFFG']"
1,77,0,1.0,0.9762504936564125,"['SFHF', 'HFHH', 'HFFF', 'HFFG']"
1,16,0,1.0,0.9821344612135428,"['SFFF', 'HFFF', 'HHFF', 'FHFG']"
1,7,0,0.0,0.0,"['SFHF', 'FFHH', 'FHFF', 'FFFG']"
1,31,0,0.0,0.0,"['SFFH', 'HFHH', 'HFFF', 'FHHG']"
1,65,0,1.0,0.985089730404757,"['SFHF', 'FHFF', 'FFFF', 'FFFG']"
