Temperature,Simulations,Return,Discounted Return,Map
1,36,0,1.0,0.9733217421754432,"['SFFH', 'FFHH', 'FFFF', 'FFFG']"
1,42,0,0.0,0.0,"['SFHH', 'HFHF', 'FFFF', 'FHHG']"
1,73,0,1.0,0.9248559951318693,"['SFFH', 'HFFH', 'HFHF', 'HFFG']"
1,21,0,1.0,0.9001824484431542,"['SFFF', 'HHFH', 'FFFH', 'FFFG']"
1,50,0,0.0,0.0,"['SHFH', 'FFFF', 'HFFH', 'HHFG']"
1,18,0,0.0,0.0,"['SHFF', 'FFFH', 'HFHF', 'HFFG']"
1,100,0,1.0,0.9821344612135428,"['SFFF', 'HHFF', 'HHFF', 'FHFG']"
1,20,0,0.0,0.0,"['SFFF', 'FHHH', 'FHHF', 'FFFG']"
1,66,0,0.0,0.0,"['SHHH', 'FHHF', 'FFHF', 'HFFG']"
1,91,0,0.0,0.0,"['SHHH', 'FFFF', 'HHHF', 'HHHG']"
1,80,0,1.0,0.9388545698794984,"['SFHH', 'FHFH', 'FFFF', 'FHFG']"
1,5,0,0.0,0.0,"['SFFF', 'HHHF', 'HFFF', 'HHFG']"
1,50,0,1.0,0.985089730404757,"['SFFF', 'FHFF', 'HHFF', 'HFFG']"
1,70,0,1.0,0.985089730404757,"['SHFF', 'FFFH', 'FFFF', 'HHFG']"
1,22,0,1.0,0.78398512608332,"['SFFF', 'FHHF', 'FFHF', 'HFHG']"
1,32,0,0.0,0.0,"['SFFF', 'FHHH', 'FHFH', 'FFFG']"
1,59,0,1.0,0.9791880578299021,"['SFFF', 'HHHF', 'FHHF', 'FFHG']"
1,13,0,0.0,0.0,"['SFHH', 'FFFF', 'HFHF', 'FFHG']"
1,60,0,1.0,0.860513950810667,"['SFHF', 'HFFH', 'FFFH', 'HHFG']"
1,65,0,1.0,0.9791880578299021,"['SFFH', 'HFFF', 'HFFF', 'HHFG']"
1,35,0,1.0,0.9559328248389055,"['SFFF', 'HHFF', 'HHFF', 'FFFG']"
1,64,0,1.0,0.9791880578299021,"['SFHH', 'FHFH', 'FFFH', 'FFFG']"
1,20,0,0.0,0.0,"['SFHF', 'FFHF', 'FHFF', 'FFFG']"
1,57,0,1.0,0.8894287717672626,"['SFHF', 'FFFH', 'HHFF', 'FFHG']"
1,22,0,0.0,0.0,"['SFHF', 'HFHF', 'HFFF', 'HHHG']"
1,65,0,0.0,0.0,"['SHFF', 'FFFH', 'FHFH', 'HHFG']"
1,43,0,1.0,0.9791880578299021,"['SFFH', 'FHFF', 'HHFF', 'FHFG']"
1,57,0,1.0,0.985089730404757,"['SFFF', 'HFFH', 'FFHH', 'FFFG']"
1,3,0,1.0,0.9304302024748964,"['SFFF', 'FHFF', 'HHFF', 'HHFG']"
1,8,0,1.0,0.8814479033836181,"['SFFF', 'FHHF', 'FHFF', 'FHFG']"
1,46,0,1.0,0.93603800616986,"['SHHH', 'FHFF', 'FFFF', 'HHFG']"
1,94,0,1.0,0.9674905716180701,"['SFHF', 'FFFF', 'HHHF', 'FHFG']"
1,16,0,1.0,0.9473552137914398,"['SFFH', 'HHFF', 'HFFF', 'HFFG']"
1,82,0,1.0,0.9821344612135428,"['SFHH', 'FFFF', 'HHFF', 'FFHG']"
1,89,0,1.0,0.9791880578299021,"['SFFH', 'FHFF', 'HHFF', 'FHFG']"
1,33,0,1.0,0.90289112180858,"['SHHF', 'FFFF', 'HFFH', 'FFFG']"
1,84,0,1.0,0.9762504936564125,"['SFFF', 'FFHF', 'FFFF', 'FFFG']"
1,53,0,1.0,0.9704017769489168,"['SFFF', 'FFHH', 'HFFF', 'FFFG']"
1,53,0,1.0,0.985089730404757,"['SFFF', 'FHFF', 'HFFF', 'FFFG']"
1,17,0,0.0,0.0,"['SFFF', 'FFHH', 'HFFF', 'FFHG']"
1,42,0,1.0,0.9762504936564125,"['SFHH', 'FFHH', 'FFFF', 'FFFG']"
1,87,0,1.0,0.985089730404757,"['SFFF', 'FFHH', 'HFFF', 'FHFG']"
1,57,0,1.0,0.9821344612135428,"['SFFF', 'FHHF', 'FHHH', 'FFFG']"
1,19,0,1.0,0.9502058312852957,"['SHHF', 'FHHH', 'FHFF', 'FFFG']"
1,31,0,0.0,0.0,"['SHHF', 'FFHF', 'HFHF', 'HFFG']"
1,52,0,1.0,0.9332298921513504,"['SFFF', 'HFHF', 'HHFF', 'HFFG']"
1,33,0,1.0,0.8426049842298329,"['SFFH', 'HHFH', 'HHFH', 'FHFG']"
1,42,0,1.0,0.9821344612135428,"['SFFF', 'FFFF', 'FFFH', 'HHFG']"
1,12,0,0.0,0.0,"['SFHH', 'FHFH', 'FFFH', 'HHFG']"
1,87,0,1.0,0.9445131481500655,"['SFFH', 'HFFH', 'FHFF', 'HFFG']"
1,83,0,1.0,0.9821344612135428,"['SHHH', 'FFFH', 'FFHF', 'FFFG']"
1,51,0,1.0,0.9762504936564125,"['SHFH', 'FHFH', 'FFHF', 'FFFG']"
1,34,0,0.0,0.0,"['SFFH', 'FFHF', 'HFFH', 'FHFG']"
1,42,0,0.0,0.0,"['SFFH', 'FHFF', 'HHHF', 'FHHG']"
1,12,0,0.0,0.0,"['SFHH', 'FFFF', 'HFHF', 'HHHG']"
1,46,0,0.0,0.0,"['SHFF', 'FHHF', 'FFFH', 'HHFG']"
1,67,0,1.0,0.9530650263643888,"['SFFH', 'FHHF', 'FFFF', 'HFHG']"
1,67,0,1.0,0.985089730404757,"['SFHH', 'HFFF', 'HHFF', 'HFFG']"
1,72,0,1.0,0.985089730404757,"['SFHF', 'FFFF', 'HHFF', 'HHFG']"
1,66,0,1.0,0.8103284404851119,"['SFHH', 'FFHF', 'HFFF', 'FHHG']"
1,61,0,1.0,0.8709180316048211,"['SFHH', 'FFFH', 'FHFH', 'FHFG']"
1,47,0,1.0,0.9791880578299021,"['SFFF', 'FHFF', 'FFFH', 'FFFG']"
1,94,0,1.0,0.9616943356035061,"['SHHF', 'FFFH', 'HHFF', 'HHHG']"
1,98,0,1.0,0.9791880578299021,"['SFHH', 'FFHF', 'FFFF', 'HFFG']"
1,50,0,1.0,0.9791880578299021,"['SHHF', 'FFFH', 'FFFF', 'FFFG']"
1,10,0,1.0,0.8894287717672626,"['SFFH', 'FHFF', 'HFHF', 'HHHG']"
1,74,0,1.0,0.9762504936564125,"['SFFF', 'FFFH', 'FFFF', 'HHFG']"
1,72,0,1.0,0.9762504936564125,"['SFFF', 'HHFH', 'HHFF', 'HFFG']"
1,38,0,1.0,0.9762504936564125,"['SFFF', 'HFHH', 'FFFF', 'FFFG']"
1,79,0,1.0,0.9559328248389055,"['SHHH', 'FHFH', 'FHFF', 'FFFG']"
1,75,0,1.0,0.9616943356035061,"['SFFH', 'HFHF', 'FFFF', 'HFFG']"
1,99,0,1.0,0.9821344612135428,"['SFFF', 'HFFF', 'FFFF', 'HHFG']"
1,75,0,1.0,0.9733217421754432,"['SHHH', 'FFFF', 'FFHF', 'FFHG']"
1,92,0,1.0,0.985089730404757,"['SHHH', 'FFHH', 'FFHF', 'HFFG']"
1,5,0,0.0,0.0,"['SFHF', 'FHFH', 'FFFF', 'FHFG']"
1,55,0,0.0,0.0,"['SHFF', 'FFFH', 'FHFH', 'FHFG']"
1,61,0,1.0,0.9762504936564125,"['SFHF', 'FFFF', 'FHFF', 'FFFG']"
1,2,0,0.0,0.0,"['SHHF', 'FFHH', 'FFFF', 'HHFG']"
1,64,0,1.0,0.9704017769489168,"['SFHF', 'FFFH', 'FHHF', 'FFFG']"
1,43,0,0.0,0.0,"['SFFF', 'FHFH', 'FHFF', 'HFHG']"
1,64,0,1.0,0.9248559951318693,"['SFHH', 'HFFF', 'FFHH', 'HFFG']"
1,5,0,1.0,0.767668872977057,"['SFFH', 'HFFF', 'HFFF', 'FHHG']"
1,49,0,1.0,0.9791880578299021,"['SFFF', 'FHFF', 'FHFF', 'HHFG']"
1,61,0,1.0,0.985089730404757,"['SHFH', 'FFHH', 'FFFF', 'HFFG']"
1,3,0,0.0,0.0,"['SFFH', 'FFFH', 'FFFF', 'HHFG']"
1,60,0,1.0,0.9762504936564125,"['SHHF', 'FFFF', 'FFFF', 'HHFG']"
1,59,0,1.0,0.9530650263643888,"['SFFH', 'FFFF', 'FHFH', 'HFFG']"
1,49,0,1.0,0.9473552137914398,"['SHHH', 'FFFF', 'HFFF', 'FHFG']"
1,8,0,0.0,0.0,"['SFFF', 'HHFF', 'FHFH', 'FHFG']"
1,50,0,1.0,0.860513950810667,"['SHFH', 'FFHF', 'HFFF', 'FFFG']"
1,72,0,1.0,0.8127667407072335,"['SFHH', 'FFHF', 'FFFF', 'HFHG']"
1,49,0,0.0,0.0,"['SFFF', 'HFFF', 'HFHH', 'HFFG']"
1,75,0,0.0,0.0,"['SHHH', 'FFFH', 'HFHH', 'HFFG']"
1,91,0,1.0,0.9762504936564125,"['SFFH', 'FHFF', 'HHHF', 'HFFG']"
1,82,0,1.0,0.9762504936564125,"['SFHF', 'FFFF', 'HFFH', 'HFFG']"
1,46,0,1.0,0.9821344612135428,"['SFFF', 'HFFF', 'FFHF', 'FFFG']"
1,5,0,0.0,0.0,"['SFFH', 'FFFF', 'HFHH', 'HFFG']"
1,14,0,1.0,0.9332298921513504,"['SHHF', 'FHHH', 'FFFF', 'FFFG']"
1,62,0,1.0,0.9733217421754432,"['SFFF', 'HFHF', 'FFFF', 'FHFG']"
1,69,0,1.0,0.9733217421754432,"['SHHH', 'FFFH', 'FFHF', 'FFFG']"
1,79,0,1.0,0.9445131481500655,"['SFFF', 'FFHH', 'FFHH', 'HFFG']"
1,45,0,0.0,0.0,"['SHHF', 'FFFF', 'HHHF', 'FHFG']"
1,13,0,0.0,0.0,"['SFHH', 'FFFH', 'HFFF', 'FFHG']"
1,35,0,1.0,0.8814479033836181,"['SFHH', 'FHFH', 'FHFF', 'FFFG']"
1,62,0,0.0,0.0,"['SHFF', 'FFFF', 'HFHH', 'HFFG']"
1,50,0,1.0,0.9821344612135428,"['SHFH', 'FFFH', 'FFHH', 'FFFG']"
1,98,0,1.0,0.776950406379376,"['SHFF', 'FHHH', 'FFHH', 'HFFG']"
1,2,0,0.0,0.0,"['SHHH', 'FFHH', 'FFFF', 'FHHG']"
1,99,0,1.0,0.9473552137914398,"['SHHF', 'FHFH', 'FFFF', 'HHHG']"
1,33,0,1.0,0.9248559951318693,"['SFFH', 'FFFH', 'FFHH', 'HFFG']"
1,82,0,1.0,0.9645880999032158,"['SFHH', 'HFFH', 'HHFH', 'FHFG']"
1,24,0,1.0,0.8553586117313603,"['SFFH', 'HFFH', 'HFFF', 'HHHG']"
1,46,0,0.0,0.0,"['SHHH', 'FFFH', 'HFFF', 'HHHG']"
1,87,0,1.0,0.835044266956004,"['SFHH', 'HFHH', 'FFFF', 'HFHG']"
1,45,0,0.0,0.0,"['SHFH', 'FHHF', 'FFFF', 'FHFG']"
1,50,0,1.0,0.9821344612135428,"['SFHH', 'HFFH', 'FFFF', 'HFFG']"
1,54,0,1.0,0.9762504936564125,"['SFHF', 'HFFH', 'FFFH', 'HFFG']"
1,84,0,1.0,0.9791880578299021,"['SFHH', 'FHFF', 'FHHF', 'FFFG']"
1,50,0,1.0,0.9821344612135428,"['SFFF', 'FFFF', 'FHFF', 'FFHG']"
1,43,0,0.0,0.0,"['SHHF', 'FFFF', 'FHHF', 'HHHG']"
1,61,0,1.0,0.9791880578299021,"['SFFF', 'HFHF', 'FHHF', 'HHFG']"
1,8,0,0.0,0.0,"['SHHH', 'FFFF', 'HHHF', 'HHHG']"
1,2,0,0.0,0.0,"['SHHF', 'FHHH', 'FFFF', 'FFHG']"
1,4,0,0.0,0.0,"['SFFH', 'FFFF', 'HHHF', 'FFHG']"
1,94,0,0.0,0.0,"['SHFH', 'FFFF', 'FHFH', 'HFFG']"
1,84,0,1.0,0.9821344612135428,"['SFFH', 'FFFF', 'HFFF', 'FHFG']"
1,34,0,1.0,0.7958514863018556,"['SFHH', 'FHFH', 'FHFF', 'FFFG']"
1,29,0,0.0,0.0,"['SFFH', 'HFHH', 'FFFF', 'HFHG']"
1,25,0,1.0,0.9138075656044898,"['SFFF', 'FFHF', 'FFFF', 'FFHG']"
1,94,0,1.0,0.9588092525966956,"['SFFH', 'FFHH', 'FFFF', 'HHFG']"
1,24,0,1.0,0.9056079456455165,"['SFFH', 'HHFH', 'HFFF', 'HFHG']"
1,52,0,1.0,0.9762504936564125,"['SFFF', 'FHFF', 'HFFF', 'HFFG']"
1,78,0,1.0,0.9762504936564125,"['SFHH', 'HFFF', 'HFHF', 'FFHG']"
1,29,0,1.0,0.985089730404757,"['SFFF', 'HHFF', 'HFFF', 'FHFG']"
1,72,0,1.0,0.985089730404757,"['SFHH', 'FFHH', 'HFFH', 'HFFG']"
1,66,0,1.0,0.9791880578299021,"['SFHH', 'FHFH', 'FHHH', 'FFFG']"
1,41,0,0.0,0.0,"['SFFH', 'FHHF', 'FFFH', 'FHFG']"
1,97,0,1.0,0.985089730404757,"['SFFF', 'HFFF', 'FFHF', 'HFHG']"
1,62,0,1.0,0.9674905716180701,"['SFFH', 'HFFF', 'HHHF', 'HHFG']"
1,73,0,1.0,0.9530650263643888,"['SFHH', 'FHHF', 'FHHF', 'FFFG']"
1,6,0,0.0,0.0,"['SHFF', 'FFHH', 'FFHF', 'HFFG']"
1,9,0,0.0,0.0,"['SHFF', 'FFFF', 'FHFF', 'HFFG']"
1,90,0,1.0,0.9674905716180701,"['SFFF', 'HHFF', 'HFFF', 'FFHG']"
1,84,0,1.0,0.9821344612135428,"['SFFF', 'FFFH', 'FFFF', 'FHHG']"
1,33,0,1.0,0.9276389118674717,"['SFFH', 'HHFF', 'HFHF', 'FFFG']"
1,11,0,0.0,0.0,"['SFFF', 'HHFH', 'FHFF', 'FFHG']"
1,42,0,1.0,0.9304302024748964,"['SFHH', 'HFFH', 'FHFF', 'FFHG']"
1,80,0,1.0,0.985089730404757,"['SFFF', 'HFFH', 'FFFF', 'HFHG']"
1,85,0,1.0,0.8275513922024125,"['SHHH', 'FFFF', 'HHFF', 'FHHG']"
1,24,0,0.0,0.0,"['SHHH', 'FHFH', 'FFFF', 'HHFG']"
1,63,0,0.0,0.0,"['SHHF', 'FHHH', 'FFFF', 'HHHG']"
1,14,0,1.0,0.8201257512162927,"['SFFH', 'HFHF', 'HFFF', 'HHFG']"
1,97,0,0.0,0.0,"['SHHH', 'FFFH', 'HHFH', 'HFFG']"
1,43,0,1.0,0.9762504936564125,"['SHFF', 'FHFH', 'FFHF', 'FFFG']"
1,49,0,1.0,0.985089730404757,"['SFFH', 'FHFF', 'FFFF', 'FHFG']"
1,39,0,1.0,0.9762504936564125,"['SHHH', 'FFFH', 'HHFF', 'FFFG']"
1,29,0,1.0,0.7958514863018556,"['SFFH', 'HFFH', 'FFHH', 'HFFG']"
1,82,0,1.0,0.9791880578299021,"['SFHF', 'FFFF', 'FHHH', 'FFFG']"
1,48,0,1.0,0.9138075656044898,"['SFFF', 'HHHF', 'HFHF', 'HFFG']"
1,10,0,0.0,0.0,"['SFFF', 'HFFH', 'FHFF', 'HHHG']"
1,81,0,1.0,0.803057341509771,"['SFHH', 'FFHF', 'HFHF', 'HFFG']"
1,30,0,0.0,0.0,"['SHFH', 'FFFF', 'HFHH', 'HFFG']"
1,18,0,0.0,0.0,"['SFHF', 'FFFF', 'HHHF', 'FHHG']"
1,96,0,1.0,0.985089730404757,"['SFHF', 'HFFH', 'HFFF', 'HFFG']"
1,77,0,1.0,0.9704017769489168,"['SHFH', 'FFHF', 'FFHH', 'FFFG']"
1,14,0,1.0,0.985089730404757,"['SFFF', 'HFFF', 'HHFF', 'HHHG']"
1,25,0,0.0,0.0,"['SHHF', 'FFHH', 'HFFF', 'FHFG']"
1,15,0,1.0,0.9416796087056153,"['SFFF', 'FHFF', 'FHHF', 'HFHG']"
1,10,0,0.0,0.0,"['SHFH', 'FFFF', 'FHFF', 'FFHG']"
1,29,0,1.0,0.9001824484431542,"['SFHH', 'FFFF', 'FHFH', 'HFFG']"
1,16,0,1.0,0.9083329444789534,"['SFFF', 'FFFF', 'FHFH', 'HFFG']"
1,54,0,1.0,0.9762504936564125,"['SFFF', 'HHHF', 'FFFF', 'HHFG']"
1,80,0,1.0,0.9616943356035061,"['SFFF', 'FHHF', 'FFFH', 'HFFG']"
1,90,0,1.0,0.8761671489944468,"['SHHH', 'FFFF', 'HHHF', 'HFFG']"
1,33,0,1.0,0.9276389118674717,"['SFFH', 'HFFH', 'HFFH', 'FHFG']"
1,92,0,1.0,0.9733217421754432,"['SHHF', 'FFFH', 'FFFH', 'FFFG']"
1,69,0,1.0,0.9704017769489168,"['SFFH', 'HFFF', 'HHFF', 'HHHG']"
1,52,0,1.0,0.9791880578299021,"['SFHF', 'FFFH', 'HFFF', 'FFFG']"
1,97,0,1.0,0.9388545698794984,"['SHFH', 'FHHH', 'FHFF', 'FFFG']"
1,61,0,1.0,0.8152123778407558,"['SHHH', 'FHHF', 'FFFF', 'FFHG']"
1,88,0,1.0,0.9821344612135428,"['SFHF', 'FHFF', 'FHFH', 'FFFG']"
1,3,0,0.0,0.0,"['SFHH', 'FFFF', 'FFFF', 'FHFG']"
1,71,0,1.0,0.9248559951318693,"['SFFH', 'FFFH', 'FHFH', 'HHFG']"
1,14,0,1.0,0.9559328248389055,"['SFFF', 'FFHF', 'FFHF', 'HFFG']"
1,24,0,1.0,0.985089730404757,"['SFHF', 'FFFF', 'HHFF', 'HHFG']"
1,21,0,1.0,0.9645880999032158,"['SFFF', 'FHHF', 'FFFF', 'FHFG']"
1,68,0,1.0,0.9791880578299021,"['SHHH', 'FHFF', 'FFHH', 'FFFG']"
1,75,0,1.0,0.90289112180858,"['SFHH', 'HFFF', 'FHFH', 'HFFG']"
1,40,0,1.0,0.9502058312852957,"['SFFF', 'FHFH', 'HHFF', 'HFFG']"
1,84,0,0.0,0.0,"['SHHH', 'FFFF', 'HFFH', 'FHFG']"
1,19,0,0.0,0.0,"['SFFH', 'HFFF', 'FFHH', 'HFFG']"
1,63,0,1.0,0.9674905716180701,"['SFFH', 'HFFH', 'HFHF', 'HFFG']"
1,42,0,1.0,0.90289112180858,"['SFHF', 'FHHF', 'FHHH', 'FFFG']"
1,96,0,1.0,0.9733217421754432,"['SHFF', 'FFFF', 'FHFF', 'FHFG']"
1,58,0,1.0,0.9388545698794984,"['SFHH', 'HFFH', 'FFFH', 'FHFG']"
1,3,0,0.0,0.0,"['SHHF', 'FFHH', 'HFHH', 'HFFG']"
1,71,0,1.0,0.985089730404757,"['SFFF', 'HHFF', 'HHHF', 'FHFG']"
1,36,0,1.0,0.9304302024748964,"['SFHH', 'HFHH', 'FFHF', 'FFFG']"
1,9,0,0.0,0.0,"['SFHF', 'HFFH', 'HFFF', 'HFFG']"
1,52,0,1.0,0.9193151828650342,"['SFFF', 'FHFH', 'FFHF', 'FFFG']"
1,25,0,0.0,0.0,"['SHFH', 'FFFF', 'HHFF', 'FHHG']"
1,89,0,1.0,0.9674905716180701,"['SFHF', 'FHFH', 'FFFH', 'FFFG']"
