Temperature,Simulations,Return,Discounted Return,Map
1,20,0,0.0,0.0,"['SHHF', 'FHHF', 'FFFF', 'FHFG']"
1,33,0,1.0,0.9791880578299021,"['SFFH', 'FFFH', 'FFFF', 'HFFG']"
1,51,0,1.0,0.9821344612135428,"['SHFF', 'FFHF', 'HFFF', 'HFFG']"
1,70,0,0.0,0.0,"['SHHH', 'FFFH', 'HFHF', 'HFFG']"
1,79,0,1.0,0.9762504936564125,"['SHHH', 'FHFF', 'FFFH', 'FFFG']"
1,30,0,1.0,0.9791880578299021,"['SFHF', 'HFFF', 'FFFF', 'HFHG']"
1,85,0,1.0,0.9674905716180701,"['SFFF', 'HFFH', 'FHFH', 'HFFG']"
1,1,0,0.0,0.0,"['SFFF', 'HFHF', 'FFFH', 'FFFG']"
1,37,0,1.0,0.9588092525966956,"['SFFF', 'FHFF', 'FHFF', 'FHHG']"
1,25,0,1.0,0.8709180316048211,"['SFFF', 'FHHF', 'HHHF', 'FFFG']"
1,100,0,0.0,0.0,"['SHHH', 'FFHH', 'HFFH', 'HHFG']"
1,76,0,1.0,0.985089730404757,"['SFFF', 'HFFF', 'FHFF', 'HFHG']"
1,77,0,1.0,0.884100203995605,"['SHHF', 'FHFH', 'FFFF', 'HFHG']"
1,93,0,1.0,0.985089730404757,"['SFFF', 'HHFF', 'HHFF', 'HHHG']"
1,42,0,1.0,0.9762504936564125,"['SFHF', 'FFFF', 'HHHF', 'FHFG']"
1,36,0,0.0,0.0,"['SHFH', 'FFFF', 'HHHF', 'FHHG']"
1,18,0,0.0,0.0,"['SFHF', 'FHFF', 'FHHH', 'FFFG']"
1,47,0,1.0,0.8502341582884777,"['SFHH', 'FFFH', 'HFFH', 'FHFG']"
1,83,0,1.0,0.985089730404757,"['SFFF', 'FHHF', 'HHFF', 'FFFG']"
1,91,0,1.0,0.8502341582884777,"['SFHH', 'FFHH', 'HFFH', 'FHFG']"
1,81,0,0.0,0.0,"['SHHF', 'FFHH', 'HFFH', 'FHFG']"
1,100,0,1.0,0.9762504936564125,"['SFFF', 'HFHF', 'HHHF', 'FFHG']"
1,100,0,1.0,0.9821344612135428,"['SHFF', 'FFHF', 'FFFH', 'FFFG']"
1,84,0,1.0,0.8761671489944468,"['SFHH', 'FFFH', 'HHFF', 'HHHG']"
1,39,0,1.0,0.9791880578299021,"['SHHH', 'FFFF', 'FFFF', 'FHFG']"
1,56,0,0.0,0.0,"['SFHH', 'FFFH', 'FHFF', 'FFHG']"
1,47,0,1.0,0.9674905716180701,"['SFFH', 'FFHF', 'FFHF', 'FFFG']"
1,54,0,1.0,0.9704017769489168,"['SFFH', 'FFHH', 'FFFH', 'HFFG']"
1,28,0,1.0,0.9791880578299021,"['SFFF', 'HFFF', 'FHFF', 'FHFG']"
1,47,0,1.0,0.9416796087056153,"['SHHF', 'FFFH', 'HFFF', 'HHFG']"
1,29,0,1.0,0.9762504936564125,"['SFFF', 'FFFF', 'FFHF', 'HFFG']"
1,60,0,1.0,0.8735386475474635,"['SHFF', 'FHFF', 'FFFF', 'FHFG']"
1,10,0,0.0,0.0,"['SHHF', 'FHHF', 'FHFF', 'FFFG']"
1,1,0,0.0,0.0,"['SFFF', 'FHHF', 'FHHF', 'HHFG']"
1,71,0,1.0,0.9821344612135428,"['SFFH', 'HFFF', 'FHFF', 'HHFG']"
1,83,0,1.0,0.9821344612135428,"['SFFH', 'HFFF', 'FFHF', 'FFFG']"
1,13,0,1.0,0.9193151828650342,"['SFHF', 'HFFF', 'FFFF', 'HHFG']"
1,95,0,1.0,0.9276389118674717,"['SFHF', 'FHHF', 'FFFF', 'FHHG']"
1,18,0,1.0,0.9473552137914398,"['SHFF', 'FHFH', 'FFFF', 'FFFG']"
1,86,0,1.0,0.9791880578299021,"['SFFF', 'FFHF', 'HFHF', 'FHHG']"
1,61,0,1.0,0.9733217421754432,"['SFFF', 'HHFF', 'FFHF', 'FHFG']"
1,76,0,1.0,0.9704017769489168,"['SHHH', 'FFFF', 'FHFF', 'FFHG']"
1,75,0,1.0,0.93603800616986,"['SFHH', 'HFFH', 'FFHF', 'HFFG']"
1,45,0,1.0,0.7887102894272789,"['SFHH', 'FFFF', 'HFHF', 'FHFG']"
1,45,0,1.0,0.9559328248389055,"['SFFF', 'FHFH', 'FFFH', 'HFFG']"
1,1,0,0.0,0.0,"['SFFH', 'HFFF', 'HFHF', 'HFHG']"
1,25,0,1.0,0.7699788094052729,"['SHFH', 'FFHH', 'FHHH', 'FFFG']"
1,54,0,1.0,0.9762504936564125,"['SHHF', 'FHHF', 'FFFF', 'FFFG']"
1,87,0,1.0,0.985089730404757,"['SFFF', 'FFHH', 'FFHH', 'HFFG']"
1,60,0,1.0,0.9445131481500655,"['SFFH', 'FFFF', 'FHFH', 'HFFG']"
1,89,0,0.0,0.0,"['SHFF', 'FFHF', 'HFHF', 'FFFG']"
1,70,0,0.0,0.0,"['SHFF', 'FFFF', 'HHFH', 'HFFG']"
1,20,0,1.0,0.7887102894272789,"['SFFF', 'HFFH', 'HHFF', 'HFHG']"
1,97,0,1.0,0.985089730404757,"['SHHF', 'FHFF', 'FHFH', 'FFFG']"
1,77,0,1.0,0.9821344612135428,"['SHFH', 'FHHF', 'FHFF', 'FFFG']"
1,86,0,1.0,0.9674905716180701,"['SFHH', 'HFFF', 'FFFF', 'HFFG']"
1,54,0,1.0,0.9388545698794984,"['SFFH', 'HFFH', 'HFFH', 'HHFG']"
1,68,0,1.0,0.8761671489944468,"['SFHH', 'HFHF', 'FFFF', 'FHHG']"
1,90,0,1.0,0.985089730404757,"['SHHF', 'FFFF', 'FFHH', 'HFFG']"
1,20,0,1.0,0.8225935318117279,"['SFFH', 'FFFF', 'HFHF', 'HHFG']"
1,59,0,1.0,0.9248559951318693,"['SFHH', 'HFFF', 'FFHF', 'FHHG']"
1,98,0,1.0,0.9762504936564125,"['SFHF', 'HFHF', 'HFFF', 'HHHG']"
1,70,0,1.0,0.985089730404757,"['SHHH', 'FFHH', 'FFFF', 'FFFG']"
1,87,0,1.0,0.9704017769489168,"['SFHH', 'HFHF', 'FFHH', 'HFFG']"
1,6,0,1.0,0.8867604854519608,"['SFFF', 'HHFF', 'FHFF', 'HFHG']"
1,51,0,0.0,0.0,"['SHHF', 'FFFH', 'HHFF', 'HFHG']"
1,55,0,1.0,0.9645880999032158,"['SFHF', 'HFFF', 'FHFF', 'HFHG']"
