Temperature,Simulations,Return,Discounted Return,Map
1,12,0,0.0,0.0,"['SFFF', 'FFFH', 'HFFF', 'FFHG']"
1,86,0,1.0,0.9733217421754432,"['SFFH', 'FFFF', 'HFHF', 'FHFG']"
1,78,0,1.0,0.9733217421754432,"['SFHF', 'FFFF', 'HFHF', 'HFFG']"
1,8,0,1.0,0.8325391341551359,"['SFFF', 'HFHF', 'FHFF', 'HFHG']"
1,79,0,1.0,0.9473552137914398,"['SFHH', 'FFFH', 'HFFF', 'HFHG']"
1,94,0,1.0,0.985089730404757,"['SFFF', 'HFFF', 'HHFF', 'FHHG']"
1,55,0,1.0,0.9588092525966956,"['SFFH', 'HFFF', 'FHHF', 'FHFG']"
1,36,0,1.0,0.9821344612135428,"['SFFF', 'FHHF', 'FFHF', 'FFFG']"
1,61,0,1.0,0.9332298921513504,"['SHHF', 'FFHH', 'HFFF', 'HFFG']"
1,37,0,1.0,0.8631032605924442,"['SFFF', 'FFFH', 'HHFF', 'HFHG']"
1,94,0,1.0,0.9674905716180701,"['SFFF', 'FHHF', 'HFHF', 'FFHG']"
1,49,0,0.0,0.0,"['SHHH', 'FFFH', 'HHFF', 'HFHG']"
1,68,0,1.0,0.9821344612135428,"['SHFF', 'FFFF', 'HFFF', 'FFFG']"
1,5,0,0.0,0.0,"['SFFF', 'HFFH', 'FHFF', 'HFHG']"
1,89,0,1.0,0.9791880578299021,"['SHFH', 'FFFF', 'HFFF', 'FHHG']"
1,64,0,1.0,0.9821344612135428,"['SFFF', 'HFFF', 'HFHF', 'HHFG']"
1,84,0,1.0,0.9821344612135428,"['SFFF', 'FHFF', 'FFFF', 'FFHG']"
1,61,0,1.0,0.9733217421754432,"['SFFF', 'FFFF', 'HHFF', 'FFFG']"
1,46,0,1.0,0.9559328248389055,"['SFFH', 'HHFF', 'FFHF', 'HHHG']"
1,99,0,1.0,0.93603800616986,"['SFFH', 'FHFH', 'HFFH', 'HFFG']"
1,24,0,1.0,0.857932408958235,"['SFFF', 'FFFF', 'FHFH', 'HFFG']"
1,6,0,1.0,0.9473552137914398,"['SFFF', 'FFFF', 'HFHF', 'HHFG']"
1,33,0,0.0,0.0,"['SHFF', 'FFFH', 'HHFF', 'HHFG']"
1,83,0,1.0,0.9704017769489168,"['SFFH', 'HFFF', 'FFFH', 'HHFG']"
1,57,0,1.0,0.9473552137914398,"['SFHF', 'FFFF', 'FHFH', 'FHFG']"
1,35,0,1.0,0.9821344612135428,"['SHFF', 'FFFF', 'FFFF', 'HHHG']"
1,21,0,0.0,0.0,"['SHHH', 'FHHH', 'FFFF', 'HHHG']"
1,2,0,0.0,0.0,"['SFHH', 'HFFF', 'FFFF', 'HFFG']"
1,68,0,1.0,0.9821344612135428,"['SHHH', 'FFHH', 'FFFF', 'FFFG']"
1,57,0,1.0,0.985089730404757,"['SFFH', 'HFFF', 'HFFF', 'FFHG']"
1,25,0,1.0,0.9193151828650342,"['SFFF', 'HHHF', 'FFFF', 'HHHG']"
1,1,0,0.0,0.0,"['SFFH', 'HHFF', 'HHFF', 'HFFG']"
1,25,0,1.0,0.8400771692771434,"['SFFH', 'HHFF', 'HHFH', 'HFFG']"
1,7,0,0.0,0.0,"['SFHH', 'HFHH', 'HFHH', 'HFFG']"
1,29,0,1.0,0.9530650263643888,"['SFFF', 'FFHF', 'FHFF', 'HFFG']"
1,13,0,0.0,0.0,"['SFFF', 'FFHH', 'HFFF', 'HFHG']"
1,54,0,1.0,0.9110661429076764,"['SFFH', 'HHFH', 'HFFH', 'FFFG']"
1,8,0,1.0,0.8921050870283477,"['SFFF', 'FFFF', 'HFHF', 'FHFG']"
1,51,0,1.0,0.9674905716180701,"['SHHF', 'FHFH', 'FFFF', 'HFFG']"
1,31,0,1.0,0.9616943356035061,"['SFFH', 'FFHF', 'HFFF', 'HHHG']"
1,95,0,1.0,0.8974819010978248,"['SHFF', 'FFHF', 'FFFH', 'FHFG']"
1,57,0,1.0,0.985089730404757,"['SFFF', 'FFFH', 'HFFF', 'FFFG']"
1,53,0,1.0,0.9821344612135428,"['SFFF', 'FHFF', 'HHFF', 'FHHG']"
1,32,0,1.0,0.9733217421754432,"['SFFF', 'HFFF', 'HFHF', 'HHFG']"
1,16,0,1.0,0.9674905716180701,"['SHHF', 'FFFF', 'FFFH', 'FFFG']"
1,51,0,1.0,0.8788035596734672,"['SHHH', 'FHFF', 'FFFF', 'HHHG']"
1,5,0,0.0,0.0,"['SFFF', 'HHHF', 'FHFF', 'HFHG']"
1,9,0,0.0,0.0,"['SFHH', 'FFFF', 'HFFH', 'HFFG']"
1,82,0,1.0,0.9674905716180701,"['SFFH', 'HHFF', 'FFHF', 'HFFG']"
1,84,0,1.0,0.9791880578299021,"['SFFF', 'FFFF', 'FHFF', 'FFHG']"
1,28,0,0.0,0.0,"['SFHH', 'HFFH', 'HFHH', 'FFFG']"
1,54,0,1.0,0.9762504936564125,"['SFHF', 'FFFF', 'HFFF', 'HHHG']"
1,100,0,1.0,0.9821344612135428,"['SFFH', 'FFFH', 'HFFF', 'HFHG']"
1,88,0,1.0,0.9762504936564125,"['SFFF', 'HFFH', 'HHFF', 'HFFG']"
1,13,0,1.0,0.9645880999032158,"['SFFF', 'FHFF', 'FFFF', 'HHHG']"
1,67,0,1.0,0.9762504936564125,"['SFHH', 'HFHF', 'HFFH', 'FHFG']"
1,58,0,1.0,0.9791880578299021,"['SFHF', 'FFFF', 'FFFF', 'HHFG']"
1,19,0,1.0,0.9276389118674717,"['SFFF', 'HHHF', 'HHHF', 'FFHG']"
1,62,0,1.0,0.9416796087056153,"['SHFF', 'FFFH', 'FFFF', 'HFHG']"
1,98,0,0.0,0.0,"['SHFF', 'FHHH', 'FFFH', 'HHFG']"
1,7,0,0.0,0.0,"['SFHH', 'HFFF', 'HHFH', 'FHFG']"
1,41,0,1.0,0.9733217421754432,"['SFFF', 'FHHF', 'HFFF', 'HFFG']"
1,8,0,1.0,0.9445131481500655,"['SFFF', 'HFFF', 'HFFF', 'FHHG']"
1,44,0,0.0,0.0,"['SHFF', 'FFFH', 'FHFH', 'HHFG']"
1,61,0,1.0,0.9762504936564125,"['SFFF', 'HFFF', 'HHHF', 'FFHG']"
1,63,0,1.0,0.9674905716180701,"['SFFH', 'HFFH', 'FHFH', 'FHFG']"
1,93,0,1.0,0.9674905716180701,"['SFFH', 'FFFF', 'FHFF', 'FHHG']"
1,75,0,1.0,0.837556937769312,"['SHFF', 'FFHH', 'FHHF', 'FFFG']"
1,39,0,1.0,0.9304302024748964,"['SHFH', 'FFFH', 'HFFH', 'FFFG']"
1,5,0,0.0,0.0,"['SFHF', 'HFFF', 'HHFF', 'FFFG']"
1,90,0,1.0,0.9821344612135428,"['SFFH', 'FFFF', 'HHFF', 'FFFG']"
1,36,0,1.0,0.9193151828650342,"['SFHH', 'HFHF', 'HFFF', 'FHFG']"
1,73,0,1.0,0.9791880578299021,"['SFFH', 'HFFH', 'HHFH', 'HHFG']"
1,40,0,1.0,0.8947894553945313,"['SFFH', 'HFFF', 'FFHF', 'HHFG']"
1,88,0,1.0,0.9588092525966956,"['SFFH', 'FFFF', 'FHFF', 'FFHG']"
1,4,0,0.0,0.0,"['SHHF', 'FHHH', 'FFFF', 'FFFG']"
1,69,0,1.0,0.985089730404757,"['SFHH', 'FFHH', 'HFHF', 'FFFG']"
1,4,0,0.0,0.0,"['SHFH', 'FFFH', 'HHFH', 'FHFG']"
1,22,0,0.0,0.0,"['SHFH', 'FFHH', 'FFFH', 'HHFG']"
1,15,0,1.0,0.9304302024748964,"['SFFF', 'FHHF', 'FHHF', 'FHFG']"
1,20,0,0.0,0.0,"['SHFF', 'FFFF', 'HFFF', 'FFHG']"
1,46,0,0.0,0.0,"['SFHF', 'HFFH', 'HHFH', 'HHFG']"
1,37,0,1.0,0.9645880999032158,"['SFFF', 'FHFF', 'HFHF', 'HFFG']"
1,47,0,1.0,0.9704017769489168,"['SHFF', 'FFHF', 'FFFH', 'HFFG']"
1,34,0,1.0,0.9821344612135428,"['SFFF', 'HHFF', 'HHHF', 'HHHG']"
1,4,0,0.0,0.0,"['SHHH', 'FFHH', 'HFFF', 'FHHG']"
1,30,0,1.0,0.9674905716180701,"['SFFF', 'HFFH', 'HFFF', 'HFFG']"
1,8,0,0.0,0.0,"['SFFH', 'FFHH', 'FFFH', 'FHFG']"
1,5,0,0.0,0.0,"['SHHF', 'FFFF', 'FHHF', 'FFFG']"
1,38,0,1.0,0.9332298921513504,"['SFHF', 'FFFF', 'FFHF', 'FFFG']"
1,7,0,0.0,0.0,"['SFFF', 'HHFH', 'FHFF', 'FHHG']"
1,45,0,1.0,0.9588092525966956,"['SFFF', 'FFFF', 'FHHF', 'HFFG']"
1,72,0,1.0,0.9821344612135428,"['SHHF', 'FHFF', 'FHFH', 'FFFG']"
1,11,0,1.0,0.9704017769489168,"['SFFF', 'FFFF', 'HHFF', 'FHHG']"
1,22,0,1.0,0.9674905716180701,"['SFHF', 'HFFH', 'HFFH', 'FFFG']"
1,17,0,1.0,0.9762504936564125,"['SFHF', 'HFFF', 'FFFF', 'FFFG']"
1,41,0,1.0,0.9704017769489168,"['SFFF', 'HHHF', 'HFHF', 'HHFG']"
1,70,0,1.0,0.9473552137914398,"['SFFF', 'FFHF', 'HFFH', 'HFFG']"
1,11,0,0.0,0.0,"['SHHH', 'FFFF', 'FFHF', 'FHHG']"
1,87,0,1.0,0.9762504936564125,"['SFFF', 'FFFH', 'HHFH', 'FHFG']"
