Temperature,Simulations,Return,Discounted Return,Map
1,96,0,1.0,0.9821344612135428,"['SFHH', 'FFHH', 'FHFF', 'FFFG']"
1,83,0,1.0,0.9733217421754432,"['SFFH', 'FFHF', 'FFHF', 'FFFG']"
1,49,0,0.0,0.0,"['SFFF', 'FFFH', 'HFHH', 'HFFG']"
1,11,0,0.0,0.0,"['SFFF', 'FHFH', 'HHFF', 'HHHG']"
1,73,0,1.0,0.9588092525966956,"['SFFF', 'FHHF', 'FHHH', 'FFFG']"
1,15,0,0.0,0.0,"['SHHH', 'FFFF', 'HFFF', 'FFHG']"
1,87,0,1.0,0.9416796087056153,"['SFFH', 'FFHH', 'FFFF', 'FHHG']"
1,89,0,1.0,0.9588092525966956,"['SHHF', 'FFFF', 'FHFF', 'FHHG']"
1,45,0,1.0,0.9674905716180701,"['SFHF', 'FHFH', 'FHFH', 'FFFG']"
1,88,0,1.0,0.9821344612135428,"['SHHF', 'FFFF', 'FHHH', 'FFFG']"
1,47,0,1.0,0.9704017769489168,"['SFFF', 'HHHF', 'HFFF', 'FFFG']"
1,88,0,1.0,0.9416796087056153,"['SFFH', 'FFHF', 'FFFF', 'HFHG']"
1,11,0,0.0,0.0,"['SHFF', 'FFFH', 'FFFF', 'FHHG']"
1,79,0,1.0,0.8426049842298329,"['SHFF', 'FFFF', 'HFHF', 'FFHG']"
1,6,0,0.0,0.0,"['SHFF', 'FFFF', 'HHFH', 'FHFG']"
1,43,0,1.0,0.8152123778407558,"['SFHF', 'FFFF', 'FHHF', 'FHFG']"
1,26,0,1.0,0.767668872977057,"['SFFF', 'HFFF', 'HHFH', 'HFFG']"
1,26,0,0.0,0.0,"['SHHH', 'FFFH', 'FHFF', 'FHHG']"
1,47,0,1.0,0.9791880578299021,"['SFFF', 'HHFF', 'HFHF', 'HHHG']"
1,94,0,1.0,0.7630697687590515,"['SFHH', 'FFFH', 'HHFH', 'FFFG']"
1,99,0,1.0,0.9001824484431542,"['SFHH', 'HFFF', 'HFHF', 'FHHG']"
1,89,0,1.0,0.9821344612135428,"['SFHF', 'FFFF', 'FHHF', 'FHHG']"
1,58,0,1.0,0.8553586117313603,"['SFFF', 'HFHF', 'HFFH', 'FHFG']"
1,49,0,1.0,0.9791880578299021,"['SFFF', 'HFFF', 'FFHF', 'HFFG']"
1,37,0,1.0,0.8974819010978248,"['SFHH', 'HFFF', 'HHFF', 'HFHG']"
1,68,0,1.0,0.9821344612135428,"['SFFF', 'FHFF', 'HFHF', 'HFFG']"
1,66,0,1.0,0.9791880578299021,"['SFHF', 'FHHF', 'FFFH', 'HFFG']"
1,64,0,1.0,0.9056079456455165,"['SHHH', 'FFFF', 'FFHF', 'FFHG']"
1,21,0,1.0,0.9704017769489168,"['SFFH', 'FHFF', 'HHFF', 'FHFG']"
1,49,0,1.0,0.9416796087056153,"['SFHF', 'HFFF', 'HFFF', 'HHHG']"
1,48,0,0.0,0.0,"['SFHH', 'FHHF', 'FFFH', 'FHFG']"
1,18,0,0.0,0.0,"['SFHH', 'FFHH', 'FFHH', 'HFFG']"
1,22,0,0.0,0.0,"['SHFH', 'FHHF', 'FFFF', 'HHFG']"
1,85,0,1.0,0.985089730404757,"['SFHH', 'HFFH', 'HFFF', 'FFHG']"
1,95,0,1.0,0.9733217421754432,"['SHFH', 'FHFF', 'FHFF', 'FFFG']"
1,40,0,1.0,0.7792882711929549,"['SFFF', 'HHFH', 'HFFH', 'FFFG']"
1,10,0,1.0,0.8921050870283477,"['SFFH', 'HHFF', 'HFFH', 'HHFG']"
1,30,0,1.0,0.8553586117313603,"['SHHH', 'FFHF', 'FFHF', 'HFFG']"
