Temperature,Simulations,Return,Discounted Return,Map
1,64,0,1.0,0.9645880999032158,"['SFHF', 'FHHH', 'FFFH', 'FFFG']"
1,96,0,1.0,0.9821344612135428,"['SFHF', 'HFFF', 'FFFH', 'FFFG']"
1,7,0,0.0,0.0,"['SFHF', 'HFFF', 'HHFH', 'HHFG']"
1,46,0,1.0,0.9248559951318693,"['SFFH', 'FHFF', 'FHHF', 'FHHG']"
1,77,0,0.0,0.0,"['SHFH', 'FFHF', 'HFFF', 'HFHG']"
1,20,0,0.0,0.0,"['SHHH', 'FHHH', 'FFFF', 'FHHG']"
1,25,0,1.0,0.9674905716180701,"['SFHF', 'FHHF', 'FFFH', 'FFFG']"
1,34,0,1.0,0.9674905716180701,"['SFFF', 'FFHH', 'HFFF', 'HHFG']"
1,81,0,1.0,0.9762504936564125,"['SFFF', 'FHHF', 'FFFF', 'FFHG']"
1,5,0,1.0,0.7746195551602378,"['SFFH', 'HHFH', 'FFFF', 'HFFG']"
1,37,0,1.0,0.9138075656044898,"['SFFH', 'HFHH', 'HFFF', 'HFHG']"
1,74,0,0.0,0.0,"['SHHH', 'FHFF', 'FFHF', 'HFFG']"
1,91,0,1.0,0.9791880578299021,"['SFFF', 'FFHF', 'FFFH', 'FHFG']"
1,49,0,1.0,0.857932408958235,"['SFHH', 'FFHH', 'FHFH', 'FFFG']"
1,89,0,1.0,0.9445131481500655,"['SFFH', 'FHFF', 'FFHF', 'HFHG']"
1,12,0,0.0,0.0,"['SFFH', 'FFFF', 'HHHF', 'HHFG']"
1,65,0,1.0,0.9821344612135428,"['SFFF', 'FFFF', 'FHFF', 'HFFG']"
1,83,0,1.0,0.9416796087056153,"['SFFH', 'HHFF', 'FFFF', 'HFHG']"
1,31,0,0.0,0.0,"['SHFH', 'FFHH', 'HFFF', 'HHHG']"
1,83,0,1.0,0.8400771692771434,"['SFFH', 'FFFH', 'FHFH', 'HFFG']"
1,19,0,1.0,0.9704017769489168,"['SFHF', 'FFFF', 'FHFF', 'HFFG']"
1,50,0,1.0,0.9530650263643888,"['SFFF', 'HFHH', 'HFFF', 'FFFG']"
1,49,0,1.0,0.9821344612135428,"['SFHF', 'FFFF', 'HFFF', 'FHHG']"
1,82,0,1.0,0.985089730404757,"['SHHH', 'FFFF', 'FFFH', 'FFFG']"
1,15,0,0.0,0.0,"['SFHH', 'HFFF', 'HFFH', 'FFFG']"
1,73,0,1.0,0.9821344612135428,"['SFFF', 'HFFF', 'FFFF', 'FFFG']"
1,47,0,0.0,0.0,"['SFHH', 'HFHF', 'FFFH', 'HHFG']"
1,32,0,1.0,0.93603800616986,"['SFHH', 'FHFF', 'FFFF', 'HHFG']"
1,32,0,1.0,0.9733217421754432,"['SFHF', 'HFHF', 'FFFF', 'FHFG']"
1,38,0,1.0,0.9530650263643888,"['SFHF', 'FFHF', 'HFFH', 'FFFG']"
1,16,0,0.0,0.0,"['SFHF', 'HFHH', 'FFFF', 'HHHG']"
1,35,0,1.0,0.985089730404757,"['SHFH', 'FFHF', 'FFFF', 'HFFG']"
1,16,0,0.0,0.0,"['SHFH', 'FFHF', 'FFFF', 'FFFG']"
1,6,0,0.0,0.0,"['SHHH', 'FHHH', 'FFHH', 'HFFG']"
1,87,0,1.0,0.9821344612135428,"['SFHH', 'HFFF', 'FFHH', 'FFFG']"
1,96,0,1.0,0.9276389118674717,"['SHFH', 'FFFF', 'HHHF', 'HHFG']"
1,2,0,0.0,0.0,"['SHHH', 'FHFF', 'FFFF', 'FFHG']"
1,38,0,1.0,0.9791880578299021,"['SFFH', 'FHHF', 'FFFF', 'FFFG']"
1,42,0,1.0,0.9083329444789534,"['SFHF', 'HFFF', 'FFHH', 'HFFG']"
1,10,0,0.0,0.0,"['SHFH', 'FFFF', 'HHFH', 'FHFG']"
1,62,0,1.0,0.9791880578299021,"['SFFH', 'HFFF', 'HHFF', 'FFFG']"
1,42,0,1.0,0.9332298921513504,"['SFHH', 'FFFH', 'FHFF', 'FHFG']"
1,61,0,1.0,0.9473552137914398,"['SFFH', 'HHFF', 'FHHF', 'FHHG']"
1,97,0,1.0,0.9733217421754432,"['SFFF', 'HFHF', 'HFFH', 'FFFG']"
1,8,0,0.0,0.0,"['SHFH', 'FHFH', 'FFHH', 'FFFG']"
1,27,0,1.0,0.9821344612135428,"['SFFF', 'FFFH', 'HFFF', 'FFFG']"
1,53,0,1.0,0.8921050870283477,"['SFFF', 'HFHF', 'FHHF', 'FFHG']"
1,92,0,1.0,0.9704017769489168,"['SHFH', 'FFFH', 'FFFH', 'FHFG']"
1,30,0,1.0,0.9821344612135428,"['SFFH', 'FHFF', 'HFFF', 'FFFG']"
1,92,0,1.0,0.9616943356035061,"['SFHH', 'FHHH', 'FFFF', 'FFFG']"
1,97,0,1.0,0.9645880999032158,"['SFFF', 'HFFH', 'HFFH', 'FHFG']"
1,15,0,0.0,0.0,"['SHHF', 'FHHH', 'FFFF', 'HHFG']"
1,55,0,0.0,0.0,"['SHHH', 'FFFF', 'FFHF', 'HHHG']"
1,34,0,0.0,0.0,"['SHHF', 'FHFH', 'FFFH', 'FHFG']"
1,52,0,1.0,0.9588092525966956,"['SFFF', 'HFFH', 'FHFH', 'HHFG']"
1,98,0,1.0,0.9559328248389055,"['SFHH', 'FFFF', 'FHFH', 'FFFG']"
1,9,0,1.0,0.90289112180858,"['SFFH', 'HFFF', 'HFFF', 'HFHG']"
1,40,0,0.0,0.0,"['SHFF', 'FFFF', 'HHHF', 'FFFG']"
1,53,0,1.0,0.7516921927868743,"['SHFF', 'FFHH', 'FFFF', 'FHHG']"
1,47,0,1.0,0.9704017769489168,"['SFFF', 'FFHF', 'FFFF', 'FFFG']"
1,85,0,1.0,0.9445131481500655,"['SFHF', 'HFFH', 'HFFF', 'FFHG']"
1,16,0,1.0,0.8201257512162927,"['SFFH', 'HFFF', 'FHHF', 'FHFG']"
1,16,0,0.0,0.0,"['SFHH', 'FFFF', 'HFHH', 'HFFG']"
1,27,0,1.0,0.7863441585589971,"['SFHH', 'HFFH', 'HHFF', 'FFFG']"
1,79,0,0.0,0.0,"['SHHF', 'FFHH', 'HFFH', 'FHFG']"
1,99,0,1.0,0.9733217421754432,"['SFFF', 'FFHF', 'FFFH', 'HHFG']"
1,77,0,1.0,0.9138075656044898,"['SFFH', 'HFFH', 'HHFH', 'FHFG']"
1,24,0,0.0,0.0,"['SHHH', 'FFFF', 'FHHF', 'HHHG']"
