Temperature,Simulations,Return,Discounted Return,Map
1,77,0,1.0,0.9762504936564125,"['SFFF', 'FFFF', 'FFFF', 'FFHG']"
1,34,0,1.0,0.9821344612135428,"['SFFH', 'FHFH', 'FFFH', 'FFFG']"
1,93,0,1.0,0.9791880578299021,"['SFFF', 'FFHF', 'HHFF', 'FFHG']"
1,20,0,1.0,0.9220814271464737,"['SFHF', 'FFHF', 'HFFH', 'HFFG']"
1,33,0,0.0,0.0,"['SFHF', 'FFHH', 'HFHF', 'HFFG']"
1,54,0,1.0,0.9530650263643888,"['SFFH', 'HHFF', 'HHFF', 'HFFG']"
1,48,0,1.0,0.9473552137914398,"['SHFF', 'FHFF', 'FFFH', 'HFFG']"
1,63,0,1.0,0.9733217421754432,"['SHFF', 'FHHF', 'FHHH', 'FFFG']"
1,84,0,1.0,0.9674905716180701,"['SFFF', 'FFFF', 'HHHF', 'FHFG']"
1,48,0,1.0,0.9762504936564125,"['SFFH', 'FFFF', 'HHFH', 'FHFG']"
1,42,0,1.0,0.9821344612135428,"['SFFH', 'FFFH', 'FFFF', 'HFFG']"
1,29,0,0.0,0.0,"['SFFF', 'HFFH', 'FFHH', 'FFFG']"
1,87,0,1.0,0.9304302024748964,"['SFFF', 'HHFF', 'FHFH', 'HFFG']"
1,53,0,0.0,0.0,"['SFHH', 'FHFF', 'FFHH', 'HFFG']"
1,71,0,1.0,0.90289112180858,"['SHFH', 'FHFF', 'FHFH', 'FFFG']"
1,14,0,1.0,0.9445131481500655,"['SFFF', 'FFFH', 'FFFF', 'HHHG']"
1,96,0,1.0,0.9821344612135428,"['SHFH', 'FFFF', 'HHFF', 'HHFG']"
1,65,0,1.0,0.985089730404757,"['SHFF', 'FFFH', 'HFFF', 'HHHG']"
1,18,0,0.0,0.0,"['SFFF', 'FFHH', 'HFHH', 'FFFG']"
1,40,0,1.0,0.9704017769489168,"['SFHF', 'HFFF', 'HFFH', 'HFFG']"
1,93,0,1.0,0.9704017769489168,"['SHHF', 'FHFF', 'FHFF', 'FFFG']"
1,76,0,1.0,0.9791880578299021,"['SHHF', 'FHHH', 'FFHF', 'FFFG']"
