Temperature,Simulations,Return,Discounted Return,Map
1,86,0,1.0,0.884100203995605,"['SHFH', 'FFFF', 'HHHF', 'HHHG']"
1,81,0,0.0,0.0,"['SHFH', 'FFHH', 'FFHH', 'HFFG']"
1,58,0,1.0,0.9791880578299021,"['SFFF', 'FFHF', 'FFHF', 'FHHG']"
1,87,0,1.0,0.9388545698794984,"['SFFH', 'HFFF', 'FFHF', 'HFHG']"
1,72,0,1.0,0.9388545698794984,"['SFHH', 'FHFH', 'FFFH', 'HFFG']"
1,22,0,1.0,0.8275513922024125,"['SHHH', 'FHHH', 'FFHF', 'FFFG']"
1,48,0,1.0,0.985089730404757,"['SHFF', 'FFFF', 'FFFF', 'FHFG']"
1,28,0,1.0,0.9791880578299021,"['SFFF', 'HHFF', 'HHFF', 'FHFG']"
1,58,0,1.0,0.9645880999032158,"['SFFH', 'HHFH', 'FFFF', 'HHFG']"
1,69,0,1.0,0.9674905716180701,"['SFHH', 'FHHH', 'FFFF', 'HFFG']"
1,26,0,1.0,0.8250687380258053,"['SFFH', 'FHFF', 'FHFF', 'FHHG']"
1,66,0,0.0,0.0,"['SHFF', 'FFFF', 'FFFH', 'FHFG']"
1,47,0,0.0,0.0,"['SHFH', 'FFFH', 'FHFH', 'FHFG']"
1,55,0,1.0,0.8735386475474635,"['SFFF', 'HHFH', 'HFFF', 'HHHG']"
1,74,0,1.0,0.9056079456455165,"['SFHF', 'HFFH', 'HFHH', 'HFFG']"
1,12,0,1.0,0.7562227231210928,"['SFHH', 'HFHF', 'HFFF', 'FHFG']"
1,66,0,1.0,0.9733217421754432,"['SFFH', 'FFFF', 'FHFH', 'HHFG']"
1,66,0,1.0,0.9791880578299021,"['SHHF', 'FFFH', 'FFFH', 'HFFG']"
1,54,0,1.0,0.9616943356035061,"['SFFF', 'FHHF', 'HFHF', 'HFHG']"
1,41,0,1.0,0.9645880999032158,"['SFHF', 'FFHH', 'FHHH', 'FFFG']"
1,41,0,1.0,0.985089730404757,"['SHFF', 'FFFH', 'FHFF', 'FFFG']"
1,100,0,1.0,0.9791880578299021,"['SFFH', 'HFFF', 'FFHH', 'HFFG']"
1,89,0,1.0,0.9220814271464737,"['SFFH', 'FHFF', 'HHFH', 'HFFG']"
1,41,0,1.0,0.9762504936564125,"['SFFH', 'HFFF', 'HHFF', 'HHHG']"
1,84,0,1.0,0.9416796087056153,"['SFFH', 'HHFH', 'FFFF', 'HHHG']"
1,52,0,1.0,0.9733217421754432,"['SFFF', 'FFFF', 'HFFF', 'FFHG']"
1,78,0,1.0,0.9138075656044898,"['SFFF', 'HHFH', 'HHFF', 'FFHG']"
1,33,0,1.0,0.9704017769489168,"['SFFH', 'FFFF', 'HHFH', 'FHFG']"
1,64,0,1.0,0.9674905716180701,"['SFFH', 'FHFH', 'FFFH', 'FHFG']"
1,88,0,1.0,0.9791880578299021,"['SFFF', 'HFHF', 'FHFF', 'HHHG']"
1,62,0,1.0,0.9559328248389055,"['SHFH', 'FHHF', 'FHFH', 'FFFG']"
1,71,0,0.0,0.0,"['SHFH', 'FFHF', 'HFHH', 'FFFG']"
1,10,0,0.0,0.0,"['SFFF', 'FHFH', 'HFFH', 'HHFG']"
1,69,0,1.0,0.9674905716180701,"['SFFF', 'HFFF', 'FHFF', 'FHHG']"
1,78,0,1.0,0.8553586117313603,"['SFFF', 'FFHH', 'HFFH', 'HHFG']"
1,64,0,1.0,0.985089730404757,"['SFHF', 'HFFF', 'FFFF', 'FFFG']"
1,36,0,1.0,0.9110661429076764,"['SHHH', 'FHFF', 'FFFF', 'HFHG']"
1,50,0,1.0,0.9674905716180701,"['SFFH', 'FFFF', 'FFFF', 'HHHG']"
1,24,0,1.0,0.9332298921513504,"['SFFH', 'HFFH', 'FFFF', 'HFHG']"
1,20,0,0.0,0.0,"['SFHF', 'HFFH', 'FFHH', 'HFFG']"
1,18,0,1.0,0.8761671489944468,"['SFHH', 'HFHF', 'FFFF', 'FFFG']"
1,94,0,1.0,0.8201257512162927,"['SHFF', 'FFHH', 'HFFH', 'FFFG']"
1,85,0,1.0,0.9416796087056153,"['SHHF', 'FFFF', 'HHFF', 'FHHG']"
1,39,0,1.0,0.9791880578299021,"['SFFF', 'FFFF', 'FHFF', 'FFFG']"
1,90,0,1.0,0.9704017769489168,"['SHFF', 'FFFH', 'HFFH', 'HFFG']"
1,70,0,1.0,0.9821344612135428,"['SHHF', 'FFFH', 'FFFF', 'FFFG']"
1,47,0,1.0,0.9762504936564125,"['SFFF', 'FFFF', 'FFHF', 'HHHG']"
1,78,0,1.0,0.9674905716180701,"['SFHF', 'HFFF', 'FFHF', 'HHHG']"
1,84,0,1.0,0.9704017769489168,"['SFFF', 'FFHH', 'FFHH', 'HFFG']"
1,55,0,1.0,0.9645880999032158,"['SFHF', 'FFHF', 'HFFF', 'HHFG']"
1,43,0,1.0,0.8921050870283477,"['SHHF', 'FHFF', 'FFFH', 'HFFG']"
1,82,0,1.0,0.8476834558136123,"['SHHF', 'FFHH', 'HFFH', 'FHFG']"
1,12,0,0.0,0.0,"['SFHH', 'FFFH', 'FFFF', 'FFHG']"
1,92,0,1.0,0.8814479033836181,"['SFHH', 'HFFH', 'HHFH', 'HFFG']"
1,64,0,1.0,0.8974819010978248,"['SFHF', 'HFHF', 'FFFF', 'HFHG']"
1,71,0,0.0,0.0,"['SHFH', 'FFFH', 'HHFH', 'FHFG']"
1,20,0,0.0,0.0,"['SHFH', 'FHFH', 'FFFF', 'FHHG']"
1,75,0,1.0,0.9791880578299021,"['SFHH', 'FHFH', 'FHFH', 'FFFG']"
1,99,0,1.0,0.9388545698794984,"['SFFF', 'HFFF', 'HFHH', 'HFFG']"
1,11,0,1.0,0.747188804859888,"['SFHH', 'HFHH', 'HFFH', 'HFFG']"
1,27,0,1.0,0.9645880999032158,"['SHHH', 'FHFH', 'FFFH', 'FFFG']"
1,98,0,1.0,0.9791880578299021,"['SFFH', 'FFFH', 'HFFF', 'HFHG']"
1,99,0,1.0,0.985089730404757,"['SHHH', 'FHHF', 'FFFF', 'FFFG']"
1,74,0,1.0,0.9332298921513504,"['SFFF', 'FFFH', 'FHFF', 'FFHG']"
1,39,0,1.0,0.985089730404757,"['SFFF', 'FHFF', 'HHFF', 'FFFG']"
1,20,0,1.0,0.9674905716180701,"['SFFF', 'HFFF', 'FHFF', 'FFFG']"
1,20,0,1.0,0.8974819010978248,"['SFFH', 'HFFF', 'FHHF', 'FHFG']"
1,28,0,0.0,0.0,"['SFHF', 'HFFH', 'HHFF', 'FFHG']"
1,97,0,1.0,0.985089730404757,"['SFFF', 'HFFF', 'FFFF', 'HFFG']"
1,20,0,1.0,0.747188804859888,"['SHHH', 'FFHF', 'FHHH', 'FFFG']"
1,86,0,1.0,0.8502341582884777,"['SHFH', 'FFFF', 'HFHH', 'HFFG']"
