Temperature,Simulations,Return,Discounted Return,Map
1,45,0,1.0,0.8974819010978248,"['SFFF', 'HFFH', 'FHFH', 'FFFG']"
1,23,0,1.0,0.8054737627981655,"['SFFH', 'FFHH', 'FHFF', 'FFFG']"
1,59,0,1.0,0.9645880999032158,"['SFFH', 'HFFF', 'HFFF', 'FHHG']"
1,14,0,1.0,0.9445131481500655,"['SFFF', 'FHFF', 'HFHF', 'FHFG']"
1,30,0,1.0,0.7722956964947572,"['SFHH', 'FFHF', 'HFFH', 'HFFG']"
1,10,0,0.0,0.0,"['SFHH', 'FFFH', 'HFFF', 'HHFG']"
1,8,0,0.0,0.0,"['SFFH', 'HHFF', 'FHHF', 'HHFG']"
1,3,0,0.0,0.0,"['SFHF', 'FFFF', 'FFHH', 'FFFG']"
1,84,0,1.0,0.985089730404757,"['SFHF', 'FFFF', 'FFHF', 'FFFG']"
1,99,0,0.0,0.0,"['SHHH', 'FFHF', 'HFFH', 'FHFG']"
1,68,0,1.0,0.985089730404757,"['SHFF', 'FFFH', 'FHFF', 'FFFG']"
1,81,0,1.0,0.9588092525966956,"['SFHH', 'HFHH', 'HFFH', 'FFFG']"
1,15,0,1.0,0.9791880578299021,"['SFFF', 'FHFH', 'FFFF', 'HFFG']"
1,99,0,1.0,0.9762504936564125,"['SFFF', 'HFHF', 'FFFH', 'HFFG']"
1,27,0,1.0,0.9502058312852957,"['SFFF', 'FFFH', 'HHFF', 'HFFG']"
1,23,0,1.0,0.9559328248389055,"['SFFF', 'FHFF', 'FHHF', 'FFHG']"
1,68,0,1.0,0.9304302024748964,"['SFFH', 'FHFH', 'HFFH', 'FHFG']"
1,20,0,1.0,0.9473552137914398,"['SFFH', 'HFFF', 'FFFF', 'HHFG']"
1,26,0,0.0,0.0,"['SHHF', 'FFHF', 'FHHF', 'FFFG']"
1,98,0,1.0,0.9762504936564125,"['SFHF', 'HFFH', 'HFFF', 'FHHG']"
1,16,0,0.0,0.0,"['SFHF', 'FFHF', 'FFHH', 'HFFG']"
1,19,0,0.0,0.0,"['SHHH', 'FFFF', 'FHFH', 'FHFG']"
1,65,0,1.0,0.9165572373164391,"['SFFH', 'HHFH', 'FFFF', 'HFHG']"
1,65,0,1.0,0.90289112180858,"['SHHF', 'FHFH', 'FFFF', 'FFHG']"
1,65,0,1.0,0.8735386475474635,"['SFHF', 'FFHF', 'FHFF', 'FFFG']"
1,29,0,0.0,0.0,"['SHFH', 'FFHH', 'HFHH', 'FFFG']"
1,18,0,0.0,0.0,"['SHHH', 'FFHF', 'FFFF', 'HHHG']"
1,57,0,1.0,0.9733217421754432,"['SHFF', 'FFHH', 'FHHH', 'FFFG']"
1,95,0,1.0,0.8947894553945313,"['SHHF', 'FHFH', 'FFFF', 'FFHG']"
1,95,0,1.0,0.9733217421754432,"['SFFH', 'HFFF', 'FFHF', 'HFFG']"
1,5,0,0.0,0.0,"['SFFF', 'FFFH', 'FFHH', 'HFFG']"
1,41,0,1.0,0.8974819010978248,"['SFFF', 'FHFH', 'HHFH', 'HHFG']"
1,65,0,1.0,0.9588092525966956,"['SFHF', 'HFHF', 'FFFH', 'HFFG']"
1,86,0,0.0,0.0,"['SHFH', 'FFFF', 'HHHF', 'HFFG']"
1,15,0,1.0,0.8657003616774767,"['SFFF', 'HHFF', 'HHHF', 'FFFG']"
1,71,0,1.0,0.9791880578299021,"['SFHF', 'FFHF', 'FHFH', 'FFFG']"
1,58,0,1.0,0.9821344612135428,"['SFFF', 'HHFF', 'HHHF', 'FFFG']"
1,79,0,1.0,0.8152123778407558,"['SFFF', 'HHFH', 'FHFF', 'FFHG']"
1,99,0,1.0,0.9704017769489168,"['SFHH', 'FFHH', 'HFFF', 'FHFG']"
1,65,0,1.0,0.9530650263643888,"['SFFH', 'FFFH', 'HFHH', 'HFFG']"
1,4,0,0.0,0.0,"['SFHH', 'FHHF', 'FFFF', 'FFFG']"
