Temperature,Simulations,Return,Discounted Return,Map
1,31,0,1.0,0.93603800616986,"['SFHH', 'FFFF', 'FFFH', 'HHFG']"
1,32,0,1.0,0.8974819010978248,"['SFHF', 'HFFF', 'HFHH', 'HFFG']"
1,92,0,0.0,0.0,"['SHHF', 'FFHH', 'FFHH', 'HFFG']"
1,75,0,1.0,0.9821344612135428,"['SFFH', 'HFFH', 'HFFF', 'FHFG']"
1,30,0,0.0,0.0,"['SHFF', 'FFFF', 'FFHF', 'HFHG']"
1,92,0,1.0,0.9821344612135428,"['SFHF', 'HFFF', 'FFFF', 'HHFG']"
1,10,0,0.0,0.0,"['SFFH', 'HHFH', 'FHFF', 'HFFG']"
1,90,0,1.0,0.9733217421754432,"['SFHH', 'FFHH', 'FFFH', 'FHFG']"
1,17,0,1.0,0.7607805594527743,"['SFHF', 'HFFF', 'FFHF', 'HFHG']"
1,43,0,0.0,0.0,"['SHHH', 'FFFF', 'HHHF', 'FHFG']"
1,65,0,0.0,0.0,"['SHFH', 'FFFF', 'HFHF', 'FFHG']"
1,86,0,1.0,0.9791880578299021,"['SFFH', 'HFFF', 'HHFF', 'HHHG']"
1,45,0,0.0,0.0,"['SFHF', 'FFFF', 'FHHF', 'FFHG']"
1,65,0,1.0,0.9674905716180701,"['SFFF', 'HFFF', 'HFFH', 'FFFG']"
1,55,0,1.0,0.7699788094052729,"['SHFF', 'FHFH', 'FFHH', 'HFFG']"
1,92,0,1.0,0.985089730404757,"['SFFF', 'FHHF', 'FFHF', 'HFFG']"
1,16,0,1.0,0.8476834558136123,"['SFHH', 'FFFF', 'HHFF', 'HFHG']"
1,75,0,1.0,0.9791880578299021,"['SFFF', 'FFFF', 'FHHF', 'FHFG']"
1,24,0,1.0,0.9645880999032158,"['SFHF', 'HFFH', 'HFFF', 'HFHG']"
1,32,0,1.0,0.9674905716180701,"['SFHH', 'FFFH', 'FFFF', 'HFFG']"
1,2,0,0.0,0.0,"['SFFH', 'HFFF', 'HFHF', 'HFHG']"
1,48,0,0.0,0.0,"['SHFH', 'FFHH', 'HFFF', 'FFHG']"
1,95,0,1.0,0.9704017769489168,"['SFFH', 'HHFH', 'FHFF', 'FHFG']"
1,93,0,1.0,0.985089730404757,"['SFFF', 'FFHH', 'FFFF', 'HFFG']"
1,44,0,1.0,0.8127667407072335,"['SHHF', 'FFFF', 'HHHF', 'HFFG']"
1,74,0,1.0,0.7427123967299725,"['SFHH', 'FHFF', 'FFFF', 'FHHG']"
1,98,0,1.0,0.985089730404757,"['SHHF', 'FHHF', 'FFFF', 'FFFG']"
1,82,0,1.0,0.9791880578299021,"['SFHF', 'HFFF', 'HFFF', 'FFHG']"
1,25,0,0.0,0.0,"['SFHF', 'FHHH', 'FFFF', 'HHHG']"
1,44,0,1.0,0.9276389118674717,"['SFFF', 'HFHF', 'HFHF', 'HFFG']"
1,8,0,0.0,0.0,"['SFFH', 'FHFF', 'HHHF', 'HFFG']"
1,78,0,1.0,0.9791880578299021,"['SFFF', 'HHFF', 'HHFF', 'FFHG']"
1,24,0,1.0,0.9530650263643888,"['SFFF', 'HFFF', 'FFFH', 'HFFG']"
1,83,0,1.0,0.9616943356035061,"['SFFF', 'HHFF', 'HFFH', 'HFFG']"
1,6,0,0.0,0.0,"['SFFH', 'HFFF', 'FHFH', 'HFFG']"
1,16,0,1.0,0.985089730404757,"['SFFF', 'FFHH', 'FFFF', 'FFFG']"
1,19,0,1.0,0.9248559951318693,"['SFFH', 'HFHF', 'HFFF', 'FFFG']"
1,99,0,1.0,0.9530650263643888,"['SHFH', 'FHFF', 'FFHH', 'HFFG']"
1,53,0,1.0,0.7607805594527743,"['SHFH', 'FFHF', 'HFHF', 'FFFG']"
1,35,0,1.0,0.9248559951318693,"['SHHF', 'FHFH', 'FHFH', 'FFFG']"
1,27,0,1.0,0.9616943356035061,"['SFFF', 'HFHF', 'FHHF', 'HHFG']"
1,44,0,1.0,0.837556937769312,"['SHHH', 'FFHH', 'FFHH', 'HFFG']"
1,64,0,1.0,0.9473552137914398,"['SHHH', 'FFFF', 'HFFF', 'HHHG']"
1,32,0,0.0,0.0,"['SFHH', 'FHFH', 'FFFH', 'FHFG']"
1,13,0,0.0,0.0,"['SFHF', 'HFHF', 'FFFH', 'HFFG']"
1,66,0,1.0,0.9762504936564125,"['SFFF', 'HFHF', 'FFFH', 'FFFG']"
1,4,0,0.0,0.0,"['SFFF', 'FFHF', 'HHHF', 'HHHG']"
1,37,0,0.0,0.0,"['SFHH', 'FFFF', 'HFHF', 'HHHG']"
1,76,0,1.0,0.9473552137914398,"['SFFH', 'FFHF', 'HFHF', 'FFFG']"
1,65,0,1.0,0.9645880999032158,"['SFHF', 'HFHF', 'HFFH', 'HHFG']"
1,68,0,1.0,0.93603800616986,"['SFHH', 'HFFH', 'HHFF', 'FHFG']"
1,13,0,0.0,0.0,"['SHHF', 'FHFH', 'FFFF', 'FHHG']"
1,74,0,1.0,0.9762504936564125,"['SFFH', 'FHFH', 'HHFF', 'HHFG']"
1,50,0,1.0,0.9674905716180701,"['SFFF', 'FFHH', 'HFFF', 'FHHG']"
1,90,0,1.0,0.9704017769489168,"['SFFF', 'HFHF', 'HHHF', 'HHHG']"
1,1,0,0.0,0.0,"['SFHH', 'FFHH', 'HFFF', 'FFFG']"
1,73,0,1.0,0.8683052775100066,"['SHHF', 'FFFF', 'HFFH', 'HHFG']"
1,13,0,0.0,0.0,"['SHHF', 'FFFH', 'FHFH', 'FFFG']"
1,99,0,1.0,0.9473552137914398,"['SHHF', 'FHFF', 'FHFF', 'FFFG']"
1,60,0,1.0,0.985089730404757,"['SFFF', 'HHFF', 'FHHF', 'HHFG']"
1,54,0,1.0,0.9791880578299021,"['SFFF', 'FHFF', 'FFFF', 'FFHG']"
1,48,0,1.0,0.8400771692771434,"['SFFH', 'HFFH', 'HFHH', 'FFFG']"
1,67,0,1.0,0.9704017769489168,"['SHFH', 'FFFH', 'HFFF', 'HFHG']"
1,42,0,1.0,0.9445131481500655,"['SFFH', 'HFHF', 'HFFF', 'HFFG']"
1,71,0,1.0,0.9791880578299021,"['SFFF', 'HHFF', 'FHFF', 'HFHG']"
1,20,0,1.0,0.8527925358961662,"['SFFF', 'HHFH', 'FHFF', 'FFHG']"
1,19,0,0.0,0.0,"['SHFH', 'FFFF', 'HFHF', 'HHHG']"
1,70,0,1.0,0.985089730404757,"['SFFF', 'FFFH', 'HFFF', 'HHHG']"
1,38,0,1.0,0.7910835400474212,"['SHFH', 'FFFH', 'HFFF', 'HHHG']"
1,81,0,1.0,0.9762504936564125,"['SHFH', 'FHFF', 'FHFF', 'FFFG']"
1,80,0,1.0,0.9588092525966956,"['SFFH', 'HFFF', 'FHHF', 'HHHG']"
1,87,0,1.0,0.9304302024748964,"['SHFH', 'FFFH', 'HHFH', 'FFFG']"
1,98,0,1.0,0.8325391341551359,"['SFFH', 'HFHF', 'HFFF', 'HHHG']"
1,26,0,1.0,0.8553586117313603,"['SFFF', 'HFHH', 'FFHF', 'FFFG']"
1,21,0,1.0,0.9530650263643888,"['SFFF', 'FFFF', 'HHFF', 'HFHG']"
1,92,0,1.0,0.9733217421754432,"['SFFF', 'HHFH', 'HFFF', 'FFFG']"
1,58,0,1.0,0.9588092525966956,"['SFHH', 'FFFF', 'HFFF', 'HHFG']"
1,54,0,1.0,0.8054737627981655,"['SFFF', 'FFFF', 'FFHH', 'HFFG']"
1,99,0,1.0,0.9588092525966956,"['SFHF', 'FHFF', 'FFFF', 'FHFG']"
1,39,0,1.0,0.9416796087056153,"['SHHH', 'FHFH', 'FFFH', 'FFFG']"
1,7,0,1.0,0.9056079456455165,"['SFFF', 'FFFH', 'HFFH', 'HHFG']"
1,54,0,0.0,0.0,"['SFHH', 'FFFF', 'FHHF', 'FHFG']"
1,99,0,1.0,0.9821344612135428,"['SFHF', 'HFHH', 'FFFF', 'HHFG']"
1,93,0,0.0,0.0,"['SFHF', 'FHHF', 'FFHF', 'HFFG']"
1,80,0,1.0,0.9645880999032158,"['SFFF', 'HFFF', 'HFFH', 'HHFG']"
1,40,0,1.0,0.8921050870283477,"['SFFH', 'HFFF', 'FHFH', 'FFFG']"
1,84,0,1.0,0.9704017769489168,"['SFFH', 'FHFF', 'HFFF', 'HFFG']"
1,100,0,1.0,0.9588092525966956,"['SFFF', 'FHFF', 'HHFH', 'FHFG']"
1,21,0,1.0,0.7792882711929549,"['SFHF', 'FHFH', 'FHFH', 'FFFG']"
1,85,0,1.0,0.9616943356035061,"['SFFH', 'HHFF', 'FFFH', 'FFFG']"
1,69,0,1.0,0.9762504936564125,"['SFHF', 'HFFF', 'HHHF', 'FHFG']"
1,54,0,1.0,0.8974819010978248,"['SFFF', 'HHFH', 'FFFF', 'FHHG']"
1,46,0,1.0,0.9502058312852957,"['SFFF', 'FHFH', 'HHFF', 'HHHG']"
1,19,0,1.0,0.9416796087056153,"['SFFH', 'HHFH', 'FHFF', 'FHFG']"
1,98,0,1.0,0.9821344612135428,"['SHHH', 'FHHF', 'FFHF', 'FFFG']"
1,32,0,1.0,0.9445131481500655,"['SFFH', 'FHFF', 'FFFH', 'HFFG']"
1,63,0,1.0,0.9388545698794984,"['SFHH', 'FFFF', 'HHFF', 'FFHG']"
1,92,0,1.0,0.9791880578299021,"['SFFH', 'FFFH', 'HHFF', 'FFHG']"
1,91,0,1.0,0.9791880578299021,"['SHHF', 'FFFH', 'FFFH', 'FFFG']"
1,49,0,1.0,0.985089730404757,"['SFHF', 'FFFF', 'HFFF', 'HHFG']"
1,95,0,1.0,0.9762504936564125,"['SFHF', 'FFHF', 'FFFF', 'FHHG']"
1,11,0,0.0,0.0,"['SFHF', 'HFHH', 'FFHH', 'HFFG']"
1,9,0,0.0,0.0,"['SFHF', 'FFFH', 'HFFF', 'HFFG']"
1,43,0,1.0,0.90289112180858,"['SHHF', 'FFFF', 'HFHH', 'FFFG']"
1,10,0,0.0,0.0,"['SFFH', 'FFHH', 'FFHH', 'HFFG']"
1,15,0,1.0,0.9733217421754432,"['SFFF', 'HHFF', 'HFFF', 'FFFG']"
1,44,0,0.0,0.0,"['SFFF', 'HFFF', 'FFHH', 'FFFG']"
1,7,0,0.0,0.0,"['SFFF', 'HFFH', 'HFFH', 'HHFG']"
1,53,0,1.0,0.9733217421754432,"['SFHF', 'FFFH', 'FFFF', 'HFHG']"
1,58,0,0.0,0.0,"['SFFH', 'FHHH', 'FFFH', 'HHFG']"
1,18,0,0.0,0.0,"['SFHF', 'FHFF', 'FFFH', 'HHFG']"
1,20,0,0.0,0.0,"['SHHH', 'FHFH', 'FFHF', 'HFFG']"
1,88,0,1.0,0.9762504936564125,"['SFHH', 'HFFF', 'HHHF', 'FFHG']"
1,61,0,0.0,0.0,"['SFFF', 'FFHH', 'HFHH', 'HFFG']"
1,100,0,1.0,0.9821344612135428,"['SHFF', 'FFFH', 'FHFF', 'FFFG']"
1,16,0,0.0,0.0,"['SFFH', 'FFHF', 'HFFF', 'HFHG']"
1,32,0,1.0,0.9645880999032158,"['SFFF', 'FFFH', 'HFFF', 'HFFG']"
1,99,0,1.0,0.9530650263643888,"['SFHH', 'HFFF', 'FHFH', 'FFFG']"
1,53,0,0.0,0.0,"['SHFH', 'FFFH', 'FHFH', 'HFFG']"
1,96,0,1.0,0.8947894553945313,"['SHHF', 'FHFF', 'FFHF', 'HFFG']"
1,58,0,1.0,0.8502341582884777,"['SFFH', 'HHFH', 'HFFH', 'HFFG']"
1,1,0,0.0,0.0,"['SFHF', 'FFHF', 'FFFF', 'FFHG']"
1,22,0,1.0,0.9762504936564125,"['SFFF', 'HFFF', 'HFHF', 'HFFG']"
1,97,0,1.0,0.9791880578299021,"['SFFF', 'FFFF', 'HHFF', 'FFHG']"
1,4,0,0.0,0.0,"['SFFF', 'FFFH', 'HFHF', 'HFFG']"
1,37,0,1.0,0.9276389118674717,"['SHHF', 'FHFH', 'FFHH', 'FFFG']"
1,44,0,1.0,0.9530650263643888,"['SFFH', 'FHFH', 'FFHH', 'FFFG']"
1,90,0,1.0,0.9821344612135428,"['SFFF', 'HFFF', 'FHFF', 'FFFG']"
1,90,0,1.0,0.8947894553945313,"['SHFF', 'FFFF', 'HFHH', 'FFFG']"
1,96,0,1.0,0.9674905716180701,"['SFHH', 'HFFH', 'FFFF', 'FHHG']"
1,23,0,1.0,0.7746195551602378,"['SFFH', 'FHFH', 'HFFF', 'FFHG']"
1,38,0,1.0,0.9762504936564125,"['SFFF', 'HHFF', 'FHHF', 'FHFG']"
1,64,0,1.0,0.9821344612135428,"['SFFF', 'HFFF', 'FHFF', 'HFHG']"
1,34,0,1.0,0.9559328248389055,"['SFFH', 'FFFH', 'HHFF', 'FHFG']"
1,70,0,1.0,0.9304302024748964,"['SHHH', 'FFFF', 'HHHF', 'HHFG']"
1,34,0,1.0,0.9674905716180701,"['SFHF', 'FFHH', 'FHHH', 'FFFG']"
1,62,0,1.0,0.9674905716180701,"['SHHF', 'FFFF', 'FHFF', 'FHFG']"
1,87,0,1.0,0.9674905716180701,"['SFHF', 'HFFH', 'FHFF', 'FFFG']"
1,76,0,1.0,0.90289112180858,"['SFFF', 'FFHF', 'FHHF', 'FHHG']"
1,91,0,1.0,0.9502058312852957,"['SFFH', 'HHFH', 'HFFF', 'HHHG']"
1,71,0,1.0,0.9674905716180701,"['SFFH', 'HFFH', 'FFFH', 'HFFG']"
1,7,0,0.0,0.0,"['SFHF', 'FHHH', 'FHFF', 'FFFG']"
1,89,0,1.0,0.9502058312852957,"['SFHH', 'FFFF', 'FFHF', 'HFHG']"
1,4,0,0.0,0.0,"['SHHF', 'FFFH', 'FHFH', 'HHFG']"
1,78,0,1.0,0.9733217421754432,"['SHFF', 'FHHF', 'FFHH', 'FFFG']"
1,81,0,0.0,0.0,"['SHFF', 'FFFH', 'FHFF', 'HHFG']"
1,88,0,1.0,0.78398512608332,"['SHHH', 'FFFH', 'FHFF', 'HFHG']"
1,43,0,1.0,0.7792882711929549,"['SFFH', 'FHFH', 'FFFH', 'HHFG']"
1,91,0,1.0,0.9733217421754432,"['SFFH', 'FFFF', 'HFFF', 'HHHG']"
1,33,0,1.0,0.7539540549517295,"['SFHH', 'FFFF', 'FHHF', 'HHHG']"
1,90,0,1.0,0.9704017769489168,"['SFFF', 'FFFH', 'FHFH', 'HHFG']"
1,34,0,0.0,0.0,"['SHHH', 'FHFF', 'FFHH', 'HFFG']"
1,9,0,0.0,0.0,"['SFFH', 'HHFF', 'FFHF', 'HFHG']"
1,25,0,1.0,0.9248559951318693,"['SHHH', 'FFFF', 'HHFF', 'HHFG']"
1,79,0,0.0,0.0,"['SFHH', 'FHFH', 'FFFF', 'FHHG']"
1,4,0,0.0,0.0,"['SFHH', 'HFFH', 'HHFF', 'FHFG']"
1,83,0,1.0,0.9821344612135428,"['SHFF', 'FFFF', 'FFFF', 'FFFG']"
1,67,0,1.0,0.9704017769489168,"['SHFF', 'FFHH', 'FFFF', 'HFFG']"
1,78,0,1.0,0.9762504936564125,"['SHFH', 'FFHH', 'FFFH', 'FFFG']"
1,6,0,0.0,0.0,"['SFFH', 'FHFH', 'FFFF', 'HFHG']"
1,65,0,1.0,0.9791880578299021,"['SHFH', 'FFFF', 'HHFF', 'HHFG']"
1,10,0,1.0,0.8867604854519608,"['SFFH', 'HFFH', 'HHFH', 'HFFG']"
1,32,0,1.0,0.8631032605924442,"['SFFF', 'FFHH', 'HFFF', 'FFHG']"
1,32,0,1.0,0.9821344612135428,"['SHFF', 'FFHH', 'FFFH', 'HFFG']"
1,69,0,1.0,0.985089730404757,"['SFHH', 'FFFF', 'HHFF', 'FFFG']"
1,61,0,1.0,0.9530650263643888,"['SHFH', 'FHFH', 'FFHH', 'HFFG']"
1,63,0,1.0,0.8921050870283477,"['SFFF', 'FHHH', 'FFFF', 'HHFG']"
1,64,0,1.0,0.985089730404757,"['SFHH', 'FFFF', 'FHFH', 'FFFG']"
1,90,0,0.0,0.0,"['SHFH', 'FFFH', 'HFHF', 'FFFG']"
1,54,0,0.0,0.0,"['SHFH', 'FFHF', 'FFFF', 'FHHG']"
1,51,0,0.0,0.0,"['SFFH', 'HFHH', 'HFFF', 'FFHG']"
1,29,0,0.0,0.0,"['SFHF', 'HFHH', 'HFFF', 'HHHG']"
1,54,0,1.0,0.9762504936564125,"['SHHF', 'FFFH', 'FFFH', 'FFFG']"
1,70,0,1.0,0.9616943356035061,"['SFFF', 'HHHF', 'HHFF', 'FHFG']"
1,50,0,1.0,0.9645880999032158,"['SHHH', 'FHFH', 'FFFH', 'HFFG']"
1,19,0,0.0,0.0,"['SFFH', 'FFHF', 'FFHF', 'HFFG']"
1,50,0,1.0,0.8921050870283477,"['SFHH', 'FFFF', 'FHFF', 'FHHG']"
1,37,0,1.0,0.9138075656044898,"['SHHH', 'FHFH', 'FFFF', 'FFHG']"
1,34,0,1.0,0.9502058312852957,"['SFFF', 'HHHF', 'FFFF', 'HFHG']"
1,97,0,1.0,0.9645880999032158,"['SHFF', 'FHHF', 'FFFH', 'FHFG']"
1,91,0,1.0,0.835044266956004,"['SHHH', 'FFHH', 'FFHH', 'HFFG']"
1,30,0,1.0,0.9138075656044898,"['SFFH', 'HFFH', 'FHFH', 'HHFG']"
1,87,0,1.0,0.9821344612135428,"['SFHF', 'FFFF', 'FFFF', 'FHHG']"
1,66,0,1.0,0.9821344612135428,"['SHFH', 'FFHF', 'FFFF', 'FFFG']"
1,22,0,1.0,0.9530650263643888,"['SFFH', 'FFFF', 'FHFH', 'HHFG']"
1,69,0,1.0,0.9445131481500655,"['SFHH', 'HFFF', 'FHFH', 'HFFG']"
1,55,0,1.0,0.9733217421754432,"['SFFF', 'HFHF', 'FFFF', 'HHFG']"
1,92,0,1.0,0.8657003616774767,"['SFHH', 'FHHF', 'FFFF', 'FHHG']"
1,80,0,1.0,0.9733217421754432,"['SHHF', 'FFHH', 'FHHF', 'FFFG']"
1,12,0,0.0,0.0,"['SHHF', 'FFHH', 'HFFH', 'FFFG']"
1,73,0,1.0,0.9821344612135428,"['SHFH', 'FFHH', 'FFFF', 'FHFG']"
1,98,0,1.0,0.9674905716180701,"['SFHH', 'FHFF', 'FFHF', 'FFFG']"
1,12,0,0.0,0.0,"['SHFH', 'FFFH', 'HHFH', 'FHFG']"
1,63,0,1.0,0.9001824484431542,"['SFFF', 'FFHF', 'FFHH', 'HFFG']"
1,45,0,1.0,0.8761671489944468,"['SFHH', 'HFHH', 'HFFF', 'HHFG']"
