Temperature,Simulations,Return,Discounted Return,Map
1,37,0,1.0,0.9559328248389055,"['SHFH', 'FHFF', 'FFHH', 'FFFG']"
1,40,0,0.0,0.0,"['SHFH', 'FHHF', 'FFFF', 'FHHG']"
1,16,0,1.0,0.8657003616774767,"['SFFF', 'FHFF', 'HHFH', 'FHFG']"
1,60,0,1.0,0.9304302024748964,"['SFFH', 'FFHF', 'HFHH', 'FFFG']"
1,27,0,0.0,0.0,"['SFHH', 'FFHF', 'HFHH', 'HFFG']"
1,76,0,1.0,0.9791880578299021,"['SFHF', 'FHFF', 'FFFH', 'FFFG']"
1,3,0,0.0,0.0,"['SFFH', 'FFFH', 'FFFF', 'HFHG']"
1,96,0,1.0,0.9473552137914398,"['SFFH', 'HHFH', 'HHFF', 'HFHG']"
1,11,0,0.0,0.0,"['SHFH', 'FFFF', 'HHHF', 'HFFG']"
1,36,0,1.0,0.79346393184295,"['SFFF', 'HFHF', 'HFHH', 'FFFG']"
1,62,0,1.0,0.9616943356035061,"['SFFF', 'FFFF', 'HHHF', 'FHFG']"
1,40,0,0.0,0.0,"['SHFH', 'FFHH', 'FFHF', 'HFFG']"
1,28,0,1.0,0.9276389118674717,"['SFFH', 'HHFF', 'FFFF', 'HFFG']"
1,37,0,1.0,0.9791880578299021,"['SFFF', 'HHFF', 'HFFF', 'HFHG']"
1,9,0,0.0,0.0,"['SHHF', 'FFFF', 'FHFF', 'FFFG']"
1,23,0,1.0,0.9220814271464737,"['SFHF', 'HFHF', 'FFFF', 'FFFG']"
1,16,0,1.0,0.9445131481500655,"['SFFF', 'FHFF', 'HFHF', 'HFHG']"
1,85,0,1.0,0.9559328248389055,"['SHHH', 'FFHF', 'FFFF', 'HFHG']"
1,68,0,1.0,0.9388545698794984,"['SFFH', 'FHHF', 'FFFF', 'HFFG']"
1,50,0,1.0,0.9733217421754432,"['SFFH', 'FHFF', 'HHHF', 'FFHG']"
1,33,0,1.0,0.9616943356035061,"['SHFH', 'FHHH', 'FHFH', 'FFFG']"
1,95,0,1.0,0.9791880578299021,"['SHFH', 'FHFF', 'FFFF', 'HFHG']"
1,94,0,1.0,0.985089730404757,"['SHFH', 'FFFF', 'HFFF', 'FHFG']"
1,22,0,0.0,0.0,"['SHHH', 'FFHF', 'HFFF', 'FFHG']"
1,39,0,1.0,0.9733217421754432,"['SFHF', 'FHFH', 'FHHH', 'FFFG']"
1,27,0,1.0,0.9530650263643888,"['SFFH', 'HHFF', 'FFHF', 'HHFG']"
1,16,0,0.0,0.0,"['SFHF', 'FFHH', 'HFFF', 'HHHG']"
1,84,0,1.0,0.9821344612135428,"['SHHH', 'FHFF', 'FFFH', 'FFFG']"
1,56,0,1.0,0.9791880578299021,"['SFFF', 'HFFF', 'FFHF', 'FFHG']"
