Temperature,Simulations,Return,Discounted Return,Map
1,92,0,1.0,0.9445131481500655,"['SFFF', 'FHFH', 'HHFH', 'FFFG']"
1,55,0,1.0,0.9791880578299021,"['SHFH', 'FFFF', 'FFFF', 'HHHG']"
1,49,0,1.0,0.9502058312852957,"['SFFF', 'HFFF', 'HFHF', 'FFFG']"
1,48,0,1.0,0.9530650263643888,"['SFFH', 'HFFF', 'HHHF', 'FFHG']"
1,27,0,0.0,0.0,"['SFHF', 'HFFF', 'HHFH', 'FHFG']"
1,9,0,0.0,0.0,"['SFFF', 'HFHF', 'FHHF', 'HFFG']"
1,71,0,1.0,0.9559328248389055,"['SFHF', 'FHHH', 'FHFF', 'FFFG']"
1,44,0,1.0,0.9502058312852957,"['SFHH', 'FHFH', 'FFHH', 'FFFG']"
1,2,0,0.0,0.0,"['SFFH', 'FHFH', 'FHFH', 'FFFG']"
1,18,0,0.0,0.0,"['SFHF', 'HFFH', 'FFFF', 'HHHG']"
1,97,0,1.0,0.9530650263643888,"['SFFF', 'HHHF', 'FFHF', 'HHFG']"
1,100,0,1.0,0.8709180316048211,"['SHFH', 'FFFF', 'FHFH', 'HHFG']"
1,8,0,0.0,0.0,"['SFHH', 'HFFF', 'FFHF', 'FFHG']"
1,39,0,1.0,0.9276389118674717,"['SFFF', 'HFHF', 'HFHF', 'FHFG']"
1,25,0,1.0,0.9645880999032158,"['SFHF', 'HFFF', 'HFFF', 'HHHG']"
1,70,0,1.0,0.9110661429076764,"['SFFH', 'HHFH', 'HHFF', 'HHHG']"
1,89,0,1.0,0.9248559951318693,"['SFFH', 'FHFH', 'FFFF', 'HFHG']"
1,66,0,1.0,0.9704017769489168,"['SFFF', 'HHHF', 'HHHF', 'FHHG']"
1,56,0,1.0,0.9276389118674717,"['SFFF', 'HHFH', 'HHFF', 'FFHG']"
1,21,0,1.0,0.9791880578299021,"['SFFF', 'FHHH', 'FFFH', 'FFFG']"
1,72,0,1.0,0.9821344612135428,"['SFFF', 'HHFF', 'HFFF', 'FHFG']"
1,41,0,1.0,0.9138075656044898,"['SFFH', 'HFFF', 'HFFH', 'HHFG']"
1,77,0,1.0,0.9791880578299021,"['SFHH', 'HFHH', 'FFFF', 'FFFG']"
1,66,0,1.0,0.9276389118674717,"['SFFH', 'HHFF', 'HHFF', 'FFFG']"
1,59,0,1.0,0.9762504936564125,"['SFFF', 'FHHF', 'FFHF', 'FHHG']"
1,13,0,0.0,0.0,"['SHFH', 'FFHF', 'FHFF', 'FFFG']"
1,39,0,1.0,0.9248559951318693,"['SHFH', 'FFHH', 'FFFH', 'HFFG']"
1,88,0,1.0,0.985089730404757,"['SFFF', 'FHFH', 'FFFF', 'FHFG']"
1,33,0,1.0,0.9276389118674717,"['SFFH', 'FFFF', 'FFHF', 'HFFG']"
1,57,0,1.0,0.9616943356035061,"['SFHH', 'HFHF', 'FFFH', 'HFFG']"
1,81,0,1.0,0.9674905716180701,"['SFHH', 'FHHH', 'FHHH', 'FFFG']"
