Temperature,Simulations,Return,Discounted Return,Map
1,29,0,1.0,0.8814479033836181,"['SFFF', 'FFFH', 'HFHH', 'FFFG']"
1,53,0,1.0,0.9056079456455165,"['SFHH', 'FFFH', 'FFFH', 'HHFG']"
1,44,0,1.0,0.9821344612135428,"['SFFF', 'FHHF', 'HHHF', 'FHFG']"
1,68,0,1.0,0.9791880578299021,"['SFFH', 'HHFF', 'HHFF', 'FHFG']"
1,93,0,0.0,0.0,"['SHHF', 'FFFH', 'HFFF', 'FFHG']"
1,3,0,0.0,0.0,"['SFFF', 'HFHF', 'FFFH', 'FHFG']"
1,47,0,1.0,0.9791880578299021,"['SFHF', 'FHHF', 'FFHF', 'FFFG']"
1,47,0,1.0,0.9733217421754432,"['SFFF', 'FFFF', 'HFFH', 'FFFG']"
1,76,0,1.0,0.9588092525966956,"['SFFF', 'HFFF', 'FHHF', 'HFFG']"
1,66,0,1.0,0.9616943356035061,"['SFFH', 'FFFH', 'HHFH', 'HHFG']"
1,92,0,1.0,0.9388545698794984,"['SHFF', 'FHFH', 'FFFH', 'HHFG']"
1,62,0,1.0,0.9559328248389055,"['SFHF', 'FFFF', 'HFHF', 'HFFG']"
1,59,0,1.0,0.9530650263643888,"['SFFF', 'HFFH', 'HHFF', 'HFHG']"
1,13,0,0.0,0.0,"['SFHF', 'FFHF', 'FHHF', 'FFFG']"
1,61,0,1.0,0.8502341582884777,"['SFHF', 'HFFH', 'FHFF', 'FHFG']"
1,69,0,1.0,0.9473552137914398,"['SFFH', 'FHFF', 'HFFH', 'HFFG']"
1,89,0,1.0,0.9304302024748964,"['SFHF', 'FFHF', 'FFFH', 'HHFG']"
1,88,0,1.0,0.985089730404757,"['SFFH', 'FFHF', 'HFFF', 'HFHG']"
1,8,0,0.0,0.0,"['SFHH', 'FFFF', 'HFFF', 'HHFG']"
1,70,0,1.0,0.8814479033836181,"['SHHF', 'FFFH', 'FHFH', 'HFFG']"
1,5,0,0.0,0.0,"['SFHH', 'HFHH', 'FFFH', 'HFFG']"
1,95,0,1.0,0.9791880578299021,"['SFFF', 'HHFF', 'FHFF', 'FFFG']"
1,89,0,1.0,0.9762504936564125,"['SFFF', 'FFFH', 'FFFF', 'HHFG']"
1,25,0,0.0,0.0,"['SHFH', 'FFHH', 'FFFF', 'HFHG']"
1,54,0,1.0,0.9674905716180701,"['SFHH', 'HFHF', 'HFHF', 'HFFG']"
1,6,0,0.0,0.0,"['SHHF', 'FFHF', 'HFFH', 'HHFG']"
